Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum;Times
211;19/05/2023;09:00;SYRIA;PREMIER LEAGUE - ROUND 20;Al Jaish;Jableh;23;41;0,9024;30;42;1,0714;0,561;0,7143;1,2753;0,4007
212;19/05/2023;09:00;SYRIA;PREMIER LEAGUE - ROUND 20;Al Karamah;Wathbah;22;42;0,7857;28;43;0,8837;0,5238;0,6512;1,175;0,3411
213;19/05/2023;09:00;SYRIA;PREMIER LEAGUE - ROUND 20;Al Wahda;Al Taliya;24;41;0,8293;21;42;0,8095;0,5854;0,5;1,0854;0,2927
214;19/05/2023;09:00;SYRIA;PREMIER LEAGUE - ROUND 20;Al-Ittihad;Hottin;21;40;0,675;26;42;0,8333;0,525;0,619;1,144;0,325
215;19/05/2023;09:00;SYRIA;PREMIER LEAGUE - ROUND 20;Tishreen;Al Majd;26;42;1,0714;31;42;1,1667;0,619;0,7381;1,3571;0,4569
216;19/05/2023;09:00;TAJIKISTAN;VYSSHAYA LIGA - ROUND 10;Khujand;Khatlon;24;41;0,9756;24;43;0,9302;0,5854;0,5581;1,1435;0,3267
217;19/05/2023;09:00;TAJIKISTAN;VYSSHAYA LIGA - ROUND 10;Ravshan;Faizkand;24;42;0,8333;23;39;0,9487;0,5714;0,5897;1,1611;0,337
218;19/05/2023;10:30;TAJIKISTAN;VYSSHAYA LIGA - ROUND 10;Istiqlol Dushanbe;Khosilot Parkhar;28;40;1,075;13;26;0,8846;0,7;0,5;1,2;0,35
219;19/05/2023;18:00;TRINIDAD AND TOBAGO;TT PREMIER LEAGUE - ROUND 16;Defence Force;Prison Service;22;31;1,3871;8;12;1,5;0,7097;0,6667;1,3764;0,4732
220;19/05/2023;18:00;TRINIDAD AND TOBAGO;TT PREMIER LEAGUE - ROUND 16;Port Of Spain;Morvant Caledonia Utd;20;27;1,5556;22;32;1,375;0,7407;0,6875;1,4282;0,5092
221;19/05/2023;20:15;TRINIDAD AND TOBAGO;TT PREMIER LEAGUE - ROUND 16;La Horquetta;Central FC;20;26;1,7692;24;33;1,6364;0,7692;0,7273;1,4965;0,5594
222;19/05/2023;20:15;TRINIDAD AND TOBAGO;TT PREMIER LEAGUE - ROUND 16;Police;Cunupia;20;28;1,5357;17;23;1,0435;0,7143;0,7391;1,4534;0,5279
223;19/05/2023;10:00;UGANDA;PREMIER LEAGUE - ROUND 29;Express;Maroons;25;42;1,0238;26;42;1,0952;0,5952;0,619;1,2142;0,3684
224;19/05/2023;10:00;UGANDA;PREMIER LEAGUE - ROUND 29;Gadaffi;UPDF;24;43;0,8372;26;43;0,9535;0,5581;0,6047;1,1628;0,3375
225;19/05/2023;10:00;UGANDA;PREMIER LEAGUE - ROUND 29;Onduparaka FC;Blacks Power;29;43;0,9767;16;25;1,24;0,6744;0,64;1,3144;0,4316
226;19/05/2023;08:00;UKRAINE;PREMIER LEAGUE - ROUND 27;Dnipro-1;Kolos Kovalivka;30;43;1,4186;29;41;1,0488;0,6977;0,7073;1,405;0,4935
227;19/05/2023;09:00;UKRAINE;PREMIER LEAGUE - ROUND 27;Vorskla Poltava;Kryvbas;26;43;1,0465;23;43;0,9302;0,6047;0,5349;1,1396;0,3235
228;19/05/2023;11:00;UKRAINE;PREMIER LEAGUE - ROUND 27;Shakhtar Donetsk;Veres-Rivne;33;44;1,5;31;43;1,2558;0,75;0,7209;1,4709;0,5407
