Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum;Times
1;22/05/2023;16:00;ENGLAND;PREMIER LEAGUE - ROUND 37;Newcastle;Leicester;29;43;1,2093;31;43;1,5349;0,6744;0,7209;1,3953;0,4862
2;22/05/2023;13:30;ITALY;SERIE A - ROUND 36;AS Roma;Salernitana;27;43;0,8605;33;43;1,3721;0,6279;0,7674;1,3953;0,4819
3;22/05/2023;15:45;ITALY;SERIE A - ROUND 36;Empoli;Juventus;28;43;0,8605;26;43;1,1163;0,6512;0,6047;1,2559;0,3938
4;22/05/2023;15:00;NETHERLANDS;EREDIVISIE - RELEGATION - PLAY OFFS - QUARTER-FINALS;Eindhoven FC;Almere City;28;43;1,2093;33;43;1,2093;0,6512;0,7674;1,4186;0,4997
5;22/05/2023;15:00;WORLD;WORLD CUP U20 - ROUND 1;England U20;Tunisia U20;30;43;1,3023;28;41;1,1463;0,6977;0,6829;1,3806;0,4765
6;22/05/2023;15:00;WORLD;WORLD CUP U20 - ROUND 1;France U20;South Korea U20;33;43;1,4884;28;43;1,093;0,7674;0,6512;1,4186;0,4997
7;22/05/2023;18:00;WORLD;WORLD CUP U20 - ROUND 1;Gambia U20;Honduras U20;19;28;1,0357;34;43;1,8605;0,6786;0,7907;1,4693;0,5366
8;22/05/2023;18:00;WORLD;WORLD CUP U20 - ROUND 1;Uruguay U20;Iraq U20;31;43;1,5349;21;26;1,4231;0,7209;0,8077;1,5286;0,5823
9;22/05/2023;19:00;ARGENTINA;PRIMERA NACIONAL - ROUND 15;Racing Cordoba;Ferro;30;43;1,1163;24;43;0,9302;0,6977;0,5581;1,2558;0,3894
10;22/05/2023;20:35;ARGENTINA;PRIMERA NACIONAL - ROUND 15;Atletico Atlanta;Gimnasia Jujuy;23;43;0,7209;28;43;0,9535;0,5349;0,6512;1,1861;0,3483
11;22/05/2023;21:10;ARGENTINA;PRIMERA NACIONAL - ROUND 17;All Boys;Def. de Belgrano;26;43;0,8837;22;43;0,7674;0,6047;0,5116;1,1163;0,3094
12;22/05/2023;09:45;ARMENIA;PREMIER LEAGUE - ROUND 33;Ararat-Armenia;Van;29;42;1,119;29;43;0,9302;0,6905;0,6744;1,3649;0,4657
13;22/05/2023;12:00;ARMENIA;PREMIER LEAGUE - ROUND 33;Urartu;BKMA;27;43;1,0698;26;43;0,9767;0,6279;0,6047;1,2326;0,3797
14;22/05/2023;20:00;ARUBA;DIVISION DI HONOR - RELEGATION - ROUND 10;Caiquetio;Brazil Juniors;7;8;1,375;10;12;2,4167;0,875;0,8333;1,7083;0,7291
15;22/05/2023;22:00;ARUBA;DIVISION DI HONOR - RELEGATION - ROUND 10;La Fama;Estudiantes;34;41;1,6585;8;8;2,875;0,8293;1,0;1,8293;0,8293
16;22/05/2023;09:30;AZERBAIJAN;PREMIER LEAGUE - ROUND 35;Qarabag;Sumqayit;26;43;0,9767;26;43;1,0698;0,6047;0,6047;1,2094;0,3657
17;22/05/2023;09:30;AZERBAIJAN;PREMIER LEAGUE - ROUND 35;Sabah Baku;Zira;30;43;1,3023;24;43;1,0233;0,6977;0,5581;1,2558;0,3894
18;22/05/2023;09:30;AZERBAIJAN;PREMIER LEAGUE - ROUND 35;Shamakhi;Gabala;25;43;0,8837;27;43;1,093;0,5814;0,6279;1,2093;0,3651
19;22/05/2023;09:30;AZERBAIJAN;PREMIER LEAGUE - ROUND 35;Turan;Sabail;25;42;1,2143;27;43;0,9767;0,5952;0,6279;1,2231;0,3737
20;22/05/2023;13:00;BAHRAIN;PREMIER LEAGUE - RELEGATION;Ali CSC;Al-Ittifaq;2;3;1,3333;30;36;1,6667;0,6667;0,8333;1,5;0,5556
21;22/05/2023;13:00;BAHRAIN;PREMIER LEAGUE - RELEGATION;East Riffa;Al-Hala;26;42;1,0;30;43;1,1628;0,619;0,6977;1,3167;0,4319
22;22/05/2023;20:00;BRAZIL;SERIE A - ROUND 7;Cruzeiro;Cuiaba;29;43;0,9767;30;43;1,3256;0,6744;0,6977;1,3721;0,4705
23;22/05/2023;17:30;BRAZIL;BRASILEIRO WOMEN - ROUND 12;Cruzeiro W;Flamengo W;30;43;1,4419;37;43;1,5349;0,6977;0,8605;1,5582;0,6004
24;22/05/2023;12:00;BULGARIA;PARVA LIGA - RELEGATION GROUP - ROUND 32;Spartak Varna;Hebar;30;43;1,1395;31;41;1,2683;0,6977;0,7561;1,4538;0,5275
25;22/05/2023;14:15;BULGARIA;PARVA LIGA - RELEGATION GROUP - ROUND 32;Botev Vratsa;Beroe;24;43;0,9767;29;43;0,9767;0,5581;0,6744;1,2325;0,3764
26;22/05/2023;20:00;COLOMBIA;PRIMERA A - APERTURA - QUADRANGULAR - ROUND 1;Petrolera;Aguilas;28;42;1,2143;29;43;1,2326;0,6667;0,6744;1,3411;0,4496
27;22/05/2023;13:00;CYPRUS;FIRST DIVISION - RELEGATION GROUP - ROUND 39;Ol. Nicosia;Chloraka;26;43;0,907;31;43;1,1628;0,6047;0,7209;1,3256;0,4359
28;22/05/2023;14:00;DENMARK;SUPERLIGA - CHAMPIONSHIP GROUP - ROUND 30;Nordsjaelland;Randers FC;33;42;1,1667;26;42;1,1905;0,7857;0,619;1,4047;0,4863
