Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum;Times
1;20/05/2023;08:30;ENGLAND;PREMIER LEAGUE - ROUND 37;Tottenham;Brentford;28;43;1,3256;34;43;1,3953;0,6512;0,7907;1,4419;0,5149
2;20/05/2023;11:00;ENGLAND;PREMIER LEAGUE - ROUND 37;Bournemouth;Manchester Utd;35;43;1,4884;28;43;0,9302;0,814;0,6512;1,4652;0,5301
3;20/05/2023;11:00;ENGLAND;PREMIER LEAGUE - ROUND 37;Fulham;Crystal Palace;33;43;1,1628;26;43;0,9767;0,7674;0,6047;1,3721;0,464
4;20/05/2023;11:00;ENGLAND;PREMIER LEAGUE - ROUND 37;Liverpool;Aston Villa;32;43;1,5349;32;43;1,186;0,7442;0,7442;1,4884;0,5538
5;20/05/2023;11:00;ENGLAND;PREMIER LEAGUE - ROUND 37;Wolves;Everton;30;43;1,0698;30;43;1,1395;0,6977;0,6977;1,3954;0,4868
6;20/05/2023;13:30;ENGLAND;PREMIER LEAGUE - ROUND 37;Nottingham;Arsenal;33;43;1,2791;32;43;1,4419;0,7674;0,7442;1,5116;0,5711
7;20/05/2023;12:00;FRANCE;LIGUE 1 - ROUND 36;Nantes;Montpellier;25;43;1,0698;31;40;1,475;0,5814;0,775;1,3564;0,4506
8;20/05/2023;16:00;FRANCE;LIGUE 1 - ROUND 36;Lille;Marseille;35;43;1,3023;34;43;1,3256;0,814;0,7907;1,6047;0,6436
9;20/05/2023;10:30;GERMANY;BUNDESLIGA - ROUND 33;Hertha Berlin;Bochum;35;43;1,7674;37;43;1,6279;0,814;0,8605;1,6745;0,7004
10;20/05/2023;10:30;GERMANY;BUNDESLIGA - ROUND 33;Hoffenheim;Union Berlin;36;41;1,7317;26;43;1,186;0,878;0,6047;1,4827;0,5309
11;20/05/2023;10:30;GERMANY;BUNDESLIGA - ROUND 33;Schalke;Eintracht Frankfurt;32;44;1,3636;36;43;1,6977;0,7273;0,8372;1,5645;0,6089
12;20/05/2023;10:30;GERMANY;BUNDESLIGA - ROUND 33;Werder Bremen;FC Koln;28;43;1,3488;32;42;1,5476;0,6512;0,7619;1,4131;0,4961
13;20/05/2023;13:30;GERMANY;BUNDESLIGA - ROUND 33;Bayern Munich;RB Leipzig;35;43;1,7674;35;43;1,4419;0,814;0,814;1,628;0,6626
14;20/05/2023;10:00;ITALY;SERIE A - ROUND 36;Cremonese;Bologna;28;43;1,3023;32;43;1,186;0,6512;0,7442;1,3954;0,4846
15;20/05/2023;13:00;ITALY;SERIE A - ROUND 36;Atalanta;Verona;32;43;1,3256;30;41;1,2439;0,7442;0,7317;1,4759;0,5445
16;20/05/2023;15:45;ITALY;SERIE A - ROUND 36;AC Milan;Sampdoria;32;43;1,2558;33;43;1,186;0,7442;0,7674;1,5116;0,5711
17;20/05/2023;09:00;SPAIN;LALIGA - ROUND 35;Girona;Villarreal;29;42;1,3571;30;43;1,2791;0,6905;0,6977;1,3882;0,4818
18;20/05/2023;11:15;SPAIN;LALIGA - ROUND 35;Ath Bilbao;Celta Vigo;29;43;1,2558;34;43;1,2791;0,6744;0,7907;1,4651;0,5332
19;20/05/2023;13:30;SPAIN;LALIGA - ROUND 35;Almeria;Mallorca;32;43;1,3256;28;43;0,9535;0,7442;0,6512;1,3954;0,4846
20;20/05/2023;13:30;SPAIN;LALIGA - ROUND 35;Getafe;Elche;28;43;0,9302;36;43;1,3953;0,6512;0,8372;1,4884;0,5452
21;20/05/2023;16:00;SPAIN;LALIGA - ROUND 35;Barcelona;Real Sociedad;32;43;1,093;30;43;1,1395;0,7442;0,6977;1,4419;0,5192
22;20/05/2023;15:00;WORLD;WORLD CUP U20 - ROUND 1;Guatemala U20;New Zealand U20;24;29;1,3448;24;33;1,1212;0,8276;0,7273;1,5549;0,6019
23;20/05/2023;15:00;WORLD;WORLD CUP U20 - ROUND 1;USA U20;Ecuador U20;36;43;1,9535;33;42;1,5238;0,8372;0,7857;1,6229;0,6578
24;20/05/2023;18:00;WORLD;WORLD CUP U20 - ROUND 1;Argentina U20;Uzbekistan U20;27;43;1,0698;28;41;1,3415;0,6279;0,6829;1,3108;0,4288
25;20/05/2023;18:00;WORLD;WORLD CUP U20 - ROUND 1;Fiji U20;Slovakia U20;9;11;1,8182;8;10;1,4;0,8182;0,8;1,6182;0,6546
26;20/05/2023;10:00;AFRICA;CAF CHAMPIONS LEAGUE - PLAY OFFS - SEMI-FINALS;Mamelodi Sundowns;Wydad;32;43;1,3023;25;43;0,8837;0,7442;0,5814;1,3256;0,4327
27;20/05/2023;14:00;ARGENTINA;LIGA PROFESIONAL - ROUND 17;San Lorenzo;Instituto;20;43;0,7907;29;43;1,0465;0,4651;0,6744;1,1395;0,3137
28;20/05/2023;21:30;ARGENTINA;LIGA PROFESIONAL - ROUND 17;Lanus;Newells Old Boys;31;43;1,2558;24;43;0,8837;0,7209;0,5581;1,279;0,4023
29;20/05/2023;21:30;ARGENTINA;LIGA PROFESIONAL - ROUND 17;Tigre;Atl. Tucuman;31;43;1,3023;29;43;1,0233;0,7209;0,6744;1,3953;0,4862
30;20/05/2023;11:00;ARGENTINA;PRIMERA NACIONAL - ROUND 17;Nueva Chicago;Almirante Brown;22;43;0,7907;27;43;1,0698;0,5116;0,6279;1,1395;0,3212
31;20/05/2023;14:00;ARGENTINA;PRIMERA NACIONAL - ROUND 17;Agropecuario;Alvarado;20;43;0,7209;22;43;0,7907;0,4651;0,5116;0,9767;0,2379
32;20/05/2023;14:00;ARGENTINA;PRIMERA NACIONAL - ROUND 15;Aldosivi;Dep. Riestra;32;43;1,2558;30;43;1,0465;0,7442;0,6977;1,4419;0,5192
33;20/05/2023;14:00;ARGENTINA;PRIMERA NACIONAL - ROUND 17;Almagro;Gimnasia Mendoza;29;43;1,0;19;43;0,5814;0,6744;0,4419;1,1163;0,298
34;20/05/2023;14:00;ARGENTINA;PRIMERA NACIONAL - ROUND 17;Defensores Unidos;San Martin S.J.;23;43;0,814;29;43;1,0698;0,5349;0,6744;1,2093;0,3607
35;20/05/2023;14:00;ARGENTINA;PRIMERA NACIONAL - ROUND 17;San Telmo;Patronato;33;43;1,1628;25;43;0,907;0,7674;0,5814;1,3488;0,4462
36;20/05/2023;14:00;ARGENTINA;PRIMERA NACIONAL - ROUND 17;Temperley;Club A. Guemes;30;43;1,0465;21;43;0,6512;0,6977;0,4884;1,1861;0,3408
37;20/05/2023;21:30;ARGENTINA;PRIMERA NACIONAL - ROUND 15;Chaco For Ever;Atl. Rafaela;24;43;0,7442;28;43;1,1163;0,5581;0,6512;1,2093;0,3634
38;20/05/2023;21:30;ARGENTINA;PRIMERA NACIONAL - ROUND 15;Ind. Rivadavia;Deportivo Madryn;29;43;1,0;31;43;1,1163;0,6744;0,7209;1,3953;0,4862
39;20/05/2023;21:30;ARGENTINA;PRIMERA NACIONAL - ROUND 15;Tristan Suarez;Quilmes;29;43;1,0233;32;43;1,1628;0,6744;0,7442;1,4186;0,5019
40;20/05/2023;12:00;ARMENIA;PREMIER LEAGUE - ROUND 33;Ararat Yerevan;Noah;28;43;1,0;32;43;1,2791;0,6512;0,7442;1,3954;0,4846
41;20/05/2023;19:30;ARUBA;DIVISION DI HONOR - WINNERS STAGE - ROUND 10;Britannia;Racing Club Aruba;31;37;1,6486;32;40;1,9;0,8378;0,8;1,6378;0,6702
42;20/05/2023;21:30;ARUBA;DIVISION DI HONOR - WINNERS STAGE - ROUND 10;Estrella;River Plate;34;39;1,641;25;32;1,8125;0,8718;0,7812;1,653;0,6811
43;20/05/2023;06:45;AUSTRALIA;A-LEAGUE - PLAY OFFS - SEMI-FINALS;Central Coast Mariners;Adelaide United;36;43;1,4186;35;43;1,4884;0,8372;0,814;1,6512;0,6815
44;20/05/2023;01:00;AUSTRALIA;NPL ACT - ROUND 7;West Canberra Wanderers;Gungahlin;34;43;1,6047;37;43;1,8837;0,7907;0,8605;1,6512;0,6804
45;20/05/2023;02:00;AUSTRALIA;NPL ACT - ROUND 7;O'Connor Knights;Tigers FC;22;28;1,6786;37;42;1,6905;0,7857;0,881;1,6667;0,6922
46;20/05/2023;04:45;AUSTRALIA;NPL ACT - ROUND 7;Monaro Panthers;Tuggeranong Utd;30;43;1,0698;36;42;1,4524;0,6977;0,8571;1,5548;0,598
47;20/05/2023;02:30;AUSTRALIA;NPL NORTHERN NSW - ROUND 12;Maitland;Lambton J.;33;43;1,7674;31;43;1,4186;0,7674;0,7209;1,4883;0,5532
48;20/05/2023;04:00;AUSTRALIA;NPL NORTHERN NSW - ROUND 12;Valentine;Adamstown Rosebud;32;43;1,5116;36;43;1,9302;0,7442;0,8372;1,5814;0,623
49;20/05/2023;04:30;AUSTRALIA;NPL NORTHERN NSW - ROUND 12;Edgeworth E.;Newcastle Olympic;31;43;1,3953;34;42;1,7381;0,7209;0,8095;1,5304;0,5836
50;20/05/2023;02:00;AUSTRALIA;NPL NSW - ROUND 16;Bulls Academy;NWS Spirit;37;43;1,9535;17;19;1,4211;0,8605;0,8947;1,7552;0,7699
51;20/05/2023;04:00;AUSTRALIA;NPL NSW - ROUND 16;Manly Utd;Blacktown City;32;43;1,2326;30;43;1,3023;0,7442;0,6977;1,4419;0,5192
52;20/05/2023;04:45;AUSTRALIA;NPL NSW - ROUND 16;APIA Leichhardt;Wollongong Wolves;33;43;1,4419;29;43;1,4884;0,7674;0,6744;1,4418;0,5175
53;20/05/2023;05:30;AUSTRALIA;NPL NSW - ROUND 16;Sutherland Sharks;Sydney Olympic;29;43;1,3023;31;43;1,3953;0,6744;0,7209;1,3953;0,4862
54;20/05/2023;06:00;AUSTRALIA;NPL NSW - ROUND 16;Marconi Stallions;Sydney Utd;29;43;1,2558;27;43;1,1628;0,6744;0,6279;1,3023;0,4235
55;20/05/2023;06:00;AUSTRALIA;NPL NSW - ROUND 16;Mount Druitt Rangers;Sydney FC U21;35;42;1,7381;33;42;1,8333;0,8333;0,7857;1,619;0,6547
56;20/05/2023;06:00;AUSTRALIA;NPL NSW - ROUND 16;WS Wanderers U21;Central Coast U21;34;43;1,5814;30;38;1,4737;0,7907;0,7895;1,5802;0,6243
57;20/05/2023;04:00;AUSTRALIA;NPL QUEENSLAND - ROUND 11;Gold Coast Knights;Rochedale;33;41;1,2195;35;42;1,9762;0,8049;0,8333;1,6382;0,6707
58;20/05/2023;04:00;AUSTRALIA;NPL QUEENSLAND - ROUND 11;Moreton Bay Utd;Queensland Lions;37;43;1,814;36;42;1,9762;0,8605;0,8571;1,7176;0,7375
59;20/05/2023;05:00;AUSTRALIA;NPL QUEENSLAND - ROUND 11;Redlands;Peninsula;37;43;1,6279;34;41;1,5854;0,8605;0,8293;1,6898;0,7136
60;20/05/2023;02:30;AUSTRALIA;NPL SOUTH AUSTRALIAN - ROUND 13;Adelaide City;South Adelaide;31;43;1,2791;36;43;1,6279;0,7209;0,8372;1,5581;0,6035
61;20/05/2023;02:30;AUSTRALIA;NPL SOUTH AUSTRALIAN - ROUND 13;Adelaide U21;Adelaide Comets;36;43;1,9535;26;43;1,1628;0,8372;0,6047;1,4419;0,5063
62;20/05/2023;02:30;AUSTRALIA;NPL SOUTH AUSTRALIAN - ROUND 13;Campbelltown City;Modbury Jets;32;43;1,4651;36;43;1,8837;0,7442;0,8372;1,5814;0,623
63;20/05/2023;02:30;AUSTRALIA;NPL SOUTH AUSTRALIAN - ROUND 13;Sturt Lions;Croydon Kings;33;43;1,2791;29;43;1,2326;0,7674;0,6744;1,4418;0,5175
64;20/05/2023;05:30;AUSTRALIA;NPL SOUTH AUSTRALIAN - ROUND 13;Adelaide Olympic;West Adelaide;36;43;1,3953;32;43;1,4186;0,8372;0,7442;1,5814;0,623
65;20/05/2023;02:00;AUSTRALIA;NPL VICTORIA - ROUND 14;Avondale FC;Port Melbourne Sharks;38;42;1,7143;35;42;1,5476;0,9048;0,8333;1,7381;0,754
66;20/05/2023;02:00;AUSTRALIA;NPL VICTORIA - ROUND 14;Moreland City;South Melbourne;12;14;1,7857;32;43;1,4651;0,8571;0,7442;1,6013;0,6379
67;20/05/2023;02:00;AUSTRALIA;NPL VICTORIA - ROUND 14;North Geelong;Bentleigh Greens;34;40;1,65;31;43;1,3256;0,85;0,7209;1,5709;0,6128
68;20/05/2023;05:30;AUSTRALIA;NPL VICTORIA - ROUND 14;Hume City;Altona Magic;29;43;1,3488;33;43;1,2558;0,6744;0,7674;1,4418;0,5175
69;20/05/2023;06:15;AUSTRALIA;NPL VICTORIA - ROUND 14;Dandenong Thunder;Heidelberg Utd;30;42;1,381;35;43;1,5814;0,7143;0,814;1,5283;0,5814
70;20/05/2023;04:00;AUSTRALIA;NPL WESTERN AUSTRALIA - ROUND 9;Bayswater;Perth RedStar;37;43;2,0;40;43;2,0698;0,8605;0,9302;1,7907;0,8004
71;20/05/2023;04:00;AUSTRALIA;NPL WESTERN AUSTRALIA - ROUND 9;Floreat Athena;Cockburn City;39;43;1,9535;31;43;1,3023;0,907;0,7209;1,6279;0,6539
72;20/05/2023;04:00;AUSTRALIA;NPL WESTERN AUSTRALIA - ROUND 9;Olympic Kingsway;Inglewood Utd;15;17;1,8824;32;43;1,3721;0,8824;0,7442;1,6266;0,6567
73;20/05/2023;04:00;AUSTRALIA;NPL WESTERN AUSTRALIA - ROUND 9;Perth SC;Armadale;32;43;1,3488;37;43;2,2093;0,7442;0,8605;1,6047;0,6404
74;20/05/2023;04:00;AUSTRALIA;NPL WESTERN AUSTRALIA - ROUND 9;Sorrento;Balcatta;33;43;1,6512;35;43;1,5116;0,7674;0,814;1,5814;0,6247
75;20/05/2023;04:00;AUSTRALIA;NPL WESTERN AUSTRALIA - ROUND 9;Stirling Macedonia;Perth Glory U21;27;34;1,4118;35;43;1,7209;0,7941;0,814;1,6081;0,6464
76;20/05/2023;01:00;AUSTRALIA & OCEANIA;OFC CHAMPIONS LEAGUE - ROUND 3;Solomon Warriors (Sol);Suva (Fij);20;24;1,875;30;42;1,0476;0,8333;0,7143;1,5476;0,5952
77;20/05/2023;22:00;AUSTRALIA & OCEANIA;OFC CHAMPIONS LEAGUE - ROUND 3;Hekari Utd (Pap);Pirae (Tah);25;34;1,4118;13;15;2,4;0,7353;0,8667;1,602;0,6373
78;20/05/2023;12:00;AUSTRIA;BUNDESLIGA - RELEGATION GROUP - ROUND 30;A. Lustenau;Tirol;34;42;1,4762;30;41;1,7073;0,8095;0,7317;1,5412;0,5923
79;20/05/2023;12:00;AUSTRIA;BUNDESLIGA - RELEGATION GROUP - ROUND 30;Hartberg;Wolfsberger AC;35;42;1,5476;33;43;1,6047;0,8333;0,7674;1,6007;0,6395
