Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;Sum
76;18/05/2023;11:30;LIBYA;PREMIER LEAGUE - ROUND 15;Mahalla Tripoli;Al Ahly Tripoli;30;43;29;43;0,6977;0,6744;1,3721
77;18/05/2023;09:15;MALAYSIA;SUPER LEAGUE - ROUND 11;PDRM FC;Negeri Sembilan;24;43;29;43;0,5581;0,6744;1,2325
78;18/05/2023;08:00;MALDIVES;DHIVEHI PREMIER LEAGUE - ROUND 3;Club Eagles;TC Sports Club;24;43;29;43;0,5581;0,6744;1,2325
79;18/05/2023;13:00;MALDIVES;DHIVEHI PREMIER LEAGUE - ROUND 3;Valencia;Buru Sports;24;43;29;43;0,5581;0,6744;1,2325
80;18/05/2023;13:15;MALI;PREMIERE DIVISION - ROUND 18;CO Bamako;AS Police;24;43;29;43;0,5581;0,6744;1,2325
81;18/05/2023;13:15;MALI;PREMIERE DIVISION - ROUND 18;Yeelen;USFAS Bamako;24;43;29;43;0,5581;0,6744;1,2325
82;18/05/2023;00:00;MEXICO;LIGA MX - CLAUSURA - PLAY OFFS - SEMI-FINALS;U.A.N.L.- Tigres;Monterrey;28;43;25;43;0,6512;0,5814;1,2326
83;18/05/2023;23:10;MEXICO;LIGA MX - CLAUSURA - PLAY OFFS - SEMI-FINALS;Guadalajara Chivas;Club America;26;43;25;43;0,6047;0,5814;1,1861
84;18/05/2023;21:00;MEXICO;LIGA MX WOMEN - CLAUSURA - PLAY OFFS - QUARTER-FINALS;Pachuca W;Guadalajara Chivas W;37;43;33;43;0,8605;0,7674;1,6279
85;18/05/2023;02:00;MONGOLIA;PREMIER LEAGUE - ROUND 21;Khangarid;Tuv Buganuud;36;43;31;38;0,8372;0,8158;1,653
86;18/05/2023;05:00;MONGOLIA;PREMIER LEAGUE - ROUND 21;Deren;Falcons;35;43;36;43;0,814;0,8372;1,6512
87;18/05/2023;11:00;NETHERLANDS;KNVB BEKER WOMEN - FINAL;Twente W;PSV W;41;43;36;43;0,9535;0,8372;1,7907
88;18/05/2023;12:30;NIGER;LIGUE 1 - ROUND 18;ASFAN;US Gendarmerie;41;43;36;43;0,9535;0,8372;1,7907
89;18/05/2023;12:00;NIGERIA;NPFL - ROUND 16;Rivers United;Doma United;30;43;36;43;0,6977;0,8372;1,5349
90;18/05/2023;19:00;PARAGUAY;PRIMERA DIVISION - APERTURA - ROUND 18;Sportivo Trinidense;Ameliano;31;43;29;43;0,7209;0,6744;1,3953
91;18/05/2023;21:30;PARAGUAY;PRIMERA DIVISION - APERTURA - ROUND 18;Nacional Asuncion;Resistencia;20;43;29;43;0,4651;0,6744;1,1395
92;18/05/2023;13:00;SAUDI ARABIA;SAUDI PROFESSIONAL LEAGUE - ROUND 27;Abha;Al-Ettifaq;31;43;31;43;0,7209;0,7209;1,4418
93;18/05/2023;13:00;SAUDI ARABIA;SAUDI PROFESSIONAL LEAGUE - ROUND 27;Al-Shabab;Al Wehda;34;43;30;43;0,7907;0,6977;1,4884
94;18/05/2023;10:00;SWEDEN;SVENSKA CUPEN - PLAY OFFS - FINAL;Mjallby;Hacken;29;43;30;43;0,6744;0,6977;1,3721
95;18/05/2023;09:00;TAJIKISTAN;VYSSHAYA LIGA - ROUND 10;Eskhata;Kuktosh;29;43;30;43;0,6744;0,6977;1,3721
96;18/05/2023;09:00;TAJIKISTAN;VYSSHAYA LIGA - ROUND 10;Regar-TadAZ;CSKA Pomir Dushanbe;29;43;30;43;0,6744;0,6977;1,3721
97;18/05/2023;14:00;TURKEY;SUPER LIG - ROUND 34;Fenerbahce;Trabzonspor;29;43;30;43;0,6744;0,6977;1,3721
98;18/05/2023;12:35;UNITED ARAB EMIRATES;LEAGUE CUP - SEMI-FINALS;Al Jazira;Al Sharjah;33;43;28;43;0,7674;0,6512;1,4186
99;18/05/2023;09:00;WORLD;FRIENDLY INTERNATIONAL;Morocco U20;Burkina Faso U20;33;43;28;43;0,7674;0,6512;1,4186
100;18/05/2023;12:00;WORLD;FRIENDLY INTERNATIONAL;Montenegro U19;Switzerland U18;30;43;24;37;0,6977;0,6486;1,3463
