Nº;Date;Time;Country;League;Home;Away;o15Home;totalHome;AvgHome;o15Away;totalAway;AvgAway;pHome;pAway;pSum;avgSum
1;01/06/2023;15:45;GERMANY;BUNDESLIGA - RELEGATION - FINAL;Stuttgart;Hamburger SV;13;15;3,0;13;15;3,7333;0,8667;0,8667;1,7334;6,7333
2;01/06/2023;13:45;NETHERLANDS;EREDIVISIE - CONFERENCE LEAGUE - PLAY OFFS - SEMI-FINALS;Heerenveen;Twente;13;15;3,4667;12;15;3,2667;0,8667;0,8;1,6667;6,7334
3;01/06/2023;16:00;NETHERLANDS;EREDIVISIE - CONFERENCE LEAGUE - PLAY OFFS - SEMI-FINALS;Utrecht;Sparta Rotterdam;13;15;3,0667;12;15;3,3333;0,8667;0,8;1,6667;6,4
4;01/06/2023;14:30;WORLD;WORLD CUP U20 - PLAY OFFS - 1/8-FINALS;Gambia U20;Uruguay U20;8;15;2,0;11;15;2,6667;0,5333;0,7333;1,2666;4,6667
5;01/06/2023;18:00;WORLD;WORLD CUP U20 - PLAY OFFS - 1/8-FINALS;Ecuador U20;South Korea U20;10;15;2,7333;11;15;3,7333;0,6667;0,7333;1,4;6,4666
6;01/06/2023;14:00;ALBANIA;ALBANIAN CUP - FINAL;KF Tirana;Egnatia;12;15;2,8;11;15;2,3333;0,8;0,7333;1,5333;5,1333
7;01/06/2023;20:00;ARGENTINA;LIGA PROFESIONAL - ROUND 19;Sarmiento Junin;Newells Old Boys;7;15;1,5333;6;15;1,7333;0,4667;0,4;0,8667;3,2666
8;01/06/2023;21:30;ARGENTINA;LIGA PROFESIONAL - ROUND 19;Arsenal Sarandi;Boca Juniors;10;15;2,2667;8;15;2,0;0,6667;0,5333;1,2;4,2667
9;01/06/2023;11:00;ARGENTINA;RESERVE LEAGUE - FIRST STAGE - ROUND 19;Atl. Tucuman 2;Lanus 2;12;15;2,9333;11;15;2,3333;0,8;0,7333;1,5333;5,2666
10;01/06/2023;11:00;ARGENTINA;RESERVE LEAGUE - FIRST STAGE - ROUND 19;Banfield 2;Racing Club 2;13;15;3,0;10;15;2,2;0,8667;0,6667;1,5334;5,2
11;01/06/2023;11:00;ARGENTINA;RESERVE LEAGUE - FIRST STAGE - ROUND 19;Independiente 2;Godoy Cruz 2;11;15;2,4;11;15;3,1333;0,7333;0,7333;1,4666;5,5333
12;01/06/2023;11:00;ARGENTINA;RESERVE LEAGUE - FIRST STAGE - ROUND 19;Instituto 2;Rosario Central 2;12;15;2,6;13;15;3,4;0,8;0,8667;1,6667;6,0
13;01/06/2023;15:10;ARGENTINA;PRIMERA A WOMEN - APERTURA - ROUND 15;San Lorenzo W;Social Atletico Television W;13;15;2,6667;10;15;1,9333;0,8667;0,6667;1,5334;4,6
14;01/06/2023;11:00;ARMENIA;PREMIER LEAGUE - ROUND 35;Ararat-Armenia;Lernayin Artsakh;12;15;2,7333;12;15;2,7333;0,8;0,8;1,6;5,4666
15;01/06/2023;12:00;BELARUS;BELARUSIAN CUP - 1/32-FINALS;Leskhoz;Zhodino Yuzhnoe;1;1;3,0;7;10;3,0;1,0;0,7;1,7;6,0
16;01/06/2023;17:00;BRAZIL;SERIE D - ROUND 5;Campinense;Nacional de Patos;11;15;2,3333;11;15;2,1333;0,7333;0,7333;1,4666;4,4666
17;01/06/2023;20:00;BRAZIL;CAMPEONATO AMAPAENSE - ROUND 4;Independente AP;Oratorio;14;15;3,4;9;11;3,5455;0,9333;0,8182;1,7515;6,9455
18;01/06/2023;19:30;BRAZIL;CAMPEONATO MINEIRO 2 - ROUND 8;Uberlandia;Tupynambas;11;15;1,9333;9;15;2,3333;0,7333;0,6;1,3333;4,2666
19;01/06/2023;19:30;BRAZIL;COPA DO BRASIL - 1/8-FINALS;Sao Paulo;Sport Recife;11;15;2,0;13;15;2,6667;0,7333;0,8667;1,6;4,6667
20;01/06/2023;20:00;BRAZIL;COPA DO BRASIL - 1/8-FINALS;Flamengo RJ;Fluminense;13;15;3,1333;11;15;2,6;0,8667;0,7333;1,6;5,7333
21;01/06/2023;11:30;BULGARIA;PARVA LIGA - CONFERENCE LEAGUE GROUP - ROUND 35;Lok. Sofia;Botev Plovdiv;12;15;2,8;10;15;2,2;0,8;0,6667;1,4667;5,0
22;01/06/2023;14:00;BULGARIA;PARVA LIGA - CONFERENCE LEAGUE GROUP - ROUND 35;Arda;Slavia Sofia;10;15;2,1333;6;15;1,4667;0,6667;0,4;1,0667;3,6
23;01/06/2023;21:00;CHILE;PRIMERA B - ROUND 15;San Marcos de Arica;Barnechea;13;15;3,1333;10;15;2,5333;0,8667;0,6667;1,5334;5,6666
24;01/06/2023;20:15;COLOMBIA;PRIMERA A - APERTURA - QUADRANGULAR - ROUND 3;Dep. Pasto;Petrolera;9;15;1,8667;14;15;3,2;0,6;0,9333;1,5333;5,0667
25;01/06/2023;22:30;COLOMBIA;PRIMERA A - APERTURA - QUADRANGULAR - ROUND 3;Atl. Nacional;Aguilas;12;15;2,6;12;15;2,9333;0,8;0,8;1,6;5,5333
26;01/06/2023;18:00;COLOMBIA;PRIMERA B - APERTURA - QUADRANGULAR - ROUND 4;Patriotas;Cucuta;7;15;1,2667;9;15;1,7333;0,4667;0,6;1,0667;3,0
27;01/06/2023;18:00;COLOMBIA;PRIMERA B - APERTURA - QUADRANGULAR - ROUND 4;Valledupar;Cortulua;11;15;2,6667;11;15;2,2667;0,7333;0,7333;1,4666;4,9334
28;01/06/2023;12:30;CZECH REPUBLIC;1. LIGA - RELEGATION - FINAL;Pribram;FK Pardubice;13;15;2,8;12;15;2,7333;0,8667;0,8;1,6667;5,5333
29;01/06/2023;12:30;CZECH REPUBLIC;1. LIGA - RELEGATION - FINAL;Zlin;Vyskov;13;15;3,0667;9;15;2,1333;0,8667;0,6;1,4667;5,2
30;01/06/2023;12:30;CZECH REPUBLIC;MORAVSKOSLEZSKY KP - ROUND 27;Haj ve Slezsku;Repiste;13;15;3,9333;14;15;3,7333;0,8667;0,9333;1,8;7,6666
31;01/06/2023;13:00;CZECH REPUBLIC;PRAZSKY PREBOR - ROUND 29;Dukla JM;Kralovice;13;15;4,2667;14;15;4,2667;0,8667;0,9333;1,8;8,5334
32;01/06/2023;12:30;CZECH REPUBLIC;ZLINSKY KP - ROUND 26;Stitna nad Vlari;Slusovice;13;15;3,0667;13;15;3,9333;0,8667;0,8667;1,7334;7,0
33;01/06/2023;21:00;ECUADOR;SERIE B - ROUND 12;Manta;Imbabura;9;15;1,9333;13;15;3,2667;0,6;0,8667;1,4667;5,2
34;01/06/2023;13:00;EGYPT;PREMIER LEAGUE - ROUND 30;Haras El Hodood;Aswan SC;5;15;1,7333;13;15;2,6667;0,3333;0,8667;1,2;4,4
35;01/06/2023;15:30;EGYPT;PREMIER LEAGUE - ROUND 30;Enppi;Ghazl El Mahallah;12;15;2,4667;12;15;2,4667;0,8;0,8;1,6;4,9334
36;01/06/2023;11:00;EGYPT;DIVISION 2 - GROUP A - ROUND 28;Assiut Cement;Dayrout;9;15;1,9333;11;15;2,3333;0,6;0,7333;1,3333;4,2666
37;01/06/2023;11:00;EGYPT;DIVISION 2 - GROUP A - ROUND 28;El Gouna;Tamya;10;15;2,2;9;15;2,0;0,6667;0,6;1,2667;4,2
38;01/06/2023;11:00;EGYPT;DIVISION 2 - GROUP A - ROUND 28;El Madina El Monowara;Misr Lel Makkasa;13;15;2,8;14;15;3,1333;0,8667;0,9333;1,8;5,9333
39;01/06/2023;11:00;EGYPT;DIVISION 2 - GROUP A - ROUND 28;El Minya;Al Aluminium;8;15;1,7333;9;15;1,8667;0,5333;0,6;1,1333;3,6
40;01/06/2023;11:00;EGYPT;DIVISION 2 - GROUP A - ROUND 28;Fayoum;Asyut Petroleum;8;15;2,0;8;15;1,8;0,5333;0,5333;1,0666;3,8
41;01/06/2023;11:00;EGYPT;DIVISION 2 - GROUP A - ROUND 28;Nasr Taadeen;La Viena;9;15;2,1333;9;15;2,0667;0,6;0,6;1,2;4,2
42;01/06/2023;11:00;EGYPT;DIVISION 2 - GROUP A - ROUND 28;Shoban Moslemen Qena;Mallawi;11;15;2,2667;10;15;2,4667;0,7333;0,6667;1,4;4,7334
43;01/06/2023;11:00;EGYPT;DIVISION 2 - GROUP A - ROUND 28;Telephonaat Beni Suef;Kima Aswan;11;15;2,8667;10;15;2,0;0,7333;0,6667;1,4;4,8667
44;01/06/2023;09:00;ETHIOPIA;PREMIER LEAGUE - ROUND 27;Sidama Bunna;Arba Menche;7;15;1,8;12;15;2,6;0,4667;0,8;1,2667;4,4
45;01/06/2023;12:00;ETHIOPIA;PREMIER LEAGUE - ROUND 27;St. George;Legetafo Legedadi;10;15;2,0667;11;15;2,9333;0,6667;0,7333;1,4;5,0
46;01/06/2023;13:00;FINLAND;SUOMEN CUP - 1/16-FINALS;VJS;PEPO;12;15;3,0;14;15;4,0667;0,8;0,9333;1,7333;7,0667
47;01/06/2023;13:00;GAMBIA;GFA LEAGUE - ROUND 26;Banjul Utd;Samger;7;15;1,8667;8;15;1,9333;0,4667;0,5333;1,0;3,8
48;01/06/2023;13:00;GAMBIA;GFA LEAGUE - ROUND 26;Fortune;Gamtel;8;15;1,8667;10;15;2,0;0,5333;0,6667;1,2;3,8667
49;01/06/2023;13:00;GAMBIA;GFA LEAGUE - ROUND 26;Real Banjul;Armed Forces;10;15;2,3333;6;15;1,7333;0,6667;0,4;1,0667;4,0666
50;01/06/2023;13:00;GAMBIA;GFA LEAGUE - ROUND 26;Wellingara;Falcons;9;15;2,2667;8;15;1,9333;0,6;0,5333;1,1333;4,2
51;01/06/2023;09:00;GEORGIA;CRYSTALBET EROVNULI LIGA - ROUND 18;Samtredia;Samgurali;11;15;2,6;11;15;2,6667;0,7333;0,7333;1,4666;5,2667
52;01/06/2023;09:00;GEORGIA;CRYSTALBET EROVNULI LIGA - ROUND 18;Shukura;Gagra;14;15;3,4;9;15;2,4667;0,9333;0,6;1,5333;5,8667
53;01/06/2023;12:00;GEORGIA;CRYSTALBET EROVNULI LIGA - ROUND 18;Saburtalo Tbilisi;Dinamo Tbilisi;14;15;3,4667;14;15;3,9333;0,9333;0,9333;1,8666;7,4
54;01/06/2023;13:00;GEORGIA;CRYSTALBET EROVNULI LIGA - ROUND 18;Dila Gori;Telavi;11;15;2,4667;10;15;2,6667;0,7333;0,6667;1,4;5,1334
55;01/06/2023;14:00;GEORGIA;CRYSTALBET EROVNULI LIGA - ROUND 18;Dinamo Batumi;Torpedo Kutaisi;14;15;3,2667;10;15;2,4;0,9333;0,6667;1,6;5,6667
56;01/06/2023;12:00;GUINEA;LIGUE 1 - ROUND 23;Ashanti GB;Fello Star;10;15;2,2;11;15;2,3333;0,6667;0,7333;1,4;4,5333
57;01/06/2023;12:00;GUINEA;LIGUE 1 - ROUND 23;Hafia;Wakriya;12;15;2,6667;8;15;1,9333;0,8;0,5333;1,3333;4,6
58;01/06/2023;12:00;GUINEA;LIGUE 1 - ROUND 23;Kaloum Star;Horoya;8;15;1,9333;10;15;2,3333;0,5333;0,6667;1,2;4,2666
59;01/06/2023;12:45;HUNGARY;NB I WOMEN - PLAY OFFS - FINAL;Gyor W;Ferencvaros W;13;15;3,2667;14;15;5,0667;0,8667;0,9333;1,8;8,3334
60;01/06/2023;15:00;ICELAND;BESTA-DEILD KARLA - ROUND 10;Vestmannaeyjar;Kopavogur;12;15;3,1333;11;15;3,6667;0,8;0,7333;1,5333;6,8
61;01/06/2023;16:15;ICELAND;BESTA-DEILD KARLA - ROUND 10;Fylkir;KR Reykjavik;14;15;4,0;12;15;3,6667;0,9333;0,8;1,7333;7,6667
62;01/06/2023;16:15;ICELAND;LENGJUDEILDIN - ROUND 5;Akranes;Fjolnir;13;15;3,0667;13;15;4,5333;0,8667;0,8667;1,7334;7,6
63;01/06/2023;16:15;ICELAND;LENGJUDEILDIN - ROUND 5;Grindavik;Afturelding;11;15;2,7333;12;15;3,4;0,7333;0,8;1,5333;6,1333
64;01/06/2023;16:15;ICELAND;LENGJUDEILDIN - ROUND 5;Selfoss;Throttur;13;15;4,0;15;15;5,1333;0,8667;1,0;1,8667;9,1333
65;01/06/2023;15:30;ICELAND;URVALSDEILD WOMEN - ROUND 6;Thor/KA W;Hafnarfjordur W;11;15;2,8;13;15;4,1333;0,7333;0,8667;1,6;6,9333
66;01/06/2023;15:30;ITALY;SERIE B - PLAY OUT - FINAL;Brescia;Cosenza;11;15;2,4667;7;15;1,8;0,7333;0,4667;1,2;4,2667
67;01/06/2023;10:00;ITALY;PRIMAVERA 2 - PLAY OUT - FINAL;Salernitana U19;Reggina U19;12;15;2,5333;10;15;2,4667;0,8;0,6667;1,4667;5,0
68;01/06/2023;09:00;KAZAKHSTAN;FIRST DIVISION - ROUND 10;Akademiya Ontustik;Turan;14;15;4,7333;11;15;3,5333;0,9333;0,7333;1,6666;8,2666
69;01/06/2023;10:00;KAZAKHSTAN;FIRST DIVISION - ROUND 10;FK Akzhayik;FC Astana 2;13;15;4,7333;14;15;3,8;0,8667;0,9333;1,8;8,5333
70;01/06/2023;11:00;LATVIA;OPTIBET VIRSLIGA - ROUND 16;FK Liepaja;Tukums 2000;13;15;3,2;12;15;3,7333;0,8667;0,8;1,6667;6,9333
71;01/06/2023;13:00;LATVIA;OPTIBET VIRSLIGA - ROUND 16;Auda;Jelgava;13;15;2,2;14;15;3,4;0,8667;0,9333;1,8;5,6
72;01/06/2023;11:30;LIBYA;PREMIER LEAGUE - ROUND 17;Al-Ittihad;Al-Athad;8;15;2,0;6;15;1,2;0,5333;0,4;0,9333;3,2
73;01/06/2023;13:15;MALI;PREMIERE DIVISION - ROUND 21;Bakaridjan;CO Bamako;5;15;1,3333;7;15;1,8;0,3333;0,4667;0,8;3,1333
74;01/06/2023;13:15;MALI;PREMIERE DIVISION - ROUND 21;Black Stars;AS Police;9;15;2,0;8;15;1,7333;0,6;0,5333;1,1333;3,7333
75;01/06/2023;13:15;MALI;PREMIERE DIVISION - ROUND 21;Onze Createurs;USFAS Bamako;6;15;1,4;10;15;1,8667;0,4;0,6667;1,0667;3,2667
76;01/06/2023;13:15;MALI;PREMIERE DIVISION - ROUND 21;Stade Malien;US Bougouni;4;15;0,6667;12;15;2,4;0,2667;0,8;1,0667;3,0667
77;01/06/2023;15:15;MALI;PREMIERE DIVISION - ROUND 21;LC Bamako;Yeelen;9;15;1,9333;12;15;2,8;0,6;0,8;1,4;4,7333
78;01/06/2023;06:15;MYANMAR;NATIONAL LEAGUE - ROUND 7;Myawady;Kachin United;11;15;2,8;3;6;1,6667;0,7333;0,5;1,2333;4,4667
79;01/06/2023;06:30;MYANMAR;NATIONAL LEAGUE - ROUND 7;Sagaing;Hantharwady Utd;12;15;2,8;10;15;2,4;0,8;0,6667;1,4667;5,2
80;01/06/2023;15:00;NETHERLANDS;DERDE DIVISIE - RELEGATION - SEMI-FINALS;AWC;RKAVV Leidschendam;2;2;7,0;1;2;3,0;1,0;0,5;1,5;10,0
81;01/06/2023;15:00;NETHERLANDS;DERDE DIVISIE - RELEGATION - SEMI-FINALS;Be Quick 1887;Kampong;15;15;4,2;0;0;0;1,0;0;1,0;4,2
82;01/06/2023;15:00;NETHERLANDS;DERDE DIVISIE - RELEGATION - SEMI-FINALS;HBS;Watergraafsmeer;13;15;3,6;12;15;3,4;0,8667;0,8;1,6667;7,0
83;01/06/2023;15:00;NETHERLANDS;DERDE DIVISIE - RELEGATION - SEMI-FINALS;SV Juliana;Baronie;3;3;6,3333;14;15;3,6667;1,0;0,9333;1,9333;10,0
84;01/06/2023;12:30;NIGER;LIGUE 1 - ROUND 21;Akokana;ASFAN;10;15;1,8;9;15;2,1333;0,6667;0,6;1,2667;3,9333
85;01/06/2023;12:30;NIGER;LIGUE 1 - ROUND 21;Nigelec;Douanes Niamey;5;15;1,2;9;15;1,8667;0,3333;0,6;0,9333;3,0667
86;01/06/2023;12:30;NIGER;LIGUE 1 - ROUND 21;Urana;Sahel;6;15;1,0;6;15;1,3333;0,4;0,4;0,8;2,3333
87;01/06/2023;12:30;NIGER;LIGUE 1 - ROUND 21;US Gendarmerie;Police;11;15;2,2;8;15;1,6667;0,7333;0,5333;1,2666;3,8667
88;01/06/2023;12:00;NIGERIA;FEDERATION CUP - SEMI-FINALS;Bendel;Warri Wolves;9;15;1,7333;7;15;1,6667;0,6;0,4667;1,0667;3,4
89;01/06/2023;12:00;NIGERIA;FEDERATION CUP - SEMI-FINALS;Plateau United;Enugu Rangers;12;15;2,9333;11;15;2,1333;0,8;0,7333;1,5333;5,0666
90;01/06/2023;15:45;NORTHERN IRELAND;NIFL PREMIERSHIP - RELEGATION - FINAL;Dungannon;Annagh;13;15;2,8;12;15;2,5333;0,8667;0,8;1,6667;5,3333
91;01/06/2023;12:00;NORWAY;NM CUP - 1/32-FINALS;Sotra;Sandnes;14;15;3,1333;10;15;2,8667;0,9333;0,6667;1,6;6,0
92;01/06/2023;13:00;NORWAY;NM CUP - 1/32-FINALS;Arendal;Jerv;12;15;4,5333;13;15;2,7333;0,8;0,8667;1,6667;7,2666
93;01/06/2023;13:00;NORWAY;NM CUP - 1/32-FINALS;Baerum Sportsklubb;Skeid;15;15;4,2;13;15;3,5333;1,0;0,8667;1,8667;7,7333
94;01/06/2023;13:00;NORWAY;NM CUP - 1/32-FINALS;Brattvag;Hodd;12;15;3,0;11;15;2,4;0,8;0,7333;1,5333;5,4
95;01/06/2023;13:00;NORWAY;NM CUP - 1/32-FINALS;Byasen;Aalesund;11;15;3,8;10;15;2,4667;0,7333;0,6667;1,4;6,2667
96;01/06/2023;13:00;NORWAY;NM CUP - 1/32-FINALS;Fana;Asane;15;15;4,4667;11;15;2,8;1,0;0,7333;1,7333;7,2667
97;01/06/2023;13:00;NORWAY;NM CUP - 1/32-FINALS;Fjora;Brann;15;15;4,3333;14;15;3,1333;1,0;0,9333;1,9333;7,4666
98;01/06/2023;13:00;NORWAY;NM CUP - 1/32-FINALS;Frigg;Sarpsborg 08;14;15;5,6667;12;15;2,3333;0,9333;0,8;1,7333;8,0
99;01/06/2023;13:00;NORWAY;NM CUP - 1/32-FINALS;Gjellerasen;KFUM Oslo;13;15;4,1333;11;15;3,1333;0,8667;0,7333;1,6;7,2666
100;01/06/2023;13:00;NORWAY;NM CUP - 1/32-FINALS;Grorud;Raufoss;9;15;2,4;9;15;2,2;0,6;0,6;1,2;4,6
101;01/06/2023;13:00;NORWAY;NM CUP - 1/32-FINALS;Halsen;Start;12;15;4,0667;14;15;3,7333;0,8;0,9333;1,7333;7,8
102;01/06/2023;13:00;NORWAY;NM CUP - 1/32-FINALS;Junkeren;Bodo/Glimt;12;15;3,7333;14;15;3,8;0,8;0,9333;1,7333;7,5333
103;01/06/2023;13:00;NORWAY;NM CUP - 1/32-FINALS;Kjelsas;Stabaek;7;15;2,1333;12;15;2,8667;0,4667;0,8;1,2667;5,0
104;01/06/2023;13:00;NORWAY;NM CUP - 1/32-FINALS;Levanger;Kristiansund;12;15;3,2;12;15;2,8;0,8;0,8;1,6;6,0
105;01/06/2023;13:00;NORWAY;NM CUP - 1/32-FINALS;Lysekloster;Sogndal;12;15;3,6;11;15;2,6667;0,8;0,7333;1,5333;6,2667
106;01/06/2023;13:00;NORWAY;NM CUP - 1/32-FINALS;Melhus;Molde;15;15;3,6;13;15;3,4667;1,0;0,8667;1,8667;7,0667
107;01/06/2023;13:00;NORWAY;NM CUP - 1/32-FINALS;Mjolner;Ham-Kam;14;15;4,4;12;15;3,4667;0,9333;0,8;1,7333;7,8667
108;01/06/2023;13:00;NORWAY;NM CUP - 1/32-FINALS;Notodden;Odd;12;15;3,3333;9;15;2,3333;0,8;0,6;1,4;5,6666
109;01/06/2023;13:00;NORWAY;NM CUP - 1/32-FINALS;Orn;Fredrikstad;12;15;2,6667;6;15;1,3333;0,8;0,4;1,2;4,0
110;01/06/2023;13:00;NORWAY;NM CUP - 1/32-FINALS;SK Gjovik-Lyn;Kongsvinger;11;15;3,1333;13;15;3,1333;0,7333;0,8667;1,6;6,2666
111;01/06/2023;13:00;NORWAY;NM CUP - 1/32-FINALS;Skjervoy;Alta;12;15;3,4;13;15;3,8;0,8;0,8667;1,6667;7,2
112;01/06/2023;13:00;NORWAY;NM CUP - 1/32-FINALS;Stjordals Blink;Rosenborg;13;15;3,8;10;15;2,0667;0,8667;0,6667;1,5334;5,8667
113;01/06/2023;13:00;NORWAY;NM CUP - 1/32-FINALS;Stord;Haugesund;15;15;4,7333;11;15;2,6;1,0;0,7333;1,7333;7,3333
114;01/06/2023;13:00;NORWAY;NM CUP - 1/32-FINALS;Strindheim;Ranheim;15;15;4,8667;11;15;2,6667;1,0;0,7333;1,7333;7,5334
115;01/06/2023;13:00;NORWAY;NM CUP - 1/32-FINALS;Strommen;Mjondalen;12;15;3,0667;12;15;3,3333;0,8;0,8;1,6;6,4
116;01/06/2023;13:00;NORWAY;NM CUP - 1/32-FINALS;Tromsdalen;Tromso;12;15;3,1333;10;15;3,0667;0,8;0,6667;1,4667;6,2
117;01/06/2023;13:00;NORWAY;NM CUP - 1/32-FINALS;Ull/Kisa;Lillestrom;12;15;3,4;12;15;3,2;0,8;0,8;1,6;6,6
118;01/06/2023;13:00;NORWAY;NM CUP - 1/32-FINALS;V. Haugesund;Bryne;13;15;3,5333;12;15;2,7333;0,8667;0,8;1,6667;6,2666
119;01/06/2023;13:00;NORWAY;NM CUP - 1/32-FINALS;Vidar;Viking;15;15;4,2;13;15;3,8667;1,0;0,8667;1,8667;8,0667
120;01/06/2023;14:00;NORWAY;NM CUP - 1/32-FINALS;Kvik Halden;Moss;9;15;2,8;10;15;2,6;0,6;0,6667;1,2667;5,4
121;01/06/2023;14:00;NORWAY;NM CUP - 1/32-FINALS;Lyn;Valerenga;12;15;4,1333;11;15;2,9333;0,8;0,7333;1,5333;7,0666
122;01/06/2023;15:00;NORWAY;NM CUP - 1/32-FINALS;Eik-Tonsberg;Stromsgodset;13;15;3,6667;10;15;2,8667;0,8667;0,6667;1,5334;6,5334
123;01/06/2023;22:00;PERU;LIGA 1 - APERTURA - ROUND 18;Sporting Cristal;Cienciano;13;15;2,9333;10;15;2,7333;0,8667;0,6667;1,5334;5,6666
124;01/06/2023;15:00;PERU;LIGA 2 - ROUND 8;Ayacucho;U. San Martin;9;15;2,6;14;15;2,9333;0,6;0,9333;1,5333;5,5333
125;01/06/2023;14:30;ROMANIA;LIGA 1 - CONFERENCE LEAGUE - PLAY OFFS - FINAL;CFR Cluj;U Craiova 1948;12;15;2,6;7;15;2,2667;0,8;0,4667;1,2667;4,8667
