Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
1;27/08/2023;07:00;NORWAY;DIVISION 3 - GROUP 5 - ROUND 17;Kolstad;Bodo/Glimt 2;20;20;19;20;1,0;0,95;1,95;2,35;1,2757;2,55;1,8021;4,9
2;27/08/2023;06:00;GERMANY;JUNIOREN BUNDESLIGA SOUTH - ROUND 4;Hoffenheim U19;Munich 1860 U19;19;20;20;20;0,95;1,0;1,95;2,3;1,2689;1,7;0,9;4,0
3;27/08/2023;07:30;NORWAY;DIVISION 1 WOMEN - ROUND 15;Aalesund W;Klepp W;20;20;18;20;1,0;0,9;1,9;1,9;1,179;1,5;1,0724;3,4
4;27/08/2023;14:30;GERMANY;3. LIGA - ROUND 4;RW Essen;Preussen Munster;18;20;19;20;0,9;0,95;1,85;1,55;0,8646;2,15;1,1948;3,7
5;27/08/2023;12:00;CZECH REPUBLIC;JIHOCESKY KP - ROUND 4;Jankov;Drazice;19;20;18;20;0,95;0,9;1,85;1,85;1,1079;2,05;1,3219;3,9
6;27/08/2023;09:00;GERMANY;OBERLIGA SCHLESWIG-HOLSTEIN - ROUND 5;Todesfelde;VfR Neumunster;18;20;19;20;0,9;0,95;1,85;2,6;1,8547;2,15;1,1522;4,75
7;27/08/2023;08:00;NORWAY;DIVISION 1 WOMEN - ROUND 15;Kil/Hemne W;Grei W;18;20;19;20;0,9;0,95;1,85;1,55;0,9734;1,55;0,8646;3,1
8;27/08/2023;12:00;CZECH REPUBLIC;DIVISION 2 - ROUND 7;Varnsdorf;Taborsko;18;20;19;20;0,9;0,95;1,85;1,9;1,179;1,6;1,241;3,5
9;27/08/2023;10:00;GERMANY;OBERLIGA BREMEN - ROUND 3;Union 60 Bremen;Woltmershausen;20;20;17;20;1,0;0,85;1,85;1,85;1,0137;2,1;1,546;3,95
10;27/08/2023;09:30;SWITZERLAND;1.LIGA CLASSIC GROUP 2;Munsingen;Concordia;19;20;18;20;0,95;0,9;1,85;1,7;1,005;1,6;1,0677;3,3
11;27/08/2023;01:00;AUSTRALIA;AUSTRALIA CUP - 1/8-FINALS;Melbourne City;Wellington Phoenix;18;20;19;20;0,9;0,95;1,85;1,6;1,1136;1,5;0,6708;3,1
12;27/08/2023;12:00;CZECH REPUBLIC;KRALOVEHRADECKY KP - ROUND 4;Lazne Belohrad;Chlumec nad Cidlinou B;17;20;20;20;0,85;1,0;1,85;1,55;0,9734;2,3;1,005;3,85
13;27/08/2023;02:00;AUSTRALIA;NPL ACT - ROUND 20;Gungahlin;Canberra Croatia;19;20;18;20;0,95;0,9;1,85;1,85;1,0618;1,7;1,2288;3,55
14;27/08/2023;10:00;GERMANY;OBERLIGA NIEDERRHEIN - ROUND 3;SW Essen;Union Nettetal;19;20;17;20;0,95;0,85;1,8;2,0;1,2247;1,95;1,4992;3,95
15;27/08/2023;11:30;CZECH REPUBLIC;OLOMOUCKY KP - ROUND 4;Medlov;Litovel;19;20;17;20;0,95;0,85;1,8;1,35;0,6538;1,75;1,0897;3,1
16;27/08/2023;12:00;CZECH REPUBLIC;STREDOCESKY KP - ROUND 4;Pruhonice;Tuchlovice;19;20;17;20;0,95;0,85;1,8;1,9;1,044;1,75;1,1347;3,65
17;27/08/2023;12:30;NORWAY;DIVISION 2 - GROUP 2 - ROUND 17;Brann 2;Kvik Halden;20;20;16;20;1,0;0,8;1,8;2,2;0,7483;1,75;1,3739;3,95
18;27/08/2023;09:00;DENMARK;3RD DIVISION;Young Boys FD;Vanlose;18;20;18;20;0,9;0,9;1,8;1,6;1,0198;1,35;0,7921;2,95
19;27/08/2023;12:00;CZECH REPUBLIC;PRAZSKY PREBOR - ROUND 4;Motorlet Prague B;Kralovice;18;20;18;20;0,9;0,9;1,8;1,8;1,2083;2,35;1,2359;4,15
20;27/08/2023;09:00;ESTONIA;MEISTRILIIGA WOMEN - ROUND 15;Saku Sporting W;Flora W;16;20;20;20;0,8;1,0;1,8;2,0;1,7029;2,95;2,0851;4,95
21;27/08/2023;12:00;CZECH REPUBLIC;KARLOVARSKY KP - ROUND 2;Citice;Hroznetin;18;20;18;20;0,9;0,9;1,8;2,95;2,0118;2,25;1,337;5,2
22;27/08/2023;05:45;GERMANY;OBERLIGA HAMBURG - ROUND 5;HEBC Hamburg;TSV Buchholz 08;19;20;17;20;0,95;0,85;1,8;1,9;1,044;1,55;1,0235;3,45
23;27/08/2023;19:00;USA;MLS NEXT PRO;Cincinnati 2;New York City II;19;20;17;20;0,95;0,85;1,8;2,05;1,4309;2,1;1,3379;4,15
24;27/08/2023;08:00;GERMANY;OBERLIGA BREMEN - ROUND 3;Hemelingen;Leher;19;20;17;20;0,95;0,85;1,8;2,0;1,2247;1,75;1,1779;3,75
25;27/08/2023;10:00;CZECH REPUBLIC;DIVISION F - ROUND 4;Krnov;Jesenik;17;20;19;20;0,85;0,95;1,8;1,35;0,8529;1,75;1,0428;3,1
26;27/08/2023;11:00;SLOVAKIA;4. LIGA - EAST - ROUND 6;Lok. Kosice;Rudnany;18;20;18;20;0,9;0,9;1,8;1,9;1,2207;1,75;1,0428;3,65
27;27/08/2023;11:30;SLOVAKIA;3. LIGA - WEST - ROUND 4;Dubnica;Belusa;19;20;17;20;0,95;0,85;1,8;2,05;1,4992;1,7;1,1446;3,75
28;27/08/2023;06:00;AUSTRIA;WIEN - ROUND 2;Kagran;SV Donau;15;16;17;20;0,9375;0,85;1,7875;2,625;1,4948;1,8;1,1662;4,425
29;27/08/2023;10:00;NORWAY;DIVISION 3 - GROUP 6 - ROUND 17;Lorenskog;Sarpsborg 08 2;18;20;17;20;0,9;0,85;1,75;2,15;1,3519;2,0;1,1402;4,15
30;27/08/2023;11:00;NORWAY;DIVISION 3 - GROUP 5 - ROUND 17;Tiller;Steinkjer;15;20;20;20;0,75;1,0;1,75;1,45;1,1169;2,3;1,1874;3,75
31;27/08/2023;09:00;AUSTRIA;BUNDESLIGA WOMEN - ROUND 1;Wacker Innsbruck W;Altach/Vorderland W;19;20;16;20;0,95;0,8;1,75;2,75;2,2108;2,8;2,2935;5,55
32;27/08/2023;12:00;CZECH REPUBLIC;DIVISION C - ROUND 4;Hlinsko;Benatky n. Jiz.;18;20;17;20;0,9;0,85;1,75;1,55;1,0712;1,25;0,7665;2,8
33;27/08/2023;06:30;ROMANIA;LIGA 1 WOMEN - ROUND 1;Politehnica Timisoara W;Csikszereda M. Ciuc W;18;20;17;20;0,9;0,85;1,75;2,1;1,4107;1,8;1,9131;3,9
34;27/08/2023;11:30;CZECH REPUBLIC;DIVISION D - ROUND 4;Zdar na Sazavou;Lanzhot;19;20;16;20;0,95;0,8;1,75;2,3;0,9539;1,7;1,3077;4,0
35;27/08/2023;12:00;CZECH REPUBLIC;PARDUBICKY KP - ROUND 4;Horni Redice;Holice;17;20;18;20;0,85;0,9;1,75;1,65;1,4239;1,5;0,866;3,15
