Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;sdHome;avgAway;sdAway;avgSum;0x0;1x0;2x0;1x1;0x1;0x2;U25;O25
75;31/08/2023;11:00;UNITED ARAB EMIRATES;LEAGUE CUP;Al Wasl;Hatta;41;23;46;22;1,7826;0,9761;2,0909;1,5641;3,8735;2,08;3,71;3,3;7,75;4,35;4,54;25,73;73,44
76;31/08/2023;08:35;CHINA;FA CUP - QUARTER-FINALS;Beijing Guoan;Shandong Taishan;45;21;41;23;2,1429;1,612;1,7826;1,6407;3,9255;1,97;4,23;4,53;7,54;3,52;3,13;24,92;74,18
77;31/08/2023;15:00;EUROPE;EUROPA LEAGUE - QUALIFICATION - FINAL;Ajax;Ludogorets;49;21;32;20;2,3333;1,6997;1,6;1,1576;3,9333;1,96;4,57;5,33;7,31;3,13;2,51;24,81;74,07
78;31/08/2023;17:15;PERU;LIGA 2 - ROUND 22;Comerciantes Unidos;Alianza Huanuco;51;21;33;21;2,4286;1,0942;1,5714;0,7284;4,0;1,83;4,45;5,4;6,99;2,88;2,26;23,81;74,83
79;31/08/2023;14:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Twente;Fenerbahce;47;20;33;20;2,35;1,1079;1,65;1,1948;4,0;1,83;4,3;5,06;7,1;3,02;2,49;23,8;74,99
80;31/08/2023;10:00;KAZAKHSTAN;FIRST DIVISION - ROUND 22;Taraz;FK Kyran;44;23;44;21;1,913;1,9541;2,0952;1,411;4,0082;1,82;3,47;3,32;7,28;3,81;3,99;23,69;75,34
81;31/08/2023;14:00;GERMANY;REGIONALLIGA NORDOST - ROUND 6;Altglienicke;Erfurt;42;19;36;20;2,2105;1,3985;1,8;1,4697;4,0105;1,81;4,01;4,43;7,21;3,26;2,94;23,66;75,33
82;31/08/2023;15:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Fiorentina;Rapid Vienna;41;22;43;20;1,8636;1,5164;2,15;1,8514;4,0136;1,81;3,37;3,14;7,24;3,88;4,18;23,62;75,4
83;31/08/2023;15:30;EUROPE;EUROPA LEAGUE - QUALIFICATION - FINAL;Lugano;Royale Union SG;49;22;34;19;2,2273;1,475;1,7895;1,9889;4,0168;1,8;4,01;4,47;7,18;3,22;2,88;23,56;75,38
84;31/08/2023;16:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Legia;Midtjylland;68;26;30;21;2,6154;1,003;1,4286;1,178;4,044;1,75;4,59;5,99;6,55;2,5;1,79;23,17;74,99
