Nº;Date;Time;Country;League;Home;Away;jogosHome;totalHome;jogosAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
1;23/08/2023;18:30;EL SALVADOR;PRIMERA DIVISION - APERTURA - ROUND 3;11 Deportivo;Municipal Limeno;16;20;15;20;0,8;0,75;1,55;1,8;1,2884;1,95;1,3955;3,75
2;23/08/2023;13:00;TANZANIA;LIGI KUU BARA - ROUND 1;Young Africans;Kinondoni MC;14;20;16;20;0,7;0,8;1,5;2,45;1,5961;1,85;1,0137;4,3
3;23/08/2023;08:35;CHINA;SUPER LEAGUE WOMEN - ROUND 13;Sichuan W;Jiangsu Suning W;15;20;14;20;0,75;0,7;1,45;1,55;1,4309;2,1;1,4457;3,65
4;23/08/2023;12:30;TUNISIA;LIGUE PROFESSIONNELLE 1 - ROUND 1;Olympique Beja;Etoile Sahel;14;20;15;20;0,7;0,75;1,45;2,05;1,3955;1,75;1,337;3,8
5;23/08/2023;12:30;IRAN;PERSIAN GULF PRO LEAGUE - ROUND 3;Havadar SC;Aluminium Arak;13;20;16;20;0,65;0,8;1,45;2,2;1,8601;1,45;1,4992;3,65
6;23/08/2023;15:00;WORLD;CLUB FRIENDLY;Illescas (Esp);Toledo (Esp);15;20;14;20;0,75;0,7;1,45;2,0;1,5811;2,15;1,5898;4,15
7;23/08/2023;21:30;BRAZIL;SERIE B - ROUND 17;Botafogo SP;Chapecoense-SC;14;20;14;20;0,7;0,7;1,4;1,7;1,1;2,35;1,558;4,05
8;23/08/2023;15:30;WORLD;CLUB FRIENDLY;Xerez D.F.C. (Esp);Linense (Esp);12;20;16;20;0,6;0,8;1,4;1,95;1,3592;1,5;1,3601;3,45
9;23/08/2023;10:00;UKRAINE;UKRAINIAN CUP - 1/16-FINALS;Hirnyk-Sport;Metalist 1925;12;20;16;20;0,6;0,8;1,4;2,65;1,8241;1,6;0,9695;4,25
10;23/08/2023;14:30;IRAN;PERSIAN GULF PRO LEAGUE - ROUND 3;Sanat Naft;Paykan;11;20;17;20;0,55;0,85;1,4;2,2;1,4;1,45;1,244;3,65
11;23/08/2023;13:00;IRAN;PERSIAN GULF PRO LEAGUE - ROUND 3;Malavan;Foolad;12;20;16;20;0,6;0,8;1,4;2,3;1,3454;1,7;1,1;4,0
12;23/08/2023;14:30;WORLD;CLUB FRIENDLY;Torrellano (Esp);Hercules (Esp);9;20;18;20;0,45;0,9;1,35;2,45;1,5644;1,35;0,9097;3,8
13;23/08/2023;11:30;DR CONGO;LIGUE 1 - ROUND 2;Aigles du Congo;Maniema;14;20;13;20;0,7;0,65;1,35;1,8;1,077;1,95;0,9206;3,75
14;23/08/2023;14:00;WORLD;CLUB FRIENDLY;Gijon B (Esp);Real Aviles (Esp);12;20;15;20;0,6;0,75;1,35;2,55;1,4992;1,9;1,044;4,45
15;23/08/2023;20:30;BRAZIL;CAMPEONATO CATARINENSE 2 - PLAY OFFS - FINAL;Inter de Lages;Nacao;16;20;11;20;0,8;0,55;1,35;1,8;1,6;2,7;1,6155;4,5
16;23/08/2023;21:30;SOUTH AMERICA;COPA LIBERTADORES - PLAY OFFS - QUARTER-FINALS;Pereira (Col);Palmeiras (Bra);15;20;12;20;0,75;0,6;1,35;1,6;1,1576;2,35;1,6515;3,95
17;23/08/2023;19:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 2;Lanus 2;Newells Old Boys 2;11;20;16;20;0,55;0,8;1,35;2,15;1,1079;1,55;1,2835;3,7
18;23/08/2023;15:00;WORLD;CLUB FRIENDLY;Salamanca (Esp);Guijuelo (Esp);12;20;15;20;0,6;0,75;1,35;2,2;1,1662;1,95;1,6271;4,15
19;23/08/2023;17:00;ECUADOR;SERIE B - ROUND 26;Vargas Torres;Imbabura;16;20;11;20;0,8;0,55;1,35;1,35;1,1079;2,75;2,0463;4,1
20;23/08/2023;14:00;ARGENTINA;COPA ARGENTINA - 1/8-FINALS;Villa Mitre;Chaco For Ever;13;20;14;20;0,65;0,7;1,35;2,2;1,5684;1,75;1,0897;3,95
21;23/08/2023;22:00;EL SALVADOR;PRIMERA DIVISION - APERTURA - ROUND 3;Alianza FC;Luis Angel Firpo;13;20;14;20;0,65;0,7;1,35;2,4;2,1071;2,0;1,5166;4,4
22;23/08/2023;14:30;SOUTH AFRICA;PREMIER LEAGUE - ROUND 4;Cape Town City;Sekhukhune;13;20;14;20;0,65;0,7;1,35;2,0;1,3416;2,2;1,3638;4,2
23;23/08/2023;22:30;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 7;Junior;America De Cali;16;20;10;20;0,8;0,5;1,3;1,85;1,7965;2,85;1,7965;4,7
24;23/08/2023;15:00;WORLD;CLUB FRIENDLY;Caravaca (Esp);Aguilas FC (Esp);12;20;14;20;0,6;0,7;1,3;2,45;1,6875;2,05;1,4654;4,5
25;23/08/2023;08:00;RUSSIA;RUSSIAN CUP - REGIONS PATH - 1/16-FINALS;Chertanovo M.;Kirov;11;20;14;20;0,55;0,7;1,25;2,7;1,9261;2,35;1,1079;5,05
26;23/08/2023;11:00;UKRAINE;UKRAINIAN CUP - 1/16-FINALS;Viktoria;LNZ Cherkasy;14;20;11;20;0,7;0,55;1,25;2,0;1,1832;2,55;1,4654;4,55
27;23/08/2023;08:35;CHINA;SUPER LEAGUE WOMEN - ROUND 13;Zhejiang W;Henan Songshan Longmen W;13;20;12;20;0,65;0,6;1,25;1,95;1,3219;2,5;2,2023;4,45
28;23/08/2023;08:00;UKRAINE;UKRAINIAN CUP - 1/16-FINALS;FSC Mariupol;Kolos Kovalivka;12;20;13;20;0,6;0,65;1,25;2,5;1,9365;2,3;1,5524;4,8
29;23/08/2023;19:00;SOUTH AMERICA;COPA SUDAMERICANA - PLAY OFFS - QUARTER-FINALS;Botafogo RJ (Bra);Defensa y Justicia (Arg);16;20;9;20;0,8;0,45;1,25;1,85;1,3519;2,65;1,3883;4,5
30;23/08/2023;21:00;ECUADOR;SERIE B - ROUND 26;Chacaritas;Macara;12;20;13;20;0,6;0,65;1,25;2,4;1,7436;2,35;1,1079;4,75
31;23/08/2023;20:15;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 7;Santa Fe;Envigado;11;20;14;20;0,55;0,7;1,25;2,55;1,1608;1,75;1,26;4,3
32;23/08/2023;12:00;SOUTH AFRICA;PREMIER LEAGUE - ROUND 4;Richards Bay;Mamelodi Sundowns;15;20;10;20;0,75;0,5;1,25;2,1;1,3379;2,4;1,5297;4,5
33;23/08/2023;13:00;WORLD;CLUB FRIENDLY;Portugalete (Esp);Ath Bilbao B (Esp);13;20;12;20;0,65;0,6;1,25;1,75;1,2196;2,35;1,7685;4,1
