Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum
1;01/06/2023;15:45;GERMANY;BUNDESLIGA - RELEGATION - FINAL;Stuttgart;Hamburger SV;21;30;1,1333;27;30;1,7667;0,7;0,9;1,6
2;01/06/2023;13:45;NETHERLANDS;EREDIVISIE - CONFERENCE LEAGUE - PLAY OFFS - SEMI-FINALS;Heerenveen;Twente;22;30;1,4;22;30;1,2667;0,7333;0,7333;1,4666
3;01/06/2023;16:00;NETHERLANDS;EREDIVISIE - CONFERENCE LEAGUE - PLAY OFFS - SEMI-FINALS;Utrecht;Sparta Rotterdam;22;30;1,2667;21;30;1,2667;0,7333;0,7;1,4333
4;01/06/2023;14:30;WORLD;WORLD CUP U20 - PLAY OFFS - 1/8-FINALS;Gambia U20;Uruguay U20;21;30;1,0667;21;30;1,5333;0,7;0,7;1,4
5;01/06/2023;18:00;WORLD;WORLD CUP U20 - PLAY OFFS - 1/8-FINALS;Ecuador U20;South Korea U20;26;30;1,6333;21;30;1,1667;0,8667;0,7;1,5667
6;01/06/2023;14:00;ALBANIA;ALBANIAN CUP - FINAL;KF Tirana;Egnatia;18;30;1,0667;16;30;0,8333;0,6;0,5333;1,1333
7;01/06/2023;20:00;ARGENTINA;LIGA PROFESIONAL - ROUND 19;Sarmiento Junin;Newells Old Boys;16;30;0,8;18;30;0,8667;0,5333;0,6;1,1333
8;01/06/2023;21:30;ARGENTINA;LIGA PROFESIONAL - ROUND 19;Arsenal Sarandi;Boca Juniors;21;30;1,0667;18;30;0,9333;0,7;0,6;1,3
9;01/06/2023;11:00;ARGENTINA;RESERVE LEAGUE - FIRST STAGE - ROUND 19;Atl. Tucuman 2;Lanus 2;23;30;1,2667;24;30;1,0667;0,7667;0,8;1,5667
10;01/06/2023;11:00;ARGENTINA;RESERVE LEAGUE - FIRST STAGE - ROUND 19;Banfield 2;Racing Club 2;21;30;1,1667;20;30;1,0667;0,7;0,6667;1,3667
11;01/06/2023;11:00;ARGENTINA;RESERVE LEAGUE - FIRST STAGE - ROUND 19;Independiente 2;Godoy Cruz 2;22;30;1,3;19;30;1,3667;0,7333;0,6333;1,3666
12;01/06/2023;11:00;ARGENTINA;RESERVE LEAGUE - FIRST STAGE - ROUND 19;Instituto 2;Rosario Central 2;9;18;0,8889;22;30;1,6;0,5;0,7333;1,2333
13;01/06/2023;15:10;ARGENTINA;PRIMERA A WOMEN - APERTURA - ROUND 15;San Lorenzo W;Social Atletico Television W;22;30;1,4333;23;30;1,7333;0,7333;0,7667;1,5
14;01/06/2023;11:00;ARMENIA;PREMIER LEAGUE - ROUND 35;Ararat-Armenia;Lernayin Artsakh;21;30;1,3;20;30;1,1667;0,7;0,6667;1,3667
15;01/06/2023;12:00;BELARUS;BELARUSIAN CUP - 1/32-FINALS;Leskhoz;Zhodino Yuzhnoe;0;0;0;0;0;0;0;0;0
16;01/06/2023;17:00;BRAZIL;SERIE D - ROUND 5;Campinense;Nacional de Patos;21;30;1,0333;17;30;0,9;0,7;0,5667;1,2667
17;01/06/2023;20:00;BRAZIL;CAMPEONATO AMAPAENSE - ROUND 4;Independente AP;Oratorio;19;21;1,6667;11;11;1,5455;0,9048;1,0;1,9048
18;01/06/2023;19:30;BRAZIL;CAMPEONATO MINEIRO 2 - ROUND 8;Uberlandia;Tupynambas;16;30;0,7667;17;30;0,9;0,5333;0,5667;1,1
19;01/06/2023;19:30;BRAZIL;COPA DO BRASIL - 1/8-FINALS;Sao Paulo;Sport Recife;18;30;0,8667;25;30;1,3333;0,6;0,8333;1,4333
20;01/06/2023;20:00;BRAZIL;COPA DO BRASIL - 1/8-FINALS;Flamengo RJ;Fluminense;21;30;1,3667;21;30;1,1667;0,7;0,7;1,4
21;01/06/2023;11:30;BULGARIA;PARVA LIGA - CONFERENCE LEAGUE GROUP - ROUND 35;Lok. Sofia;Botev Plovdiv;21;30;1,2333;20;30;1,3333;0,7;0,6667;1,3667
22;01/06/2023;14:00;BULGARIA;PARVA LIGA - CONFERENCE LEAGUE GROUP - ROUND 35;Arda;Slavia Sofia;20;30;0,9667;19;30;0,9;0,6667;0,6333;1,3
23;01/06/2023;21:00;CHILE;PRIMERA B - ROUND 15;San Marcos de Arica;Barnechea;20;30;1,1;17;30;0,9667;0,6667;0,5667;1,2334
24;01/06/2023;20:15;COLOMBIA;PRIMERA A - APERTURA - QUADRANGULAR - ROUND 3;Dep. Pasto;Petrolera;13;30;0,6333;22;30;1,4333;0,4333;0,7333;1,1666
25;01/06/2023;22:30;COLOMBIA;PRIMERA A - APERTURA - QUADRANGULAR - ROUND 3;Atl. Nacional;Aguilas;21;30;1,0667;20;30;1,4;0,7;0,6667;1,3667
26;01/06/2023;18:00;COLOMBIA;PRIMERA B - APERTURA - QUADRANGULAR - ROUND 4;Patriotas;Cucuta;12;30;0,7;15;30;0,9;0,4;0,5;0,9
27;01/06/2023;18:00;COLOMBIA;PRIMERA B - APERTURA - QUADRANGULAR - ROUND 4;Valledupar;Cortulua;19;30;1,0333;23;30;1,2;0,6333;0,7667;1,4
