Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
170;08/08/2023;13:00;CZECH REPUBLIC;MOL CUP - 1/64-FINALS;Lanzhot;Start Brno;12;30;5;30;0,4;0,1667;0,5667;3,0333;1,6829;4,1;1,8682;7,1333
171;08/08/2023;15:00;WORLD;CLUB FRIENDLY;Katwijk (Ned);TOGB (Ned);8;30;9;30;0,2667;0,3;0,5667;3,3667;1,7792;3,7;1,9175;7,0667
172;08/08/2023;14:00;GERMANY;REGIONALLIGA SUDWEST - ROUND 1;FSV Frankfurt;Schott Mainz;9;30;8;30;0,3;0,2667;0,5667;3,3;1,3699;4,0667;2,1281;7,3667
173;08/08/2023;12:30;POLAND;III LIGA - GROUP III - ROUND 1;Unia Turza Slaska;Gornik Zabrze 2;10;30;7;30;0,3333;0,2333;0,5666;3,6;1,6653;3,9;1,7954;7,5
174;08/08/2023;12:30;FINLAND;KANSALLINEN LIIGA WOMEN;HJK W;KuPS W;10;30;7;30;0,3333;0,2333;0,5666;3,3333;1,6193;4,3;2,5968;7,6333
175;08/08/2023;13:00;DENMARK;LANDSPOKAL CUP - 1/64-FINALS;Dalum IF;OKS Odense;7;30;7;23;0,2333;0,3043;0,5376;3,9;1,8682;3,1304;1,3927;7,0304
176;08/08/2023;06:00;WORLD;FRIENDLY INTERNATIONAL;Finland U17;Denmark U17;11;30;5;30;0,3667;0,1667;0,5334;3,4667;2,1868;4,3;2,0355;7,7667
177;08/08/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/128-FINALS;SK Bela;MSK Martin;3;15;10;30;0,2;0,3333;0,5333;4,5333;2,655;3,1667;1,7143;7,7
178;08/08/2023;13:00;DENMARK;LANDSPOKAL CUP - 1/64-FINALS;Kolding BK;Varde;6;30;10;30;0,2;0,3333;0,5333;4,3333;2,1499;3,6333;2,1211;7,9666
179;08/08/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 2;SC Weiz;Wolfsberger AC (Am);6;30;9;30;0,2;0,3;0,5;3,6;1,4048;3,6667;1,7385;7,2667
180;08/08/2023;12:30;FINLAND;KANSALLINEN LIIGA WOMEN;Aland Utd W;PK-35 Helsinki W;7;30;8;30;0,2333;0,2667;0,5;3,7333;1,4126;3,5;1,8028;7,2333
181;08/08/2023;05:30;AUSTRALIA;NPL ACT - ROUND 17;Canberra Croatia;Tigers FC;8;30;6;30;0,2667;0,2;0,4667;4,0667;2,0483;4,2333;2,2313;8,3
182;08/08/2023;15:30;WALES;CYMRU SOUTH - ROUND 2;Briton Ferry;Trefelin;9;30;5;30;0,3;0,1667;0,4667;3,5667;1,8382;3,8333;1,2931;7,4
183;08/08/2023;16:15;ICELAND;BESTA DEILD KARLA - ROUND 18;Fram;Fylkir;7;30;7;30;0,2333;0,2333;0,4666;3,8;2,0067;3,6667;1,7385;7,4667
184;08/08/2023;16:15;ICELAND;BESTA DEILD KARLA - ROUND 18;Hafnarfjordur;Vikingur Reykjavik;4;30;10;30;0,1333;0,3333;0,4666;4,1333;1,5217;3,3;1,6961;7,4333
185;08/08/2023;13:00;DENMARK;LANDSPOKAL CUP - 1/64-FINALS;Norresundby;Aarhus Fremad;1;16;12;30;0,0625;0,4;0,4625;4,5625;1,619;3,0;1,5275;7,5625
186;08/08/2023;15:30;WALES;CYMRU NORTH - ROUND 2;Buckley;Airbus;7;30;5;30;0,2333;0,1667;0,4;3,9667;1,7026;3,7667;1,667;7,7334
187;08/08/2023;14:00;DENMARK;LANDSPOKAL CUP - 1/64-FINALS;Ringkobing;Kjellerup;5;30;4;30;0,1667;0,1333;0,3;4,0333;1,7792;4,4333;2,0926;8,4666
