Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum;Times
431;21/05/2023;15:00;SPAIN;SEGUNDA RFEF - PROMOTION PLAY OFFS - SEMI-FINALS;Cacereno;Valencia B;21;43;0,7674;29;43;1,0;0,4884;0,6744;1,1628;0,3294
432;21/05/2023;06:30;SPAIN;SEGUNDA RFEF - PLAY OUT - FINAL;Zaragoza B;CD Coria;29;42;0,9524;28;43;0,8837;0,6905;0,6512;1,3417;0,4497
433;21/05/2023;12:00;SPAIN;SEGUNDA RFEF - PLAY OUT - FINAL;Beasain;Ourense CF;30;43;1,1395;28;43;1,0698;0,6977;0,6512;1,3489;0,4543
434;21/05/2023;07:00;SPAIN;LIGA F WOMEN - ROUND 30;Madrid C. W;Barcelona W;35;43;1,4651;34;42;1,8095;0,814;0,8095;1,6235;0,6589
435;21/05/2023;11:00;SPAIN;LIGA F WOMEN - ROUND 30;Levante W;Betis W;34;43;1,6047;29;43;1,0465;0,7907;0,6744;1,4651;0,5332
436;21/05/2023;10:00;SWEDEN;ALLSVENSKAN - ROUND 9;Brommapojkarna;Varberg;37;43;1,6512;33;43;1,3023;0,8605;0,7674;1,6279;0,6603
437;21/05/2023;10:00;SWEDEN;ALLSVENSKAN - ROUND 9;Djurgarden;Mjallby;37;43;1,3953;29;43;1,0;0,8605;0,6744;1,5349;0,5803
438;21/05/2023;10:00;SWEDEN;ALLSVENSKAN - ROUND 9;Malmo FF;Hacken;27;43;1,2791;38;42;1,6667;0,6279;0,9048;1,5327;0,5681
439;21/05/2023;12:30;SWEDEN;ALLSVENSKAN - ROUND 9;Goteborg;Hammarby;34;43;1,4651;31;43;1,3953;0,7907;0,7209;1,5116;0,57
440;21/05/2023;12:30;SWEDEN;ALLSVENSKAN - ROUND 9;Sirius;Halmstad;29;43;1,3023;32;43;1,0233;0,6744;0,7442;1,4186;0,5019
441;21/05/2023;08:00;SWEDEN;SUPERETTAN - ROUND 8;AFC Eskilstuna;Ostersund;30;43;1,1628;27;43;1,0233;0,6977;0,6279;1,3256;0,4381
442;21/05/2023;10:00;SWEDEN;SUPERETTAN - ROUND 8;Helsingborg;Utsikten;32;43;1,093;31;41;1,3415;0,7442;0,7561;1,5003;0,5627
443;21/05/2023;08:00;SWEDEN;ALLSVENSKAN WOMEN - ROUND 9;Kalmar W;Pitea W;34;42;1,8095;30;42;1,1429;0,8095;0,7143;1,5238;0,5782
444;21/05/2023;08:00;SWEDEN;ALLSVENSKAN WOMEN - ROUND 9;Norrkoping W;Vittsjo W;31;43;1,3721;30;43;1,0698;0,7209;0,6977;1,4186;0,503
445;21/05/2023;10:00;SWEDEN;ALLSVENSKAN WOMEN - ROUND 9;Orebro W;Uppsala W;29;41;1,6098;37;43;1,7907;0,7073;0,8605;1,5678;0,6086
446;21/05/2023;10:00;SWEDEN;ALLSVENSKAN WOMEN - ROUND 9;Vaxjo DFF W;IF Brommapojkarna W;32;41;1,5854;37;43;1,5349;0,7805;0,8605;1,641;0,6716
447;21/05/2023;09:15;SWITZERLAND;SUPER LEAGUE - ROUND 34;Sion;Young Boys;32;43;1,3488;31;42;1,5476;0,7442;0,7381;1,4823;0,5493
448;21/05/2023;11:30;SWITZERLAND;SUPER LEAGUE - ROUND 34;Basel;Lugano;31;41;1,3415;31;42;1,3571;0,7561;0,7381;1,4942;0,5581
449;21/05/2023;11:30;SWITZERLAND;SUPER LEAGUE - ROUND 34;Zurich;Grasshoppers;31;42;1,4048;33;43;1,4651;0,7381;0,7674;1,5055;0,5664
450;21/05/2023;09:00;SWITZERLAND;SUPER LEAGUE WOMEN - PLACEMENT PLAY OFFS - FINAL;Luzern W;Basel W;39;43;1,7674;34;43;1,5349;0,907;0,7907;1,6977;0,7172
451;21/05/2023;05:00;TAIWAN;PREMIER LEAGUE - ROUND 9;AC Taipei;Taiwan Steel;20;25;1,8;32;43;1,5349;0,8;0,7442;1,5442;0,5954
452;21/05/2023;05:00;TAIWAN;PREMIER LEAGUE - ROUND 9;Taichung;Taipower;29;43;1,0698;32;43;1,1395;0,6744;0,7442;1,4186;0,5019
453;21/05/2023;05:00;TAIWAN;PREMIER LEAGUE - ROUND 9;Taipei Deva Dragons;Hang Yuen;27;43;1,1628;28;43;1,2326;0,6279;0,6512;1,2791;0,4089
454;21/05/2023;07:00;TAIWAN;PREMIER LEAGUE - ROUND 9;Ming Chuan University;Taiwan Shihu;33;43;1,2791;29;43;1,2093;0,7674;0,6744;1,4418;0,5175
455;21/05/2023;12:00;TOGO;CHAMPIONNAT NATIONAL - ROUND 27;Dynamic Togolais;OTR;9;21;0,619;11;22;1,0;0,4286;0,5;0,9286;0,2143
456;21/05/2023;12:00;TOGO;CHAMPIONNAT NATIONAL - ROUND 27;Espoir;Anges de Notse;5;19;0,3684;9;20;1,05;0,2632;0,45;0,7132;0,1184
457;21/05/2023;12:00;TOGO;CHAMPIONNAT NATIONAL - ROUND 27;Gomido;Sara Sport;11;21;0,9048;10;23;0,7826;0,5238;0,4348;0,9586;0,2277
458;21/05/2023;12:00;TOGO;CHAMPIONNAT NATIONAL - ROUND 27;Kara;Gbohloe-Su;23;34;1,0882;11;17;0,8824;0,6765;0,6471;1,3236;0,4378
459;21/05/2023;12:00;TOGO;CHAMPIONNAT NATIONAL - ROUND 27;Semassi;AS Togo-Port;8;20;0,7;10;21;0,7619;0,4;0,4762;0,8762;0,1905
460;21/05/2023;12:00;TOGO;CHAMPIONNAT NATIONAL - ROUND 27;Tambo;Entente II;6;12;0,75;9;21;0,7143;0,5;0,4286;0,9286;0,2143
461;21/05/2023;17:00;TRINIDAD AND TOBAGO;TT PREMIER LEAGUE - ROUND 16;W Connection;Sando;19;30;1,0;18;27;1,3333;0,6333;0,6667;1,3;0,4222
462;21/05/2023;19:15;TRINIDAD AND TOBAGO;TT PREMIER LEAGUE - ROUND 16;Point Fortin;San Juan Jabloteh;19;26;1,4231;21;30;1,8667;0,7308;0,7;1,4308;0,5116
463;21/05/2023;12:00;TUNISIA;LIGUE PROFESSIONNELLE 1 - RELEGATION GROUP - ROUND 9;Bizertin;Soliman;24;43;0,814;20;43;0,6512;0,5581;0,4651;1,0232;0,2596
464;21/05/2023;12:00;TUNISIA;LIGUE PROFESSIONNELLE 1 - RELEGATION GROUP - ROUND 9;Sidi Bouzid;Metlaoui;22;43;0,7674;25;43;0,9302;0,5116;0,5814;1,093;0,2974
465;21/05/2023;12:00;TUNISIA;LIGUE PROFESSIONNELLE 1 - RELEGATION GROUP - ROUND 9;Stade Tunisien;Hamam-Sousse;26;42;1,0952;18;42;0,7143;0,619;0,4286;1,0476;0,2653
466;21/05/2023;12:00;TUNISIA;LIGUE PROFESSIONNELLE 1 - CHAMPIONSHIP GROUP - ROUND 7;Ben Guerdane;Club Africain;25;42;0,8095;24;43;0,7442;0,5952;0,5581;1,1533;0,3322
467;21/05/2023;12:00;TUNISIA;LIGUE 2 - ROUND 21;AS Mohamdia;Rades;20;41;0,7561;20;41;0,7561;0,4878;0,4878;0,9756;0,2379
468;21/05/2023;12:00;TUNISIA;LIGUE 2 - ROUND 21;Bembla;Espoir Rogba;22;37;0,973;12;21;0,8095;0,5946;0,5714;1,166;0,3398
469;21/05/2023;12:00;TUNISIA;LIGUE 2 - ROUND 21;ES Djerba;Korba;22;40;0,7;22;41;0,8537;0,55;0,5366;1,0866;0,2951
470;21/05/2023;12:00;TUNISIA;LIGUE 2 - ROUND 21;Gabes;CO Medenine;24;41;0,878;20;42;0,7619;0,5854;0,4762;1,0616;0,2788
471;21/05/2023;12:00;TUNISIA;LIGUE 2 - ROUND 21;JS Kairouan;Jendouba Sport;23;43;0,9535;24;43;0,8372;0,5349;0,5581;1,093;0,2985
