Nº;ID;Date;Time;Country;League;Home;Away;jogosHome;totalHome;jogosAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
1;lASaCUR2;16/10/2023;22:15;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 17;Bucaramanga;Chico;14;20;14;20;0,7;0,7;1,4;1,9;1,1358;2,05;1,3592;3,95
2;IR5vXiZf;16/10/2023;22:06;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 15;Club Leon W;Toluca W;9;20;7;20;0,45;0,35;0,8;3,0;1,6733;3,3;1,4177;6,3
3;z3GZXXJl;16/10/2023;22:00;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 15;Monterrey W;Mazatlan FC W;8;20;6;20;0,4;0,3;0,7;3,2;1,99;3,8;1,7776;7,0
