Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
1;19/09/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 7;Sarmiento Junin 2;Barracas Central 2;20;20;18;20;1,0;0,9;1,9;1,65;1,0137;1,35;0,7921;3,0
2;19/09/2023;15:30;WALES;LEAGUE CUP - 1/8-FINALS;Swansea U21;Cardiff U21;20;20;18;20;1,0;0,9;1,9;2,6;1,241;2,1;1,179;4,7
3;19/09/2023;15:45;ENGLAND;FA CUP - QUALIFICATION - QUARTER-FINALS;Atherton;Ashton Utd;18;20;18;20;0,9;0,9;1,8;1,65;1,2359;1,75;1,0428;3,4
4;19/09/2023;07:00;ASIA;AFC CUP - ROUND 1;Maziya;Bashundara Kings;19;20;17;20;0,95;0,85;1,8;2,25;1,4098;1,55;1,1608;3,8
5;19/09/2023;15:45;ENGLAND;SOUTHERN LEAGUE SOUTH DIVISION - ROUND 1;Winchester;Walton & Hersham;19;20;17;20;0,95;0,85;1,8;1,55;0,9206;1,85;1,2757;3,4
6;19/09/2023;12:15;GERMANY;OBERLIGA BAYERN SÜD - ROUND 14;Pipinsried;Gundelfingen;17;20;18;20;0,85;0,9;1,75;1,45;0,8646;1,25;0,6225;2,7
7;19/09/2023;11:00;EUROPE;UEFA YOUTH LEAGUE - GROUP STAGE - ROUND 1;Paris SG U19;Dortmund U19;19;20;16;20;0,95;0,8;1,75;1,8;1,249;1,35;0,9631;3,15
8;19/09/2023;11:30;CZECH REPUBLIC;U19 LEAGUE - ROUND 6;Sparta Prague U19;Dukla Prague U19;18;20;17;20;0,9;0,85;1,75;1,8;1,2884;1,5;1,0724;3,3
9;19/09/2023;15:45;ENGLAND;FA CUP - QUALIFICATION - QUARTER-FINALS;Frome;Plymouth Parkway;19;20;16;20;0,95;0,8;1,75;1,85;1,1079;1,2;0,8124;3,05
10;19/09/2023;15:00;NETHERLANDS;KNVB BEKER - 1/64-FINALS;Eemdijk;Harkemase Boys;18;20;17;20;0,9;0,85;1,75;1,4;0,7348;1,15;0,7263;2,55
11;19/09/2023;09:30;EUROPE;UEFA YOUTH LEAGUE - GROUP STAGE - ROUND 1;Young Boys U19;RB Leipzig U19;18;19;16;20;0,9474;0,8;1,7474;1,7368;0,9648;1,6;1,3928;3,3368
12;19/09/2023;13:00;ASIA;AFC CHAMPIONS LEAGUE - ROUND 1;Istiqlol Dushanbe;Al-Duhail;16;20;18;20;0,8;0,9;1,7;1,25;0,8874;1,7;1,005;2,95
13;19/09/2023;15:30;WALES;LEAGUE CUP - 1/8-FINALS;Buckley;Gresford;17;20;17;20;0,85;0,85;1,7;1,75;1,0897;1,35;1,0137;3,1
14;19/09/2023;09:00;ASIA;AFC CHAMPIONS LEAGUE - ROUND 1;Kaya;Shandong Taishan;20;20;14;20;1,0;0,7;1,7;2,55;1,244;1,45;1,244;4,0
15;19/09/2023;15:45;ENGLAND;FA CUP - QUALIFICATION - QUARTER-FINALS;Taunton;Merthyr Town;17;20;17;20;0,85;0,85;1,7;1,5;0,9747;1,8;1,2083;3,3
16;19/09/2023;15:30;ENGLAND;EFL TROPHY;Colchester;Tottenham U21;16;20;18;20;0,8;0,9;1,7;1,45;1,2031;1,7;1,0536;3,15
17;19/09/2023;13:00;WORLD;FRIENDLY INTERNATIONAL;Poland U16;Switzerland U16;17;20;16;19;0,85;0,8421;1,6921;1,2;0,8124;1,4737;1,0447;2,6737
18;19/09/2023;14:00;GERMANY;REGIONALLIGA BAYERN - ROUND 4;Augsburg II;Bayreuth;16;20;17;20;0,8;0,85;1,65;1,65;1,3883;1,55;1,3219;3,2
19;19/09/2023;10:00;EUROPE;UEFA YOUTH LEAGUE - GROUP STAGE - ROUND 1;Feyenoord U19;Celtic U19;12;15;17;20;0,8;0,85;1,65;1,6;1,2543;1,9;1,2207;3,5
20;19/09/2023;09:00;EUROPE;UEFA YOUTH LEAGUE - GROUP STAGE - ROUND 1;Lazio U19;Atl. Madrid U19;17;20;16;20;0,85;0,8;1,65;1,8;1,2884;1,15;0,9631;2,95
21;19/09/2023;12:35;SAUDI ARABIA;DIVISION 1 - ROUND 6;Al Batin;Ohod;17;20;16;20;0,85;0,8;1,65;1,65;1,1948;1,3;0,9539;2,95
22;19/09/2023;15:00;ENGLAND;PREMIER LEAGUE CUP;Norwich U21;Wolves U21;18;20;15;20;0,9;0,75;1,65;2,0;1,2649;1,8;1,4;3,8
23;19/09/2023;15:45;ENGLAND;NATIONAL LEAGUE - ROUND 10;Altrincham;Hartlepool;16;20;17;20;0,8;0,85;1,65;1,45;1,2031;1,55;1,0712;3,0
24;19/09/2023;15:45;WALES;LEAGUE CUP - 1/8-FINALS;Prestatyn;Colwyn Bay;17;20;16;20;0,85;0,8;1,65;1,9;1,8682;1,55;1,1608;3,45
25;19/09/2023;15:00;ENGLAND;EFL TROPHY;Leyton Orient;Fulham U21;16;20;17;20;0,8;0,85;1,65;1,4;0,9165;2,0;1,3416;3,4
26;19/09/2023;13:00;WORLD;FRIENDLY INTERNATIONAL;Spain U16;Italy U16;12;16;18;20;0,75;0,9;1,65;1,5625;1,3679;1,7;1,1446;3,2625
27;19/09/2023;15:00;PERU;LIGA 2 - ROUND 25;Carlos Stein;Llacuabamba;17;20;15;20;0,85;0,75;1,6;1,8;1,1662;1,25;1,0428;3,05
28;19/09/2023;15:45;ENGLAND;EFL TROPHY;Sutton;Aston Villa U21;15;20;17;20;0,75;0,85;1,6;1,4;1,3191;2,3;1,7916;3,7
29;19/09/2023;13:30;ITALY;SERIE C - GROUP B - ROUND 4;Arezzo;Olbia;17;20;15;20;0,85;0,75;1,6;1,65;1,2359;1,15;0,9097;2,8
30;19/09/2023;15:00;ENGLAND;EFL TROPHY;Oxford Utd;MK Dons;17;20;15;20;0,85;0,75;1,6;1,3;0,8426;1,35;1,0618;2,65
31;19/09/2023;12:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 7;Wolfsberger AC;Vorwarts Steyr;16;20;16;20;0,8;0,8;1,6;1,7;1,3454;1,05;0,7399;2,75
32;19/09/2023;15:00;PERU;LIGA 1 - CLAUSURA - ROUND 14;Alianza Atl.;Binacional;15;20;17;20;0,75;0,85;1,6;1,6;1,3565;1,75;1,0428;3,35
33;19/09/2023;13:45;EUROPE;CHAMPIONS LEAGUE - GROUP STAGE - ROUND 1;AC Milan;Newcastle;15;20;17;20;0,75;0,85;1,6;1,8;1,3638;1,55;1,244;3,35
34;19/09/2023;15:45;ENGLAND;FA CUP - QUALIFICATION - QUARTER-FINALS;Folkestone;Margate;15;20;17;20;0,75;0,85;1,6;1,3;1,1446;1,4;0,9695;2,7
35;19/09/2023;15:45;ENGLAND;FA CUP - QUALIFICATION - QUARTER-FINALS;Braintree;Canvey;17;20;15;20;0,85;0,75;1,6;1,5;0,866;1,35;1,1079;2,85
36;19/09/2023;16:00;EUROPE;CHAMPIONS LEAGUE - GROUP STAGE - ROUND 1;Lazio;Atl. Madrid;17;20;15;20;0,85;0,75;1,6;1,4;0,9695;1,35;1,1079;2,75
37;19/09/2023;16:00;EUROPE;CHAMPIONS LEAGUE - GROUP STAGE - ROUND 1;Manchester City;Crvena zvezda;14;20;18;20;0,7;0,9;1,6;1,25;1,0897;1,8;1,2083;3,05
38;19/09/2023;12:00;NORWAY;DIVISION 3 - GROUP 1 - ROUND 20;Fana;Ullern 2;16;20;15;19;0,8;0,7895;1,5895;2,05;1,6271;1,7368;1,3315;3,7868
39;19/09/2023;07:00;ASIA;AFC CHAMPIONS LEAGUE - ROUND 1;Yokohama F. Marinos;Incheon;16;20;15;20;0,8;0,75;1,55;1,8;1,3266;1,3;1,1446;3,1
40;19/09/2023;15:45;ENGLAND;NATIONAL LEAGUE - ROUND 10;Solihull Moors;AFC Fylde;15;20;16;20;0,75;0,8;1,55;1,25;0,9937;1,85;1,4239;3,1
41;19/09/2023;15:00;ENGLAND;EFL TROPHY;Wycombe;Crystal Palace U21;15;20;16;20;0,75;0,8;1,55;1,05;0,7399;1,35;1,0618;2,4
42;19/09/2023;15:45;WALES;LEAGUE CUP - 1/8-FINALS;TNS;Porthmadog;15;20;16;20;0,75;0,8;1,55;1,6;1,3928;1,4;1,0198;3,0
43;19/09/2023;15:30;WALES;LEAGUE CUP - 1/8-FINALS;Afan Lido;Cardiff Metropolitan;18;20;13;20;0,9;0,65;1,55;1,7;1,1874;1,2;1,2884;2,9
44;19/09/2023;08:00;ENGLAND;PROFESSIONAL DEVELOPMENT LEAGUE;Burnley U21;Sheffield Wed U21;17;20;14;20;0,85;0,7;1,55;1,7;1,2288;1,25;1,1347;2,95
45;19/09/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 7;Central Cordoba 2;Atl. Tucuman 2;14;20;17;20;0,7;0,85;1,55;1,1;0,995;1,4;1,0677;2,5
46;19/09/2023;15:45;ENGLAND;CHAMPIONSHIP - ROUND 7;Southampton;Ipswich;15;20;16;20;0,75;0,8;1,55;1,95;1,5644;1,45;1,3955;3,4
47;19/09/2023;05:00;ASIA;ASIAN GAMES - ROUND 1;North Korea U23;Chinese Taipei U23;19;20;9;15;0,95;0,6;1,55;1,75;1,1347;1,7333;1,8427;3,4833
48;19/09/2023;09:00;ARMENIA;PREMIER LEAGUE - ROUND 8;Urartu;Van;16;20;15;20;0,8;0,75;1,55;1,2;0,9274;1,05;0,7399;2,25
49;19/09/2023;12:00;ARMENIA;PREMIER LEAGUE - ROUND 8;Shirak Gyumri;Ararat-Armenia;14;20;17;20;0,7;0,85;1,55;1,15;1,1079;1,4;1,0198;2,55
50;19/09/2023;11:00;EUROPE;UEFA YOUTH LEAGUE - GROUP STAGE - ROUND 1;Manchester City U19;Crvena zvezda U19;18;20;13;20;0,9;0,65;1,55;1,7;1,1;1,1;1,0909;2,8
51;19/09/2023;05:00;ASIA;ASIAN GAMES - ROUND 1;Bangladesh U23;Myanmar U23;15;20;16;20;0,75;0,8;1,55;1,2;0,9798;1,5;1,0247;2,7
52;19/09/2023;11:00;ASIA;AFC CUP - ROUND 1;Odisha FC;Mohun Bagan;13;20;18;20;0,65;0,9;1,55;1,05;0,9206;1,6;0,8602;2,65
53;19/09/2023;14:00;GERMANY;REGIONALLIGA BAYERN - ROUND 7;Burghausen;Furth II;15;20;16;20;0,75;0,8;1,55;1,1;0,8888;1,3;1,1;2,4
54;19/09/2023;15:00;NETHERLANDS;KNVB BEKER - 1/64-FINALS;Scheveningen;Hoek;16;20;15;20;0,8;0,75;1,55;1,2;0,8124;1,9;1,4107;3,1
55;19/09/2023;14:00;GERMANY;OBERLIGA BAYERN NORD - ROUND 5;ATSV;Bayern Hof;18;20;13;20;0,9;0,65;1,55;1,2;0,6;1,15;1,0137;2,35
56;19/09/2023;11:00;PORTUGAL;LIGA REVELACAO U23 - ROUND 5;Gil Vicente U23;Vizela U23;16;20;15;20;0,8;0,75;1,55;1,4;1,1576;1,4;1,1576;2,8
57;19/09/2023;20:30;PARAGUAY;COPA PARAGUAY - 1/8-FINALS;Tacuary;Sportivo Trinidense;15;20;15;20;0,75;0,75;1,5;1,4;1,2;1,0;0,7746;2,4
58;19/09/2023;15:00;ENGLAND;EFL TROPHY;Wigan;Leicester U21;13;20;17;20;0,65;0,85;1,5;0,85;0,7921;1,7;1,0536;2,55
