Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum
564;04/06/2023;08:00;DENMARK;1ST DIVISION - PROMOTION GROUP - ROUND 32;Vejle;Vendsyssel;7;15;0,6667;10;15;1,2;0,4667;0,6667;1,1334
565;04/06/2023;19:00;BRAZIL;SERIE C - FIRST STAGE - ROUND 6;Confianca;Amazonas;10;15;0,8667;7;15;0,6667;0,6667;0,4667;1,1334
566;04/06/2023;10:00;KOSOVO;SUPERLIGA - RELEGATION - FINAL;Ferizaj;Liria;7;15;0,6;10;15;1,1333;0,4667;0,6667;1,1334
567;04/06/2023;12:00;HUNGARY;MERKANTIL BANK LIGA - RELEGATION - PLAY OFFS - FINAL;Ivancsa;Kozarmisleny SE;10;15;1,4;7;15;0,6;0,6667;0,4667;1,1334
568;04/06/2023;09:00;UKRAINE;PREMIER LEAGUE - ROUND 30;Veres-Rivne;Inhulets;9;15;1,3333;8;15;0,6667;0,6;0,5333;1,1333
569;04/06/2023;08:00;SPAIN;TERCERA RFEF - PROMOTION PLAY OFFS - FINAL;San Fernando;Leioa;8;15;0,6667;9;15;0,8667;0,5333;0,6;1,1333
570;04/06/2023;12:00;REPUBLIC OF THE CONGO;LIGUE 1 - ROUND 26;CARA Brazzaville;Diables Noirs;8;15;0,7333;9;15;1,0;0,5333;0,6;1,1333
571;04/06/2023;16:00;ARGENTINA;TORNEO FEDERAL - ROUND 14;San Martin Formosa;Central Norte;6;15;0,4667;11;15;1,0;0,4;0,7333;1,1333
572;04/06/2023;12:00;BULGARIA;VTORA LIGA - ROUND 34;CSKA 1948 Sofia II;Sozopol;9;15;0,8667;8;15;0,7333;0,6;0,5333;1,1333
573;04/06/2023;12:30;BOSNIA AND HERZEGOVINA;PRVA LIGA - FBIH - ROUND 30;Stupcanica;Radnicki Lukavac;6;15;0,6667;11;15;1,3333;0,4;0,7333;1,1333
574;04/06/2023;16:00;ARGENTINA;TORNEO FEDERAL - ROUND 14;Douglas Haig;Union Sunchales;8;15;0,8;9;15;0,7333;0,5333;0,6;1,1333
575;04/06/2023;09:00;RUSSIA;FNL 2 - GROUP 2 - PROMOTION GROUP - ROUND 33;Baltika 2;Tekstilshtik;8;15;0,7333;9;15;0,8667;0,5333;0,6;1,1333
576;04/06/2023;14:00;SENEGAL;LIGUE 1 - ROUND 22;Generation F.;Guediawaye;8;15;0,8667;9;15;1,0667;0,5333;0,6;1,1333
577;04/06/2023;13:00;IRAQ;SUPER LEAGUE - ROUND 32;Naft Al-Basra;Erbil;9;15;1,0;8;15;1,0;0,6;0,5333;1,1333
578;04/06/2023;14:00;ARGENTINA;LIGA PROFESIONAL - ROUND 19;San Lorenzo;Colon Santa Fe;6;15;0,7333;11;15;1,1333;0,4;0,7333;1,1333
579;04/06/2023;14:00;SPAIN;PRIMERA RFEF - PROMOTION PLAY OFFS - SEMI-FINALS;Dep. La Coruna;Castellon;8;15;1,2;9;15;0,9333;0,5333;0,6;1,1333
580;04/06/2023;02:00;JAPAN;J1 LEAGUE - ROUND 16;Sanfrecce Hiroshima;Kyoto;6;15;0,6;11;15;1,4;0,4;0,7333;1,1333
581;04/06/2023;20:00;PERU;LIGA 1 - APERTURA - ROUND 18;Cesar Vallejo;Cajamarca;9;15;1,0667;8;15;0,7333;0,6;0,5333;1,1333
582;04/06/2023;10:00;RUSSIA;FNL 2 - GROUP 1 - RELEGATION GROUP - ROUND 32;Maykop;Legion Makhachkala;8;15;0,6667;9;15;1,2;0,5333;0,6;1,1333
583;04/06/2023;09:30;MOZAMBIQUE;MOCAMBOLA - ROUND 8;Black Bulls;Ferroviario Nampula;9;15;0,8667;8;15;0,8;0,6;0,5333;1,1333
584;04/06/2023;06:30;SOUTH KOREA;K LEAGUE 2 - ROUND 16;Seoul E.;Busan;9;15;0,8667;8;15;0,8;0,6;0,5333;1,1333
585;04/06/2023;19:00;USA;NWSL WOMEN;Gotham W;San Diego Wave W;8;15;0,9333;9;15;1,0667;0,5333;0,6;1,1333
586;04/06/2023;15:30;ITALY;SERIE C - PROMOTION - PLAY OFFS - SEMI-FINALS;Lecco;Cesena;8;15;0,8;9;15;1,0667;0,5333;0,6;1,1333
587;04/06/2023;16:30;BOLIVIA;NACIONAL B - FIRST STAGE;Rosario Central;Stormers;4;8;1,125;3;5;1,2;0,5;0,6;1,1
588;04/06/2023;02:00;RUSSIA;FNL 2 - GROUP 3 - RELEGATION GROUP - ROUND 33;Sakhalin;SKA Khabarovsk 2;9;15;0,8667;4;8;1,125;0,6;0,5;1,1
589;04/06/2023;16:00;CANADA;CANADIAN PREMIER LEAGUE;Valour;York Utd;9;15;1,0;1;2;0,5;0,6;0,5;1,1
590;04/06/2023;05:00;TAIWAN;PREMIER LEAGUE - ROUND 12;Taiwan Shihu;Hang Yuen;7;15;0,8;9;15;1,0;0,4667;0,6;1,0667
591;04/06/2023;12:30;TUNISIA;LIGUE PROFESSIONNELLE 1 - CHAMPIONSHIP GROUP - ROUND 9;Monastir;Esperance Tunis;9;15;0,8667;7;15;0,7333;0,6;0,4667;1,0667
592;04/06/2023;15:00;ARGENTINA;PRIMERA NACIONAL - ROUND 19;Guillermo Brown;Gimnasia Mendoza;10;15;1,2667;6;15;0,5333;0,6667;0,4;1,0667
