Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;AvgHome;golsAway;jogosAway;AvgAway;avgSum
1;31/07/2023;04:00;WORLD;WORLD CUP WOMEN - ROUND 3;Japan W;Spain W;7;2;3,5;8;2;4,0;7,5
2;31/07/2023;06:00;BHUTAN;PREMIER LEAGUE;RTC;Transport United;0;1;0,0;7;1;7,0;7,0
3;31/07/2023;21:00;NORTH & CENTRAL AMERICA;LEAGUES CUP;Club America;Columbus Crew;4;1;4,0;2;1;2,0;6,0
4;31/07/2023;12:00;BELARUS;VYSSHAYA LIGA WOMEN - ROUND 20;Smorgon W;Zorka-BDU W;42;17;2,4706;57;17;3,3529;5,8235
5;31/07/2023;13:00;NORWAY;DIVISION 3 - GROUP 5 - ROUND 13;Nardo;Rosenborg 2;35;12;2,9167;34;12;2,8333;5,75
6;31/07/2023;14:00;NORWAY;DIVISION 3 - GROUP 4 - ROUND 13;Eik-Tonsberg;Sandefjord 2;36;12;3,0;31;12;2,5833;5,5833
7;31/07/2023;08:45;SINGAPORE;PREMIER LEAGUE;Lion City;Balestier Khalsa;58;20;2,9;50;20;2,5;5,4
8;31/07/2023;14:00;NORWAY;DIVISION 2 - GROUP 2 - ROUND 13;Brann 2;Levanger;31;12;2,5833;32;12;2,6667;5,25
9;31/07/2023;22:30;NORTH & CENTRAL AMERICA;LEAGUES CUP;Toluca;Colorado Rapids;4;1;4,0;1;1;1,0;5,0
10;31/07/2023;14:00;DENMARK;SUPERLIGA - ROUND 2;Aarhus;Nordsjaelland;1;1;1,0;4;1;4,0;5,0
11;31/07/2023;06:30;MYANMAR;NATIONAL LEAGUE - ROUND 14;Rakhine United;Yangon Utd;17;13;1,3077;39;13;3,0;4,3077
12;31/07/2023;13:00;ESTONIA;ESILIIGA - ROUND 18;Flora U21;Levadia U21;46;20;2,3;38;19;2,0;4,3
13;31/07/2023;13:00;NORWAY;DIVISION 3 - GROUP 4 - ROUND 13;Fredrikstad 2;Odd 2;26;12;2,1667;24;12;2,0;4,1667
14;31/07/2023;23:00;NORTH & CENTRAL AMERICA;LEAGUES CUP;Guadalajara Chivas;Sporting Kansas City;1;1;1,0;3;1;3,0;4,0
15;31/07/2023;22:06;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 3;Club Leon W;Queretaro W;2;2;1,0;6;2;3,0;4,0
16;31/07/2023;12:00;WORLD;ARAB CLUB CHAMPIONS CUP - ROUND 2;Al-Shabab;Zamalek;0;1;0,0;4;1;4,0;4,0
17;31/07/2023;12:30;FINLAND;YKKONEN;TPS;SJK Akatemia;31;16;1,9375;29;16;1,8125;3,75
18;31/07/2023;20:15;PARAGUAY;DIVISION INTERMEDIA - ROUND 19;Sol de America;Recoleta;27;18;1,5;39;18;2,1667;3,6667
19;31/07/2023;20:00;USA;MLS NEXT PRO;New York Red Bulls 2;Orlando City B;30;19;1,5789;38;19;2,0;3,5789
20;31/07/2023;15:15;BULGARIA;PARVA LIGA - ROUND 3;Lok. Plovdiv;Botev Vratsa;5;2;2,5;2;2;1,0;3,5
21;31/07/2023;07:30;SOUTH KOREA;K LEAGUE 2 - ROUND 24;Anyang;Gimcheon Sangmu;36;21;1,7143;37;21;1,7619;3,4762
22;31/07/2023;16:15;ICELAND;BESTA DEILD KARLA - ROUND 17;KR Reykjavik;Valur;17;16;1,0625;38;16;2,375;3,4375
23;31/07/2023;09:30;KYRGYZSTAN;PREMIER LIGA - ROUND 12;Muras United;Alga;19;14;1,3571;27;14;1,9286;3,2857
24;31/07/2023;13:00;NORWAY;DIVISION 2 - GROUP 2 - ROUND 13;Alta;Stromsgodset 2;22;12;1,8333;17;12;1,4167;3,25
25;31/07/2023;14:00;SWEDEN;DIVISION 1 - NORRA - ROUND 15;Sollentuna;Hammarby TFF;26;14;1,8571;19;14;1,3571;3,2142
26;31/07/2023;14:00;SWEDEN;ALLSVENSKAN - ROUND 17;Malmo FF;Varnamo;35;16;2,1875;16;16;1,0;3,1875
27;31/07/2023;10:00;BELARUS;VYSSHAYA LIGA WOMEN - ROUND 20;FC Gomel W;Belarus U19 W;5;17;0,2941;48;17;2,8235;3,1176
28;31/07/2023;18:00;PARAGUAY;DIVISION INTERMEDIA - ROUND 19;2 de Mayo;Rubio Nu;27;18;1,5;28;18;1,5556;3,0556
29;31/07/2023;10:00;WORLD;ARAB CLUB CHAMPIONS CUP - ROUND 2;Al Wahda;CR Belouizdad;2;1;2,0;1;1;1,0;3,0
30;31/07/2023;14:00;WORLD;ARAB CLUB CHAMPIONS CUP - ROUND 2;Raja Casablanca;Al Kuwait;2;1;2,0;1;1;1,0;3,0
31;31/07/2023;21:00;NORTH & CENTRAL AMERICA;LEAGUES CUP;Puebla;Chicago Fire;0;1;0,0;3;1;3,0;3,0
32;31/07/2023;13:30;RUSSIA;PREMIER LEAGUE - ROUND 2;Spartak Moscow;Baltika;3;1;3,0;0;1;0,0;3,0
33;31/07/2023;15:00;PERU;LIGA 1 - CLAUSURA - ROUND 6;Sport Boys;FBC Melgar;4;5;0,8;11;5;2,2;3,0
34;31/07/2023;12:30;BULGARIA;VTORA LIGA - ROUND 3;Maritsa Plovdiv;Svoge;3;2;1,5;3;2;1,5;3,0
35;31/07/2023;15:30;ARGENTINA;PRIMERA D - SECOND STAGE - ROUND 9;CSR Espanol;Mercedes;15;7;2,1429;6;7;0,8571;3,0
36;31/07/2023;14:00;LITHUANIA;I LYGA - ROUND 16;Riteriai 2;Nevezis Kedainiai;18;13;1,3846;23;15;1,5333;2,9179
37;31/07/2023;14:00;SWEDEN;DIVISION 1 - SÖDRA - ROUND 15;Olympic;Lunds;16;14;1,1429;24;14;1,7143;2,8572
38;31/07/2023;16:00;BOLIVIA;DIVISION PROFESIONAL - ROUND 21;Libertad Gran Mamore;Nacional Potosi;17;19;0,8947;37;19;1,9474;2,8421
39;31/07/2023;21:30;CHILE;PRIMERA B - ROUND 20;La Serena;Deportes Temuco;29;19;1,5263;25;19;1,3158;2,8421
