Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
1;21/08/2023;14:00;NORWAY;DIVISION 3 - GROUP 6 - ROUND 16;Nordstrand;KFUM-Kameratene Oslo 2;26;30;29;30;0,8667;0,9667;1,8334;2,0;1,5706;1,9667;0,9481;3,9667
2;21/08/2023;14:00;NORWAY;DIVISION 3 - GROUP 5 - ROUND 16;Rosenborg 2;Kolstad;26;30;29;30;0,8667;0,9667;1,8334;2,3333;1,422;2,0333;1,2243;4,3666
3;21/08/2023;11:00;NORWAY;DIVISION 3 - GROUP 6 - ROUND 16;Mjolner;Skeid 2;25;30;30;30;0,8333;1,0;1,8333;1,8;1,376;2,4667;1,3597;4,2667
4;21/08/2023;09:00;ENGLAND;PROFESSIONAL DEVELOPMENT LEAGUE;Swansea U21;Crewe U21;30;30;23;29;1,0;0,7931;1,7931;2,4;1,2543;1,5862;1,2735;3,9862
5;21/08/2023;06:00;UKRAINE;CHAMPIONSHIP WOMEN - ROUND 3;EMC Podolie W;Zhytlobud-1 W;24;30;29;30;0,8;0,9667;1,7667;1,6667;1,2202;2,9;1,9382;4,5667
6;21/08/2023;14:00;NORWAY;DIVISION 3 - GROUP 4 - ROUND 16;Donn;Fredrikstad 2;26;30;27;30;0,8667;0,9;1,7667;1,8;1,1944;2,0333;1,1968;3,8333
7;21/08/2023;16:00;NORTHERN IRELAND;PREMIERSHIP WOMEN - ROUND 13;Crusaders W;Mid-Ulster W;26;30;25;28;0,8667;0,8929;1,7596;1,9333;1,2893;2,1071;1,739;4,0404
8;21/08/2023;14:00;NORWAY;DIVISION 3 - GROUP 6 - ROUND 16;Follo;Sarpsborg 08 2;26;30;26;30;0,8667;0,8667;1,7334;1,8;1,1944;2,0;1,0954;3,8
9;21/08/2023;08:00;NORWAY;DIVISION 3 - GROUP 2 - ROUND 16;Raufoss 2;Hodd 2;25;30;27;30;0,8333;0,9;1,7333;2,0667;1,5478;1,7333;1,5041;3,8
10;21/08/2023;14:00;NORWAY;DIVISION 2 - GROUP 1 - ROUND 16;Valerenga 2;Lyn;25;30;26;30;0,8333;0,8667;1,7;1,9667;1,538;1,9667;1,2776;3,9334
11;21/08/2023;11:00;NORWAY;DIVISION 2 - GROUP 2 - ROUND 16;Stromsgodset 2;Stjordals Blink;28;30;23;30;0,9333;0,7667;1,7;2,0667;1,3646;1,6;1,2;3,6667
12;21/08/2023;22:06;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 7;Club Leon W;Club America W;26;30;25;30;0,8667;0,8333;1,7;1,6333;1,1686;1,8667;1,384;3,5
13;21/08/2023;14:00;NORWAY;DIVISION 3 - GROUP 4 - ROUND 16;Sandefjord 2;Halsen;26;30;25;30;0,8667;0,8333;1,7;1,8;1,222;1,9333;1,4591;3,7333
14;21/08/2023;15:00;SERBIA;PRVA LIGA - ROUND 3;Dubocica;RFK Novi Sad;26;30;24;30;0,8667;0,8;1,6667;1,4667;1,0562;1,1333;0,8844;2,6
15;21/08/2023;10:00;ENGLAND;PROFESSIONAL DEVELOPMENT LEAGUE;Millwall U21;Burnley U21;26;30;23;30;0,8667;0,7667;1,6334;1,6333;1,016;1,6333;1,3287;3,2666
16;21/08/2023;14:00;ENGLAND;PREMIER LEAGUE 2 - ROUND 2;West Brom U21;Blackburn U21;24;30;25;30;0,8;0,8333;1,6333;1,8667;1,4079;1,5;0,9916;3,3667
17;21/08/2023;15:45;IRELAND;FAI CUP - 1/8-FINALS;UC Dublin;Galway;25;30;24;30;0,8333;0,8;1,6333;1,4;0,9165;1,4667;1,2579;2,8667
18;21/08/2023;10:00;ENGLAND;PROFESSIONAL DEVELOPMENT LEAGUE;Charlton U21;Wigan U21;25;30;24;30;0,8333;0,8;1,6333;1,6333;1,016;1,5;1,0878;3,1333
19;21/08/2023;15:00;ICELAND;DIVISION 1 - ROUND 18;Fjolnir;Grindavik;25;30;24;30;0,8333;0,8;1,6333;1,7333;1,3646;1,2667;0,8919;3,0
20;21/08/2023;10:00;ASIA;AFF CHAMPIONSHIP U23 - ROUND 3;Brunei U23;Myanmar U23;22;27;24;30;0,8148;0,8;1,6148;1,5185;0,9952;1,6667;1,2202;3,1852
21;21/08/2023;12:30;BOSNIA AND HERZEGOVINA;PRVA LIGA - RS - ROUND 2;Modrica;Radnik Bijeljina;26;30;22;30;0,8667;0,7333;1,6;1,4;0,7572;1,2;0,9092;2,6
22;21/08/2023;12:45;ESTONIA;ESILIIGA - ROUND 24;Flora U21;Tabasalu;24;30;24;30;0,8;0,8;1,6;1,7333;1,3888;1,7333;1,6111;3,4666
23;21/08/2023;14:00;NORWAY;DIVISION 3 - GROUP 4 - ROUND 16;Start 2;Randesund;25;30;23;30;0,8333;0,7667;1,6;2,2;1,4;1,5667;1,2297;3,7667
24;21/08/2023;12:30;FINLAND;KAKKONEN GROUP B;Honka Akatemia;Atlantis;25;30;23;30;0,8333;0,7667;1,6;1,8333;1,2405;1,7;1,4411;3,5333
