Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;avgAway;avgSum;0x0;1x0;2x0;1x1;0x1;0x2;U25;O25
1;10/09/2023;13:00;ARGENTINA;PRIMERA B - CLAUSURA - ROUND 13;Sacachispas;Deportivo Armenio;11;21;21;21;0,5952;0,881;1,4762;22,85;13,6;4,05;11,98;20,13;8,87;81,48;18,49
2;10/09/2023;17:30;ARGENTINA;COPA ARGENTINA - 1/8-FINALS;Almagro;Boca Juniors;20;21;19;20;0,9012;0,7131;1,6143;19,9;17,94;8,08;12,79;14,19;5,06;77,96;22,01
3;10/09/2023;15:30;ARGENTINA;PRIMERA D - SECOND STAGE - ROUND 12;Deportivo Paraguayo;Sportivo Barracas;10;22;19;22;0,6364;1,0;1,6364;19,47;12,39;3,94;12,39;19,47;9,73;77,39;22,59
4;10/09/2023;15:30;ARGENTINA;PRIMERA B - CLAUSURA - ROUND 13;Talleres;Canuelas;20;21;12;21;0,9524;0,7381;1,6905;18,44;17,56;8,36;12,96;13,61;5,02;75,95;24,0
5;10/09/2023;14:00;SPAIN;SEGUNDA RFEF - GROUP 5 - ROUND 2;Villanovense;Cacereno;22;22;18;20;0,825;0,8818;1,7068;18,14;14,97;6,17;13,2;16,0;7,05;75,53;24,46
6;10/09/2023;12:30;SPAIN;TERCERA RFEF - GROUP 3 - ROUND 1;Naval Reinosa;Siete Villas;15;20;21;22;1,0114;0,7773;1,7886;16,72;16,91;8,55;13,14;13,0;5,05;73,37;26,62
7;10/09/2023;20:00;VENEZUELA;LIGA FUTVE 2 - CLAUSURA - ROUND 11;Fundacion AIFI;Miranda;20;21;14;21;1,0952;0,7143;1,8095;16,37;17,93;9,82;12,81;11,7;4,18;72,81;27,17
8;10/09/2023;13:00;SPAIN;SEGUNDA RFEF - GROUP 2 - ROUND 2;Izarra;Brea;28;22;14;21;1,184;0,6515;1,8355;15,95;18,89;11,18;12,31;10,39;3,39;72,11;27,86
9;10/09/2023;15:00;ARGENTINA;PRIMERA NACIONAL - ROUND 33;Agropecuario;Defensores Unidos;30;22;13;22;1,1818;0,6591;1,8409;15,87;18,75;11,08;12,36;10,46;3,45;71,97;27,99
10;10/09/2023;12:00;SPAIN;TERCERA RFEF - GROUP 1 - ROUND 1;Paiosaco;Alondras;21;22;21;22;0,9091;0,9318;1,8409;15,87;14,42;6,56;13,44;14,79;6,89;71,97;28,01
11;10/09/2023;15:00;SPAIN;SEGUNDA RFEF - GROUP 4 - ROUND 2;San Roque;Antoniano;20;20;27;20;0,9;1,025;1,925;14,59;13,13;5,91;13,46;14,95;7,66;69,7;30,28
12;10/09/2023;13:00;SPAIN;TERCERA RFEF - GROUP 17 - ROUND 1;Atletico Monzon;Cuarte;20;22;17;21;1,1212;0,8139;1,9351;14,44;16,19;9,08;13,18;11,75;4,78;69,42;30,53
13;10/09/2023;13:00;SPAIN;TERCERA RFEF - GROUP 7 - ROUND 1;Leganes B;RSD Alcala;19;21;16;20;1,0024;0,9476;1,95;14,23;14,26;7,15;13,51;13,48;6,39;69,02;30,94
14;10/09/2023;15:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 5;San Lorenzo 2;Estudiantes L.P. 2;25;21;14;21;1,2381;0,7143;1,9524;14,19;17,57;10,88;12,55;10,14;3,62;68,95;31,0
15;10/09/2023;14:30;SPAIN;PRIMERA RFEF - GROUP 1 - ROUND 3;Dep. La Coruna;Teruel;36;19;17;20;1,3474;0,6092;1,9566;14,13;19,04;12,83;11,6;8,61;2,62;68,83;31,07
16;10/09/2023;21:30;ARGENTINA;PRIMERA NACIONAL - ROUND 29;Ind. Rivadavia;Brown Adrogue;32;20;15;21;1,2762;0,6821;1,9583;14,11;18,01;11,49;12,28;9,62;3,28;68,79;31,13
17;10/09/2023;15:00;BRAZIL;COPA SANTA CATARINA - ROUND 2;Marcilio Dias;Joinville;28;21;17;22;1,0758;0,8864;1,9621;14,06;15,12;8,13;13,4;12,46;5,52;68,69;31,29
18;10/09/2023;12:30;IRAN;DIVISION 1 - ROUND 2;Khalij Fars Mahshahr;Pars Janoobi Jam;16;18;14;20;1,0694;0,9056;1,975;13,88;14,84;7,94;13,44;12,57;5,69;68,36;31,63
19;10/09/2023;17:00;BRAZIL;COPA PAULISTA - PLAY OFFS - QUARTER-FINALS;Noroeste;Portuguesa Santista;24;21;18;23;1,1149;0,8675;1,9824;13,77;15,36;8,56;13,32;11,95;5,18;68,14;31,84
20;10/09/2023;13:00;SPAIN;SEGUNDA RFEF - GROUP 3 - ROUND 2;Lleida;Terrassa;17;22;32;23;0,9733;1,0138;1,9872;13,71;13,34;6,49;13,53;13,9;7,05;68,02;31,97
21;10/09/2023;16:30;VENEZUELA;LIGA FUTVE 2 - CLAUSURA - ROUND 11;Dynamo Puerto;Nueva Esparta;24;22;11;21;1,0216;0,9665;1,9881;13,7;13,99;7,15;13,52;13,24;6,4;68,0;32,0
22;10/09/2023;16:00;AFRICA;AFRICA CUP OF NATIONS - QUALIFICATION - ROUND 6;Gambia;Congo;25;20;11;22;1,375;0,625;2,0;13,53;18,61;12,79;11,63;8,46;2,64;67,66;32,26
23;10/09/2023;18:00;EL SALVADOR;PRIMERA DIVISION - APERTURA - ROUND 7;11 Deportivo;Alianza FC;22;21;28;21;1,0;1,0;2,0;13,53;13,53;6,77;13,53;13,53;6,77;67,66;32,3
24;10/09/2023;13:30;SPAIN;LALIGA2 - ROUND 5;FC Cartagena SAD;Zaragoza;18;20;17;21;0,95;1,0548;2,0048;13,47;12,8;6,08;13,5;14,21;7,49;67,55;32,41
25;10/09/2023;13:00;SPAIN;TERCERA RFEF - GROUP 8 - ROUND 1;Becerril;Real Avila;23;22;21;21;0,9751;1,0455;2,0206;13,26;12,93;6,3;13,52;13,86;7,25;67,12;32,84
26;10/09/2023;16:30;ARGENTINA;PRIMERA NACIONAL - ROUND 29;Chaco For Ever;Quilmes;28;21;19;21;1,2857;0,7381;2,0238;13,22;16,99;10,92;12,54;9,75;3,6;67,02;32,94
27;10/09/2023;12:30;SPAIN;SEGUNDA RFEF - GROUP 1 - ROUND 2;Langreo;Coruxo FC;26;21;18;18;1,0357;1,0;2,0357;13,06;13,53;7,0;13,53;13,06;6,53;66,71;33,26
28;10/09/2023;10:00;BURUNDI;PRIMUS LEAGUE - ROUND 4;Olympic S.;Musongati;20;21;20;21;1,1667;0,881;2,0476;12,9;15,05;8,78;13,26;11,37;5,01;66,37;33,64
29;10/09/2023;13:00;SPAIN;TERCERA RFEF - GROUP 17 - ROUND 1;Belchite 97;Caspe;21;22;16;22;1,0455;1,0227;2,0682;12,64;13,22;6,91;13,52;12,93;6,61;65,83;34,12
30;10/09/2023;12:00;SPAIN;TERCERA RFEF - GROUP 5 - ROUND 1;Olot;Peralada;21;26;17;20;0,9788;1,0981;2,0769;12,53;12,27;6,0;13,47;13,76;7,56;65,59;34,4
31;10/09/2023;13:30;SPAIN;SEGUNDA RFEF - GROUP 1 - ROUND 2;Torrelavega;R. Oviedo B;21;19;20;22;1,2572;0,823;2,0801;12,49;15,7;9,87;12,92;10,28;4,23;65,49;34,46
32;10/09/2023;14:00;SPAIN;SEGUNDA RFEF - GROUP 3 - ROUND 2;Torrent;CE Europa;29;22;25;22;1,1136;0,9773;2,0909;12,36;13,76;7,66;13,45;12,08;5,9;65,21;34,75
33;10/09/2023;12:00;SPAIN;TERCERA RFEF - GROUP 3 - ROUND 1;Castro;Torina;20;20;21;22;0,8409;1,2523;2,0932;12,33;10,37;4,36;12,98;15,44;9,67;65,15;34,82
34;10/09/2023;14:30;SPAIN;PRIMERA RFEF - GROUP 2 - ROUND 3;Castellon;CF Intercity;30;23;19;24;1,2147;0,8958;2,1105;12,12;14,72;8,94;13,19;10,86;4,86;64,69;35,29
35;10/09/2023;13:00;SPAIN;TERCERA RFEF - GROUP 17 - ROUND 1;Fraga;Epila;24;21;24;22;1,1396;0,974;2,1136;12,08;13,77;7,84;13,41;11,77;5,73;64,6;35,38
36;10/09/2023;12:00;IRAN;DIVISION 1 - ROUND 2;Fajr Sepasi;Damash Gilan;37;22;13;22;1,5227;0,5909;2,1136;12,08;18,39;14,0;10,87;7,14;2,11;64,59;35,29
37;10/09/2023;14:30;SPAIN;PRIMERA RFEF - GROUP 1 - ROUND 3;Gimnastic;Barcelona B;25;22;18;21;1,211;0,9058;2,1169;12,04;14,58;8,83;13,21;10,91;4,94;64,51;35,45
38;10/09/2023;14:00;SPAIN;TERCERA RFEF - GROUP 10 - ROUND 1;Xerez D.F.C.;Puente Genil;20;23;25;21;0,9824;1,1387;2,1211;11,99;11,78;5,79;13,41;13,65;7,77;64,39;35,59
39;10/09/2023;15:00;BRAZIL;COPA SANTA CATARINA - ROUND 2;Concordia;Inter de Lages;22;20;25;23;1,2891;0,8435;2,1326;11,85;15,28;9,85;12,89;10,0;4,22;64,09;35,91
40;10/09/2023;14:00;GUATEMALA;LIGA NACIONAL - APERTURA - ROUND 7;Coatepeque;Xinabajul;13;19;21;22;1,1603;0,9773;2,1376;11,79;13,68;7,94;13,37;11,53;5,63;63,94;36,02
41;10/09/2023;16:00;COLOMBIA;PRIMERA B - CLAUSURA - ROUND 10;Bogota;Cucuta;25;21;25;21;1,119;1,0238;2,1429;11,73;13,13;7,35;13,44;12,01;6,15;63,81;36,19
42;10/09/2023;13:00;EUROPE;EURO - QUALIFICATION - ROUND 6;Montenegro;Bulgaria;28;24;12;23;1,3007;0,8442;2,1449;11,71;15,23;9,9;12,86;9,88;4,17;63,75;36,22
