Nº;Date;Time;Country;League;Home;Away;o15Home;totalHome;AvgHome;o15Away;totalAway;AvgAway;pHome;pAway;pSum;avgSum
1;08/06/2023;21:00;USA;USL LEAGUE TWO;LA Parish;Louisiana;17;17;5,8824;18;19;4,6842;1,0;0,9474;1,9474;10,5666
2;08/06/2023;21:00;USA;USL LEAGUE TWO;Davis Legacy;Project 51O;16;16;4,1875;16;18;3,5;1,0;0,8889;1,8889;7,6875
3;08/06/2023;23:00;SOUTH AMERICA;COPA SUDAMERICANA - GROUP STAGE - ROUND 5;Cesar Vallejo (Per);Magallanes (Chi);28;30;2,7667;28;30;3,0;0,9333;0,9333;1,8666;5,7667
4;08/06/2023;13:30;FINLAND;KAKKONEN GROUP B;Jazz Pori;Poxyt;28;30;4,2667;19;21;3,7619;0,9333;0,9048;1,8381;8,0286
5;08/06/2023;22:00;USA;USL LEAGUE TWO;New Mexico U23;Salt City;12;13;3,3077;27;30;3,7667;0,9231;0,9;1,8231;7,0744
6;08/06/2023;09:00;KAZAKHSTAN;FIRST DIVISION - ROUND 11;Jas Qyran;FK Akzhayik;13;13;4,4615;24;30;3,8667;1,0;0,8;1,8;8,3282
7;08/06/2023;11:00;GERMANY;OBERLIGA HESSEN - RELEGATION;Ederbergland;TUS Dietkirchen;27;30;4,4333;27;30;3,3333;0,9;0,9;1,8;7,7666
8;08/06/2023;20:00;USA;MLS NEXT PRO;Inter Miami II;Cincinnati 2;26;30;3,8667;27;30;4,2333;0,8667;0,9;1,7667;8,1
9;08/06/2023;14:00;SWEDEN;DIVISION 2 - SÖDRA GÖTALAND - ROUND 11;VMA;Hassleholms IF;29;30;4,2333;24;30;2,8667;0,9667;0,8;1,7667;7,1
10;08/06/2023;13:00;WORLD;FRIENDLY INTERNATIONAL;Qatar;Croatia B;23;30;2,3333;1;1;4,0;0,7667;1,0;1,7667;6,3333
11;08/06/2023;16:15;ICELAND;DIVISION 1 - ROUND 6;Njardvik;Selfoss;27;30;3,5667;26;30;3,8;0,9;0,8667;1,7667;7,3667
12;08/06/2023;12:30;FINLAND;YKKONEN;TPS;KaPa;25;30;3,0;27;30;3,7333;0,8333;0,9;1,7333;6,7333
13;08/06/2023;20:00;BRAZIL;CAMPEONATO AMAPAENSE - ROUND 5;Oratorio;Sao Paulo AP;10;12;3,5833;23;26;3,6538;0,8333;0,8846;1,7179;7,2371
14;08/06/2023;13:00;ESTONIA;ESILIIGA - ROUND 7;Levadia U21;Flora U21;26;30;3,4667;25;30;3,9333;0,8667;0,8333;1,7;7,4
15;08/06/2023;15:00;PERU;LIGA 2 - ROUND 9;U. San Martin;Alfonso Ugarte;27;30;3,1333;24;30;2,7667;0,9;0,8;1,7;5,9
16;08/06/2023;13:00;LITHUANIA;I LYGA - ROUND 13;Kauno Zalgiris 2;FK Panevezys 2;23;30;2,8;28;30;3,4;0,7667;0,9333;1,7;6,2
17;08/06/2023;14:00;SWEDEN;DIVISION 2 - VÄSTRA GÖTALAND - ROUND 11;Laholms;Hittarp;22;30;2,9333;29;30;3,8667;0,7333;0,9667;1,7;6,8
18;08/06/2023;14:00;SWEDEN;DIVISION 2 - SÖDRA GÖTALAND - ROUND 11;IFK Hassleholm;IFK Trelleborg;28;30;3,3;15;20;3,6;0,9333;0,75;1,6833;6,9
19;08/06/2023;12:00;AUSTRIA;BUNDESLIGA - CONFERENCE LEAGUE - PLAY OFFS - FINAL;A. Lustenau;Austria Vienna;24;30;3,5667;26;30;3,3;0,8;0,8667;1,6667;6,8667
20;08/06/2023;12:30;CZECH REPUBLIC;CFL - GROUP B - ROUND 30;Jablonec B;Zizkov;26;30;3,1667;24;30;2,9333;0,8667;0,8;1,6667;6,1
21;08/06/2023;21:00;SOUTH AMERICA;COPA LIBERTADORES - GROUP STAGE - ROUND 5;Flamengo RJ (Bra);Racing Club (Arg);25;30;3,1;25;30;2,8;0,8333;0,8333;1,6666;5,9
22;08/06/2023;15:00;NETHERLANDS;EREDIVISIE - CONFERENCE LEAGUE - PLAY OFFS - FINAL;Sparta Rotterdam;Twente;23;30;2,8333;26;30;3,0;0,7667;0,8667;1,6334;5,8333
23;08/06/2023;11:30;ITALY;SERIE A WOMEN - RELEGATION - FINAL;Pomigliano W;Lazio W;24;30;3,1667;25;30;3,2667;0,8;0,8333;1,6333;6,4334
