Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum;Times
1;18/05/2023;15:30;ENGLAND;PREMIER LEAGUE - ROUND 25;Newcastle;Brighton;0;0;0;30;43;0,0465;0;0,6977;0,6977;0,0
2;18/05/2023;16:00;EUROPE;EUROPA LEAGUE - PLAY OFFS - SEMI-FINALS;Bayer Leverkusen;AS Roma;0;0;0;28;43;0,0;0;0,6512;0,6512;0,0
3;18/05/2023;16:00;EUROPE;EUROPA LEAGUE - PLAY OFFS - SEMI-FINALS;Sevilla;Juventus;0;0;0;27;43;0,0;0;0,6279;0,6279;0,0
4;18/05/2023;16:00;EUROPE;EUROPA CONFERENCE LEAGUE - PLAY OFFS - SEMI-FINALS;AZ Alkmaar;West Ham;0;0;0;37;43;0,0233;0;0,8605;0,8605;0,0
5;18/05/2023;16:00;EUROPE;EUROPA CONFERENCE LEAGUE - PLAY OFFS - SEMI-FINALS;Basel;Fiorentina;0;0;0;0;0;0;0;0;0;0
6;18/05/2023;16:00;AFRICA;AFRICA CUP OF NATIONS U17 - PLAY OFFS - 3RD PLACE;Burkina Faso U17;Mali U17;0;0;0;0;0;0;0;0;0;0
7;18/05/2023;12:00;ALGERIA;LIGUE 1 - ROUND 23;El Bayadh;Magra;0;0;0;0;0;0;0;0;0;0
8;18/05/2023;14:00;ALGERIA;LIGUE 1 - ROUND 23;ASO Chlef;Biskra;0;0;0;28;43;0,0;0;0,6512;0,6512;0,0
9;18/05/2023;14:00;ALGERIA;LIGUE 1 - ROUND 23;Kabylie;Oran;0;0;0;24;43;0,0;0;0,5581;0,5581;0,0
10;18/05/2023;21:00;ARGENTINA;LIGA PROFESIONAL - ROUND 17;Arsenal Sarandi;Independiente;0;0;0;28;43;0,0233;0;0,6512;0,6512;0,0
