Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum
1;01/08/2023;09:00;BHUTAN;PREMIER LEAGUE;Thimphu Raven;BFF Academy U19;1;1;1,0;1;1;2,0;1,0;1,0;2,0
2;01/08/2023;15:45;WORLD;CLUB FRIENDLY;Phoenix (Eng);Cray Wanderers (Eng);22;24;1,875;28;30;1,3333;0,9167;0,9333;1,85
3;01/08/2023;15:45;WORLD;CLUB FRIENDLY;Loughborough Dyn. (Eng);Notts Co U23 (Eng);19;24;1,375;6;6;2,5;0,7917;1,0;1,7917
4;01/08/2023;15:45;WORLD;CLUB FRIENDLY;Horsham FC (Eng);Lancing (Eng);23;30;1,4667;4;4;1,25;0,7667;1,0;1,7667
5;01/08/2023;13:30;RUSSIA;RUSSIAN CUP - REGIONS PATH - 1/16-FINALS;Amkal Moscow;Znamya Noginsk;3;3;1,6667;23;30;1,5333;1,0;0,7667;1,7667
6;01/08/2023;15:45;SCOTLAND;CHALLENGE CUP - 1/64-FINALS;Tranent;Motherwell 2;23;30;1,4333;2;2;1,5;0,7667;1,0;1,7667
7;01/08/2023;13:00;ESTONIA;ESTONIAN CUP - 1/32-FINALS;TransferWise;Tulevik;8;9;2,8889;26;30;1,9667;0,8889;0,8667;1,7556
8;01/08/2023;12:30;FINLAND;KANSALLINEN LIIGA WOMEN;Aland Utd W;Ilves W;26;30;1,8;26;30;1,5667;0,8667;0,8667;1,7334
9;01/08/2023;15:30;SCOTLAND;CHALLENGE CUP - 1/64-FINALS;Elgin City;St Johnstone 2;22;30;1,3;3;3;1,0;0,7333;1,0;1,7333
10;01/08/2023;15:45;WORLD;CLUB FRIENDLY;Badshot (Eng);Horndean (Eng);10;12;1,8333;9;10;1,6;0,8333;0,9;1,7333
11;01/08/2023;15:45;WORLD;CLUB FRIENDLY;Cray Valley PM (Eng);Charlton U18 (Eng);21;30;1,5667;2;2;2,0;0,7;1,0;1,7
12;01/08/2023;11:00;WORLD;CLUB FRIENDLY;Mainz (Ger);St. Gallen (Sui);28;30;1,9333;23;30;1,7333;0,9333;0,7667;1,7
13;01/08/2023;15:30;WORLD;CLUB FRIENDLY;Worksop (Eng);Sheffield FC (Eng);29;30;1,9667;22;30;1,3333;0,9667;0,7333;1,7
14;01/08/2023;13:00;WORLD;CEE CUP - PLAY OFFS - FINAL;Slavia Prague U19;Palmeiras U19;25;30;1,5667;11;13;2,3077;0,8333;0,8462;1,6795
15;01/08/2023;04:00;WORLD;WORLD CUP WOMEN - ROUND 3;Vietnam W;Netherlands W;29;30;2,0;21;30;1,4333;0,9667;0,7;1,6667
16;01/08/2023;15:45;WORLD;CLUB FRIENDLY;Matlock (Eng);Mansfield (Eng);23;30;1,5;27;30;1,5667;0,7667;0,9;1,6667
17;01/08/2023;15:45;SCOTLAND;CHALLENGE CUP - 1/64-FINALS;Spartans;Rangers B;22;30;1,2333;28;30;2,0;0,7333;0,9333;1,6666
18;01/08/2023;12:30;FINLAND;KANSALLINEN LIIGA WOMEN;PK-35 Helsinki W;KuPS W;22;30;1,5667;28;30;2,3;0,7333;0,9333;1,6666
19;01/08/2023;15:45;WORLD;CLUB FRIENDLY;Croydon Ath. (Eng);Beckenham (Eng);26;30;1,6;11;14;1,5714;0,8667;0,7857;1,6524
20;01/08/2023;13:30;WORLD;CLUB FRIENDLY;Al-Duhail (Qat);SC Imst (Aut);23;30;1,4333;26;30;1,9667;0,7667;0,8667;1,6334
21;01/08/2023;08:00;WORLD;WORLD CUP WOMEN - ROUND 3;Haiti W;Denmark W;27;30;1,8;22;30;1,3333;0,9;0,7333;1,6333
22;01/08/2023;15:30;WORLD;CLUB FRIENDLY;Tiverton (Eng);Swansea (Wal);26;30;1,7667;22;30;1,2333;0,8667;0,7333;1,6
23;01/08/2023;15:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - QUARTER-FINALS;Hesperange (Lux);TNS (Wal);23;30;1,8333;25;30;2,0667;0,7667;0,8333;1,6
24;01/08/2023;12:30;FINLAND;KANSALLINEN LIIGA WOMEN;Honka W;ONS Oulu W;23;30;1,3;24;30;1,9667;0,7667;0,8;1,5667
25;01/08/2023;15:45;WORLD;CLUB FRIENDLY;Bromley (Eng);Crystal Palace U21 (Eng);24;30;1,2667;23;30;1,3667;0,8;0,7667;1,5667
26;01/08/2023;15:45;WORLD;CLUB FRIENDLY;Canvey (Eng);Grays (Eng);22;30;1,1;25;30;1,8667;0,7333;0,8333;1,5666
27;01/08/2023;13:30;WORLD;CLUB FRIENDLY;FC Volendam (Ned);Alanyaspor (Tur);22;30;1,4;25;30;1,6667;0,7333;0,8333;1,5666
28;01/08/2023;04:00;WORLD;WORLD CUP WOMEN - ROUND 3;Portugal W;USA W;23;30;1,6333;23;30;1,4667;0,7667;0,7667;1,5334
29;01/08/2023;15:30;EUROPE;CHAMPIONS LEAGUE - QUALIFICATION - QUARTER-FINALS;Slovan Bratislava (Svk);Zrinjski (Bih);22;30;1,2667;24;30;1,2667;0,7333;0,8;1,5333
30;01/08/2023;21:00;SOUTH AMERICA;COPA LIBERTADORES - PLAY OFFS - 1/8-FINALS;Bolivar (Bol);Athletico-PR (Bra);24;30;1,4333;22;30;1,0;0,8;0,7333;1,5333
31;01/08/2023;13:00;ESTONIA;ESTONIAN CUP - 1/32-FINALS;Parnu JK Vaprus;FC Alliance;18;30;1,0333;28;30;2,3333;0,6;0,9333;1,5333
32;01/08/2023;10:30;ARMENIA;FIRST LEAGUE - ROUND 1;Pyunik Yerevan 2;BKMA 2;22;30;1,2667;24;30;1,5667;0,7333;0,8;1,5333
33;01/08/2023;15:30;SCOTLAND;CHALLENGE CUP - 1/64-FINALS;Brechin;Hearts B;21;30;1,5333;25;30;1,9;0,7;0,8333;1,5333
34;01/08/2023;15:45;WORLD;CLUB FRIENDLY;Stocksbridge (Eng);FC United (Eng);24;30;1,7;22;30;1,5667;0,8;0,7333;1,5333
35;01/08/2023;13:00;WORLD;CLUB FRIENDLY;Salernitana (Ita);Hatayspor (Tur);23;30;1,3333;21;28;1,2857;0,7667;0,75;1,5167
36;01/08/2023;21:00;ECUADOR;SERIE B - ROUND 23;Cuniburo;Nueve de Octubre;15;21;1,2857;24;30;1,3667;0,7143;0,8;1,5143
37;01/08/2023;15:45;WORLD;CLUB FRIENDLY;Northwood (Eng);Dag & Red (Eng);19;27;1,5185;24;30;1,1667;0,7037;0,8;1,5037
38;01/08/2023;15:45;WORLD;CLUB FRIENDLY;Concord (Eng);Brentwood (Eng);22;30;1,4667;23;30;1,3;0,7333;0,7667;1,5
39;01/08/2023;16:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - QUARTER-FINALS;Buducnost (Mne);Struga (Mkd);24;30;1,3667;21;30;1,2667;0,8;0,7;1,5
40;01/08/2023;15:00;EUROPE;CHAMPIONS LEAGUE - QUALIFICATION - QUARTER-FINALS;BATE (Blr);Aris (Cyp);21;30;1,1333;24;30;1,6333;0,7;0,8;1,5
41;01/08/2023;09:00;WORLD;CLUB FRIENDLY;Den Haag (Ned);Sparta Rotterdam (Ned);25;30;1,4333;20;30;1,2;0,8333;0,6667;1,5
42;01/08/2023;15:00;EUROPE;CHAMPIONS LEAGUE - QUALIFICATION - QUARTER-FINALS;O. Ljubljana (Slo);Ludogorets (Bul);21;30;1,4;24;30;1,4333;0,7;0,8;1,5
43;01/08/2023;04:00;WORLD;CEE CUP - PLAY OFFS - 5TH PLACE;West Ham U19;Al Ain U19;2;2;3,0;1;2;1,0;1,0;0,5;1,5
44;01/08/2023;14:30;WORLD;CLUB FRIENDLY;De Treffers (Ned);Venezia (Ita);22;30;1,2667;23;30;1,3667;0,7333;0,7667;1,5
