Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;AvgHome;golsAway;jogosAway;AvgAway;avgSum
1;02/08/2023;17:30;WORLD;COTIF TOURNAMENT;Alzira U20;Real Madrid U20;4;2;2,0;11;2;5,5;7,5
2;02/08/2023;14:00;GERMANY;OBERLIGA RHEINLAND-PFALZ/SAAR - ROUND 2;Pfeddersheim;Worms;4;1;4,0;3;1;3,0;7,0
3;02/08/2023;12:30;HUNGARY;NB III - NORTHEAST - ROUND 2;Debrecen II;Putnok;3;1;3,0;4;1;4,0;7,0
4;02/08/2023;14:30;GERMANY;OBERLIGA RHEINLAND-PFALZ/SAAR - ROUND 2;Mechtersheim;Cosmos Koblenz;3;1;3,0;3;1;3,0;6,0
5;02/08/2023;14:00;ISRAEL;TOTO CUP - ROUND 2;Maccabi Bnei Raina;Netanya;0;0;3,0;3;1;3,0;6,0
6;02/08/2023;12:30;HUNGARY;NB III - SOUTHWEST - ROUND 2;Szentlorinc;Erdi;4;1;4,0;2;1;2,0;6,0
7;02/08/2023;12:30;HUNGARY;NB III - SOUTHWEST - ROUND 2;MOL Fehervar II;Ferencvaros II;1;1;1,0;5;1;5,0;6,0
8;02/08/2023;12:30;HUNGARY;NB III - SOUTHEAST - ROUND 2;Cegledi;Bekescsaba 1912;2;1;2,0;3;1;3,0;5,0
9;02/08/2023;12:30;HUNGARY;NB III - NORTHEAST - ROUND 2;Hatvan;Debreceni EAC;4;1;4,0;1;1;1,0;5,0
10;02/08/2023;12:30;HUNGARY;NB III - NORTHWEST - ROUND 2;Kelen;Komaromi VSE;3;1;3,0;2;1;2,0;5,0
11;02/08/2023;12:30;HUNGARY;NB III - SOUTHEAST - ROUND 2;Fuzesgyarmati SK;Honved II;4;1;4,0;1;1;1,0;5,0
12;02/08/2023;12:30;HUNGARY;NB III - SOUTHEAST - ROUND 2;ESMTK Budapest;Penzugyor;2;1;2,0;3;1;3,0;5,0
13;02/08/2023;12:30;HUNGARY;NB III - SOUTHWEST - ROUND 2;Nagykanizsa;Ivancsa;1;1;1,0;4;1;4,0;5,0
14;02/08/2023;12:30;SLOVAKIA;4. LIGA - EAST - ROUND 2;Lok. Kosice;Medzilaborce;4;1;4,0;1;1;1,0;5,0
15;02/08/2023;12:30;SLOVAKIA;4. LIGA - EAST - ROUND 2;Rudnany;Sokol Lubotice;1;1;1,0;4;1;4,0;5,0
16;02/08/2023;16:15;ICELAND;DIVISION 1 - ROUND 15;Afturelding;Grotta;46;14;3,2857;22;13;1,6923;4,978
17;02/08/2023;13:00;CZECH REPUBLIC;DIVISION 2 - ROUND 3;Brno;Dukla Prague;3;2;1,5;6;2;3,0;4,5
18;02/08/2023;13:00;CZECH REPUBLIC;DIVISION 2 - ROUND 3;Vyskov;Kromeriz;6;2;3,0;3;2;1,5;4,5
19;02/08/2023;04:00;WORLD;WORLD CUP WOMEN - ROUND 3;Argentina W;Sweden W;2;2;1,0;7;2;3,5;4,5
