Nº;Date;Time;Country;League;Home;Away;o15Home;totalHome;AvgHome;o15Away;totalAway;AvgAway;pHome;pAway;pSum;avgSum
1;01/06/2023;15:45;GERMANY;BUNDESLIGA - RELEGATION - FINAL;Stuttgart;Hamburger SV;28;30;3,0333;26;30;4,0;0,9333;0,8667;1,8;7,0333
2;01/06/2023;13:45;NETHERLANDS;EREDIVISIE - CONFERENCE LEAGUE - PLAY OFFS - SEMI-FINALS;Heerenveen;Twente;24;30;2,9667;25;30;2,9;0,8;0,8333;1,6333;5,8667
3;01/06/2023;16:00;NETHERLANDS;EREDIVISIE - CONFERENCE LEAGUE - PLAY OFFS - SEMI-FINALS;Utrecht;Sparta Rotterdam;25;30;3,1333;23;30;2,9333;0,8333;0,7667;1,6;6,0666
4;01/06/2023;14:30;WORLD;WORLD CUP U20 - PLAY OFFS - 1/8-FINALS;Gambia U20;Uruguay U20;18;30;1,9667;23;30;2,8333;0,6;0,7667;1,3667;4,8
5;01/06/2023;18:00;WORLD;WORLD CUP U20 - PLAY OFFS - 1/8-FINALS;Ecuador U20;South Korea U20;20;30;2,8333;20;30;3,1;0,6667;0,6667;1,3334;5,9333
6;01/06/2023;14:00;ALBANIA;ALBANIAN CUP - FINAL;KF Tirana;Egnatia;22;30;2,6;20;30;2,2667;0,7333;0,6667;1,4;4,8667
7;01/06/2023;20:00;ARGENTINA;LIGA PROFESIONAL - ROUND 19;Sarmiento Junin;Newells Old Boys;15;30;1,9;14;30;1,7667;0,5;0,4667;0,9667;3,6667
8;01/06/2023;21:30;ARGENTINA;LIGA PROFESIONAL - ROUND 19;Arsenal Sarandi;Boca Juniors;20;30;2,2333;17;30;2,1;0,6667;0,5667;1,2334;4,3333
9;01/06/2023;11:00;ARGENTINA;RESERVE LEAGUE - FIRST STAGE - ROUND 19;Atl. Tucuman 2;Lanus 2;22;30;2,7333;22;30;2,3667;0,7333;0,7333;1,4666;5,1
10;01/06/2023;11:00;ARGENTINA;RESERVE LEAGUE - FIRST STAGE - ROUND 19;Banfield 2;Racing Club 2;22;30;2,6667;21;30;2,3;0,7333;0,7;1,4333;4,9667
11;01/06/2023;11:00;ARGENTINA;RESERVE LEAGUE - FIRST STAGE - ROUND 19;Independiente 2;Godoy Cruz 2;21;30;2,4;22;30;2,7667;0,7;0,7333;1,4333;5,1667
12;01/06/2023;11:00;ARGENTINA;RESERVE LEAGUE - FIRST STAGE - ROUND 19;Instituto 2;Rosario Central 2;12;18;2,2222;23;30;3,1333;0,6667;0,7667;1,4334;5,3555
