Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum;Times
1;29/05/2023;11:00;ALBANIA;SUPERLIGA - ROUND 36;Bylis;Vllaznia;20;43;0,814;28;43;1,0233;0,4651;0,6512;1,1163;0,3029
2;29/05/2023;11:00;ALBANIA;SUPERLIGA - ROUND 36;Egnatia;Kukesi;22;43;0,7674;27;43;0,7907;0,5116;0,6279;1,1395;0,3212
3;29/05/2023;11:00;ALBANIA;SUPERLIGA - ROUND 36;Erzeni;KF Tirana;24;43;0,7674;27;43;1,1163;0,5581;0,6279;1,186;0,3504
4;29/05/2023;11:00;ALBANIA;SUPERLIGA - ROUND 36;Laci;Kastrioti;27;43;1,0;20;43;0,8837;0,6279;0,4651;1,093;0,292
5;29/05/2023;11:00;ALBANIA;SUPERLIGA - ROUND 36;Partizani;Teuta;35;43;1,3488;21;43;0,7674;0,814;0,4884;1,3024;0,3976
6;29/05/2023;12:00;ALGERIA;U21 LEAGUE - ROUND 24;Arba U21;ASO Chlef U21;29;39;1,4359;29;42;1,119;0,7436;0,6905;1,4341;0,5135
7;29/05/2023;12:00;ALGERIA;U21 LEAGUE - ROUND 24;Biskra U21;Constantine U21;27;40;1,0;28;43;1,0698;0,675;0,6512;1,3262;0,4396
8;29/05/2023;12:00;ALGERIA;U21 LEAGUE - ROUND 24;ES Setif U21;Kabylie U21;27;39;1,3333;28;41;1,3902;0,6923;0,6829;1,3752;0,4728
9;29/05/2023;12:00;ALGERIA;U21 LEAGUE - ROUND 24;Magra U21;CR Belouizdad U21;25;40;1,175;31;40;1,525;0,625;0,775;1,4;0,4844
10;29/05/2023;12:00;ALGERIA;U21 LEAGUE - ROUND 24;MC Alger U21;Khenchela U21;24;42;0,881;18;23;1,3913;0,5714;0,7826;1,354;0,4472
11;29/05/2023;12:00;ALGERIA;U21 LEAGUE - ROUND 24;Oran U21;Chelghoum U21;33;42;1,5238;26;38;1,2105;0,7857;0,6842;1,4699;0,5376
12;29/05/2023;12:00;ALGERIA;U21 LEAGUE - ROUND 24;Paradou U21;El Bayadh U21;28;40;1,2;19;21;1,2857;0,7;0,9048;1,6048;0,6334
13;29/05/2023;12:00;ALGERIA;U21 LEAGUE - ROUND 24;Saoura U21;USM Alger U21;34;39;1,5897;32;42;1,6429;0,8718;0,7619;1,6337;0,6642
14;29/05/2023;16:30;ARGENTINA;LIGA PROFESIONAL - ROUND 18;Colon Santa Fe;Central Cordoba;31;43;1,0465;25;43;0,8372;0,7209;0,5814;1,3023;0,4191
15;29/05/2023;19:00;ARGENTINA;LIGA PROFESIONAL - ROUND 18;Banfield;Rosario Central;29;43;1,1395;33;43;1,2093;0,6744;0,7674;1,4418;0,5175
16;29/05/2023;19:00;ARGENTINA;LIGA PROFESIONAL - ROUND 18;Huracan;Union de Santa Fe;27;43;1,1395;24;43;0,8605;0,6279;0,5581;1,186;0,3504
17;29/05/2023;20:00;ARGENTINA;LIGA PROFESIONAL - ROUND 18;Instituto;Estudiantes L.P.;28;43;1,0;24;43;0,907;0,6512;0,5581;1,2093;0,3634
18;29/05/2023;21:30;ARGENTINA;LIGA PROFESIONAL - ROUND 18;Velez Sarsfield;River Plate;25;42;0,8571;29;43;1,1163;0,5952;0,6744;1,2696;0,4014
19;29/05/2023;19:05;ARGENTINA;PRIMERA NACIONAL - ROUND 16;Ferro;Dep. Riestra;23;43;0,8372;31;43;1,093;0,5349;0,7209;1,2558;0,3856
20;29/05/2023;15:30;ARGENTINA;PRIMERA B - APERTURA - ROUND 16;Acassuso;Deportivo Armenio;27;43;1,0;23;43;0,8605;0,6279;0,5349;1,1628;0,3359
21;29/05/2023;15:30;ARGENTINA;PRIMERA B - APERTURA - ROUND 16;UAI Urquiza;Comunicaciones;26;43;1,1395;30;43;1,186;0,6047;0,6977;1,3024;0,4219
22;29/05/2023;15:30;ARGENTINA;PRIMERA C - ROUND 19;Atlas;Berazategui;27;43;0,907;24;43;1,0233;0,6279;0,5581;1,186;0,3504
23;29/05/2023;15:30;ARGENTINA;PRIMERA C - ROUND 19;Leandro N. Alem;Club Lujan;26;43;1,0233;24;43;0,907;0,6047;0,5581;1,1628;0,3375
24;29/05/2023;15:30;ARGENTINA;PRIMERA C - ROUND 19;San Martin Burzaco;Justo Jose de Urquiza;26;43;1,0;23;43;0,907;0,6047;0,5349;1,1396;0,3235
25;29/05/2023;15:30;ARGENTINA;PRIMERA C - ROUND 19;Victoriano A.;Real Pilar;24;43;0,8605;28;43;0,907;0,5581;0,6512;1,2093;0,3634
26;29/05/2023;15:30;ARGENTINA;PRIMERA C - ROUND 19;Yupanqui;Sportivo Italiano;26;43;1,0698;22;43;0,7674;0,6047;0,5116;1,1163;0,3094
27;29/05/2023;19:00;ARGENTINA;PRIMERA C - ROUND 19;Midland;Claypole;29;43;0,9767;28;43;1,1163;0,6744;0,6512;1,3256;0,4392
28;29/05/2023;15:30;ARGENTINA;PRIMERA D - APERTURA - ROUND 11;Deportivo Paraguayo;CSR Espanol;23;43;0,814;18;43;0,5814;0,5349;0,4186;0,9535;0,2239
29;29/05/2023;15:00;ARGENTINA;PRIMERA A WOMEN - APERTURA - ROUND 14;Platense W;Estudiantes W;29;42;1,4286;29;43;1,3721;0,6905;0,6744;1,3649;0,4657
30;29/05/2023;12:00;AUSTRIA;REGIONALLIGA WEST - SALZBURG - PLACEMENT GROUP - ROUND 30;Seekirchen;Wals-Grunau;35;43;1,7209;31;42;1,5952;0,814;0,7381;1,5521;0,6008
31;29/05/2023;13:00;AUSTRIA;REGIONALLIGA WEST - SALZBURG - PLACEMENT GROUP - ROUND 30;Kuchl;Johann;34;43;1,7442;33;43;1,7442;0,7907;0,7674;1,5581;0,6068
32;29/05/2023;06:00;AUSTRIA;REGIONALLIGA WEST - VORARLBERG - RELEGATION GROUP - ROUND 29;Lauterach;Dornbirner SV;33;43;1,7209;31;43;1,3953;0,7674;0,7209;1,4883;0,5532
33;29/05/2023;16:00;BOLIVIA;DIVISION PROFESIONAL - ROUND 15;Always Ready;The Strongest;33;42;1,5952;32;42;1,3095;0,7857;0,7619;1,5476;0,5986
34;29/05/2023;16:00;BOLIVIA;DIVISION PROFESIONAL - ROUND 15;Vaca Diez;Oriente Petrolero;20;24;1,4167;30;43;0,9767;0,8333;0,6977;1,531;0,5814
35;29/05/2023;20:00;BRAZIL;SERIE B - ROUND 9;Chapecoense-SC;Sampaio Correa;27;42;0,9762;28;43;0,907;0,6429;0,6512;1,2941;0,4187
36;29/05/2023;20:00;BRAZIL;SERIE C - FIRST STAGE - ROUND 5;Aparecidense;AE Altos;28;43;0,8372;21;41;0,9512;0,6512;0,5122;1,1634;0,3335
37;29/05/2023;20:00;BRAZIL;SERIE C - FIRST STAGE - ROUND 5;Floresta EC;Amazonas;32;43;1,2558;29;42;1,1905;0,7442;0,6905;1,4347;0,5139
38;29/05/2023;20:00;BRAZIL;SERIE D - ROUND 4;Aguia De Maraba;Sao Francisco FC;27;42;1,2143;31;40;1,45;0,6429;0,775;1,4179;0,4982
39;29/05/2023;20:00;BRAZIL;CAMPEONATO AMAPAENSE - ROUND 4;Sao Paulo AP;Santos AP;20;24;1,5417;35;43;1,3721;0,8333;0,814;1,6473;0,6783
40;29/05/2023;11:30;BULGARIA;PARVA LIGA - CONFERENCE LEAGUE GROUP - ROUND 34;Lok. Sofia;Arda;28;42;1,2143;28;43;0,9302;0,6667;0,6512;1,3179;0,4342
41;29/05/2023;14:00;BULGARIA;PARVA LIGA - CONFERENCE LEAGUE GROUP - ROUND 34;Botev Plovdiv;Slavia Sofia;29;42;1,3095;30;43;0,9535;0,6905;0,6977;1,3882;0,4818
42;29/05/2023;18:00;CHILE;PRIMERA B - ROUND 14;S. Morning;La Serena;29;43;1,2326;31;43;1,2791;0,6744;0,7209;1,3953;0,4862
43;29/05/2023;08:35;CHINA;SUPER LEAGUE - ROUND 10;Changchun Yatai;Shanghai Port;35;43;1,3721;27;41;1,0976;0,814;0,6585;1,4725;0,536
44;29/05/2023;21:30;COLOMBIA;PRIMERA B - APERTURA - QUADRANGULAR - ROUND 3;Cortulua;Valledupar;34;43;1,2791;28;42;1,2143;0,7907;0,6667;1,4574;0,5272
45;29/05/2023;18:00;COLOMBIA;LIGA WOMEN - PLAY OFFS - QUARTER-FINALS;Cortulua W;Santa Fe W;28;38;1,3158;33;43;1,4186;0,7368;0,7674;1,5042;0,5654
46;29/05/2023;20:00;COLOMBIA;LIGA WOMEN - PLAY OFFS - QUARTER-FINALS;Dep. Cali W;Deportivo Pereira W;37;43;1,6744;28;37;1,1622;0,8605;0,7568;1,6173;0,6512
47;29/05/2023;21:00;COLOMBIA;LIGA WOMEN - PLAY OFFS - QUARTER-FINALS;La Equidad W;America de Cali W;32;43;1,3488;37;43;1,4419;0,7442;0,8605;1,6047;0,6404
48;29/05/2023;21:30;COLOMBIA;LIGA WOMEN - PLAY OFFS - QUARTER-FINALS;Ind. Medellin W;Atl. Nacional W;33;43;1,0698;26;43;1,0698;0,7674;0,6047;1,3721;0,464
49;29/05/2023;12:30;CROATIA;DRUGA NL - ROUND 29;Sesvete;Bjelovar;34;43;1,5349;30;39;1,2821;0,7907;0,7692;1,5599;0,6082
50;29/05/2023;13:00;CYPRUS;FIRST DIVISION - RELEGATION GROUP - ROUND 40;AEL Limassol;Doxa;23;42;0,881;28;43;1,093;0,5476;0,6512;1,1988;0,3566
51;29/05/2023;13:00;CYPRUS;FIRST DIVISION - RELEGATION GROUP - ROUND 40;Anorthosis;Paralimni;31;42;1,0476;26;43;0,9767;0,7381;0,6047;1,3428;0,4463
52;29/05/2023;06:00;CZECH REPUBLIC;U19 LEAGUE - ROUND 28;Sparta Prague U19;FK Pardubice U19;32;43;1,5116;36;43;1,7442;0,7442;0,8372;1,5814;0,623
53;29/05/2023;09:00;DENMARK;SUPERLIGA - RELEGATION GROUP - ROUND 31;Lyngby;Aalborg;27;42;1,2619;30;43;1,0465;0,6429;0,6977;1,3406;0,4486
54;29/05/2023;09:00;DENMARK;SUPERLIGA - RELEGATION GROUP - ROUND 31;Silkeborg;Midtjylland;36;43;1,4186;32;42;1,4762;0,8372;0,7619;1,5991;0,6379
55;29/05/2023;11:00;DENMARK;SUPERLIGA - CHAMPIONSHIP GROUP - ROUND 31;Viborg;FC Copenhagen;34;43;1,3023;24;42;0,9762;0,7907;0,5714;1,3621;0,4518
56;29/05/2023;13:00;DENMARK;SUPERLIGA - CHAMPIONSHIP GROUP - ROUND 31;Brondby;Nordsjaelland;32;42;1,381;33;42;1,1905;0,7619;0,7857;1,5476;0,5986
57;29/05/2023;21:00;ECUADOR;LIGA PRO - FIRST STAGE - ROUND 12;Emelec;Guayaquil City;28;43;0,9767;32;43;1,1628;0,6512;0,7442;1,3954;0,4846
58;29/05/2023;13:00;EGYPT;PREMIER LEAGUE - ROUND 27;Al Ittihad;Pyramids;29;43;0,9535;27;43;0,907;0,6744;0,6279;1,3023;0,4235
59;29/05/2023;15:30;EGYPT;PREMIER LEAGUE - ROUND 27;Al Ahly;Ceramica Cleopatra;29;42;1,1429;29;43;0,9767;0,6905;0,6744;1,3649;0,4657
60;29/05/2023;11:00;ENGLAND;LEAGUE ONE - PLAY OFFS - FINAL;Barnsley;Sheffield Wed;33;43;1,3953;34;43;1,2326;0,7674;0,7907;1,5581;0,6068
61;29/05/2023;13:00;ESTONIA;ESILIIGA - ROUND 15;Elva;Nomme Utd;32;42;1,619;37;43;1,7442;0,7619;0,8605;1,6224;0,6556
62;29/05/2023;13:00;ESTONIA;ESILIIGA - ROUND 15;FC Alliance;Levadia U21;41;43;2,2326;35;43;1,5349;0,9535;0,814;1,7675;0,7761
63;29/05/2023;13:00;ESTONIA;ESILIIGA - ROUND 15;Paide Linnameeskond U21;FC Tallinn;37;43;1,8372;28;32;1,875;0,8605;0,875;1,7355;0,7529
64;29/05/2023;09:00;ETHIOPIA;PREMIER LEAGUE - ROUND 26;Ethiopian Insurance;Wolkite Ketema;19;27;1,3333;27;42;1,0714;0,7037;0,6429;1,3466;0,4524
65;29/05/2023;12:00;ETHIOPIA;PREMIER LEAGUE - ROUND 26;Hadiya Hossana;Ethiopia Bunna;25;43;0,907;30;43;1,1163;0,5814;0,6977;1,2791;0,4056
66;29/05/2023;11:00;FAROE ISLANDS;PREMIER LEAGUE - ROUND 11;07 Vestur Sorvagur;TB Tvoroyri;33;43;1,3721;32;43;1,7907;0,7674;0,7442;1,5116;0,5711
67;29/05/2023;11:00;FAROE ISLANDS;PREMIER LEAGUE - ROUND 11;IF Fuglafjordur;Klaksvik;34;42;1,5476;26;43;1,1163;0,8095;0,6047;1,4142;0,4895
68;29/05/2023;11:00;FAROE ISLANDS;PREMIER LEAGUE - ROUND 11;Vikingur;Toftir;31;43;1,3023;33;42;1,6905;0,7209;0,7857;1,5066;0,5664
69;29/05/2023;11:30;FAROE ISLANDS;PREMIER LEAGUE - ROUND 11;B36 Torshavn;AB Argir;30;42;1,2857;32;43;1,5116;0,7143;0,7442;1,4585;0,5316
70;29/05/2023;14:30;FAROE ISLANDS;PREMIER LEAGUE - ROUND 11;HB Torshavn;Streymur;32;43;1,3721;32;43;1,5349;0,7442;0,7442;1,4884;0,5538
71;29/05/2023;00:00;FIJI;PREMIER LEAGUE - ROUND 1;Tavua;Suva;4;7;1,4286;30;42;1,0714;0,5714;0,7143;1,2857;0,4082
72;29/05/2023;13:00;FINLAND;KAKKONEN GROUP B;Tampere Utd;Poxyt;35;43;1,7209;6;10;1,1;0,814;0,6;1,414;0,4884
73;29/05/2023;08:00;GERMANY;OBERLIGA NOFV- SUD - ROUND 27;Bautzen;Einheit Rudolstadt;36;43;1,5814;34;43;1,4651;0,8372;0,7907;1,6279;0,662
74;29/05/2023;09:00;GERMANY;OBERLIGA NOFV- SUD - ROUND 33;Einheit Wernigerode;Freital;36;43;1,6744;27;33;1,303;0,8372;0,8182;1,6554;0,685
75;29/05/2023;09:00;GERMANY;OBERLIGA WESTFALEN - ROUND 34;Ennepetal;Westfalia Rhynern;30;43;0,9767;24;43;1,1163;0,6977;0,5581;1,2558;0,3894
76;29/05/2023;10:00;GERMANY;OBERLIGA WESTFALEN - ROUND 34;Bovinghausen;Siegen;37;43;1,8372;30;43;1,2326;0,8605;0,6977;1,5582;0,6004
77;29/05/2023;10:00;GERMANY;OBERLIGA WESTFALEN - ROUND 34;Delbrucker;Finnentrop/Bamenohl;36;39;1,8462;33;43;1,6047;0,9231;0,7674;1,6905;0,7084
78;29/05/2023;10:00;GERMANY;OBERLIGA WESTFALEN - ROUND 34;Erndtebruck;Schermbeck 2020;34;43;1,7442;32;43;1,2558;0,7907;0,7442;1,5349;0,5884
79;29/05/2023;10:00;GERMANY;OBERLIGA WESTFALEN - ROUND 34;Lotte;Eintracht Rheine;32;43;1,3488;30;43;1,2558;0,7442;0,6977;1,4419;0,5192
80;29/05/2023;10:00;GERMANY;OBERLIGA WESTFALEN - ROUND 34;Sprockhovel;FC Gutersloh;30;43;1,7209;27;43;1,1163;0,6977;0,6279;1,3256;0,4381
81;29/05/2023;10:00;GERMANY;OBERLIGA MITTELRHEIN - ROUND 28;Freialdenhoven;Hennef;34;43;1,5116;36;42;1,8571;0,7907;0,8571;1,6478;0,6777
82;29/05/2023;10:00;GERMANY;OBERLIGA MITTELRHEIN - ROUND 28;Glesch-Paffendorf;VfL Vichttal;32;43;1,4419;36;43;2,0233;0,7442;0,8372;1,5814;0,623
83;29/05/2023;10:00;GERMANY;OBERLIGA MITTELRHEIN - ROUND 28;Siegburger;FC Viktoria 08;30;43;1,1628;34;43;1,3721;0,6977;0,7907;1,4884;0,5517
84;29/05/2023;10:30;GERMANY;OBERLIGA MITTELRHEIN - ROUND 28;Eintracht Hohkeppel;Pesch;24;30;1,4667;30;43;1,4651;0,8;0,6977;1,4977;0,5582
85;29/05/2023;10:30;GERMANY;OBERLIGA MITTELRHEIN - ROUND 28;Fortuna Koln II;Bergisch Gladbach;34;43;1,6512;31;42;1,381;0,7907;0,7381;1,5288;0,5836
86;29/05/2023;10:30;GERMANY;OBERLIGA MITTELRHEIN - ROUND 28;Friesdorf;Frechen;33;43;1,814;34;43;1,6047;0,7674;0,7907;1,5581;0,6068
