Nº;Date;Time;Country;League;Home;Away;golsHome;totalHome;AvgHome;golsAway;totalAway;AvgAway;avgSum
22;30/07/2023;20:00;COSTA RICA;PRIMERA DIVISION - APERTURA - ROUND 2;Sporting San Jose;San Carlos;3;1;3,0;1;1;1,0;4,0
23;30/07/2023;09:00;RUSSIA;PREMIER LEAGUE - ROUND 2;Rubin Kazan;Orenburg;2;1;2,0;2;1;2,0;4,0
24;30/07/2023;07:30;PHILIPPINES;COPA PAULINO ALCANTARA;University Of The Philippines;Pilipinas Dragons;4;1;4,0;0;0;0;4,0
25;30/07/2023;07:40;POLAND;DIVISION 1 - ROUND 2;Polonia Warszawa;Wisla;2;1;2,0;2;1;2,0;4,0
26;30/07/2023;15:15;SLOVENIA;PRVA LIGA - ROUND 2;Celje;Mura;2;1;2,0;2;1;2,0;4,0
27;30/07/2023;14:00;LATVIA;OPTIBET VIRSLIGA - ROUND 24;Riga FC;BFC Daugavpils;59;23;2,5652;31;23;1,3478;3,913
28;30/07/2023;15:00;LITHUANIA;A LYGA - ROUND 24;Zalgiris;FK Panevezys;42;22;1,9091;44;23;1,913;3,8221
29;30/07/2023;09:00;BELARUS;VYSSHAYA LIGA WOMEN - ROUND 20;Dynamo Brest W;Vitebsk W;37;17;2,1765;27;17;1,5882;3,7647
30;30/07/2023;12:00;FINLAND;YKKONEN;Mikkeli;Gnistan;31;16;1,9375;29;16;1,8125;3,75
31;30/07/2023;05:00;INDONESIA;LIGA 1 - ROUND 5;Persis Solo;Arema FC;9;4;2,25;6;4;1,5;3,75
32;30/07/2023;17:00;PARAGUAY;PRIMERA DIVISION - CLAUSURA - ROUND 4;Guairena FC;Tacuary;8;3;2,6667;3;3;1,0;3,6667
33;30/07/2023;10:00;MALAYSIA;SUPER LEAGUE - ROUND 18;Penang;Sabah;41;18;2,2778;22;17;1,2941;3,5719
34;30/07/2023;14:00;ICELAND;BESTA DEILD KARLA - ROUND 17;Vikingur Reykjavik;Vestmannaeyjar;38;16;2,375;19;16;1,1875;3,5625
35;30/07/2023;15:30;ROMANIA;LIGA 1 - ROUND 3;CFR Cluj;Univ. Craiova;5;2;2,5;2;2;1,0;3,5
36;30/07/2023;15:00;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 3;Toluca W;Pachuca W;4;2;2,0;3;2;1,5;3,5
37;30/07/2023;15:15;BULGARIA;PARVA LIGA - ROUND 3;Levski Sofia;Lok. Sofia;3;2;1,5;4;2;2,0;3,5
38;30/07/2023;07:30;KYRGYZSTAN;PREMIER LIGA - ROUND 12;Aldier;Abdish-Ata;32;14;2,2857;17;14;1,2143;3,5
39;30/07/2023;04:30;AUSTRALIA;NPL QUEENSLAND - ROUND 19;Gold Coast Knights;Peninsula;38;18;2,1111;24;18;1,3333;3,4444
40;30/07/2023;08:35;CHINA;SUPER LEAGUE - ROUND 19;Shandong Taishan;Beijing Guoan;28;18;1,5556;32;18;1,7778;3,3334
41;30/07/2023;19:30;PARAGUAY;PRIMERA DIVISION - CLAUSURA - ROUND 4;Resistencia;Cerro Porteno;6;3;2,0;4;3;1,3333;3,3333
42;30/07/2023;07:30;KYRGYZSTAN;PREMIER LIGA - ROUND 12;Muras United;Alga;27;14;1,9286;19;14;1,3571;3,2857
43;30/07/2023;08:30;RÉUNION;REGIONALE 1 - ROUND 16;Piton;Excelsior;33;15;2,2;16;15;1,0667;3,2667
44;30/07/2023;08:30;RÉUNION;REGIONALE 1 - ROUND 16;Saint-Pauloise;Jeanne d'Arc;23;15;1,5333;26;15;1,7333;3,2666
45;30/07/2023;12:00;NORWAY;ELITESERIEN - ROUND 16;Lillestrom;Ham-Kam;29;15;1,9333;19;15;1,2667;3,2
46;30/07/2023;02:00;AUSTRALIA;NPL NSW - ROUND 26;Sydney Utd;Wollongong Wolves;45;25;1,8;33;25;1,32;3,12
47;30/07/2023;19:00;USA;USL CHAMPIONSHIP;San Diego Loyal;Colorado Springs;34;19;1,7895;27;21;1,2857;3,0752
48;30/07/2023;08:30;RÉUNION;REGIONALE 1 - ROUND 16;St. Louis;Tamponnaise;28;15;1,8667;18;15;1,2;3,0667
49;30/07/2023;13:00;ICELAND;BESTA DEILD KARLA - ROUND 17;KA Akureyri;Kopavogur;20;15;1,3333;27;16;1,6875;3,0208
50;30/07/2023;10:00;CZECH REPUBLIC;FORTUNA:LIGA - ROUND 2;Ceske Budejovice;Slavia Prague;2;1;2,0;1;1;1,0;3,0
51;30/07/2023;19:00;DOMINICAN REPUBLIC;LDF - WINNERS STAGE - ROUND 3;Atletico Pantoja;Atlantico;4;2;2,0;3;3;1,0;3,0
52;30/07/2023;00:00;FIJI;PREMIER LEAGUE - ROUND 14;Suva;Navua;22;13;1,6923;17;13;1,3077;3,0
53;30/07/2023;17:30;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 3;Once Caldas;Dep. Cali;2;1;2,0;2;2;1,0;3,0
54;30/07/2023;12:30;ROMANIA;LIGA 1 - ROUND 3;Farul Constanta;Poli Iasi;5;2;2,5;1;2;0,5;3,0
55;30/07/2023;22:00;NORTH & CENTRAL AMERICA;LEAGUES CUP;Monterrey;Seattle Sounders;3;1;3,0;0;1;0,0;3,0
56;30/07/2023;10:00;SWEDEN;SUPERETTAN - ROUND 16;Vasteras SK;Gefle;26;15;1,7333;19;15;1,2667;3,0
57;30/07/2023;10:00;POLAND;EKSTRAKLASA - ROUND 2;Stal Mielec;Piast Gliwice;2;1;2,0;1;1;1,0;3,0
58;30/07/2023;11:00;SCOTLAND;LEAGUE CUP;Dundee FC;Inverness;4;3;1,3333;5;3;1,6667;3,0
59;30/07/2023;10:00;WORLD;CEE CUP;Sparta Prague U19;Palmeiras U19;3;1;3,0;0;0;0;3,0
60;30/07/2023;12:30;WORLD;CEE CUP;Slavia Prague U19;Flamengo RJ U19;3;1;3,0;0;0;0;3,0
61;30/07/2023;17:30;WORLD;COTIF TOURNAMENT;Valencia U20;Elche U20;2;1;2,0;1;1;1,0;3,0
62;30/07/2023;05:00;INDONESIA;LIGA 1 - ROUND 5;RANS Nusantara;PSS Sleman;6;4;1,5;6;4;1,5;3,0
63;30/07/2023;18:00;PANAMA;LPF - CLAUSURA - ROUND 2;Miguelito;Arabe Unido;3;1;3,0;0;1;0,0;3,0
64;30/07/2023;11:30;RUSSIA;PREMIER LEAGUE - ROUND 2;Fakel Voronezh;Lokomotiv Moscow;2;1;2,0;1;1;1,0;3,0
65;30/07/2023;08:30;RÉUNION;REGIONALE 1 - ROUND 16;Sainte-Suzanne;Saint-Pierroise;31;15;2,0667;14;15;0,9333;3,0
66;30/07/2023;10:00;BELARUS;VYSSHAYA LIGA WOMEN - ROUND 20;Dnepr Mogilev W;Dyussh-Polesgu W;50;18;2,7778;3;17;0,1765;2,9543
67;30/07/2023;17:55;ARGENTINA;PRIMERA NACIONAL - ROUND 24;Racing Cordoba;Ind. Rivadavia;41;23;1,7826;26;23;1,1304;2,913
68;30/07/2023;16:00;BRAZIL;SERIE A - ROUND 17;America MG;Palmeiras;28;16;1,75;17;15;1,1333;2,8833
69;30/07/2023;07:00;SOUTH KOREA;K LEAGUE 2 - ROUND 24;Bucheon FC 1995;Busan;30;21;1,4286;29;21;1,381;2,8096
70;30/07/2023;08:30;RÉUNION;REGIONALE 1 - ROUND 16;SC Chaudron;Trois Bassins;26;15;1,7333;16;15;1,0667;2,8
71;30/07/2023;10:00;SWEDEN;ALLSVENSKAN - ROUND 17;Hammarby;Norrkoping;24;16;1,5;22;17;1,2941;2,7941
72;30/07/2023;08:35;CHINA;SUPER LEAGUE - ROUND 19;Wuhan Three Towns;Qingdao Hainiu;28;18;1,5556;22;18;1,2222;2,7778
73;30/07/2023;16:00;BRAZIL;SERIE A - ROUND 17;Botafogo RJ;Coritiba;28;16;1,75;16;16;1,0;2,75
74;30/07/2023;09:00;INDONESIA;LIGA 1 - ROUND 5;Persija Jakarta;Persebaya;5;4;1,25;6;4;1,5;2,75
75;30/07/2023;10:00;KAZAKHSTAN;PREMIER LEAGUE - ROUND 17;Kaspij Aktau;Aktobe;29;16;1,8125;15;16;0,9375;2,75
76;30/07/2023;15:50;ARGENTINA;PRIMERA NACIONAL - ROUND 24;Chacarita Juniors;Aldosivi;33;23;1,4348;30;23;1,3043;2,7391
