Nº;Date;Time;Country;League;Home;Away;golsHome;totalHome;AvgHome;golsAway;totalAway;AvgAway;avgSum
114;30/07/2023;14:00;SENEGAL;LIGUE 1 - ROUND 26;Linguere;Generation F.;33;25;1,32;22;25;0,88;2,2
115;30/07/2023;15:30;ARGENTINA;PRIMERA C - ROUND 29;Sportivo Italiano;Liniers;31;26;1,1923;27;27;1,0;2,1923
116;30/07/2023;10:00;ZIMBABWE;PREMIER SOCCER LEAGUE - ROUND 17;Ngezi Platinum;Highlanders;14;16;0,875;21;16;1,3125;2,1875
117;30/07/2023;12:00;UZBEKISTAN;SUPER LEAGUE - ROUND 14;Bunyodkor;Sogdiana;14;13;1,0769;14;13;1,0769;2,1538
118;30/07/2023;11:00;KAZAKHSTAN;PREMIER LEAGUE - ROUND 17;Atyrau;Zhetysu Taldykorgan;18;16;1,125;16;16;1,0;2,125
119;30/07/2023;20:00;ARGENTINA;LIGA PROFESIONAL - ROUND 27;Godoy Cruz;Instituto;33;26;1,2692;22;26;0,8462;2,1154
120;30/07/2023;13:30;CHILE;PRIMERA DIVISION - ROUND 19;Magallanes;U. De Chile;20;18;1,1111;18;18;1,0;2,1111
121;30/07/2023;10:00;FINLAND;VEIKKAUSLIIGA;KuPS;KTP;22;17;1,2941;13;16;0,8125;2,1066
122;30/07/2023;12:30;SWEDEN;ALLSVENSKAN - ROUND 17;Goteborg;Kalmar;20;16;1,25;13;16;0,8125;2,0625
123;30/07/2023;12:00;NORWAY;ELITESERIEN - ROUND 16;Rosenborg;Odd;15;16;0,9375;18;16;1,125;2,0625
124;30/07/2023;16:00;CHILE;SEGUNDA DIVISION - ROUND 17;General Velasquez;Deportes Rengo;22;16;1,375;11;16;0,6875;2,0625
125;30/07/2023;17:00;CHILE;SEGUNDA DIVISION - ROUND 17;Trasandino;D. Concepcion;17;16;1,0625;16;16;1,0;2,0625
126;30/07/2023;11:00;BRAZIL;SERIE B - ROUND 20;Tombense;Criciuma;21;19;1,1053;18;19;0,9474;2,0527
127;30/07/2023;18:00;BRAZIL;SERIE B - ROUND 20;Ponte Preta;Vitoria;29;19;1,5263;10;19;0,5263;2,0526
128;30/07/2023;15:30;ARGENTINA;PRIMERA NACIONAL - ROUND 27;Club A. Guemes;Patronato;25;24;1,0417;24;25;0,96;2,0017
129;30/07/2023;22:00;NORTH & CENTRAL AMERICA;LEAGUES CUP;Los Angeles Galaxy;Vancouver Whitecaps;2;1;2,0;0;1;0,0;2,0
130;30/07/2023;20:05;MEXICO;LIGA DE EXPANSION MX - APERTURA - ROUND 2;Celaya;Tepatitlan de Morelos;1;1;1,0;1;1;1,0;2,0
131;30/07/2023;05:00;PHILIPPINES;COPA PAULINO ALCANTARA;Philippine Air Force;Loyola;1;1;1,0;2;2;1,0;2,0
132;30/07/2023;20:30;NORTH & CENTRAL AMERICA;LEAGUES CUP;Club Tijuana;Queretaro;1;1;1,0;1;1;1,0;2,0
133;30/07/2023;07:00;JAPAN;J2 LEAGUE - ROUND 28;Kanazawa;Omiya Ardija;31;27;1,1481;23;27;0,8519;2,0
134;30/07/2023;09:15;SWITZERLAND;CHALLENGE LEAGUE - ROUND 2;Wil;Vaduz;2;1;2,0;0;1;0,0;2,0
135;30/07/2023;05:15;CZECH REPUBLIC;DIVISION 2 - ROUND 2;Zizkov;Pribram;1;1;1,0;1;1;1,0;2,0
136;30/07/2023;15:00;ARGENTINA;PRIMERA NACIONAL - ROUND 24;Brown Adrogue;CA Estudiantes;22;23;0,9565;24;23;1,0435;2,0
137;30/07/2023;15:00;WORLD;COTIF TOURNAMENT;ADH Brasil;Saudi Arabia U20;1;1;1,0;1;1;1,0;2,0
138;30/07/2023;16:00;WORLD;ARAB CLUB CHAMPIONS CUP - ROUND 2;Al-Ittihad FC;CS Sfaxien;2;1;2,0;0;1;0,0;2,0
139;30/07/2023;12:00;WORLD;ARAB CLUB CHAMPIONS CUP - ROUND 2;Al Shorta;Esperance Tunis;1;1;1,0;1;1;1,0;2,0
140;30/07/2023;14:00;RUSSIA;PREMIER LEAGUE - ROUND 2;Akhmat Grozny;CSKA Moscow;1;1;1,0;1;1;1,0;2,0
