Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
1;25/08/2023;15:45;NORTHERN IRELAND;PREMIERSHIP WOMEN - ROUND 13;Glentoran W;Sion Swifts W;20;20;19;20;1,0;0,95;1,95;3,25;2,1418;2,2;1,3266;5,45
2;25/08/2023;13:00;CZECH REPUBLIC;JIHOCESKY KP - ROUND 4;Olesnik;Hluboka nad Vltavou;19;20;19;20;0,95;0,95;1,9;1,9;1,1358;2,0;1,3784;3,9
3;25/08/2023;14:30;GERMANY;OBERLIGA HAMBURG - ROUND 5;SC Victoria Hamburg;Wandsbeker Concordia;19;20;19;20;0,95;0,95;1,9;2,1;1,261;2,3;1,2689;4,4
4;25/08/2023;15:45;NORTHERN IRELAND;PREMIERSHIP WOMEN - ROUND 13;Linfield W;Derry City W;19;20;19;20;0,95;0,95;1,9;1,95;1,1608;2,4;1,562;4,35
5;25/08/2023;15:00;SWEDEN;DIVISION 2 - SÖDRA SVEALAND - ROUND 18;Farsta;Huddinge;17;20;20;20;0,85;1,0;1,85;1,6;1,0677;1,8;0,8124;3,4
6;25/08/2023;06:00;CZECH REPUBLIC;U19 LEAGUE - ROUND 4;Dukla Prague U19;Ceske Budejovice U19;18;20;19;20;0,9;0,95;1,85;1,65;1,0618;2,3;1,1874;3,95
7;25/08/2023;10:00;MALAYSIA;SUPER LEAGUE - ROUND 21;Kelantan;Selangor;20;20;17;20;1,0;0,85;1,85;2,5;1,118;1,5;1,1619;4,0
8;25/08/2023;14:00;SLOVAKIA;1. LIGA WOMEN - ROUND 3;Myjava W;Petrzalka W;20;20;17;20;1,0;0,85;1,85;3,75;2,2995;1,25;0,7665;5,0
9;25/08/2023;14:00;ENGLAND;PREMIER LEAGUE 2 - ROUND 3;Manchester City U21;Aston Villa U21;19;20;18;20;0,95;0,9;1,85;2,1;1,261;1,9;1,3379;4,0
10;25/08/2023;15:00;ENGLAND;PREMIER LEAGUE 2 - ROUND 3;Norwich U21;Chelsea U21;18;20;18;20;0,9;0,9;1,8;1,9;1,2207;2,0;1,3784;3,9
11;25/08/2023;21:00;BOLIVIA;DIVISION PROFESIONAL - ROUND 25;Oriente Petrolero;Guabira;17;20;19;20;0,85;0,95;1,8;1,4;0,8602;1,55;0,9734;2,95
12;25/08/2023;13:00;NORWAY;DIVISION 3 - GROUP 3 - ROUND 17;Stord;Sandnes Ulf 2;18;20;18;20;0,9;0,9;1,8;1,6;1,0198;1,9;1,4799;3,5
13;25/08/2023;16:15;ICELAND;DIVISION 1 - ROUND 19;Grotta;Throttur;17;20;19;20;0,85;0,95;1,8;1,6;1,2;2,2;1,1225;3,8
14;25/08/2023;06:00;CZECH REPUBLIC;U19 LEAGUE - ROUND 4;Brno U19;Sigma Olomouc U19;18;20;18;20;0,9;0,9;1,8;2,2;1,2884;1,55;1,1169;3,75
15;25/08/2023;07:45;AUSTRALIA;NPL SOUTH AUSTRALIAN - PLAY OFFS - SEMI-FINALS;Modbury Jets;NE Metrostars;18;20;18;20;0,9;0,9;1,8;2,05;1,3219;1,85;1,3143;3,9
16;25/08/2023;15:00;ICELAND;DIVISION 2 - ROUND 19;Fjallabyggd;Volsungur;18;20;18;20;0,9;0,9;1,8;1,75;1,0897;1,55;0,9734;3,3
17;25/08/2023;14:00;AUSTRIA;STEIERMARK - ROUND 4;Heiligenkreuz;SV Frauental;18;20;13;15;0,9;0,8667;1,7667;2,45;1,4654;1,8667;1,2037;4,3167
18;25/08/2023;13:00;CZECH REPUBLIC;JIHOCESKY KP - ROUND 4;Trhove Sviny;Rudolfov;17;20;18;20;0,85;0,9;1,75;1,95;1,1169;2,0;1,5811;3,95
19;25/08/2023;11:30;CZECH REPUBLIC;DIVISION E - ROUND 4;Novy Jicin;Prerov;17;20;18;20;0,85;0,9;1,75;1,6;1,2806;1,8;1,249;3,4
