Nº;Date;Time;Country;League;Home;Away;o15Home;totalHome;AvgHome;o15Away;totalAway;AvgAway;pHome;pAway;pSum;avgSum
1;05/08/2023;05:00;MONGOLIA;PREMIER LEAGUE - ROUND 1;Khaan Khuns-Erchim;Khovd;15;15;4,9333;15;15;6,5333;1,0;1,0;2,0;11,4666
2;05/08/2023;11:30;HUNGARY;HUNGARIAN CUP - 1/128-FINALS;Maklar;Karancslapujto;1;1;5,0;6;6;4,6667;1,0;1,0;2,0;9,6667
3;05/08/2023;11:30;HUNGARY;HUNGARIAN CUP - 1/128-FINALS;Fuzfoi;Lajoskomarom;2;2;5,5;1;1;3,0;1,0;1,0;2,0;8,5
4;05/08/2023;10:30;WALES;LEAGUE CUP - 1/16-FINALS;Colwyn Bay;Airbus;15;15;3,8;15;15;3,8;1,0;1,0;2,0;7,6
5;05/08/2023;10:00;GERMANY;OBERLIGA SCHLESWIG-HOLSTEIN - ROUND 2;Hohenwestedt;Neumunster;1;1;5,0;15;15;5,0667;1,0;1,0;2,0;10,0667
6;05/08/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/128-FINALS;Bacuch;Revuca;10;10;5,2;4;4;3,5;1,0;1,0;2,0;8,7
7;05/08/2023;11:00;NORTHERN IRELAND;NIFL CHAMPIONSHIP - ROUND 1;Ballyclare;Bangor FC;15;15;3,8;15;15;4,0667;1,0;1,0;2,0;7,8667
8;05/08/2023;06:00;BHUTAN;PREMIER LEAGUE;RTC;Namlha;2;2;3,5;2;2;5,0;1,0;1,0;2,0;8,5
9;05/08/2023;18:00;NORTH & CENTRAL AMERICA;CONCACAF CARIBBEAN SHIELD;Junior Stars (Sma);Metropolitan FA (Pur);3;3;3,6667;6;6;3,1667;1,0;1,0;2,0;6,8334
10;05/08/2023;10:30;GERMANY;OBERLIGA BADEN-WÜRTTEMBERG - ROUND 1;Essingen;Denzlingen;2;2;5,0;2;2;4,5;1,0;1,0;2,0;9,5
11;05/08/2023;14:00;BELGIUM;BELGIAN CUP - QUALIFICATION - 1/16-FINALS;Bree-Beek;Nieuwerkerken;2;2;6,0;1;1;4,0;1,0;1,0;2,0;10,0
12;05/08/2023;11:30;HUNGARY;HUNGARIAN CUP - 1/128-FINALS;Lorinci;Bank;1;1;7,0;15;15;4,1333;1,0;1,0;2,0;11,1333
13;05/08/2023;11:30;HUNGARY;HUNGARIAN CUP - 1/128-FINALS;K.Ocsard SE;Dunafoldvar;2;2;4,5;2;2;5,0;1,0;1,0;2,0;9,5
14;05/08/2023;10:30;WALES;LEAGUE CUP - 1/16-FINALS;Swansea U21;Caerau Ely;15;15;5,3333;15;15;3,8667;1,0;1,0;2,0;9,2
15;05/08/2023;12:00;POLAND;III LIGA - GROUP I - ROUND 1;GKS Belchatow;Pelikan;15;15;3,2667;14;15;3,1333;1,0;0,9333;1,9333;6,4
16;05/08/2023;13:00;FAROE ISLANDS;1. DEILD - ROUND 17;Skala Itrottarfelag;NSI Runavik;15;15;3,9333;14;15;4,4667;1,0;0,9333;1,9333;8,4
17;05/08/2023;11:00;SCOTLAND;LOWLAND LEAGUE;Broomhill;Edinburgh University;15;15;3,8667;14;15;4,2667;1,0;0,9333;1,9333;8,1334
18;05/08/2023;11:00;AUSTRIA;REGIONALLIGA EAST - ROUND 2;Mauerwerk;SV Oberwart;15;15;4,0667;14;15;4,6667;1,0;0,9333;1,9333;8,7334
19;05/08/2023;07:30;PHILIPPINES;COPA PAULINO ALCANTARA;Philippine Army;Adamson University;14;15;4,4667;2;2;2,5;0,9333;1,0;1,9333;6,9667
20;05/08/2023;10:00;NORWAY;DIVISION 3 - GROUP 5 - ROUND 14;Orkla;Steinkjer;14;15;5,1333;15;15;5,1333;0,9333;1,0;1,9333;10,2666
21;05/08/2023;14:30;AUSTRIA;BUNDESLIGA - ROUND 2;Sturm Graz;LASK;15;15;3,7333;14;15;3,8;1,0;0,9333;1,9333;7,5333
22;05/08/2023;20:45;NORTH & CENTRAL AMERICA;CONCACAF CARIBBEAN SHIELD;St. Pauls United (Sai);Jong Holland (Cur);1;1;2,0;14;15;2,9333;1,0;0,9333;1,9333;4,9333
23;05/08/2023;10:30;FINLAND;SUOMEN CUP WOMEN - QUARTER-FINALS;Aland Utd W;KuPS W;14;15;4,2;15;15;5,0667;0,9333;1,0;1,9333;9,2667
24;05/08/2023;11:00;ENGLAND;SOUTHERN LEAGUE SOUTH DIVISION - ROUND 1;Merthyr Town;Dorchester;14;15;3,4;15;15;3,4667;0,9333;1,0;1,9333;6,8667
25;05/08/2023;08:00;ESTONIA;MEISTRILIIGA WOMEN - ROUND 12;Flora W;Tallina Kalev W;15;15;5,9333;14;15;4,1333;1,0;0,9333;1,9333;10,0666
26;05/08/2023;09:00;ESTONIA;MEISTRILIIGA WOMEN - ROUND 12;Parnu JK Vaprus W;Polva Lootos W;15;15;7,6;14;15;4,6667;1,0;0,9333;1,9333;12,2667
