Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
1;23/08/2023;10:00;NORWAY;NASJONAL U19 CL - LOSERS PLAY OFFS - QUARTER-FINALS;Rosenborg U19;Valerenga U19;20;20;19;20;1,0;0,95;1,95;3,05;1,4992;2,4;1,6852;5,45
2;23/08/2023;13:30;GERMANY;JUNIOREN BUNDESLIGA SOUTH - ROUND 3;Eintracht Frankfurt U19;Hoffenheim U19;19;20;19;20;0,95;0,95;1,9;1,6;0,9695;2,3;1,2689;3,9
3;23/08/2023;13:30;GERMANY;JUNIOREN BUNDESLIGA SOUTH - ROUND 3;Munich 1860 U19;Nurnberg U19;20;20;17;20;1,0;0,85;1,85;1,7;0,9;1,65;1,1079;3,35
4;23/08/2023;12:30;POLAND;III LIGA - GROUP II - ROUND 4;Kleczew;Starogard Gdanski;18;20;18;20;0,9;0,9;1,8;1,6;1,2806;1,3;0,781;2,9
5;23/08/2023;02:00;MONGOLIA;PREMIER LEAGUE - ROUND 4;Tuv Buganuud;Falcons;20;20;16;20;1,0;0,8;1,8;2,45;1,1169;1,65;1,3883;4,1
6;23/08/2023;10:00;BELARUS;VYSSHAYA LIGA WOMEN - ROUND 26;Dyussh-Polesgu W;Minsk FK W;19;20;17;20;0,95;0,85;1,8;4,6;2,3958;2,65;1,6815;7,25
7;23/08/2023;13:00;CZECH REPUBLIC;DIVISION C - ROUND 1;Hlinsko;Spoje Prague;18;20;18;20;0,9;0,9;1,8;1,65;1,1079;1,9;1,3379;3,55
8;23/08/2023;11:00;UKRAINE;CHAMPIONSHIP WOMEN - ROUND 1;Kryvbas W;Vorskla Poltava W;16;20;20;20;0,8;1,0;1,8;2,0;1,4832;3,1;1,7578;5,1
9;23/08/2023;16:00;SCOTLAND;SWPL 1 WOMEN - ROUND 3;Hamilton W;Partick Thistle W;17;20;18;20;0,85;0,9;1,75;1,85;1,4586;1,25;0,6982;3,1
10;23/08/2023;14:30;GERMANY;JUNIOREN BUNDESLIGA WEST - ROUND 3;Leverkusen U19;Verl U19;18;20;17;20;0,9;0,85;1,75;1,7;1,005;1,45;1,0235;3,15
11;23/08/2023;16:00;SCOTLAND;SWPL 1 WOMEN - ROUND 3;Glasgow City W;Motherwell W;18;20;17;20;0,9;0,85;1,75;1,65;1,4239;1,45;1,0235;3,1
12;23/08/2023;09:00;GERMANY;JUNIOREN BUNDESLIGA NORTH - ROUND 3;Hansa Rostock U19;St. Pauli U19;18;20;17;20;0,9;0,85;1,75;2,2;1,3266;1,75;1,0897;3,95
13;23/08/2023;23:00;COSTA RICA;LIGA DE ASCENSO - APERTURA - ROUND 6;Cofutpa;ADR Jicaral;19;20;16;20;0,95;0,8;1,75;1,6;0,9165;1,45;1,2835;3,05
14;23/08/2023;14:00;GERMANY;3. LIGA - ROUND 3;Viktoria Koln;RW Essen;17;20;18;20;0,85;0,9;1,75;1,75;1,4098;1,55;0,8646;3,3
15;23/08/2023;08:00;NORWAY;NASJONAL U19 CL - PLAY OFFS - QUARTER-FINALS;Brann U19;Ham-Kam U19;19;20;16;20;0,95;0,8;1,75;2,25;1,26;1,5;1,2845;3,75
16;23/08/2023;20:30;USA;USL LEAGUE ONE;Tormenta;Northern Colorado;18;20;16;20;0,9;0,8;1,7;1,8;1,1225;1,65;1,2757;3,45
17;23/08/2023;12:30;CZECH REPUBLIC;STREDOCESKY KP - ROUND 1;Dobris;Kutna Hora;16;20;18;20;0,8;0,9;1,7;1,5;1,1619;1,95;1,2031;3,45
18;23/08/2023;15:30;SCOTLAND;SWPL 1 WOMEN - ROUND 3;Dundee Utd W;Hibernian W;16;20;18;20;0,8;0,9;1,7;1,75;1,26;1,55;1,0235;3,3
19;23/08/2023;08:00;NORWAY;NASJONAL U19 CL - PLAY OFFS - QUARTER-FINALS;Molde U19;Viking U19;17;20;17;20;0,85;0,85;1,7;2,45;1,5961;2,2;1,6912;4,65
20;23/08/2023;15:00;SWITZERLAND;1.LIGA CLASSIC GROUP 1;Echallens;Vevey;20;20;14;20;1,0;0,7;1,7;1,9;0,8307;1,25;1,1779;3,15
21;23/08/2023;13:00;WORLD;CLUB FRIENDLY WOMEN;AC Milan W (Ita);America de Cali W (Col);16;20;18;20;0,8;0,9;1,7;1,4;1,0198;1,45;0,669;2,85
22;23/08/2023;14:00;GERMANY;3. LIGA - ROUND 3;Saarbrucken;Verl;15;20;19;20;0,75;0,95;1,7;1,3;0,9539;1,75;0,9937;3,05
23;23/08/2023;08:30;ASIA;AFC CUP - QUALIFICATION - PLAY OFFS - FINAL;Monte Carlo (Mac);Taichung (Tpe);19;20;15;20;0,95;0,75;1,7;2,7;1,5843;1,2;0,9274;3,9
24;23/08/2023;07:15;AUSTRALIA;NPL TASMANIA - ROUND 16;Launceston United;Devonport;16;17;15;20;0,9412;0,75;1,6912;2,4118;1,5362;1,7;1,5524;4,1118
25;23/08/2023;13:00;POLAND;III LIGA - GROUP II - ROUND 4;Nowe Skalmierzyce;Pogon Szczecin II;16;20;17;20;0,8;0,85;1,65;1,1;0,8307;1,5;1,0247;2,6
26;23/08/2023;12:00;RUSSIA;RUSSIAN CUP - REGIONS PATH - 1/16-FINALS;Vladimir;Khimik;17;20;16;20;0,85;0,8;1,65;1,75;1,2196;1,45;1,1608;3,2
27;23/08/2023;13:30;GERMANY;JUNIOREN BUNDESLIGA WEST - ROUND 3;Duisburg U19;Paderborn U19;16;20;17;20;0,8;0,85;1,65;1,6;1,241;1,55;1,1169;3,15
28;23/08/2023;16:00;EUROPE;CHAMPIONS LEAGUE - QUALIFICATION - FINAL;Maccabi Haifa (Isr);Young Boys (Sui);16;20;17;20;0,8;0,85;1,65;1,35;0,9097;2,05;1,4309;3,4
29;23/08/2023;13:30;GERMANY;JUNIOREN BUNDESLIGA WEST - ROUND 3;B. Monchengladbach U19;Dusseldorf U19;17;20;16;20;0,85;0,8;1,65;2,35;1,4586;1,95;1,4992;4,3
30;23/08/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/64-FINALS;Rusovce;Samorin;15;20;18;20;0,75;0,9;1,65;1,6;1,3191;1,9;1,179;3,5
31;23/08/2023;12:00;POLAND;III LIGA - GROUP I - ROUND 4;Swit Mazowiecki;Jagiellonia II;16;20;17;20;0,8;0,85;1,65;1,4;1,0677;1,35;0,8529;2,75
32;23/08/2023;18:00;COSTA RICA;LIGA DE ASCENSO - APERTURA - ROUND 6;Santa Ana;Cariari Pococi;15;20;18;20;0,75;0,9;1,65;1,4;1,241;1,7;1,1446;3,1
33;23/08/2023;20:30;USA;USL LEAGUE ONE;Greenville;Chattanooga Red Wolves;16;20;17;20;0,8;0,85;1,65;1,5;1,0247;1,35;0,9631;2,85
34;23/08/2023;15:30;SWITZERLAND;1.LIGA CLASSIC GROUP 1;Grand-Saconnex;Sarraz-Ecleplens;16;20;17;20;0,8;0,85;1,65;1,4;1,1576;1,4;0,9695;2,8
35;23/08/2023;12:30;WORLD;CLUB FRIENDLY WOMEN;Uppsala W (Swe);Hammarby W (Swe);18;20;15;20;0,9;0,75;1,65;1,75;1,0428;1,35;1,1522;3,1
36;23/08/2023;06:00;GERMANY;JUNIOREN BUNDESLIGA NORTH - ROUND 3;Dresden U19;Braunschweig U19;14;20;19;20;0,7;0,95;1,65;1,6;1,4283;2,1;1,2207;3,7
37;23/08/2023;17:00;ECUADOR;SERIE B - ROUND 26;Nueve de Octubre;America de Quito;19;20;14;20;0,95;0,7;1,65;1,6;0,8602;1,1;0,995;2,7
38;23/08/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/64-FINALS;Lok. Kosice;Slavia TU Kosice;18;20;15;20;0,9;0,75;1,65;1,95;1,2031;1,5;1,3229;3,45
39;23/08/2023;11:00;POLAND;III LIGA - GROUP III - ROUND 4;Slask Wroclaw 2;Unia Turza Slaska;16;20;17;20;0,8;0,85;1,65;1,55;1,0712;1,7;1,3454;3,25
40;23/08/2023;14:00;POLAND;III LIGA - GROUP I - ROUND 4;Bron Radom;Legia II;17;20;16;20;0,85;0,8;1,65;1,6;1,1136;1,85;1,2757;3,45
41;23/08/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/64-FINALS;Besenov;Sala;14;16;15;20;0,875;0,75;1,625;2,0625;1,819;1,65;1,2757;3,7125
42;23/08/2023;17:00;COSTA RICA;LIGA DE ASCENSO - APERTURA - ROUND 6;Jaco;Quepos Cambute;16;20;16;20;0,8;0,8;1,6;1,8;1,3266;1,4;1,0198;3,2
43;23/08/2023;09:45;TURKMENISTAN;YOKARY LIGA - ROUND 15;FC Asgabat;Ahal;14;20;18;20;0,7;0,9;1,6;1,1;0,9434;1,95;1,4654;3,05
44;23/08/2023;14:00;SWEDEN;SVENSKA CUPEN - QUALIFICATION - FINAL;Falkenberg;Oster;18;20;14;20;0,9;0,7;1,6;1,7;1,1;1,35;1,1079;3,05
45;23/08/2023;13:45;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Hibernian (Sco);Aston Villa (Eng);14;20;18;20;0,7;0,9;1,6;1,2;0,9798;1,6;1,241;2,8
46;23/08/2023;12:30;GERMANY;JUNIOREN BUNDESLIGA SOUTH - ROUND 3;Heidenheim U19;Bayern U19;15;20;17;20;0,75;0,85;1,6;1,35;1,1522;1,7;1,1446;3,05
47;23/08/2023;06:00;GERMANY;JUNIOREN BUNDESLIGA SOUTH - ROUND 3;Karlsruher SC U19;Ingolstadt U19;18;20;14;20;0,9;0,7;1,6;1,75;1,1347;1,7;1,7349;3,45
48;23/08/2023;12:00;POLAND;III LIGA - GROUP IV - ROUND 4;Podhale Nowy Targ;Garbarnia;14;20;18;20;0,7;0,9;1,6;1,25;1,1347;1,65;1,0137;2,9
49;23/08/2023;06:00;GERMANY;JUNIOREN BUNDESLIGA NORTH - ROUND 3;Hamburger SV U19;Jena U19;18;20;14;20;0,9;0,7;1,6;2,0;1,3038;1,05;0,8047;3,05
50;23/08/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/64-FINALS;Rudnany;Stropkov;17;20;15;20;0,85;0,75;1,6;1,65;1,1079;1,75;1,5124;3,4
51;23/08/2023;14:00;GERMANY;REGIONALLIGA NORDOST - ROUND 2;Berliner AK 07;Hertha Berlin II;16;20;16;20;0,8;0,8;1,6;1,65;1,5256;1,7;1,1874;3,35
