Nº;Date;Time;Country;League;Home;Away;jogosHome;totalHome;jogosAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
1;19/08/2023;13:00;AFRICA;CAF CONFEDERATION CUP - QUALIFICATION - SEMI-FINALS;ASC Kara (Tog);Academie de FAD (Ivo);20;30;26;30;0,6667;0,8667;1,5334;2,0667;1,436;1,4667;1,1175;3,5334
2;19/08/2023;22:20;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 6;La Equidad;Junior;21;30;23;30;0,7;0,7667;1,4667;2,1667;1,4162;1,8667;1,5434;4,0334
3;19/08/2023;18:00;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 6;Pereira;Jaguares de Cordoba;22;30;21;30;0,7333;0,7;1,4333;1,7667;1,1455;1,9667;0,9123;3,7334
4;19/08/2023;18:00;PANAMA;LPF - CLAUSURA - ROUND 5;Deportivo Universitario;San Francisco;20;30;21;30;0,6667;0,7;1,3667;2,2333;1,9439;1,9333;1,4126;4,1666
5;19/08/2023;21:35;ARGENTINA;PRIMERA B - CLAUSURA - ROUND 10;Ituzaingo;San Miguel;22;30;18;30;0,7333;0,6;1,3333;1,6667;1,422;2,0;1,3904;3,6667
6;19/08/2023;21:00;ARGENTINA;COPA DE LA LIGA PROFESIONAL - ROUND 1;Velez Sarsfield;Barracas Central;18;30;21;30;0,6;0,7;1,3;2,1667;1,7143;2,0667;1,8062;4,2334
7;19/08/2023;20:00;ARGENTINA;PRIMERA NACIONAL - ROUND 26;Quilmes;Villa Dalmine;20;30;18;30;0,6667;0,6;1,2667;2,1;1,3748;2,0;1,2383;4,1
8;19/08/2023;14:00;AFRICA;CAF CONFEDERATION CUP - QUALIFICATION - SEMI-FINALS;Douane (Mrt);SOAR (Gui);19;30;19;30;0,6333;0,6333;1,2666;2,1;1,106;1,9;1,4686;4,0
9;19/08/2023;19:00;ARGENTINA;TORNEO FEDERAL - ROUND 26;Santamarina;Olimpo Bahia Blanca;19;30;19;30;0,6333;0,6333;1,2666;2,1333;1,4079;2,4;1,3808;4,5333
10;19/08/2023;21:00;BRAZIL;SERIE A - ROUND 20;Cruzeiro;Corinthians;20;30;17;30;0,6667;0,5667;1,2334;2,0667;1,4591;2,2333;1,3337;4,3
11;19/08/2023;22:05;MEXICO;LIGA DE EXPANSION MX - APERTURA - ROUND 5;Cancun;Atl. Morelia;18;30;19;30;0,6;0,6333;1,2333;2,2;1,7588;2,2333;1,4067;4,4333
