Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;avgAway;avgAvg;0x0;1x0;2x0;1x1;0x1;0x2;U25;O25
178;08/09/2023;12:00;CZECH REPUBLIC;MSFL - ROUND 6;Zlinsko;Karvina B;30;19;40;21;1,5514;1,7419;1,6466;3,71;5,76;4,47;10,03;6,47;5,63;36,07;63,59
179;08/09/2023;15:30;WALES;CYMRU SOUTH - ROUND 6;Abergavenny Town;Cwmbran Celtic;24;22;41;19;1,4665;1,8289;1,6477;3,71;5,43;3,98;9,94;6,78;6,2;36,04;63,6
180;08/09/2023;12:00;POLAND;III LIGA - GROUP IV - ROUND 7;Wiazownica;Podhale Nowy Targ;33;21;46;23;1,5466;1,7619;1,6542;3,66;5,66;4,37;9,97;6,44;5,68;35,78;63,91
181;08/09/2023;14:00;GERMANY;REGIONALLIGA SUDWEST - ROUND 7;FC 08 Homburg;FSV Frankfurt;43;22;37;22;1,7045;1,6136;1,6591;3,62;6,17;5,26;9,96;5,84;4,72;35,57;64,05
182;08/09/2023;21:15;CANADA;U SPORTS;UQAM;Sherbrooke;34;23;17;23;2,3043;1,0217;1,663;3,59;8,28;9,54;8,46;3,67;1,88;35,42;63,64
183;08/09/2023;17:00;NORTH & CENTRAL AMERICA;CONCACAF NATIONS LEAGUE - LEAGUE A - ROUND 1;Haiti;Cuba;58;21;29;30;2,2976;1,031;1,6643;3,58;8,24;9,46;8,49;3,7;1,9;35,37;63,68
184;08/09/2023;17:00;NORTH & CENTRAL AMERICA;CONCACAF NATIONS LEAGUE - LEAGUE B - ROUND 1;Belize;Saint Vincent and the Grenadines;24;20;24;22;2,2364;1,1205;1,6784;3,48;7,79;8,71;8,73;3,9;2,19;34,8;64,35
185;08/09/2023;10:00;ENGLAND;PROFESSIONAL DEVELOPMENT LEAGUE;Sheffield Wed U21;Charlton U21;14;16;32;21;1,5804;1,7932;1,6868;3,43;5,42;4,28;9,71;6,14;5,51;34,49;65,09
186;08/09/2023;13:00;EUROPE;EURO U21 - QUALIFICATION;Sweden U21;North Macedonia U21;60;22;34;22;2,1818;1,2045;1,6932;3,38;7,38;8,05;8,89;4,08;2,45;34,23;65,02
187;08/09/2023;12:00;POLAND;III LIGA - GROUP II - ROUND 7;Unia Swarzedz;Sroda;29;21;53;22;1,645;1,7522;1,6986;3,35;5,51;4,53;9,65;5,86;5,14;34,04;65,58
188;08/09/2023;11:00;ROMANIA;LIGA 3 - SERIA 9 - ROUND 3;Targu Mures 1898;Metalurgistul Cugir;31;17;28;22;1,8209;1,5775;1,6992;3,34;6,09;5,54;9,6;5,27;4,16;34,0;65,59
189;08/09/2023;14:30;BELGIUM;PRO LEAGUE U21 - ROUND 12;Oostende U21;St. Truiden U21;58;20;38;21;2,0452;1,3548;1,7;3,34;6,83;6,98;9,25;4,52;3,06;33,98;65,48
