Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;avgAway;avgAvg;0x0;1x0;2x0;1x1;0x1;0x2;U25;O25
252;08/09/2023;15:00;MEXICO;LIGA PREMIER SERIE B - ROUND 5;Dongu;Ciervos;55;23;20;22;2,7638;1,4328;2,0983;1,5;4,16;5,75;5,96;2,16;1,54;21,07;76,56
253;08/09/2023;13:00;WORLD;FRIENDLY INTERNATIONAL;Germany U16;Austria U16;57;19;38;19;2,3158;1,9474;2,1316;1,41;3,26;3,77;6,35;2,74;2,67;20,2;78,44
254;08/09/2023;12:30;CZECH REPUBLIC;PRAZSKY PREBOR - ROUND 6;Motorlet Prague B;Treboradice;57;22;30;21;2,8907;1,3734;2,132;1,41;4,07;5,88;5,58;1,93;1,33;20,2;76,94
255;08/09/2023;20:00;USA;MLS NEXT PRO;Columbus Crew 2;New York City II;78;23;39;20;2,6957;1,6054;2,1505;1,36;3,65;4,92;5,87;2,18;1,75;19,73;78,1
256;08/09/2023;14:30;GERMANY;OBERLIGA HAMBURG - ROUND 7;SC Victoria Hamburg;Sasel;58;23;52;22;1,9427;2,4427;2,1927;1,25;2,42;2,35;5,91;3,04;3,72;18,69;79,69
257;08/09/2023;14:00;AUSTRIA;TIROL - ROUND 8;Fugen;Innsbrucker AC;42;21;32;21;2,9048;1,5714;2,2381;1,14;3,3;4,8;5,19;1,79;1,4;17,62;79,36
258;08/09/2023;14:00;AUSTRIA;STEIERMARK - ROUND 6;Heiligenkreuz;Weinland Gamlitz;55;18;30;15;2,6278;1,8611;2,2444;1,12;2,95;3,88;5,49;2,09;1,95;17,48;80,43
259;08/09/2023;13:00;CZECH REPUBLIC;PRAZSKY PREBOR - ROUND 6;Zizkov B;Dukla JM;48;22;67;22;2,1136;2,4545;2,2841;1,04;2,19;2,32;5,38;2,55;3,13;16,61;81,53
260;08/09/2023;14:30;AUSTRIA;NIEDEROSTERREICH - ROUND 6;Langenrohr;Wiener Neustadt;25;16;27;21;2,0193;2,5491;2,2842;1,04;2,09;2,12;5,34;2,64;3,37;16,6;81,37
261;08/09/2023;11:30;SLOVENIA;1. SZNL WOMEN - ROUND 5;Olimpija W;Krim W;212;23;12;22;9,7223;0,7075;5,2149;0,0;0,03;0,14;0,02;0,0;0,0;0,19;14,66
