Nº;ID;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;avgAway;avgSum;0x0;1x0;2x0;1x1;0x1;0x2;U25;O25
1;tKR0PEIF;11/09/2023;03:00;INDONESIA;LIGA 2 - ROUND 1;PSBS Biak Numfor;Persewar Waropen;18;22;14;20;1,0091;0,6227;1,6318;19,56;19,74;9,96;12,29;12,18;3,79;77,52;22,48
2;0Gn8P9ON;11/09/2023;17:00;COLOMBIA;PRIMERA B - CLAUSURA - ROUND 10;Boca Juniors;Llaneros;20;22;17;21;0,9069;0,8139;1,7208;17,89;16,23;7,36;13,21;14,56;5,93;75,18;24,81
3;AyqOMyIP;11/09/2023;15:45;ITALY;SERIE C - GROUP C - ROUND 2;Picerno;Taranto;22;20;11;22;1,1636;0,65;1,8136;16,31;18,97;11,04;12,33;10,6;3,44;72,69;27,28
4;Qegh337E;11/09/2023;12:30;IRAN;DIVISION 1 - ROUND 2;Esteghlal Molasani;Chadormalu;31;22;14;17;1,1163;0,7981;1,9144;14,74;16,46;9,19;13,13;11,77;4,7;69,99;29,99
5;6e4D2GR0;11/09/2023;21:10;ARGENTINA;PRIMERA NACIONAL - ROUND 33;Def. de Belgrano;Almirante Brown;26;20;16;22;1,2864;0,6886;1,975;13,88;17,85;11,48;12,29;9,56;3,29;68,35;31,61
6;W2ubOpS1;11/09/2023;20:30;BRAZIL;SERIE B - ROUND 27;Avai;Novorizontino;26;21;21;21;0,9762;1,0;1,9762;13,86;13,53;6,6;13,53;13,86;6,93;68,31;31,65
7;KYrf2j32;11/09/2023;22:30;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 10;Bucaramanga;Petrolera;25;22;16;21;1,1872;0,79;1,9773;13,84;16,44;9,76;12,99;10,94;4,32;68,29;31,68
8;GSYQzvUT;11/09/2023;15:30;ARGENTINA;PRIMERA C - ROUND 34;Berazategui;Claypole;21;20;18;22;1,0705;0,9091;1,9795;13,81;14,79;7,91;13,44;12,56;5,71;68,22;31,74
9;lfMxfSAr;11/09/2023;20:15;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 10;Huila;Deportes Tolima;23;22;14;21;1,2132;0,7879;2,0011;13,52;16,4;9,95;12,92;10,65;4,2;67,64;32,31
10;KdLul2vC;11/09/2023;20:15;PARAGUAY;DIVISION INTERMEDIA - ROUND 26;Independiente FBC;Martin Ledesma;28;22;16;22;1,1818;0,8409;2,0227;13,23;15,63;9,24;13,15;11,12;4,68;67,05;32,93
11;S4593dCf;11/09/2023;21:00;ARGENTINA;PRIMERA NACIONAL - ROUND 33;Estudiantes Rio Cuarto;Deportivo Moron;26;22;23;23;1,1779;0,8864;2,0642;12,69;14,95;8,8;13,25;11,25;4,99;65,93;34,05
12;WxC05Isr;11/09/2023;15:40;ARGENTINA;PRIMERA NACIONAL - ROUND 33;Nueva Chicago;Patronato;27;21;11;21;1,3571;0,7143;2,0714;12,6;17,1;11,6;12,21;9,0;3,21;65,72;34,23
13;bmlUtY38;11/09/2023;16:00;FRANCE;NATIONAL - ROUND 5;Orleans;Le Mans;19;21;23;22;1,1569;0,9989;2,1558;11,58;13,4;7,75;13,38;11,57;5,78;63,46;36,51
14;nHhNCji0;11/09/2023;15:00;PERU;LIGA 2 - ROUND 24;Deportivo Coopsol;Pirata;21;21;12;21;1,5238;0,6667;2,1905;11,19;17,05;12,99;11,36;7,46;2,49;62,54;37,37
15;nDr4Qk9H;11/09/2023;17:00;COLOMBIA;PRIMERA B - CLAUSURA - ROUND 10;Patriotas;Atletico F.C.;28;21;17;22;1,4848;0,7197;2,2045;11,03;16,38;12,16;11,79;7,94;2,86;62,16;37,75
16;S62qgLqb;11/09/2023;15:30;ARGENTINA;PRIMERA C - ROUND 34;Central Cordoba;Atlas;24;21;21;21;1,2619;0,9524;2,2143;10,92;13,78;8,7;13,13;10,4;4,95;61,88;38,04
17;dnYwKmno;11/09/2023;19:00;COLOMBIA;PRIMERA B - CLAUSURA - ROUND 10;Barranquilla;Fortaleza;26;21;20;21;1,0476;1,1667;2,2143;10,92;11,44;5,99;13,35;12,74;7,43;61,87;38,06
18;pp0nIlR7;11/09/2023;14:30;FRANCE;NATIONAL - ROUND 5;Red Star;Rouen;26;20;25;18;0,9556;1,2694;2,225;10,81;10,33;4,93;13,11;13,72;8,71;61,61;38,34
19;SrYDtTkT;11/09/2023;20:00;ARGENTINA;PRIMERA B - CLAUSURA - ROUND 13;Argentino de Merlo;Ituzaingo;27;21;18;21;1,4524;0,7857;2,2381;10,67;15,49;11,25;12,17;8,38;3,29;61,25;38,66
20;YPAtxmbp;11/09/2023;15:30;ARGENTINA;PRIMERA B - CLAUSURA - ROUND 13;Fenix;Dep. Merlo;20;20;21;21;1,1429;1,125;2,2679;10,35;11,83;6,76;13,31;11,65;6,55;60,45;39,53
