Nº;Date;Time;Country;League;Home;Away;jogosHome;totalHome;jogosAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
70;21/08/2023;07:00;SOUTH KOREA;K LEAGUE 2 - ROUND 27;Seongnam;Bucheon FC 1995;11;30;18;30;0,3667;0,6;0,9667;2,7667;1,7829;2,5;1,8394;5,2667
71;21/08/2023;14:30;BULGARIA;PARVA LIGA - ROUND 6;CSKA 1948 Sofia;Etar;15;30;14;30;0,5;0,4667;0,9667;2,7667;1,7065;2,6333;1,3536;5,4
72;21/08/2023;12:00;BULGARIA;VTORA LIGA - ROUND 6;Ludogorets II;Chernomorets Balchik;17;30;12;30;0,5667;0,4;0,9667;2,4667;1,3098;3,1333;1,8209;5,6
73;21/08/2023;14:00;DENMARK;SUPERLIGA - ROUND 5;Viborg;Vejle;12;30;17;30;0,4;0,5667;0,9667;2,7333;1,6316;2,3333;1,7764;5,0666
74;21/08/2023;14:00;CYPRUS;CYTA CHAMPIONSHIP - ROUND 1;Aris;AEK Larnaca;13;30;16;30;0,4333;0,5333;0,9666;3,2;2,0559;2,6333;1,4941;5,8333
75;21/08/2023;15:30;PARAGUAY;DIVISION INTERMEDIA - ROUND 22;Sp. Carapegua;24 de Setiembre;15;30;10;22;0,5;0,4545;0,9545;2,5667;1,9267;2,7727;2,1306;5,3394
76;21/08/2023;14:00;FAROE ISLANDS;PREMIER LEAGUE - ROUND 19;B36 Torshavn;Toftir;14;30;14;30;0,4667;0,4667;0,9334;2,6667;1,3744;2,7333;1,4817;5,4
77;21/08/2023;07:30;SOUTH KOREA;K LEAGUE 2 - ROUND 27;Gyeongnam;Cheonan City;14;30;14;30;0,4667;0,4667;0,9334;2,7;1,6155;2,7667;1,5638;5,4667
78;21/08/2023;13:00;POLAND;DIVISION 1 - ROUND 5;Pruszkow;GKS Katowice;14;30;14;30;0,4667;0,4667;0,9334;2,6667;1,6193;2,7;1,394;5,3667
79;21/08/2023;10:30;BELARUS;PERSHAYA LIGA - ROUND 20;Petrikov;Baranovici;14;30;14;30;0,4667;0,4667;0,9334;3,1333;2,0934;2,9667;1,8705;6,1
80;21/08/2023;12:30;BOSNIA AND HERZEGOVINA;PRVA LIGA - RS - ROUND 2;Modrica;Radnik Bijeljina;9;30;19;30;0,3;0,6333;0,9333;3,1333;1,7269;2,3333;1,422;5,4666
81;21/08/2023;10:00;ARMENIA;FIRST LEAGUE - ROUND 4;Lernayin Artsakh;FC Gandzasar;19;30;9;30;0,6333;0,3;0,9333;2,1667;1,3924;3,5333;2,3627;5,7
82;21/08/2023;14:00;SWEDEN;DIVISION 1 - SÖDRA - ROUND 18;Norrby;Ahlafors IF;12;30;15;30;0,4;0,5;0,9;3,2333;1,6869;3,0667;2,1124;6,3
83;21/08/2023;13:24;RUSSIA;FNL - ROUND 6;Torpedo Moscow;Neftekhimik;12;30;15;30;0,4;0,5;0,9;2,9667;1,5596;2,7;1,9519;5,6667
84;21/08/2023;16:00;ENGLAND;PREMIER LEAGUE - ROUND 2;Crystal Palace;Arsenal;18;30;9;30;0,6;0,3;0,9;2,3667;1,663;3,5333;1,6879;5,9
85;21/08/2023;12:30;WORLD;CLUB FRIENDLY;OFK Beograd (Srb);Prva Iskra (Srb);13;30;14;30;0,4333;0,4667;0,9;2,7333;1,6519;2,9;1,9209;5,6333
86;21/08/2023;12:00;BOSNIA AND HERZEGOVINA;PREMIJER LIGA BIH - ROUND 4;Tuzla City;FK Sarajevo;16;30;11;30;0,5333;0,3667;0,9;2,5333;1,5434;3,1;1,7;5,6333
87;21/08/2023;10:00;ASIA;AFF CHAMPIONSHIP U23 - ROUND 3;Thailand U23;Cambodia U23;15;30;12;30;0,5;0,4;0,9;2,5333;1,6069;3,4667;1,9102;6,0
88;21/08/2023;12:00;LITHUANIA;I LYGA - ROUND 19;Kauno Zalgiris 2;BFA Vilnius;12;30;15;30;0,4;0,5;0,9;3,0333;1,7792;2,8333;1,5723;5,8666
89;21/08/2023;16:15;ICELAND;BESTA DEILD KARLA - ROUND 20;Stjarnan;KR Reykjavik;14;30;13;30;0,4667;0,4333;0,9;3,1;1,7767;3,4333;1,961;6,5333
90;21/08/2023;15:45;IRELAND;FAI CUP - 1/8-FINALS;Cork City;Waterford;16;30;11;30;0,5333;0,3667;0,9;2,6667;1,5563;3,5333;2,1406;6,2
91;21/08/2023;16:15;PORTUGAL;LIGA PORTUGAL - ROUND 2;Famalicao;Moreirense;12;30;14;30;0,4;0,4667;0,8667;2,8;1,701;3,1;2,7368;5,9
92;21/08/2023;15:45;IRELAND;FAI CUP - 1/8-FINALS;UC Dublin;Galway;12;30;14;30;0,4;0,4667;0,8667;3,0333;1,5808;3,0;2,0331;6,0333
93;21/08/2023;12:00;LITHUANIA;I LYGA - ROUND 19;Zalgiris 2;Marijampole City;11;30;14;30;0,3667;0,4667;0,8334;3,2667;1,9137;2,8333;1,551;6,1
94;21/08/2023;15:00;ENGLAND;PREMIER LEAGUE 2 - ROUND 2;Stoke City U21;Wolves U21;11;30;14;30;0,3667;0,4667;0,8334;3,3;1,8285;2,9667;1,7604;6,2667
95;21/08/2023;15:00;ICELAND;DIVISION 1 - ROUND 18;Fjolnir;Grindavik;10;30;15;30;0,3333;0,5;0,8333;4,0333;2,415;2,7333;1,5902;6,7666
96;21/08/2023;14:00;SWEDEN;DIVISION 2 - SÖDRA GÖTALAND - ROUND 17;Kristianstad;IFK Malmo;15;30;10;30;0,5;0,3333;0,8333;2,6667;1,5348;3,3333;1,8679;6,0
97;21/08/2023;11:30;LATVIA;LATVIAN CUP - QUARTER-FINALS;Valmiera;Tukums 2000;15;30;9;30;0,5;0,3;0,8;2,6333;1,7221;3,7667;2,1084;6,4
98;21/08/2023;11:30;BELARUS;PERSHAYA LIGA - ROUND 20;BumProm Gomel;Lida;10;30;14;30;0,3333;0,4667;0,8;3,6;1,8367;2,6667;1,7385;6,2667
99;21/08/2023;00:10;MEXICO;LIGA MX - APERTURA - ROUND 4;Club America;Atlas;6;30;18;30;0,2;0,6;0,8;3,5667;1,6469;2,4;1,7243;5,9667
100;21/08/2023;20:00;MEXICO;LIGA MX - APERTURA - ROUND 5;Toluca;Monterrey;9;30;14;30;0,3;0,4667;0,7667;3,5;1,9958;2,6667;1,3744;6,1667
101;21/08/2023;20:00;MEXICO;LIGA PREMIER SERIE A - ROUND 2;Canamy;Halcones de Zapopan;10;30;13;30;0,3333;0,4333;0,7666;3,5;2,0125;2,7;1,4177;6,2
102;21/08/2023;15:00;ENGLAND;PROFESSIONAL DEVELOPMENT LEAGUE;QPR U21;Coventry U21;10;30;12;29;0,3333;0,4138;0,7471;3,7333;1,8962;2,8966;1,4226;6,6299
103;21/08/2023;20:06;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 7;Atlas W;Atl. San Luis W;11;30;11;30;0,3667;0,3667;0,7334;3,7;1,6763;3,3;1,6361;7,0
104;21/08/2023;22:06;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 7;Club Leon W;Club America W;12;30;10;30;0,4;0,3333;0,7333;3,0333;1,4941;3,8;1,9218;6,8333
105;21/08/2023;14:30;NORWAY;DIVISION 3 - GROUP 4 - ROUND 16;Odd 2;Eik-Tonsberg;13;30;9;30;0,4333;0,3;0,7333;3,4;2,4576;3,5333;1,8571;6,9333
106;21/08/2023;12:30;CROATIA;PRVA NL - ROUND 2;Jarun;Orijent;9;30;13;30;0,3;0,4333;0,7333;3,3333;1,8679;2,8667;1,7839;6,2
107;21/08/2023;14:10;SWEDEN;ALLSVENSKAN - ROUND 20;Norrkoping;AIK;10;30;12;30;0,3333;0,4;0,7333;2,8333;1,2134;2,3333;1,1926;5,1666
108;21/08/2023;10:00;ARMENIA;FIRST LEAGUE - ROUND 4;Syunik;Ararat Yerevan 2;9;30;12;30;0,3;0,4;0,7;3,4;1,8726;3,1333;2,0774;6,5333
109;21/08/2023;07:00;BELARUS;VYSSHAYA LIGA RESERVE - ROUND 18;Slutsk 2;Din. Minsk 2;11;30;10;30;0,3667;0,3333;0,7;3,1;1,9209;3,6667;2,1654;6,7667
110;21/08/2023;15:00;TURKEY;SUPER LIG - ROUND 2;Samsunspor;Fenerbahce;13;30;8;30;0,4333;0,2667;0,7;2,9;1,6197;3,1333;1,4545;6,0333
111;21/08/2023;15:00;TURKEY;SUPER LIG - ROUND 2;Ankaragucu;Adana Demirspor;12;30;9;30;0,4;0,3;0,7;2,8;1,3515;3,5667;1,7452;6,3667
112;21/08/2023;20:00;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 7;U.N.A.M.- Pumas W;Mazatlan FC W;11;30;10;30;0,3667;0,3333;0,7;3,4333;1,9779;3,8667;2,0774;7,3
113;21/08/2023;13:00;NORWAY;DIVISION 2 - GROUP 1 - ROUND 16;Notodden;Aalesund 2;8;30;12;30;0,2667;0,4;0,6667;3,6667;2,1499;2,8333;1,5074;6,5
114;21/08/2023;15:00;NETHERLANDS;EERSTE DIVISIE - ROUND 2;Jong Ajax;De Graafschap;10;30;10;30;0,3333;0,3333;0,6666;3,8667;2,3055;3,1667;1,7528;7,0334
115;21/08/2023;05:00;BELARUS;VYSSHAYA LIGA RESERVE - ROUND 18;Slavia Mozyr 2;Brest 2;9;30;10;30;0,3;0,3333;0,6333;3,9;1,9209;3,4667;1,5434;7,3667
116;21/08/2023;14:00;NORWAY;DIVISION 3 - GROUP 4 - ROUND 16;Start 2;Randesund;7;30;11;30;0,2333;0,3667;0,6;4,1;2,1346;3,5333;2,0613;7,6333
117;21/08/2023;12:00;NORWAY;DIVISION 2 - GROUP 2 - ROUND 16;Levanger;Brann 2;14;30;4;30;0,4667;0,1333;0,6;3,5;2,1871;4,3333;1,9551;7,8333
118;21/08/2023;10:00;ENGLAND;PROFESSIONAL DEVELOPMENT LEAGUE;Colchester U21;Barnsley U21;7;30;10;29;0,2333;0,3448;0,5781;4,1667;2,0014;3,0345;1,2994;7,2012
119;21/08/2023;16:00;NORTHERN IRELAND;PREMIERSHIP WOMEN - ROUND 13;Crusaders W;Mid-Ulster W;9;30;8;29;0,3;0,2759;0,5759;3,7;2,068;4,7241;2,8994;8,4241
120;21/08/2023;14:00;NORWAY;DIVISION 3 - GROUP 6 - ROUND 16;Nordstrand;KFUM-Kameratene Oslo 2;11;30;6;30;0,3667;0,2;0,5667;4,0;2,543;3,8333;1,551;7,8333
121;21/08/2023;20:00;USA;MLS NEXT PRO;New York Red Bulls 2;Atlanta United 2;9;30;8;30;0,3;0,2667;0,5667;3,0667;1,7114;3,5333;1,5217;6,6
122;21/08/2023;06:00;UKRAINE;CHAMPIONSHIP WOMEN - ROUND 3;EMC Podolie W;Zhytlobud-1 W;11;30;6;30;0,3667;0,2;0,5667;3,7;2,6851;5,1667;3,0231;8,8667
123;21/08/2023;15:00;ICELAND;DIVISION 1 - ROUND 18;Aegir;Grotta;6;30;11;30;0,2;0,3667;0,5667;3,5667;1,4302;3,2667;1,7876;6,8334
124;21/08/2023;11:00;NORWAY;DIVISION 3 - GROUP 6 - ROUND 16;Mjolner;Skeid 2;11;30;6;30;0,3667;0,2;0,5667;3,8667;2,125;4,7;2,3402;8,5667
125;21/08/2023;12:45;ESTONIA;ESILIIGA - ROUND 24;Flora U21;Tabasalu;8;30;9;30;0,2667;0,3;0,5667;3,5;2,0616;4,2333;3,2933;7,7333
126;21/08/2023;14:00;NORWAY;DIVISION 3 - GROUP 4 - ROUND 16;Sandefjord 2;Halsen;8;30;7;30;0,2667;0,2333;0,5;4,2;2,1817;4,1333;2,0934;8,3333
127;21/08/2023;14:00;NORWAY;DIVISION 3 - GROUP 6 - ROUND 16;Follo;Sarpsborg 08 2;6;30;9;30;0,2;0,3;0,5;3,7667;1,6059;3,6667;1,5986;7,4334
128;21/08/2023;08:00;NORWAY;DIVISION 3 - GROUP 2 - ROUND 16;Raufoss 2;Hodd 2;9;30;6;30;0,3;0,2;0,5;4,4;2,6153;4,4333;2,2164;8,8333
129;21/08/2023;10:00;ENGLAND;PROFESSIONAL DEVELOPMENT LEAGUE;Charlton U21;Wigan U21;7;30;8;30;0,2333;0,2667;0,5;4,0333;1,6428;3,5;1,6882;7,5333
130;21/08/2023;10:00;ASIA;AFF CHAMPIONSHIP U23 - ROUND 3;Brunei U23;Myanmar U23;5;30;10;30;0,1667;0,3333;0,5;4,2667;1,8962;3,5;1,7078;7,7667
131;21/08/2023;09:00;ENGLAND;PROFESSIONAL DEVELOPMENT LEAGUE;Swansea U21;Crewe U21;3;30;11;29;0,1;0,3793;0,4793;4,8667;1,9102;3,2069;1,9893;8,0736
132;21/08/2023;13:00;NORWAY;DIVISION 3 - GROUP 1 - ROUND 16;Grorud 2;Stabaek 2;6;30;8;30;0,2;0,2667;0,4667;4,0667;2,3371;3,8333;2,5831;7,9
133;21/08/2023;11:00;NORWAY;DIVISION 2 - GROUP 2 - ROUND 16;Stromsgodset 2;Stjordals Blink;8;30;6;30;0,2667;0,2;0,4667;4,4333;2,4588;3,9333;1,9989;8,3666
134;21/08/2023;12:00;NORWAY;DIVISION 3 - GROUP 6 - ROUND 16;Asker;Tromso 2;8;30;6;30;0,2667;0,2;0,4667;3,5667;1,8741;4,3333;2,7608;7,9
135;21/08/2023;10:00;ENGLAND;PROFESSIONAL DEVELOPMENT LEAGUE;Millwall U21;Burnley U21;7;30;7;30;0,2333;0,2333;0,4666;3,8;1,7205;3,9333;1,7876;7,7333
136;21/08/2023;10:00;ARMENIA;FIRST LEAGUE - ROUND 4;Alashkert 2;Ararat-Armenia 2;4;30;10;30;0,1333;0,3333;0,4666;4,6;2,0591;3,4667;2,0287;8,0667
137;21/08/2023;12:30;FINLAND;KAKKONEN GROUP B;Honka Akatemia;Atlantis;4;30;10;30;0,1333;0,3333;0,4666;4,0333;1,1968;4,1667;2,4642;8,2
