Nº;Date;Time;Country;League;Home;Away;jogosHome;totalHome;jogosAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
1;21/08/2023;16:30;SPAIN;LALIGA2 - ROUND 2;Huesca;Tenerife;23;30;26;30;0,7667;0,8667;1,6334;1,7;1,0376;1,5;1,118;3,2
2;21/08/2023;15:00;ARGENTINA;PRIMERA NACIONAL - ROUND 30;Defensores Unidos;Temperley;25;30;22;30;0,8333;0,7333;1,5666;1,4667;1,2579;2,1;1,3748;3,5667
3;21/08/2023;20:45;ARGENTINA;PRIMERA NACIONAL - ROUND 30;Gimnasia Mendoza;Estudiantes Rio Cuarto;22;30;24;30;0,7333;0,8;1,5333;1,8;1,3515;1,8;1,1372;3,6
4;21/08/2023;17:30;COLOMBIA;PRIMERA B - CLAUSURA - ROUND 5;Tigres;Orsomarso;24;30;21;30;0,8;0,7;1,5;1,5333;1,1757;1,9667;1,4256;3,5
5;21/08/2023;20:30;ARGENTINA;COPA DE LA LIGA PROFESIONAL - ROUND 1;Newells Old Boys;Central Cordoba;22;30;23;30;0,7333;0,7667;1,5;1,8;1,2754;1,9333;1,1813;3,7333
6;21/08/2023;15:30;ARGENTINA;PRIMERA B - CLAUSURA - ROUND 10;Dock Sud;Acassuso;21;30;23;30;0,7;0,7667;1,4667;2,2;1,701;1,6333;1,0483;3,8333
7;21/08/2023;18:00;ARGENTINA;COPA DE LA LIGA PROFESIONAL - ROUND 1;Huracan;Banfield;24;30;20;30;0,8;0,6667;1,4667;1,6;1,1719;2,0667;1,6918;3,6667
8;21/08/2023;21:10;ARGENTINA;PRIMERA NACIONAL - ROUND 30;Club A. Guemes;Almirante Brown;22;30;20;30;0,7333;0,6667;1,4;2,1333;1,5434;2,0333;1,5808;4,1666
9;21/08/2023;15:30;ARGENTINA;PRIMERA NACIONAL - ROUND 30;Flandria;Nueva Chicago;17;30;24;30;0,5667;0,8;1,3667;2,4333;1,4302;1,5;1,2845;3,9333
10;21/08/2023;16:05;ARGENTINA;PRIMERA B - CLAUSURA - ROUND 10;Los Andes;Argentino de Quilmes;21;30;20;30;0,7;0,6667;1,3667;1,8333;1,3683;2,0333;1,378;3,8666
11;21/08/2023;15:30;ARGENTINA;PRIMERA D - SECOND STAGE - ROUND 11;CSR Espanol;Sportivo Barracas;19;30;22;30;0,6333;0,7333;1,3666;2,0333;1,378;1,5;1,3354;3,5333
12;21/08/2023;16:30;ARGENTINA;PRIMERA NACIONAL - ROUND 30;San Martin S.J.;San Martin T.;17;30;23;30;0,5667;0,7667;1,3334;2,3667;1,6017;1,7;1,159;4,0667
13;21/08/2023;19:30;BRAZIL;COPA PAULISTA - ROUND 8;Sao Bento;Noroeste;22;30;17;30;0,7333;0,5667;1,3;1,7;1,2152;2,3;1,2689;4,0
14;21/08/2023;15:30;ARGENTINA;PRIMERA C - ROUND 31;Deportivo Espanol;Real Pilar;21;30;18;30;0,7;0,6;1,3;2,2333;1,585;2,1667;1,2931;4,4
15;21/08/2023;15:30;ARGENTINA;PRIMERA C - ROUND 31;Leandro N. Alem;Excursionistas;22;30;17;30;0,7333;0,5667;1,3;1,9333;1,1528;2,4333;1,667;4,3666
16;21/08/2023;15:30;ARGENTINA;PRIMERA C - ROUND 31;Victoriano A.;Laferrere;17;30;22;30;0,5667;0,7333;1,3;2,2;1,4697;1,8333;1,3924;4,0333
17;21/08/2023;13:30;SAUDI ARABIA;DIVISION 1 - ROUND 2;Ohod;Al-Faisaly;20;30;19;30;0,6667;0,6333;1,3;2,0667;1,2092;2,2333;1,4533;4,3
18;21/08/2023;10:00;RWANDA;PREMIER LEAGUE - ROUND 1;AS Kigali;Bugesera FC;20;30;19;30;0,6667;0,6333;1,3;1,8333;1,5074;2,0333;1,2243;3,8666
19;21/08/2023;20:00;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 7;Necaxa W;Queretaro W;16;30;22;30;0,5333;0,7333;1,2666;2,7333;1,5902;1,9;1,2741;4,6333
20;21/08/2023;13:30;FRANCE;NATIONAL - ROUND 2;Le Mans;Dijon;19;30;19;30;0,6333;0,6333;1,2666;2,5667;1,6059;2,1;1,3254;4,6667
21;21/08/2023;15:00;TURKEY;1. LIG - ROUND 2;Eyupspor;Kocaelispor;22;30;16;30;0,7333;0,5333;1,2666;1,8333;1,2405;2,3667;1,663;4,2
22;21/08/2023;13:30;ITALY;SERIE A - ROUND 1;Torino;Cagliari;20;30;17;30;0,6667;0,5667;1,2334;2,1667;1,2931;2,2333;1,5638;4,4
23;21/08/2023;15:30;ARGENTINA;PRIMERA C - ROUND 31;Midland;Central Cordoba;14;30;23;30;0,4667;0,7667;1,2334;2,6;1,562;1,8667;1,2841;4,4667
24;21/08/2023;14:00;CYPRUS;CYTA CHAMPIONSHIP - ROUND 1;Doxa;AEL Limassol;15;30;22;30;0,5;0,7333;1,2333;2,4667;1,6069;2,0333;1,378;4,5
25;21/08/2023;15:30;ARGENTINA;PRIMERA D - SECOND STAGE - ROUND 11;Juventud Unida S. M.;Mercedes;21;30;16;30;0,7;0,5333;1,2333;2,1;1,3503;2,2667;1,5041;4,3667
26;21/08/2023;14:00;POLAND;EKSTRAKLASA - ROUND 5;Cracovia;Piast Gliwice;17;30;19;30;0,5667;0,6333;1,2;2,2667;1,2893;1,9667;1,402;4,2334
27;21/08/2023;15:30;ARGENTINA;PRIMERA D - SECOND STAGE - ROUND 11;El Porvenir;Lugano;24;30;12;30;0,8;0,4;1,2;1,8;1,1372;2,6333;1,402;4,4333
28;21/08/2023;12:30;ROMANIA;LIGA 1 - ROUND 6;Sepsi Sf. Gheorghe;FC Hermannstadt;17;30;19;30;0,5667;0,6333;1,2;2,2333;1,3085;2,0333;1,1968;4,2666
29;21/08/2023;20:00;BRAZIL;SERIE C - FIRST STAGE - ROUND 18;America RN;Aparecidense;20;30;16;30;0,6667;0,5333;1,2;1,9333;1,1235;2,0;1,1547;3,9333
30;21/08/2023;21:00;BOLIVIA;DIVISION PROFESIONAL - ROUND 24;Tomayapo;Blooming;21;30;15;30;0,7;0,5;1,2;1,9667;1,538;2,6333;1,4716;4,6
31;21/08/2023;21:00;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 6;Millonarios;Once Caldas;18;30;18;30;0,6;0,6;1,2;2,1333;1,6069;2,2333;1,3585;4,3666
32;21/08/2023;20:00;BRAZIL;SERIE C - FIRST STAGE - ROUND 18;Sao Bernardo;Ypiranga FC;21;30;14;30;0,7;0,4667;1,1667;1,9667;1,4941;2,8333;1,4625;4,8
33;21/08/2023;14:00;ISRAEL;TOTO CUP - PLACEMENT PLAY OFFS - 13TH PLACE;Hapoel Petah Tikva;Maccabi Bnei Raina;17;30;18;30;0,5667;0,6;1,1667;2,5;1,8394;2,2667;1,2365;4,7667
34;21/08/2023;00:10;MEXICO;LIGA MX - APERTURA - ROUND 4;Necaxa;U.A.N.L.- Tigres;18;30;17;30;0,6;0,5667;1,1667;2,3333;1,4907;2,2667;1,5261;4,6
35;21/08/2023;12:00;KOSOVO;SUPERLIGA - ROUND 2;Gjilani;Prishtina;20;30;15;30;0,6667;0,5;1,1667;2,0667;1,5261;2,5667;1,5638;4,6334
36;21/08/2023;22:00;MEXICO;LIGA PREMIER SERIE A - ROUND 2;Inter Playa Del Carmen;Yalmakan;18;30;17;30;0,6;0,5667;1,1667;2,7;1,9348;2,6667;1,9032;5,3667
37;21/08/2023;16:30;SPAIN;LALIGA - ROUND 2;Granada CF;Rayo Vallecano;20;30;15;30;0,6667;0,5;1,1667;2,3667;1,5162;2,4667;1,0562;4,8334
38;21/08/2023;14:00;SPAIN;LALIGA2 - ROUND 2;Villarreal B;Eldense;16;30;19;30;0,5333;0,6333;1,1666;2,6333;1,7221;2,2667;1,6111;4,9
39;21/08/2023;15:45;ITALY;SERIE A - ROUND 1;Bologna;AC Milan;16;30;19;30;0,5333;0,6333;1,1666;2,4667;1,4772;2,6;1,8;5,0667
40;21/08/2023;17:15;PERU;LIGA 1 - CLAUSURA - ROUND 10;Cajamarca;Binacional;23;30;11;30;0,7667;0,3667;1,1334;2,0667;1,3888;3,4333;1,8918;5,5
41;21/08/2023;20:00;PARAGUAY;PRIMERA DIVISION - CLAUSURA - ROUND 7;Tacuary;Resistencia;14;30;20;30;0,4667;0,6667;1,1334;2,7;1,754;2,2333;1,3085;4,9333
42;21/08/2023;15:10;ARGENTINA;PRIMERA A WOMEN - CLAUSURA - ROUND 1;UAI Urquiza W;Estudiantes W;17;30;17;30;0,5667;0,5667;1,1334;2,6667;2,087;2,4;1,7626;5,0667
43;21/08/2023;08:30;THAILAND;THAI LEAGUE 1 - ROUND 2;Chonburi;Khonkaen Utd.;15;30;19;30;0,5;0,6333;1,1333;2,7333;1,6519;2,3;1,4177;5,0333
44;21/08/2023;15:45;FRANCE;LIGUE 2 - ROUND 3;AC Ajaccio;Bordeaux;16;30;18;30;0,5333;0,6;1,1333;2,4333;1,6059;2,1667;0,969;4,6
45;21/08/2023;15:15;HUNGARY;OTP BANK LIGA - ROUND 4;Debrecen;Kisvarda;16;30;17;30;0,5333;0,5667;1,1;2,7333;2,2499;2,2;1,3013;4,9333
46;21/08/2023;15:00;NETHERLANDS;EERSTE DIVISIE - ROUND 2;Jong Utrecht;Groningen;19;30;14;30;0,6333;0,4667;1,1;2,5;1,6279;3,2667;2,294;5,7667
47;21/08/2023;11:00;RUSSIA;FNL - ROUND 6;Kamaz;Arsenal Tula;18;30;15;30;0,6;0,5;1,1;2,6333;1,9058;2,5333;1,9956;5,1666
48;21/08/2023;00:10;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 7;Club Tijuana W;Toluca W;17;30;16;30;0,5667;0,5333;1,1;3,2;2,2716;3,1;2,3573;6,3
49;21/08/2023;14:00;SPAIN;LALIGA - ROUND 2;Alaves;Sevilla;21;30;12;30;0,7;0,4;1,1;1,9;1,578;2,7333;1,2893;4,6333
50;21/08/2023;15:45;ENGLAND;NPL PREMIER DIVISION - ROUND 4;Bradford PA;Morpeth;18;30;15;30;0,6;0,5;1,1;2,4333;1,6469;2,6667;1,6997;5,1
51;21/08/2023;09:30;INDIA;DURAND CUP;Rajasthan United;Army Red;16;30;12;22;0,5333;0,5455;1,0788;2,5667;1,6265;2,5;1,4694;5,0667
52;21/08/2023;18:00;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 6;Bucaramanga;Aguilas;18;30;14;30;0,6;0,4667;1,0667;2,2333;1,4302;2,5;1,5652;4,7333
53;21/08/2023;14:00;CYPRUS;CYTA CHAMPIONSHIP - ROUND 1;Omonia;Nea Salamis;17;30;15;30;0,5667;0,5;1,0667;2,5;1,5864;2,9667;1,8883;5,4667
54;21/08/2023;20:00;PERU;LIGA 1 - CLAUSURA - ROUND 10;Cesar Vallejo;ADT Tarma;14;30;18;30;0,4667;0,6;1,0667;2,8667;1,1175;2,5333;1,5861;5,4
55;21/08/2023;11:00;UZBEKISTAN;SUPER LEAGUE - ROUND 17;Andijan;Olympic;17;30;15;30;0,5667;0,5;1,0667;2,3;1,5737;2,9333;2,0483;5,2333
56;21/08/2023;14:45;PORTUGAL;LIGA PORTUGAL 2 - ROUND 2;Torreense;Nacional;18;30;14;30;0,6;0,4667;1,0667;2,4667;1,6069;2,8333;1,8089;5,3
57;21/08/2023;14:40;SAUDI ARABIA;DIVISION 1 - ROUND 2;Al Arabi;Hajer;16;30;16;30;0,5333;0,5333;1,0666;2,5333;1,4314;2,3333;1,2737;4,8666
58;21/08/2023;18:45;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 7;Cruz Azul W;Guadalajara Chivas W;20;30;11;30;0,6667;0,3667;1,0334;2,2;1,077;3,2333;1,82;5,4333
59;21/08/2023;20:00;BRAZIL;SERIE A - ROUND 20;Goias;Athletico-PR;18;30;13;30;0,6;0,4333;1,0333;2,3333;1,5986;2,8;1,222;5,1333
60;21/08/2023;12:00;NORTH MACEDONIA;1. MFL - ROUND 3;Struga;Brera Strumica;12;30;19;30;0,4;0,6333;1,0333;2,9;2,0712;2,3667;1,8883;5,2667
61;21/08/2023;14:00;LATVIA;LATVIAN CUP - QUARTER-FINALS;Auda;Riga FC;18;30;13;30;0,6;0,4333;1,0333;2,6;1,6248;3,0333;1,7026;5,6333
62;21/08/2023;12:00;FINLAND;VEIKKAUSLIIGA;KTP;Haka;16;30;14;30;0,5333;0,4667;1,0;2,8667;2,7047;2,7333;1,436;5,6
63;21/08/2023;15:30;ROMANIA;LIGA 1 - ROUND 6;U. Cluj;CFR Cluj;16;30;14;30;0,5333;0,4667;1,0;2,7333;1,5041;2,7333;1,4817;5,4666
64;21/08/2023;10:00;ARMENIA;FIRST LEAGUE - ROUND 4;Shirak Gyumri 2;Urartu 2;17;30;13;30;0,5667;0,4333;1,0;2,2667;1,3149;3,2;2,1664;5,4667
65;21/08/2023;20:00;PARAGUAY;DIVISION INTERMEDIA - ROUND 22;Rubio Nu;Fernando de la Mora;14;30;16;30;0,4667;0,5333;1,0;3,0333;1,663;2,6333;1,6017;5,6666
66;21/08/2023;15:00;SERBIA;PRVA LIGA - ROUND 3;Dubocica;RFK Novi Sad;14;30;16;30;0,4667;0,5333;1,0;2,9667;1,4941;2,7333;1,8245;5,7
67;21/08/2023;16:45;PORTUGAL;LIGA PORTUGAL 2 - ROUND 2;Leixoes;Santa Clara;15;30;14;30;0,5;0,4667;0,9667;2,7667;1,5206;2,7333;1,7689;5,5
68;21/08/2023;13:00;ARGENTINA;PRIMERA A WOMEN - CLAUSURA - ROUND 1;Ferro W;El Porvenir W;17;30;12;30;0,5667;0,4;0,9667;2,8;2,0067;2,7667;1,8015;5,5667
69;21/08/2023;15:00;PERU;LIGA 1 - CLAUSURA - ROUND 10;Sport Boys;Grau;17;30;12;30;0,5667;0,4;0,9667;2,3667;1,6017;2,8;1,3013;5,1667
