Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;avgAway;avgAvg;0x0;1x0;2x0;1x1;0x1;0x2;U25;O25
1;07/09/2023;16:00;AFRICA;AFRICA CUP OF NATIONS - QUALIFICATION - ROUND 6;Algeria;Tanzania;45;29;14;21;1,2997;0,5747;0,9372;15,34;19,94;12,96;11,46;8,82;2,53;71,05;28,9
2;07/09/2023;16:00;AFRICA;AFRICA CUP OF NATIONS - QUALIFICATION - ROUND 6;Niger;Uganda;18;18;21;25;0,96;1,0311;0,9956;13,65;13,11;6,29;13,52;14,08;7,26;67,91;32,06
3;07/09/2023;11:30;WORLD;CLUB FRIENDLY;Makedonikos;Karditsa;30;22;20;22;1,2045;0,8182;1,0114;13,23;15,94;9,6;13,04;10,82;4,43;67,06;32,93
4;07/09/2023;11:30;DR CONGO;LIGUE 1 - ROUND 2;St Eloi Lupopo;Blessing;30;18;15;19;1,386;0,6725;1,0292;12,76;17,69;12,26;11,9;8,58;2,89;66,08;33,83
5;07/09/2023;10:30;DR CONGO;LIGUE 1 - ROUND 6;Tshinkunku;Lubumbashi Sport;10;16;17;22;0,9716;1,1051;1,0384;12,53;12,18;5,92;13,46;13,85;7,65;65,59;34,39
6;07/09/2023;15:30;WORLD;CLUB FRIENDLY;Alcorcon;Rayo Vallecano;25;20;28;28;1,3036;0,825;1,0643;11,9;15,51;10,11;12,8;9,82;4,05;64,19;35,75
7;07/09/2023;20:00;SOUTH AMERICA;WORLD CHAMPIONSHIP - QUALIFICATION - ROUND 1;Colombia;Venezuela;30;23;21;22;1,3567;0,8251;1,0909;11,28;15,31;10,38;12,63;9,31;3,84;62,75;37,18
8;07/09/2023;16:00;AFRICA;AFRICA CUP OF NATIONS - QUALIFICATION - ROUND 6;Tunisia;Botswana;39;22;22;25;1,5664;0,6673;1,1168;10,71;16,78;13,14;11,2;7,15;2,39;61,37;38,51
9;07/09/2023;10:30;WORLD;KINGS CUP (THAILAND) - SEMI-FINALS;Thailand;Lebanon;46;25;17;22;1,4882;0,7464;1,1173;10,7;15,93;11,85;11,89;7,99;2,98;61,34;38,55
10;07/09/2023;09:00;WORLD;FRIENDLY INTERNATIONAL;Qatar;Kenya;31;22;14;17;1,381;0,889;1,135;10,33;14,27;9,85;12,68;9,18;4,08;60,39;39,53
11;07/09/2023;19:30;SOUTH AMERICA;WORLD CHAMPIONSHIP - QUALIFICATION - ROUND 1;Paraguay;Peru;20;15;22;25;1,3667;0,9067;1,1367;10,3;14,07;9,62;12,76;9,34;4,23;60,32;39,61
12;07/09/2023;15:45;WORLD;FRIENDLY INTERNATIONAL;Wales;South Korea;26;24;22;16;1,1042;1,1875;1,1458;10,11;11,16;6,16;13,26;12,01;7,13;59,83;40,12
13;07/09/2023;13:30;ISRAEL;LEUMIT LEAGUE - ROUND 3;MS Kafr Qasim;H. Ironi Rishon;22;19;20;19;1,1579;1,1579;1,1579;9,87;11,43;6,62;13,23;11,43;6,62;59,2;40,75
14;07/09/2023;18:30;BRAZIL;SERIE B - ROUND 27;Tombense;ABC;32;22;19;22;1,2955;1,0227;1,1591;9,85;12,75;8,26;13,04;10,07;5,15;59,12;40,83
15;07/09/2023;13:30;ISRAEL;LEUMIT LEAGUE - ROUND 3;Hapoel Umm al-Fahm;H. Akko;29;22;31;23;1,2243;1,1057;1,165;9,73;11,91;7,29;13,17;10,76;5,95;58,81;41,14
16;07/09/2023;13:00;WORLD;FRIENDLY INTERNATIONAL;Egypt U23;Russia;31;21;35;23;1,3903;0,9752;1,1827;9,39;13,06;9,08;12,73;9,16;4,47;57,89;42,07
17;07/09/2023;06:30;INDIA;CALCUTTA PREMIER DIVISION;East Bengal;George Telegrapher;30;27;30;28;1,0734;1,295;1,1842;9,36;10,05;5,39;13,02;12,13;7,85;57,8;42,16
18;07/09/2023;13:30;ISRAEL;LEUMIT LEAGUE - ROUND 3;Ironi Tiberias;Ramat Hasharon;29;20;28;21;1,3679;1,0417;1,2048;8,99;12,29;8,41;12,8;9,36;4,88;56,73;43,2
19;07/09/2023;07:30;WORLD;KINGS CUP (THAILAND) - SEMI-FINALS;Iraq;India;35;21;21;19;1,3333;1,0764;1,2049;8,98;11,98;7,99;12,89;9,67;5,2;56,71;43,25
20;07/09/2023;14:30;ISRAEL;LIGA ALEF SOUTH - ROUND 1;Agudat Sport Ashdod;Maccabi Yavne;23;21;22;20;1,0476;1,3833;1,2155;8,8;9,21;4,83;12,75;12,17;8,42;56,18;43,78
21;07/09/2023;15:00;BRAZIL;SERIE D - PLAY OFFS - SEMI-FINALS;SER Caxias;Ferroviario;35;22;28;23;1,4694;0,9723;1,2208;8,7;12,79;9,39;12,43;8,46;4,11;55,88;43,99
22;07/09/2023;21:00;NICARAGUA;LIGA PRIMERA - APERTURA - ROUND 8;Ocotal;Sport Sebaco;22;21;21;21;1,3333;1,1429;1,2381;8,41;11,21;7,47;12,81;9,61;5,49;55,0;44,95
