Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;pSum;avgHome;avgAway;avgSum
1;07/08/2023;06:00;UKRAINE;CHAMPIONSHIP WOMEN - ROUND 1;Ladomir W;Zhytlobud-1 W;27;30;28;30;0,9;0,9333;1,8333;2,7667;2,8667;5,6334
2;07/08/2023;13:00;NORWAY;DIVISION 3 - GROUP 4 - ROUND 14;Sandefjord 2;Fredrikstad 2;27;30;26;30;0,9;0,8667;1,7667;1,8;1,9667;3,7667
3;07/08/2023;14:00;NORWAY;DIVISION 3 - GROUP 6 - ROUND 14;Asker;KFUM-Kameratene Oslo 2;23;30;29;30;0,7667;0,9667;1,7334;1,6;1,9667;3,5667
4;07/08/2023;13:00;ESTONIA;ESILIIGA - ROUND 22;Viimsi JK;Tabasalu;27;30;24;30;0,9;0,8;1,7;1,6667;1,7;3,3667
5;07/08/2023;14:00;SWEDEN;DIVISION 1 - SÖDRA - ROUND 16;Trollhattan;Ahlafors IF;27;30;24;30;0,9;0,8;1,7;1,6333;1,5667;3,2
6;07/08/2023;13:00;NORWAY;DIVISION 3 - GROUP 2 - ROUND 14;Molde 2;Hodd 2;23;30;28;30;0,7667;0,9333;1,7;1,9333;1,7;3,6333
7;07/08/2023;11:00;NORWAY;DIVISION 2 - GROUP 2 - ROUND 14;SK Gjovik-Lyn;Brann 2;25;30;26;30;0,8333;0,8667;1,7;1,4667;1,8333;3,3
8;07/08/2023;11:00;NORWAY;DIVISION 3 - GROUP 5 - ROUND 14;Rosenborg 2;Kristiansund 2;26;30;25;30;0,8667;0,8333;1,7;2,3667;1,4667;3,8334
9;07/08/2023;13:00;NORWAY;DIVISION 3 - GROUP 4 - ROUND 14;Odd 2;Pors;25;30;26;30;0,8333;0,8667;1,7;1,6333;1,9667;3,6
10;07/08/2023;14:00;IRELAND;DIVISION 1 - ROUND 26;Wexford;Waterford;23;30;27;30;0,7667;0,9;1,6667;1,3667;1,8667;3,2334
11;07/08/2023;13:00;POLAND;DIVISION 1 - ROUND 3;Arka Gdynia;Polonia Warszawa;24;30;26;30;0,8;0,8667;1,6667;1,6333;1,5667;3,2
12;07/08/2023;10:00;UKRAINE;PERSHA LIGA - ROUND 2;Dinaz Vyshgorod;Kremin;22;30;27;30;0,7333;0,9;1,6333;1,1667;1,8667;3,0334
13;07/08/2023;12:00;NORTH MACEDONIA;1. MFL - ROUND 1;Rabotnicki;Shkupi;24;30;25;30;0,8;0,8333;1,6333;1,4333;1,6;3,0333
14;07/08/2023;12:00;UKRAINE;PERSHA LIGA - ROUND 2;Livyi Bereg;SC Poltava;21;26;24;30;0,8077;0,8;1,6077;1,5;1,2;2,7
15;07/08/2023;14:00;DENMARK;SUPERLIGA - ROUND 3;Odense;Viborg;25;30;23;30;0,8333;0,7667;1,6;1,6333;1,4;3,0333
16;07/08/2023;13:00;IRELAND;DIVISION 1 - ROUND 26;Galway;Treaty United;24;30;24;30;0,8;0,8;1,6;1,4667;1,6333;3,1
17;07/08/2023;12:30;NORWAY;DIVISION 3 - GROUP 6 - ROUND 14;Oppsal;Tromso 2;23;30;25;30;0,7667;0,8333;1,6;1,6;2,0333;3,6333
18;07/08/2023;15:30;ROMANIA;LIGA 1 - ROUND 4;FC Voluntari;FC Rapid Bucuresti;23;30;24;30;0,7667;0,8;1,5667;1,1667;1,3667;2,5334
19;07/08/2023;15:45;FRANCE;LIGUE 2 - ROUND 1;Pau FC;Bordeaux;24;30;23;30;0,8;0,7667;1,5667;1,1667;1,1;2,2667
20;07/08/2023;20:00;PARAGUAY;PRIMERA DIVISION - CLAUSURA - ROUND 5;Tacuary;Ameliano;23;30;24;30;0,7667;0,8;1,5667;1,3;1,2333;2,5333
21;07/08/2023;15:45;IRELAND;DIVISION 1 - ROUND 26;Athlone;Finn Harps;25;30;22;30;0,8333;0,7333;1,5666;1,5;1,5;3,0
22;07/08/2023;13:00;ICELAND;BESTA DEILD WOMEN - ROUND 13;Breidablik W;Thor/KA W;23;30;23;30;0,7667;0,7667;1,5334;1,5333;1,4;2,9333
23;07/08/2023;12:00;WORLD;CLUB FRIENDLY;Bayern Munich (Ger);Monaco (Fra);23;30;23;30;0,7667;0,7667;1,5334;1,4333;1,5;2,9333
24;07/08/2023;10:30;ARMENIA;FIRST LEAGUE - ROUND 2;Ararat Yerevan 2;Shirak Gyumri 2;24;30;22;30;0,8;0,7333;1,5333;1,3667;0,9333;2,3
25;07/08/2023;14:00;SWEDEN;ALLSVENSKAN - ROUND 18;Norrkoping;Goteborg;22;30;23;30;0,7333;0,7667;1,5;1,1;1,2667;2,3667
26;07/08/2023;12:00;LITHUANIA;I LYGA - ROUND 17;Zalgiris 2;BFA Vilnius;23;30;22;30;0,7667;0,7333;1,5;1,3667;1,1333;2,5
27;07/08/2023;18:00;ARGENTINA;PRIMERA NACIONAL - ROUND 25;Aldosivi;CA Estudiantes;25;30;20;30;0,8333;0,6667;1,5;1,4667;1,0667;2,5334
28;07/08/2023;14:30;FAROE ISLANDS;PREMIER LEAGUE - ROUND 17;07 Vestur Sorvagur;B36 Torshavn;23;30;21;30;0,7667;0,7;1,4667;1,1;1,1667;2,2667
29;07/08/2023;09:00;INDONESIA;LIGA 1 - ROUND 7;Bali United;Persik Kediri;21;30;23;30;0,7;0,7667;1,4667;1,5333;1,4;2,9333
30;07/08/2023;20:00;PARAGUAY;DIVISION INTERMEDIA - ROUND 20;Deportivo Santani;3 de Febrero;21;30;23;30;0,7;0,7667;1,4667;1,2;1,0667;2,2667
31;07/08/2023;15:00;POLAND;DIVISION 1 - ROUND 3;R. Rzeszow;Podbeskidzie;23;30;21;30;0,7667;0,7;1,4667;1,6333;1,3333;2,9666
32;07/08/2023;15:15;BULGARIA;PARVA LIGA - ROUND 4;Beroe;Krumovgrad;23;30;21;30;0,7667;0,7;1,4667;1,0667;1,1667;2,2334
33;07/08/2023;14:00;SWEDEN;ALLSVENSKAN - ROUND 18;Varberg;Mjallby;22;30;22;30;0,7333;0,7333;1,4666;1,3;1,2333;2,5333
34;07/08/2023;15:30;ARGENTINA;PRIMERA D - SECOND STAGE - ROUND 10;Lugano;Def. de Cambaceres;22;30;22;30;0,7333;0,7333;1,4666;1,0333;0,9667;2,0
35;07/08/2023;09:00;BELARUS;VYSSHAYA LIGA RESERVE - ROUND 16;Zhodino 2;Brest 2;22;30;22;30;0,7333;0,7333;1,4666;1,4667;1,2333;2,7
36;07/08/2023;07:30;WORLD;WORLD CUP WOMEN - PLAY OFFS - 1/8-FINALS;Australia W;Denmark W;22;30;22;30;0,7333;0,7333;1,4666;1,5;1,3333;2,8333
