Nº;Date;Time;Country;League;Home;Away;golsHome;totalHome;AvgHome;golsAway;totalAway;AvgAway;avgSum
1;29/07/2023;01:30;AUSTRALIA;NPL TASMANIA - ROUND 15;Devonport;Clarence Zebras;44;14;3,1429;38;14;2,7143;5,8572
2;29/07/2023;02:00;AUSTRALIA;NPL ACT - ROUND 16;Canberra Olympic;O'Connor Knights;42;15;2,8;35;15;2,3333;5,1333
3;29/07/2023;04:00;AUSTRALIA;NPL WESTERN AUSTRALIA - ROUND 19;Perth RedStar;Armadale;48;18;2,6667;42;18;2,3333;5,0
4;29/07/2023;04:45;AUSTRALIA;NPL ACT - ROUND 16;Monaro Panthers;Gungahlin;43;15;2,8667;26;15;1,7333;4,6
5;29/07/2023;01:30;AUSTRALIA;NPL SOUTH AUSTRALIAN - ROUND 21;NE Metrostars;Sturt Lions;60;20;3,0;22;20;1,1;4,1
6;29/07/2023;05:15;AUSTRALIA;NPL VICTORIA - ROUND 24;Altona Magic;South Melbourne;46;22;2,0909;46;23;2,0;4,0909
7;29/07/2023;06:15;AUSTRALIA;NPL VICTORIA - ROUND 24;Dandenong Thunder;Green Gully;50;23;2,1739;44;23;1,913;4,0869
8;29/07/2023;04:45;AUSTRALIA;NPL NSW - ROUND 26;APIA Leichhardt;Blacktown City;52;25;2,08;49;25;1,96;4,04
9;29/07/2023;04:00;AUSTRALIA;NPL WESTERN AUSTRALIA - ROUND 19;Perth Glory U21;Inglewood Utd;42;18;2,3333;30;18;1,6667;4,0
10;29/07/2023;07:00;WORLD;WORLD CUP WOMEN - ROUND 2;France W;Brazil W;4;1;4,0;0;1;0,0;4,0
11;29/07/2023;04:00;AUSTRALIA;NPL WESTERN AUSTRALIA - ROUND 19;Stirling Macedonia;Sorrento;30;17;1,7647;36;18;2,0;3,7647
12;29/07/2023;02:00;AUSTRALIA;NPL ACT - ROUND 16;Tigers FC;West Canberra Wanderers;45;15;3,0;11;15;0,7333;3,7333
13;29/07/2023;04:00;AUSTRALIA;NPL WESTERN AUSTRALIA - ROUND 19;Bayswater;Balcatta;29;18;1,6111;36;18;2,0;3,6111
14;29/07/2023;04:00;AUSTRALIA;NPL ACT - ROUND 16;Tuggeranong Utd;Canberra Croatia;36;15;2,4;16;15;1,0667;3,4667
15;29/07/2023;04:00;AUSTRALIA;NPL WESTERN AUSTRALIA - ROUND 19;Floreat Athena;Perth SC;35;18;1,9444;23;18;1,2778;3,2222
16;29/07/2023;05:30;AUSTRALIA;NPL VICTORIA - ROUND 24;Hume City;Melbourne Knights;43;23;1,8696;30;23;1,3043;3,1739
17;29/07/2023;03:30;AUSTRALIA;NPL TASMANIA - ROUND 15;Glenorchy Knights;Launceston United;34;14;2,4286;10;14;0,7143;3,1429
