Nº;Date;Time;Country;League;Home;Away;o15Home;totalHome;AvgHome;o15Away;totalAway;AvgAway;pHome;pAway;pSum;avgSum
1;02/06/2023;15:45;NORTHERN IRELAND;PREMIERSHIP WOMEN - ROUND 7;Mid-Ulster W;Ballymena W;15;15;4,6;6;6;5,3333;1,0;1,0;2,0;9,9333
2;02/06/2023;20:00;USA;USL LEAGUE TWO;Thunder Bay Chill;Rochester FC;15;15;2,8;2;2;2,5;1,0;1,0;2,0;5,3
3;02/06/2023;06:00;AUSTRALIA;NPL ACT - ROUND 4;Tigers FC;Gungahlin;15;15;4,0;15;15;4,2;1,0;1,0;2,0;8,2
4;02/06/2023;19:00;NORTH & CENTRAL AMERICA;CONCACAF CHAMPIONSHIP WOMEN U20 - PLAY OFFS - SEMI-FINALS;USA U20 W;Costa Rica U20 W;15;15;5,4667;15;15;5,2;1,0;1,0;2,0;10,6667
5;02/06/2023;23:00;USA;USL LEAGUE TWO;Lane United;United PDX;14;15;3,4;2;2;7,0;0,9333;1,0;1,9333;10,4
6;02/06/2023;08:00;AUSTRALIA;NPL WESTERN AUSTRALIA - ROUND 11;Perth Glory U21;Floreat Athena;15;15;4,9333;14;15;3,2667;1,0;0,9333;1,9333;8,2
7;02/06/2023;07:00;CZECH REPUBLIC;U19 LEAGUE - ROUND 29;Dukla Prague U19;Brno U19;14;15;3,8;15;15;4,2667;0,9333;1,0;1,9333;8,0667
8;02/06/2023;15:00;SWITZERLAND;SUPER LEAGUE WOMEN - PLAY OFFS - FINAL;Servette Geneve FC W;Zurich W;15;15;4,2;14;15;5,4667;1,0;0,9333;1,9333;9,6667
9;02/06/2023;13:00;ESTONIA;MEISTRILIIGA WOMEN - ROUND 8;Parnu JK Vaprus W;Tallina Kalev W;15;15;8,0667;14;15;4,4667;1,0;0,9333;1,9333;12,5334
10;02/06/2023;15:00;EUROPE;EURO U17 - PLAY OFFS - FINAL;Germany U17;France U17;15;15;4,2667;14;15;3,5333;1,0;0,9333;1,9333;7,8
11;02/06/2023;14:30;GERMANY;OBERLIGA NIEDERRHEIN - ROUND 42;Meerbusch;Hamborn;15;15;3,4667;13;15;3,7333;1,0;0,8667;1,8667;7,2
12;02/06/2023;15:45;NORTHERN IRELAND;PREMIERSHIP WOMEN - ROUND 7;Linfield W;Sion Swifts W;13;15;4,3333;15;15;4,2667;0,8667;1,0;1,8667;8,6
13;02/06/2023;15:45;NORTHERN IRELAND;PREMIERSHIP WOMEN - ROUND 7;Cliftonville W;Glentoran W;15;15;5,0;13;15;5,6667;1,0;0,8667;1,8667;10,6667
14;02/06/2023;10:00;KAZAKHSTAN;FIRST DIVISION - ROUND 10;K. Almaty 2;Jas Qyran;13;15;3,8;12;12;4,5833;0,8667;1,0;1,8667;8,3833
15;02/06/2023;15:45;GERMANY;2. BUNDESLIGA - RELEGATION - FINAL;Wehen;Arminia Bielefeld;14;15;3,4667;14;15;3,6667;0,9333;0,9333;1,8666;7,1334
16;02/06/2023;13:00;FINLAND;KAKKONEN GROUP B;HJS;Ilves 2;14;15;4,0;14;15;3,9333;0,9333;0,9333;1,8666;7,9333
17;02/06/2023;17:30;PERU;LIGA WOMEN - ROUND 10;Cesar Vallejo W;Carlos Mannucci W;13;15;3,4667;14;15;3,2667;0,8667;0,9333;1,8;6,7334
18;02/06/2023;07:15;AUSTRALIA;NPL QUEENSLAND - ROUND 12;Olympic FC;Moreton Bay Utd;14;15;3,3333;13;15;3,1333;0,9333;0,8667;1,8;6,4666
19;02/06/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 29;Gleisdorf;Kalsdorf;14;15;3,6667;13;15;3,4667;0,9333;0,8667;1,8;7,1334
20;02/06/2023;15:45;FRANCE;LIGUE 2 - ROUND 38;St Etienne;Valenciennes;15;15;3,2667;12;15;2,9333;1,0;0,8;1,8;6,2
21;02/06/2023;14:00;SWEDEN;DIVISION 2 - NORRLAND - ROUND 10;Notvikens IK;Storfors AIK;13;15;2,8667;14;15;3,9333;0,8667;0,9333;1,8;6,8
22;02/06/2023;12:30;FINLAND;KANSALLINEN LIIGA WOMEN;Ilves W;KuPS W;13;15;3,1333;14;15;4,2;0,8667;0,9333;1,8;7,3333
23;02/06/2023;11:00;FINLAND;KANSALLINEN LIIGA WOMEN;TPS W;Aland Utd W;12;15;3,6;15;15;3,7333;0,8;1,0;1,8;7,3333
24;02/06/2023;08:00;SEYCHELLES;FIRST DIVISION LEAGUE - CHAMPIONSHIP GROUP - ROUND 14;Anse Reunion;Bazar Brothers;12;15;3,3333;15;15;3,7333;0,8;1,0;1,8;7,0666
25;02/06/2023;11:00;KAZAKHSTAN;FIRST DIVISION - ROUND 10;Zhenis;Aktobe 2;12;15;3,7333;8;8;4,875;0,8;1,0;1,8;8,6083
26;02/06/2023;20:15;TRINIDAD AND TOBAGO;TT PREMIER LEAGUE - ROUND 19;Prison Service;Port Of Spain;13;15;3,4667;14;15;3,9333;0,8667;0,9333;1,8;7,4
27;02/06/2023;14:00;SWEDEN;DIVISION 2 - NORRA SVEALAND - ROUND 10;Skiljebo;Enskede;14;15;3,4667;13;15;3,6667;0,9333;0,8667;1,8;7,1334
28;02/06/2023;14:00;DENMARK;1ST DIVISION - RELEGATION GROUP - ROUND 32;Nykobing;Fredericia;15;15;4,2;12;15;3,0667;1,0;0,8;1,8;7,2667
29;02/06/2023;08:35;CHINA;SUPER LEAGUE - ROUND 11;Zhejiang Professional;Shenzhen;13;15;2,8;14;15;3,2;0,8667;0,9333;1,8;6,0
30;02/06/2023;13:30;CZECH REPUBLIC;USTECKY KP - ROUND 28;Modlany;Krupka;14;15;4,4667;13;15;4,0667;0,9333;0,8667;1,8;8,5334
31;02/06/2023;15:00;SWEDEN;DIVISION 2 - SÖDRA SVEALAND - ROUND 10;Ragsved;Haninge;13;15;3,0667;14;15;3,0;0,8667;0,9333;1,8;6,0667
32;02/06/2023;09:00;KENYA;SUPER LEAGUE - ROUND 31;Kajiado;Vihiga United;13;15;3,4;14;15;4,0;0,8667;0,9333;1,8;7,4
33;02/06/2023;07:15;AUSTRALIA;NPL NORTHERN NSW - ROUND 14;New Lambton;Lambton J.;12;13;4,0769;13;15;3,2;0,9231;0,8667;1,7898;7,2769
34;02/06/2023;23:00;USA;USL LEAGUE TWO;Ballard;PDX FC;13;15;3,2667;13;15;3,7333;0,8667;0,8667;1,7334;7,0
35;02/06/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 29;Weindorf St. Anna;Treibach;13;15;3,0667;13;15;3,3333;0,8667;0,8667;1,7334;6,4
36;02/06/2023;16:15;ICELAND;DIVISION 2 - ROUND 5;Throttur Vogar;IR Reykjavik;13;15;3,0;13;15;3,4;0,8667;0,8667;1,7334;6,4
37;02/06/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 29;Wolfsberger AC (Am);Bad Gleichenberg;13;15;2,9333;13;15;3,6;0,8667;0,8667;1,7334;6,5333
38;02/06/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 29;Deutschlandsberger;Allerheiligen;13;15;3,5333;13;15;3,6;0,8667;0,8667;1,7334;7,1333
39;02/06/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 29;LASK (Am);WSC Wels;13;15;3,6;13;15;3,1333;0,8667;0,8667;1,7334;6,7333
40;02/06/2023;10:00;MALAYSIA;SUPER LEAGUE - ROUND 13;Kedah;Sabah;12;15;3,4;14;15;3,4667;0,8;0,9333;1,7333;6,8667
41;02/06/2023;20:30;PARAGUAY;PRIMERA DIVISION - APERTURA - ROUND 21;Cerro Porteno;Libertad Asuncion;14;15;3,1333;12;15;2,8;0,9333;0,8;1,7333;5,9333
42;02/06/2023;20:00;BRAZIL;CAMPEONATO AMAPAENSE - ROUND 4;Ypiranga AP;Santana EC;14;15;3,7333;12;15;4,0667;0,9333;0,8;1,7333;7,8
43;02/06/2023;10:00;MALAYSIA;SUPER LEAGUE - ROUND 13;Kelantan United;Kelantan;11;15;2,7333;15;15;4,6667;0,7333;1,0;1,7333;7,4
44;02/06/2023;13:00;CZECH REPUBLIC;JIHOCESKY KP - ROUND 29;Hluboka nad Vltavou;Milevsko;14;15;3,7333;12;15;3,6;0,9333;0,8;1,7333;7,3333
45;02/06/2023;07:00;BANGLADESH;PREMIER LEAGUE - ROUND 19;Bashundara Kings;Mohammedan;14;15;3,5333;12;15;3,7333;0,9333;0,8;1,7333;7,2666
46;02/06/2023;13:30;AUSTRIA;REGIONALLIGA WEST - SALZBURG - RELEGATION GROUP - ROUND 31;SAK 1914;USK Anif;12;15;3,0667;14;15;3,5333;0,8;0,9333;1,7333;6,6
47;02/06/2023;16:15;ICELAND;DIVISION 2 - ROUND 5;Fjardabyggd/Leiknir;Hottur / Huginn;15;15;4,2667;11;15;3,1333;1,0;0,7333;1,7333;7,4
48;02/06/2023;07:30;AUSTRALIA;NPL VICTORIA - ROUND 16;Oakleigh Cannons;Dandenong Thunder;14;15;3,6667;12;15;3,8;0,9333;0,8;1,7333;7,4667
49;02/06/2023;08:00;KENYA;SUPER LEAGUE - ROUND 31;Silibwet;Mombasa Elite;12;15;2,2;14;15;3,2;0,8;0,9333;1,7333;5,4
50;02/06/2023;20:00;PERU;LIGA WOMEN - ROUND 10;Killas W;Sporting Victoria W;12;15;3,2667;9;10;3,4;0,8;0,9;1,7;6,6667
51;02/06/2023;19:00;USA;USL LEAGUE TWO;St. Petersburg FC;Weston;3;3;3,6667;10;15;2,0;1,0;0,6667;1,6667;5,6667
52;02/06/2023;23:00;MEXICO;LIGA MX WOMEN - CLAUSURA - PLAY OFFS - FINAL;Pachuca W;Club America W;13;15;4,0;12;15;3,5333;0,8667;0,8;1,6667;7,5333
53;02/06/2023;13:00;CZECH REPUBLIC;CFL - GROUP A - ROUND 29;Pisek;Vltavin;12;15;3,4;13;15;3,3333;0,8;0,8667;1,6667;6,7333
54;02/06/2023;14:00;SWEDEN;DIVISION 2 - SÖDRA GÖTALAND - ROUND 10;Osterlen FF;Nosaby IF;13;15;3,2;12;15;2,6;0,8667;0,8;1,6667;5,8
55;02/06/2023;11:00;ITALY;PRIMAVERA 1 - PLAY OFFS - QUARTER-FINALS;Sassuolo U19;Juventus U19;12;15;3,0;13;15;3,2667;0,8;0,8667;1,6667;6,2667
