Nº;Date;Time;Country;League;Home;Away;o15Home;totalHome;AvgHome;o15Away;totalAway;AvgAway;pHome;pAway;pSum;avgSum
56;02/06/2023;13:00;CZECH REPUBLIC;DIVISION D - ROUND 25;Start Brno;Stara Rise;13;15;3,4;12;15;3,1333;0,8667;0,8;1,6667;6,5333
57;02/06/2023;14:00;SWEDEN;DIVISION 2 - SÖDRA GÖTALAND - ROUND 10;Balkan;VMA;10;15;2,5333;15;15;4,4667;0,6667;1,0;1,6667;7,0
58;02/06/2023;16:00;IRELAND;DIVISION 1 - ROUND 17;Finn Harps;Kerry;12;15;3,0;13;15;3,8;0,8;0,8667;1,6667;6,8
59;02/06/2023;13:00;CZECH REPUBLIC;PARDUBICKY KP - ROUND 29;Horni Redice;Lazne Bohdanec;12;15;3,6667;13;15;3,2667;0,8;0,8667;1,6667;6,9334
60;02/06/2023;15:45;IRELAND;DIVISION 1 - ROUND 17;Wexford;Cobh Ramblers;12;15;2,7333;13;15;3,1333;0,8;0,8667;1,6667;5,8666
61;02/06/2023;14:00;DENMARK;2ND DIVISION - PROMOTION GROUP - ROUND 8;B.93;AB Copenhagen;13;15;2,8667;12;15;2,8667;0,8667;0,8;1,6667;5,7334
62;02/06/2023;21:30;ECUADOR;LIGA PRO - FIRST STAGE - ROUND 13;LDU Quito;Libertad;13;15;3,0;12;15;2,8667;0,8667;0,8;1,6667;5,8667
63;02/06/2023;15:15;FAROE ISLANDS;1. DEILD - ROUND 12;Sandur;Klaksvik 2;13;15;3,5333;12;15;3,4667;0,8667;0,8;1,6667;7,0
64;02/06/2023;10:00;ETHIOPIA;PREMIER LEAGUE - ROUND 27;Dire Dawa;Adama City;13;15;2,8;12;15;2,6667;0,8667;0,8;1,6667;5,4667
65;02/06/2023;11:00;SEYCHELLES;FIRST DIVISION LEAGUE - CHAMPIONSHIP GROUP - ROUND 14;Red Star;St Michel United;13;15;4,0;12;15;2,1333;0,8667;0,8;1,6667;6,1333
66;02/06/2023;13:00;POLAND;III LIGA - GROUP I - ROUND 32;Warta Sieradz;LKS Lodz II;12;15;2,8667;13;15;3,6667;0,8;0,8667;1,6667;6,5334
67;02/06/2023;14:00;AUSTRIA;REGIONALLIGA WEST - TYROL - RELEGATION GROUP - ROUND 30;SC Kundl;SV Worgl;13;15;2,8667;12;15;3,8;0,8667;0,8;1,6667;6,6667
68;02/06/2023;07:00;AUSTRALIA;NPL VICTORIA - ROUND 16;Green Gully;Bentleigh Greens;12;15;3,9333;13;15;3,2;0,8;0,8667;1,6667;7,1333
69;02/06/2023;15:45;FRANCE;LIGUE 2 - ROUND 38;Paris FC;Annecy;12;15;3,0667;13;15;3,1333;0,8;0,8667;1,6667;6,2
70;02/06/2023;13:00;FINLAND;KANSALLINEN LIIGA WOMEN;PK-35 Vantaa W;PK-35 Helsinki W;12;15;3,4;13;15;3,4667;0,8;0,8667;1,6667;6,8667
71;02/06/2023;15:30;ITALY;SERIE A - ROUND 38;Sassuolo;Fiorentina;12;15;3,0;13;15;3,2;0,8;0,8667;1,6667;6,2
72;02/06/2023;14:00;SWEDEN;DIVISION 2 - NORRA GÖTALAND - ROUND 10;Torslanda;Grebbestad;12;15;3,3333;13;15;4,0;0,8;0,8667;1,6667;7,3333
73;02/06/2023;16:15;ICELAND;BESTA-DEILD KARLA - ROUND 11;Fram;Keflavik;14;15;4,0;11;15;2,9333;0,9333;0,7333;1,6666;6,9333
74;02/06/2023;07:00;SOUTH KOREA;WK LEAGUE WOMEN - ROUND 14;Changnyeong W;Sejong Sportstoto W;11;15;2,4;14;15;3,3333;0,7333;0,9333;1,6666;5,7333
75;02/06/2023;13:30;GERMANY;REGIONALLIGA BAYERN - RELEGATION - FINAL;Spvgg Ansbach 09;Gebenbach;11;15;2,8;14;15;3,5333;0,7333;0,9333;1,6666;6,3333
76;02/06/2023;16:00;NORTHERN IRELAND;PREMIERSHIP WOMEN - ROUND 7;Crusaders W;Lisburn Ladies W;11;15;3,5333;14;15;3,8;0,7333;0,9333;1,6666;7,3333
77;02/06/2023;16:15;ICELAND;BESTA-DEILD KARLA - ROUND 11;Valur;Hafnarfjordur;11;15;3,2667;14;15;4,2667;0,7333;0,9333;1,6666;7,5334
78;02/06/2023;14:30;NORWAY;DIVISION 3 - GROUP 3 - ROUND 8;Froya;Bremnes;11;15;3,0667;14;15;4,3333;0,7333;0,9333;1,6666;7,4
79;02/06/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 29;SC Weiz;Leoben;14;15;3,8;11;15;2,7333;0,9333;0,7333;1,6666;6,5333
80;02/06/2023;14:00;DENMARK;1ST DIVISION - RELEGATION GROUP - ROUND 32;Hillerod;Hobro;11;15;2,3333;14;15;3,1333;0,7333;0,9333;1,6666;5,4666
81;02/06/2023;12:30;FINLAND;KANSALLINEN LIIGA WOMEN;Honka W;HPS W;11;15;2,7333;14;15;3,4667;0,7333;0,9333;1,6666;6,2
82;02/06/2023;12:00;CZECH REPUBLIC;DIVISION F - ROUND 25;Valasske Mezirici;Frenstat p. R.;11;15;3,0;14;15;3,1333;0,7333;0,9333;1,6666;6,1333
83;02/06/2023;14:00;SWEDEN;DIVISION 2 - SÖDRA GÖTALAND - ROUND 10;Hassleholms IF;Rappe GOIF;11;15;2,7333;14;15;4,0667;0,7333;0,9333;1,6666;6,8
84;02/06/2023;13:00;ARMENIA;PREMIER LEAGUE - ROUND 35;Pyunik Yerevan;Urartu;14;15;3,4;11;15;2,8667;0,9333;0,7333;1,6666;6,2667
85;02/06/2023;16:15;ICELAND;BESTA-DEILD KARLA - ROUND 10;Breidablik;Vikingur Reykjavik;12;15;3,2;12;15;3,2;0,8;0,8;1,6;6,4
86;02/06/2023;12:00;LITHUANIA;A LYGA - ROUND 16;Dziugas Telsiai;Kauno Zalgiris;14;15;2,8667;10;15;2,6667;0,9333;0,6667;1,6;5,5334
87;02/06/2023;23:00;USA;MLS NEXT PRO;Vancouver Whitecaps 2;Sporting Kansas City II;11;15;3,5333;13;15;3,4667;0,7333;0,8667;1,6;7,0
88;02/06/2023;15:00;ICELAND;LENGJUDEILDIN - ROUND 5;Thor Akureyri;Aegir;11;15;3,4;13;15;3,4;0,7333;0,8667;1,6;6,8
89;02/06/2023;15:45;FRANCE;LIGUE 2 - ROUND 38;Metz;Bastia;11;15;2,1333;13;15;3,0667;0,7333;0,8667;1,6;5,2
90;02/06/2023;15:45;IRELAND;DIVISION 1 - ROUND 17;Waterford;Treaty United;10;15;3,2667;14;15;3,0;0,6667;0,9333;1,6;6,2667
91;02/06/2023;12:30;CZECH REPUBLIC;MSFL - ROUND 31;Znojmo;Uhersky Brod;12;15;2,7333;12;15;3,1333;0,8;0,8;1,6;5,8666
92;02/06/2023;14:00;SWEDEN;DIVISION 1 - NORRA - ROUND 11;Karlstad;Orebro Syr.;13;15;2,9333;11;15;2,8667;0,8667;0,7333;1,6;5,8
93;02/06/2023;13:00;CZECH REPUBLIC;PLZENSKY KP - ROUND 29;Petrin Plzen B;Chotikov;13;15;5,2667;11;15;2,9333;0,8667;0,7333;1,6;8,2
94;02/06/2023;14:30;SWEDEN;DIVISION 2 - NORRA GÖTALAND - ROUND 10;IFK Skovde;Saffle SK;12;15;3,4667;12;15;3,0;0,8;0,8;1,6;6,4667
95;02/06/2023;14:00;AUSTRIA;REGIONALLIGA WEST - PROMOTION GROUP - ROUND 9;Bischofshofen;Kufstein;11;15;2,9333;13;15;3,5333;0,7333;0,8667;1,6;6,4666
96;02/06/2023;11:00;ARGENTINA;RESERVE LEAGUE - FIRST STAGE - ROUND 19;Huracan 2;Central Cordoba 2;11;15;2,6;13;15;3,2667;0,7333;0,8667;1,6;5,8667
97;02/06/2023;07:00;BANGLADESH;PREMIER LEAGUE - ROUND 19;Abahani Limited;Sheikh Jamal;13;15;3,8667;11;15;2,6;0,8667;0,7333;1,6;6,4667
98;02/06/2023;11:00;ARGENTINA;RESERVE LEAGUE - FIRST STAGE - ROUND 19;Defensa y Justicia 2;River Plate 2;13;15;3,3333;11;15;2,8667;0,8667;0,7333;1,6;6,2
99;02/06/2023;20:00;BOLIVIA;DIVISION PROFESIONAL - ROUND 16;Aurora;Libertad Gran Mamore;12;15;2,7333;12;15;2,8;0,8;0,8;1,6;5,5333
100;02/06/2023;19:00;BRAZIL;SERIE B - ROUND 10;Ceara;Chapecoense-SC;14;15;2,8667;10;15;2,3333;0,9333;0,6667;1,6;5,2
101;02/06/2023;14:00;WORLD;ARAB CLUB CHAMPIONS CUP - QUALIFICATION - FINAL;Nouadhibou;Al Kuwait;11;15;2,6667;13;15;3,5333;0,7333;0,8667;1,6;6,2
102;02/06/2023;22:30;PERU;LIGA 1 - APERTURA - ROUND 18;U. de Deportes;Cusco;11;15;2,5333;13;15;2,6667;0,7333;0,8667;1,6;5,2
103;02/06/2023;14:00;SWEDEN;DIVISION 2 - VÄSTRA GÖTALAND - ROUND 10;Landvetter;Qviding;10;15;2,2667;14;15;4,1333;0,6667;0,9333;1,6;6,4
104;02/06/2023;13:00;SWEDEN;ALLSVENSKAN WOMEN - ROUND 11;Hacken W;Kristianstad W;12;15;3,1333;12;15;3,2;0,8;0,8;1,6;6,3333
105;02/06/2023;18:00;PARAGUAY;DIVISION INTERMEDIA - ROUND 11;Sol de America;3 de Febrero;12;15;2,7333;12;15;2,1333;0,8;0,8;1,6;4,8666
106;02/06/2023;18:00;PARAGUAY;DIVISION INTERMEDIA - ROUND 11;12 de Octubre;Atyra;13;15;3,2;11;15;2,4667;0,8667;0,7333;1,6;5,6667
107;02/06/2023;18:00;TRINIDAD AND TOBAGO;TT PREMIER LEAGUE - ROUND 19;Central FC;San Juan Jabloteh;12;15;3,7333;12;15;3,7333;0,8;0,8;1,6;7,4666
108;02/06/2023;15:45;IRELAND;PREMIER DIVISION - ROUND 18;Shamrock Rovers;Dundalk;13;15;3,0667;11;15;2,6;0,8667;0,7333;1,6;5,6667
109;02/06/2023;10:00;TURKEY;TFF 3. LIG PLAY OFFS - SEMI-FINALS;Beyoglu Yeni Carsi;Efeler 09;14;15;3,4;10;15;2,8667;0,9333;0,6667;1,6;6,2667
110;02/06/2023;12:30;ALGERIA;LIGUE 2 - ROUND 30;Medea;Saida;11;15;2,8667;13;15;3,2667;0,7333;0,8667;1,6;6,1334
111;02/06/2023;20:00;URUGUAY;PRIMERA DIVISION - TORNEO INTERMEDIO - ROUND 1;La Luz;Penarol;12;15;3,2667;12;15;2,6;0,8;0,8;1,6;5,8667
112;02/06/2023;14:00;SWEDEN;DIVISION 2 - NORRA GÖTALAND - ROUND 10;Lidkoping;Gauthiod;13;15;4,1333;11;15;3,4667;0,8667;0,7333;1,6;7,6
113;02/06/2023;21:00;USA;USL LEAGUE TWO;Minneapolis City;Bavarian United;12;15;3,3333;10;13;3,0;0,8;0,7692;1,5692;6,3333
114;02/06/2023;09:00;KAZAKHSTAN;FIRST DIVISION - ROUND 10;FK Kyran;Turkistan;13;15;5,0;10;15;3,6;0,8667;0,6667;1,5334;8,6
115;02/06/2023;14:30;GERMANY;OBERLIGA MITTELRHEIN - ROUND 29;Bonner;Wegberg-Beeck;10;15;2,6667;13;15;2,7333;0,6667;0,8667;1,5334;5,4
116;02/06/2023;15:45;IRELAND;DIVISION 1 - ROUND 17;Bray;Galway;13;15;2,8667;10;15;3,2;0,8667;0,6667;1,5334;6,0667
117;02/06/2023;14:00;DENMARK;2ND DIVISION - RELEGATION GROUP - ROUND 8;Roskilde;BK Frem;10;15;2,4667;13;15;3,0;0,6667;0,8667;1,5334;5,4667
118;02/06/2023;07:00;SOUTH KOREA;WK LEAGUE WOMEN - ROUND 14;Suwon FC W;Hwacheon W;10;15;2,4667;13;15;2,7333;0,6667;0,8667;1,5334;5,2
119;02/06/2023;16:00;NORTH & CENTRAL AMERICA;CONCACAF CHAMPIONSHIP WOMEN U20 - PLAY OFFS - SEMI-FINALS;Mexico U20 W;Canada U20 W;10;15;2,2667;13;15;5,9333;0,6667;0,8667;1,5334;8,2
120;02/06/2023;06:30;MYANMAR;NATIONAL LEAGUE - ROUND 7;Dagon;Ispe FC;10;15;3,3333;13;15;2,7333;0,6667;0,8667;1,5334;6,0666
121;02/06/2023;12:00;CZECH REPUBLIC;DIVISION D - ROUND 25;Breclav;Bohunice;10;15;3,6;13;15;3,8;0,6667;0,8667;1,5334;7,4
122;02/06/2023;13:00;CZECH REPUBLIC;DIVISION C - ROUND 29;Novy Bydzov;Dobrovice;13;15;3,2667;10;15;2,9333;0,8667;0,6667;1,5334;6,2
123;02/06/2023;22:00;PERU;LIGA 1 - APERTURA - ROUND 18;ADT Tarma;Alianza Lima;10;15;2,5333;13;15;2,8;0,6667;0,8667;1,5334;5,3333
124;02/06/2023;21:30;BRAZIL;SERIE B - ROUND 10;Vitoria;Ituano;13;15;2,4667;10;15;2,1333;0,8667;0,6667;1,5334;4,6
125;02/06/2023;08:00;KENYA;SUPER LEAGUE - ROUND 31;Migori;Coastal Heroes;11;15;2,4667;12;15;3,2;0,7333;0,8;1,5333;5,6667
126;02/06/2023;06:00;UKRAINE;YOUTH LEAGUE - ROUND 30;Minaj U19;Zorya U19;12;15;3,2667;11;15;2,8667;0,8;0,7333;1,5333;6,1334
127;02/06/2023;12:00;CZECH REPUBLIC;MSFL - ROUND 31;Kvitkovice;Hlucin;11;15;3,2;12;15;3,0;0,7333;0,8;1,5333;6,2
128;02/06/2023;12:30;ALGERIA;LIGUE 2 - ROUND 30;Temouchent;Tlemcen;12;15;2,7333;11;15;2,1333;0,8;0,7333;1,5333;4,8666
129;02/06/2023;08:35;CHINA;SUPER LEAGUE - ROUND 11;Beijing Guoan;Changchun Yatai;12;15;2,9333;11;15;3,0667;0,8;0,7333;1,5333;6,0
130;02/06/2023;20:00;USA;USL LEAGUE TWO;RC New Jersey;Lehigh Valley;9;15;3,4;14;15;4,1333;0,6;0,9333;1,5333;7,5333
131;02/06/2023;19:00;BRAZIL;SERIE B - ROUND 10;Botafogo SP;Tombense;11;15;2,2;12;15;2,6667;0,7333;0,8;1,5333;4,8667
132;02/06/2023;14:30;GERMANY;OBERLIGA NIEDERRHEIN - ROUND 42;SSVg Velbert;Germania Ratingen;11;15;3,3333;12;15;2,7333;0,7333;0,8;1,5333;6,0666
133;02/06/2023;11:00;ARGENTINA;RESERVE LEAGUE - FIRST STAGE - ROUND 19;Velez Sarsfield 2;Belgrano 2;15;15;3,4;8;15;2,0;1,0;0,5333;1,5333;5,4
134;02/06/2023;15:00;ARGENTINA;PRIMERA A WOMEN - APERTURA - ROUND 15;Excursionistas W;UAI Urquiza W;11;15;2,7333;12;15;3,0667;0,7333;0,8;1,5333;5,8
135;02/06/2023;07:00;AUSTRALIA;NPL SOUTH AUSTRALIAN - ROUND 15;White City;Campbelltown City;11;15;3,2667;12;15;3,0;0,7333;0,8;1,5333;6,2667
136;02/06/2023;15:45;IRELAND;PREMIER DIVISION - ROUND 18;UC Dublin;St. Patricks;11;15;2,6667;12;15;2,9333;0,7333;0,8;1,5333;5,6
137;02/06/2023;14:00;SWEDEN;ALLSVENSKAN WOMEN - ROUND 11;Hammarby W;Norrkoping W;13;15;3,8;9;15;2,4667;0,8667;0,6;1,4667;6,2667
138;02/06/2023;11:30;LIBYA;PREMIER LEAGUE - ROUND 17;Al-Khmes;Olympic Azzaweya;9;15;1,6;13;15;2,2667;0,6;0,8667;1,4667;3,8667
139;02/06/2023;12:30;SLOVAKIA;4. LIGA - CENTRAL - ROUND 24;Badin;Zarnovica;9;15;2,9333;13;15;5,7333;0,6;0,8667;1,4667;8,6666
140;02/06/2023;11:30;LIBYA;PREMIER LEAGUE - ROUND 17;Al Akhdar;Darnes;13;15;3,0;9;15;2,0;0,8667;0,6;1,4667;5,0
141;02/06/2023;07:00;SOUTH KOREA;WK LEAGUE WOMEN - ROUND 14;Seoul W;Incheon Hyundai Steel W;12;15;3,0667;10;15;2,2667;0,8;0,6667;1,4667;5,3334
142;02/06/2023;15:45;FRANCE;LIGUE 2 - ROUND 38;Pau FC;Caen;10;15;3,0667;12;15;3,0;0,6667;0,8;1,4667;6,0667
143;02/06/2023;06:30;AUSTRALIA;NPL VICTORIA - ROUND 16;Melbourne Knights;South Melbourne;13;15;3,4667;9;15;2,5333;0,8667;0,6;1,4667;6,0
144;02/06/2023;13:45;BULGARIA;PARVA LIGA - CHAMPIONSHIP GROUP - ROUND 34;Lok. Plovdiv;Cherno More;9;15;2,2667;13;15;2,8667;0,6;0,8667;1,4667;5,1334
145;02/06/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 29;SAK Klagenfurt;Ried (Am);12;15;3,3333;10;15;2,8;0,8;0,6667;1,4667;6,1333
146;02/06/2023;11:00;EGYPT;DIVISION 2 - GROUP B - ROUND 28;Suez SC;ZED;13;15;2,9333;9;15;1,8;0,8667;0,6;1,4667;4,7333
147;02/06/2023;13:00;GAMBIA;GFA LEAGUE - ROUND 26;Greater Tomorrow;Team Rhino;10;15;2,4667;12;15;2,3333;0,6667;0,8;1,4667;4,8
148;02/06/2023;15:45;FRANCE;LIGUE 2 - ROUND 38;Amiens;Laval;12;15;2,6;10;15;2,4;0,8;0,6667;1,4667;5,0
149;02/06/2023;12:30;CROATIA;PRVA NL - ROUND 33;Rudes;Vukovar 1991;10;15;2,4;12;15;2,7333;0,6667;0,8;1,4667;5,1333
