Nº;Date;Time;Country;League;Home;Away;jogosHome;totalHome;jogosAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
1;14/09/2023;11:30;DR CONGO;LIGUE 1 - ROUND 1;AS Vita Club;Aigles du Congo;14;20;17;20;0,7;0,85;1,55;1,75;1,0428;1,5;1,0247;3,25
2;14/09/2023;21:00;ARGENTINA;COPA DE LA LIGA PROFESIONAL - ROUND 4;Independiente;Huracan;12;20;16;20;0,6;0,8;1,4;2,2;0,8718;1,85;1,711;4,05
3;14/09/2023;14:45;BRAZIL;COPA RIO - QUARTER-FINALS;America RJ;Friburguense;13;20;15;20;0,65;0,75;1,4;2,1;1,6401;1,5;1,0724;3,6
4;14/09/2023;10:30;RUSSIA;RUSSIAN CUP - REGIONS PATH - 1/8-FINALS;Amkar;Chelyabinsk;15;20;13;20;0,75;0,65;1,4;2,15;1,8782;2,3;1,8193;4,45
5;14/09/2023;22:50;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 11;Petrolera;Junior;13;20;14;20;0,65;0,7;1,35;2,25;1,8405;2,4;2,4372;4,65
6;14/09/2023;18:00;COLOMBIA;PRIMERA B - CLAUSURA - ROUND 11;Orsomarso;Real Santander;12;20;15;20;0,6;0,75;1,35;2,15;1,4239;1,9;1,0909;4,05
7;14/09/2023;14:45;BRAZIL;COPA RIO - QUARTER-FINALS;Duque de Caxias;Portuguesa RJ;15;20;12;20;0,75;0,6;1,35;2,2;1,631;2,2;1,8055;4,4
8;14/09/2023;19:00;BRAZIL;SERIE A - ROUND 23;Santos;Cruzeiro;10;20;16;20;0,5;0,8;1,3;2,65;1,74;1,65;1,5256;4,3
9;14/09/2023;17:00;ECUADOR;SERIE B - ROUND 30;Vargas Torres;Nueve de Octubre;15;20;11;20;0,75;0,55;1,3;1,6;1,1576;2,6;1,3928;4,2
10;14/09/2023;14:45;BRAZIL;COPA RIO - QUARTER-FINALS;Serrano FC;Goncalense;10;18;14;20;0,5556;0,7;1,2556;2,5556;1,6405;1,8;1,077;4,3556
11;14/09/2023;19:00;ARGENTINA;COPA DE LA LIGA PROFESIONAL - ROUND 4;Platense;Lanus;13;20;12;20;0,65;0,6;1,25;1,95;1,3592;2,25;1,1347;4,2
12;14/09/2023;19:45;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 11;Aguilas;U. Magdalena;13;20;12;20;0,65;0,6;1,25;2,35;1,6515;2,15;1,8782;4,5
13;14/09/2023;16:00;CHILE;SEGUNDA DIVISION - ROUND 20;Linares Unido;General Velasquez;9;20;16;20;0,45;0,8;1,25;2,4;1,3565;1,7;1,0536;4,1
14;14/09/2023;18:30;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 11;Deportes Tolima;Ind. Medellin;12;20;13;20;0,6;0,65;1,25;2,2;1,6;2,15;1,3883;4,35
15;14/09/2023;19:00;BRAZIL;SERIE A - ROUND 23;Fortaleza;Corinthians;12;20;12;20;0,6;0,6;1,2;2,1;1,261;2,15;1,558;4,25
16;14/09/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 6;Lanus 2;Boca Juniors 2;11;20;13;20;0,55;0,65;1,2;2,25;1,26;1,9;1,546;4,15
17;14/09/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 6;Union de Santa Fe 2;Platense 2;12;20;12;20;0,6;0,6;1,2;2,5;1,2042;2,0;1,5492;4,5
18;14/09/2023;18:30;BRAZIL;SERIE B - ROUND 28;Londrina;Ituano;10;20;14;20;0,5;0,7;1,2;2,35;1,1522;2,0;1,0488;4,35
19;14/09/2023;21:00;ECUADOR;SERIE B - ROUND 30;Buhos ULVR;Manta;9;20;15;20;0,45;0,75;1,2;2,55;1,8835;1,95;0,9206;4,5
20;14/09/2023;13:00;SPAIN;TERCERA RFEF - GROUP 6 - ROUND 2;Rayo Ibense;Castellon B;11;20;13;20;0,55;0,65;1,2;2,8;1,833;2,25;1,3739;5,05
