Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum;Times
1;30/05/2023;15:00;NETHERLANDS;EREDIVISIE - RELEGATION - PLAY OFFS - SEMI-FINALS;Venlo;Almere City;29;43;1,1395;31;43;1,1395;0,6744;0,7209;1,3953;0,4862
2;30/05/2023;14:30;WORLD;WORLD CUP U20 - PLAY OFFS - 1/8-FINALS;USA U20;New Zealand U20;34;43;1,814;23;33;1,1818;0,7907;0,697;1,4877;0,5511
3;30/05/2023;18:00;WORLD;WORLD CUP U20 - PLAY OFFS - 1/8-FINALS;Uzbekistan U20;Israel U20;29;41;1,3659;2;5;0,6;0,7073;0,4;1,1073;0,2829
4;30/05/2023;12:00;ALGERIA;LIGUE 1 - ROUND 24;MC Alger;Khenchela;17;43;0,5814;30;43;1,1163;0,3953;0,6977;1,093;0,2758
5;30/05/2023;21:05;ARGENTINA;PRIMERA NACIONAL - ROUND 18;Def. de Belgrano;Nueva Chicago;22;43;0,7907;23;43;0,8372;0,5116;0,5349;1,0465;0,2737
6;30/05/2023;15:30;ARGENTINA;PRIMERA B - APERTURA - ROUND 16;Fenix;Argentino de Quilmes;28;43;1,0;27;43;0,9535;0,6512;0,6279;1,2791;0,4089
7;30/05/2023;15:30;ARGENTINA;PRIMERA B - APERTURA - ROUND 16;Sacachispas;Colegiales;23;43;0,7209;28;43;0,9767;0,5349;0,6512;1,1861;0,3483
8;30/05/2023;15:30;ARGENTINA;PRIMERA C - ROUND 19;Laferrere;Liniers;25;43;0,8605;31;43;1,0465;0,5814;0,7209;1,3023;0,4191
9;30/05/2023;11:00;ARMENIA;PREMIER LEAGUE - ROUND 35;Ararat Yerevan;BKMA;29;43;1,0465;25;43;0,9535;0,6744;0,5814;1,2558;0,3921
10;30/05/2023;14:00;AUSTRIA;REGIONALLIGA WEST - SALZBURG - RELEGATION GROUP - ROUND 32;UFC Hallein;Grodig;24;29;1,8966;28;43;1,3023;0,8276;0,6512;1,4788;0,5389
11;30/05/2023;13:00;BAHRAIN;PREMIER LEAGUE - RELEGATION;Al-Hala;Al-Ittifaq;31;43;1,2093;30;36;1,5278;0,7209;0,8333;1,5542;0,6007
12;30/05/2023;13:00;BAHRAIN;PREMIER LEAGUE - RELEGATION;East Riffa;Ali CSC;26;42;0,9762;4;5;1,2;0,619;0,8;1,419;0,4952
13;30/05/2023;06:15;BANGLADESH;FEDERATION CUP - PLAY OFFS - FINAL;Mohammedan;Abahani Limited;33;43;1,5116;35;42;1,7143;0,7674;0,8333;1,6007;0,6395
14;30/05/2023;20:00;BRAZIL;SERIE C - FIRST STAGE - ROUND 5;Remo;Confianca;29;43;1,0698;25;43;0,8605;0,6744;0,5814;1,2558;0,3921
15;30/05/2023;12:00;BULGARIA;VTORA LIGA - ROUND 33;Botev Plovdiv II;Etar;29;43;1,0465;22;43;0,7674;0,6744;0,5116;1,186;0,345
16;30/05/2023;12:00;BULGARIA;VTORA LIGA - ROUND 33;Dobrudzha;Vitosha Bistritsa;34;43;1,186;33;41;1,1463;0,7907;0,8049;1,5956;0,6364
17;30/05/2023;12:00;BULGARIA;VTORA LIGA - ROUND 33;Dunav Ruse;Strumska Slava;30;43;1,1395;27;43;1,0233;0,6977;0,6279;1,3256;0,4381
18;30/05/2023;12:00;BULGARIA;VTORA LIGA - ROUND 33;Krumovgrad;Montana;27;42;1,119;26;43;0,8605;0,6429;0,6047;1,2476;0,3888
19;30/05/2023;12:00;BULGARIA;VTORA LIGA - ROUND 33;Litex Lovech;Spartak Pleven;25;43;0,814;26;43;1,1163;0,5814;0,6047;1,1861;0,3516
20;30/05/2023;12:00;BULGARIA;VTORA LIGA - ROUND 33;Ludogorets II;Svoge;29;42;1,1667;27;42;1,0;0,6905;0,6429;1,3334;0,4439
21;30/05/2023;12:00;BULGARIA;VTORA LIGA - ROUND 33;Maritsa Plovdiv;CSKA 1948 Sofia II;29;43;1,1163;26;43;1,093;0,6744;0,6047;1,2791;0,4078
22;30/05/2023;12:00;BULGARIA;VTORA LIGA - ROUND 33;Sozopol;Minyor Pernik;28;42;0,881;27;41;0,9024;0,6667;0,6585;1,3252;0,439
23;30/05/2023;12:00;BULGARIA;VTORA LIGA - ROUND 33;Yantra Gabrovo;Belasitsa;26;43;0,8837;29;42;1,0476;0,6047;0,6905;1,2952;0,4175
24;30/05/2023;04:30;CHINA;FA CUP - 1/32-FINALS;Dalian Zhixing;Dongguan Guanlian;1;5;0,2;26;43;0,9535;0,2;0,6047;0,8047;0,1209
25;30/05/2023;04:30;CHINA;FA CUP - 1/32-FINALS;Jiangxi Dark Horse;Qingdao Youth Island;26;41;0,9024;30;43;0,9767;0,6341;0,6977;1,3318;0,4424
26;30/05/2023;04:30;CHINA;FA CUP - 1/32-FINALS;Quanzhou Yassin;Yanbian Longding;26;41;0,9024;30;43;1,1163;0,6341;0,6977;1,3318;0,4424
27;30/05/2023;04:30;CHINA;FA CUP - 1/32-FINALS;Zibo Qisheng;Jinan Xingzhou;15;22;1,0;19;26;1,1538;0,6818;0,7308;1,4126;0,4983
28;30/05/2023;08:30;CHINA;FA CUP - 1/32-FINALS;Heilongjiang Ice City;Shaoxing Shangyu;31;42;1,2381;15;20;1,15;0,7381;0,75;1,4881;0,5536
29;30/05/2023;08:30;CHINA;FA CUP - 1/32-FINALS;Yunnan Yukun;Guangxi Pingguo Haliao;5;5;1,2;24;43;0,9535;1,0;0,5581;1,5581;0,5581
30;30/05/2023;20:00;COLOMBIA;PRIMERA B - APERTURA - QUADRANGULAR - ROUND 4;Llaneros;Cartagena;30;43;1,0698;30;43;1,2326;0,6977;0,6977;1,3954;0,4868
31;30/05/2023;22:05;COLOMBIA;PRIMERA B - APERTURA - QUADRANGULAR - ROUND 4;Quindio;Fortaleza;22;43;1,0;29;43;1,2558;0,5116;0,6744;1,186;0,345
32;30/05/2023;06:00;CZECH REPUBLIC;U19 LEAGUE - ROUND 30;Jihlava U19;Sigma Olomouc U19;33;43;1,3953;37;43;1,7209;0,7674;0,8605;1,6279;0,6603
33;30/05/2023;14:00;DENMARK;SUPERLIGA - CHAMPIONSHIP GROUP - ROUND 31;Randers FC;Aarhus;27;42;1,2381;28;43;1,0698;0,6429;0,6512;1,2941;0,4187
34;30/05/2023;21:00;ECUADOR;SERIE B - ROUND 12;Buhos ULVR;Macara;20;43;0,6977;28;43;1,1628;0,4651;0,6512;1,1163;0,3029
35;30/05/2023;14:00;EGYPT;PREMIER LEAGUE - ROUND 23;Zamalek;El Gaish;30;43;1,2326;27;43;0,9535;0,6977;0,6279;1,3256;0,4381
36;30/05/2023;10:00;EUROPE;EURO U17 - ADDITIONAL MATCH - FINAL;England U17;Switzerland U17;31;42;1,3571;34;42;1,381;0,7381;0,8095;1,5476;0,5975
37;30/05/2023;11:30;EUROPE;EURO U17 - PLAY OFFS - SEMI-FINALS;Poland U17;Germany U17;32;42;1,881;32;39;1,7436;0,7619;0,8205;1,5824;0,6251
38;30/05/2023;15:00;EUROPE;EURO U17 - PLAY OFFS - SEMI-FINALS;Spain U17;France U17;31;43;1,2093;35;42;1,5476;0,7209;0,8333;1,5542;0,6007
39;30/05/2023;12:00;FINLAND;SUOMEN CUP - 1/16-FINALS;Inter Turku;Turku II;27;42;1,0238;5;6;2,5;0,6429;0,8333;1,4762;0,5357
40;30/05/2023;12:30;FINLAND;SUOMEN CUP - 1/16-FINALS;HJK;Honka;33;43;1,3488;28;43;1,1163;0,7674;0,6512;1,4186;0,4997
41;30/05/2023;12:30;FINLAND;SUOMEN CUP - 1/16-FINALS;Lahti;HIFK;33;43;1,4419;35;42;1,4048;0,7674;0,8333;1,6007;0,6395
