Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;AvgHome;golsAway;jogosAway;AvgAway;avgSum
1;05/08/2023;08:00;ESTONIA;MEISTRILIIGA WOMEN - ROUND 12;Flora W;Tallina Kalev W;71;12;5,9167;25;11;2,2727;8,1894
2;05/08/2023;10:00;NORWAY;DIVISION 3 - GROUP 5 - ROUND 14;Byasen;Strindheim;35;13;2,6923;53;13;4,0769;6,7692
3;05/08/2023;10:00;NORWAY;DIVISION 3 - GROUP 5 - ROUND 14;Rana FK;Nardo;38;13;2,9231;40;13;3,0769;6,0
4;05/08/2023;10:00;NORWAY;DIVISION 3 - GROUP 6 - ROUND 14;Follo;Nordstrand;37;13;2,8462;38;13;2,9231;5,7693
5;05/08/2023;01:30;AUSTRALIA;NPL TASMANIA - ROUND 16;Clarence Zebras;South Hobart;39;15;2,6;40;15;2,6667;5,2667
6;05/08/2023;13:00;FAROE ISLANDS;1. DEILD - ROUND 17;Skala Itrottarfelag;NSI Runavik;45;16;2,8125;38;16;2,375;5,1875
7;05/08/2023;06:30;ESTONIA;ESILIIGA - ROUND 22;Nomme Utd;Levadia U21;59;21;2,8095;40;20;2,0;4,8095
8;05/08/2023;01:30;AUSTRALIA;NPL NORTHERN NSW - ROUND 21;Maitland;Newcastle Olympic;59;20;2,95;33;20;1,65;4,6
9;05/08/2023;11:00;SWEDEN;DIVISION 2 - SÖDRA SVEALAND - ROUND 15;Farsta;Nykopings;27;14;1,9286;37;14;2,6429;4,5715
10;05/08/2023;02:30;AUSTRALIA;NPL SOUTH AUSTRALIAN - ROUND 21;Adelaide City;Campbelltown City;37;20;1,85;52;20;2,6;4,45
11;05/08/2023;10:00;FAROE ISLANDS;1. DEILD - ROUND 17;B36 Torshavn 2;Vikingur 2;36;16;2,25;35;16;2,1875;4,4375
12;05/08/2023;14:30;LATVIA;1. LIGA - ROUND 14;Beitar;Riga FC 2;22;13;1,6923;35;13;2,6923;4,3846
13;05/08/2023;09:00;LATVIA;1. LIGA - ROUND 14;Saldus SS/Leevon;RFS 2;20;13;1,5385;36;13;2,7692;4,3077
14;05/08/2023;10:00;FINLAND;KAKKONEN GROUP C;GBK Kokkola;OLS Oulu;18;11;1,6364;30;12;2,5;4,1364
15;05/08/2023;03:45;AUSTRALIA;NPL TASMANIA - ROUND 16;Launceston;Glenorchy Knights;21;14;1,5;39;15;2,6;4,1
16;05/08/2023;11:00;SWEDEN;DIVISION 2 - NORRA SVEALAND - ROUND 15;Osteraker IFK;Hudiksvall;26;14;1,8571;31;14;2,2143;4,0714
17;05/08/2023;10:00;NORWAY;OBOS-LIGAEN - ROUND 16;Kristiansund;Start;29;15;1,9333;32;15;2,1333;4,0666
18;05/08/2023;09:00;BELARUS;VYSSHAYA LIGA WOMEN - ROUND 21;Vitebsk W;Bobruichanka W;41;18;2,2778;32;18;1,7778;4,0556
19;05/08/2023;02:00;AUSTRALIA;NPL NORTHERN NSW - ROUND 21;Cooks Hill United;Lambton J.;37;20;1,85;44;20;2,2;4,05
20;05/08/2023;08:00;BELARUS;PERSHAYA LIGA - ROUND 17;Ostrovets;Lokomotiv Gomel;22;15;1,4667;37;15;2,4667;3,9334
21;05/08/2023;02:45;AUSTRALIA;NPL TASMANIA - ROUND 16;Launceston United;Devonport;10;15;0,6667;49;15;3,2667;3,9334
22;05/08/2023;08:00;SWEDEN;DIVISION 2 - NORRA GÖTALAND - ROUND 15;Stenungsunds;IFK Skovde;21;14;1,5;34;14;2,4286;3,9286
23;05/08/2023;01:30;AUSTRALIA;NPL TASMANIA - ROUND 16;Kingborough Lions;Riverside Olympic;44;15;2,9333;13;14;0,9286;3,8619
24;05/08/2023;10:00;NORWAY;DIVISION 2 - GROUP 2 - ROUND 14;Kvik Halden;Baerum Sportsklubb;25;13;1,9231;25;13;1,9231;3,8462
