Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum
169;31/05/2023;13:00;NORWAY;NORWAY CUP WOMEN - 1/16-FINALS;Fredrikstad W;LSK Kvinner W;16;16;3,0;30;42;1,2619;1,0;0,7143;1,7143
170;31/05/2023;13:00;NORWAY;NORWAY CUP WOMEN - 1/16-FINALS;Fyllingsdalen W;Brann W;15;20;1,75;32;43;1,5581;0,75;0,7442;1,4942
171;31/05/2023;13:00;NORWAY;NORWAY CUP WOMEN - 1/16-FINALS;Klepp W;Grimstad W;36;40;2,0;33;41;1,2683;0,9;0,8049;1,7049
172;31/05/2023;13:00;NORWAY;NORWAY CUP WOMEN - 1/16-FINALS;Sogndal W;Arna-Bjornar W;18;18;3,3333;35;42;1,8571;1,0;0,8333;1,8333
173;31/05/2023;13:00;NORWAY;NORWAY CUP WOMEN - 1/16-FINALS;Start W;Avaldsnes W;0;16;0,0;31;41;1,4146;0,0;0,7561;0,7561
174;31/05/2023;13:00;NORWAY;NORWAY CUP WOMEN - 1/16-FINALS;Tiller W;Rosenborg W;16;16;2,0;32;43;1,3721;1,0;0,7442;1,7442
175;31/05/2023;13:30;NORWAY;NORWAY CUP WOMEN - 1/16-FINALS;Arendal W;Stabaek W;4;16;1,25;37;43;1,3953;0,25;0,8605;1,1105
176;31/05/2023;14:00;NORWAY;NORWAY CUP WOMEN - 1/16-FINALS;Ovrevoll Hosle W;Grei W;37;41;1,5122;27;32;1,6562;0,9024;0,8438;1,7462
177;31/05/2023;14:30;NORWAY;NORWAY CUP WOMEN - 1/16-FINALS;Honefoss W;Ham-Kam W;36;43;1,6977;0;0;0;0,8372;0;0,8372
178;31/05/2023;15:00;NORWAY;NORWAY CUP WOMEN - 1/16-FINALS;Odd W;Lyn W;6;18;0,3333;35;43;1,3721;0,3333;0,814;1,1473
179;31/05/2023;15:00;NORWAY;NORWAY CUP WOMEN - 1/16-FINALS;Porsanger W;Valerenga W;12;20;1,6;39;43;1,814;0,6;0,907;1,507
180;31/05/2023;21:00;PERU;LIGA 1 - APERTURA - ROUND 8;FBC Melgar;Cesar Vallejo;25;42;0,9762;30;43;1,1628;0,5952;0,6977;1,2929
181;31/05/2023;15:00;PERU;LIGA 2 - ROUND 8;Alfonso Ugarte;Pirata;33;43;1,093;29;43;1,2326;0,7674;0,6744;1,4418
182;31/05/2023;17:15;PERU;LIGA 2 - ROUND 8;Llacuabamba;Comerciantes;28;43;0,907;16;26;1,3077;0,6512;0,6154;1,2666
183;31/05/2023;12:00;POLAND;III LIGA - GROUP IV - ROUND 29;Czarni Polaniec;Wiazownica;34;42;1,3333;29;42;1,1429;0,8095;0,6905;1,5
184;31/05/2023;07:00;POLAND;CENTRAL YOUTH LEAGUE - ROUND 29;Slask W. U19;Cracovia U19;32;42;1,4524;34;43;1,4884;0,7619;0,7907;1,5526
185;31/05/2023;15:00;SAUDI ARABIA;SAUDI PROFESSIONAL LEAGUE - ROUND 30;Al Adalh;Al-Ettifaq;29;43;1,0233;31;43;1,1163;0,6744;0,7209;1,3953
186;31/05/2023;15:00;SAUDI ARABIA;SAUDI PROFESSIONAL LEAGUE - ROUND 30;Al Khaleej;Abha;27;43;1,0233;30;43;1,1163;0,6279;0,6977;1,3256
187;31/05/2023;15:00;SAUDI ARABIA;SAUDI PROFESSIONAL LEAGUE - ROUND 30;Al Wehda;Al Feiha;30;43;1,1163;30;43;1,186;0,6977;0,6977;1,3954
188;31/05/2023;15:00;SAUDI ARABIA;SAUDI PROFESSIONAL LEAGUE - ROUND 30;Al-Hilal;Al-Raed;31;43;1,2558;33;43;1,3721;0,7209;0,7674;1,4883
189;31/05/2023;15:00;SAUDI ARABIA;SAUDI PROFESSIONAL LEAGUE - ROUND 30;Al-Ittihad FC;Al Taee;30;43;1,1628;34;43;1,3721;0,6977;0,7907;1,4884
190;31/05/2023;15:00;SAUDI ARABIA;SAUDI PROFESSIONAL LEAGUE - ROUND 30;Al-Nassr;Al-Fateh;32;43;1,1628;36;43;1,4651;0,7442;0,8372;1,5814
191;31/05/2023;15:00;SAUDI ARABIA;SAUDI PROFESSIONAL LEAGUE - ROUND 30;Al-Taawon;Al Batin;30;43;1,093;29;43;1,2326;0,6977;0,6744;1,3721
192;31/05/2023;15:00;SAUDI ARABIA;SAUDI PROFESSIONAL LEAGUE - ROUND 30;Damac;Al-Shabab;30;43;1,2558;36;43;1,3721;0,6977;0,8372;1,5349
193;31/05/2023;10:55;SERBIA;SUPER LIGA - RELEGATION - FINAL;FK Indjija;Radnicki Nis;28;43;1,1395;28;42;1,0714;0,6512;0,6667;1,3179
194;31/05/2023;13:00;SERBIA;SUPER LIGA - RELEGATION - FINAL;Graficar Beograd;Radnik;31;42;1,3095;26;43;0,8605;0,7381;0,6047;1,3428
195;31/05/2023;13:15;SIERRA LEONE;PREMIER LEAGUE - ROUND 29;Old Edwardians;Diamond Stars;7;16;1,0625;12;24;1,1667;0,4375;0,5;0,9375
196;31/05/2023;13:15;SIERRA LEONE;PREMIER LEAGUE - ROUND 29;Ports Authority;Bai Bureh Warriors;8;26;0,3846;4;16;0,5;0,3077;0,25;0,5577
197;31/05/2023;13:15;SIERRA LEONE;PREMIER LEAGUE - ROUND 29;SLIFA;Wusum Stars;8;24;0,75;14;18;1,2222;0,3333;0,7778;1,1111
198;31/05/2023;12:30;SLOVAKIA;4. LIGA - BRATISLAVA - ROUND 28;D. Luzna;Slovan Most;33;42;1,381;29;43;1,2791;0,7857;0,6744;1,4601
199;31/05/2023;12:30;SLOVAKIA;4. LIGA - BRATISLAVA - ROUND 25;Rusovce;Kalinkovo;30;42;1,4286;28;43;0,9767;0,7143;0,6512;1,3655
200;31/05/2023;12:00;SLOVAKIA;4. LIGA - EAST - ROUND 27;Kechnec;Sobrance-Sobranecko;35;41;2,0;35;43;1,6512;0,8537;0,814;1,6677
201;31/05/2023;14:30;SOUTH AFRICA;MOTSEPE FOUNDATION CHAMPIONSHIP - PROMOTION GROUP;Maritzburg Utd;Casric Stars;26;43;0,9535;27;34;1,2647;0,6047;0,7941;1,3988
202;31/05/2023;14:00;SWEDEN;SUPERETTAN - ROUND 10;Brage;Ostersund;31;43;1,2558;27;43;1,0233;0,7209;0,6279;1,3488
203;31/05/2023;14:00;SWEDEN;SUPERETTAN - ROUND 10;Gefle;Sundsvall;36;43;1,3953;36;43;1,6977;0,8372;0,8372;1,6744
204;31/05/2023;14:00;SWEDEN;SUPERETTAN - ROUND 10;Landskrona;Trelleborg;31;42;1,1429;32;42;1,4524;0,7381;0,7619;1,5
205;31/05/2023;14:00;SWEDEN;SUPERETTAN - ROUND 10;Utsikten;Orebro;30;41;1,2439;27;41;1,0976;0,7317;0,6585;1,3902
206;31/05/2023;14:00;SWEDEN;SVENSKA CUPEN - QUALIFICATION - SEMI-FINALS;Hollviken;Lunds;0;0;0;0;0;0;0;0;0
207;31/05/2023;14:30;SWITZERLAND;CHALLENGE LEAGUE - RELEGATION - FINAL;Rapperswil;Xamax;34;43;1,4651;33;43;1,3953;0,7907;0,7674;1,5581
208;31/05/2023;13:00;SWITZERLAND;1.LIGA CLASSIC PLAY OFFS - SEMI-FINALS;Solothurn;Monthey;29;39;1,359;33;43;1,5116;0,7436;0,7674;1,511
209;31/05/2023;15:30;SWITZERLAND;1.LIGA CLASSIC PLAY OFFS - SEMI-FINALS;Vevey;Lugano II;23;41;1,0488;32;42;1,4762;0,561;0,7619;1,3229
210;31/05/2023;10:00;SYRIA;PREMIER LEAGUE - ROUND 22;Al Jaish;Wathbah;22;41;0,878;27;43;0,8605;0,5366;0,6279;1,1645
211;31/05/2023;04:00;TAIWAN;PREMIER LEAGUE - ROUND 11;Taiwan Shihu;AC Taipei;29;43;1,186;20;27;1,6667;0,6744;0,7407;1,4151
212;31/05/2023;05:00;TAIWAN;PREMIER LEAGUE - ROUND 11;Taichung;Hang Yuen;29;43;1,1395;28;43;1,186;0,6744;0,6512;1,3256
213;31/05/2023;07:00;TAIWAN;PREMIER LEAGUE - ROUND 11;Ming Chuan University;Taipei Deva Dragons;32;43;1,2558;27;43;1,1163;0,7442;0,6279;1,3721
214;31/05/2023;08:00;TAIWAN;PREMIER LEAGUE - ROUND 11;Taipower;Taiwan Steel;32;43;1,2093;32;43;1,5116;0,7442;0,7442;1,4884
215;31/05/2023;12:00;TOGO;CHAMPIONNAT NATIONAL - ROUND 29;Gbohloe-Su;OTR;13;19;0,9474;11;23;0,9565;0,6842;0,4783;1,1625
216;31/05/2023;12:00;TOGO;CHAMPIONNAT NATIONAL - ROUND 29;Gomido;Unisport;12;22;0,9091;9;18;0,6667;0,5455;0,5;1,0455
217;31/05/2023;12:00;TOGO;CHAMPIONNAT NATIONAL - ROUND 29;Kakadl;ASC Kara;10;21;0,9048;15;26;0,8462;0,4762;0,5769;1,0531
218;31/05/2023;12:00;TOGO;CHAMPIONNAT NATIONAL - ROUND 29;Kara;Dynamic Togolais;25;34;1,1765;10;23;0,6522;0,7353;0,4348;1,1701
219;31/05/2023;12:00;TOGO;CHAMPIONNAT NATIONAL - ROUND 29;Tambo;Sara Sport;14;28;0,7857;10;24;0,75;0,5;0,4167;0,9167
220;31/05/2023;12:00;TUNISIA;LIGUE PROFESSIONNELLE 1 - CHAMPIONSHIP GROUP - ROUND 8;Olympique Beja;Club Africain;20;43;0,6512;23;43;0,7209;0,4651;0,5349;1,0
221;31/05/2023;14:00;TURKEY;1. LIG - PLAY OFFS - SEMI-FINALS;Eyupspor;Bodrumspor;24;42;0,8333;31;43;1,186;0,5714;0,7209;1,2923
222;31/05/2023;09:30;TURKEY;TFF 3. LIG PLAY OFFS - SEMI-FINALS;Karakopru;52 Orduspor;27;42;0,7857;28;43;0,9302;0,6429;0,6512;1,2941
223;31/05/2023;06:00;UKRAINE;YOUTH LEAGUE - ROUND 17;Zorya U19;Lviv U19;37;43;1,7907;26;43;0,907;0,8605;0,6047;1,4652
224;31/05/2023;20:00;USA;MLS;Atlanta Utd;New England Revolution;34;43;1,3721;26;41;1,0244;0,7907;0,6341;1,4248
225;31/05/2023;20:30;USA;MLS;Columbus Crew;Colorado Rapids;30;41;1,2195;27;42;1,5;0,7317;0,6429;1,3746
