Nº;Date;Time;Country;League;Home;Away;golsHome;totalHome;AvgHome;golsAway;totalAway;AvgAway;avgSum
1;30/07/2023;06:30;WORLD;WORLD CUP WOMEN - ROUND 2;Germany W;Colombia W;6;1;6,0;2;1;2,0;8,0
2;30/07/2023;04:00;WORLD;WORLD CUP WOMEN - ROUND 3;Switzerland W;New Zealand W;2;2;1,0;1;2;0,5;1,5
3;30/07/2023;15:00;ARGENTINA;LIGA PROFESIONAL - ROUND 27;Arsenal Sarandi;Colon Santa Fe;16;26;0,6154;20;26;0,7692;1,3846
4;30/07/2023;04:00;WORLD;WORLD CUP WOMEN - ROUND 3;Norway W;Philippines W;0;2;0,0;1;2;0,5;0,5
5;30/07/2023;01:30;WORLD;WORLD CUP WOMEN - ROUND 2;South Korea W;Morocco W;0;1;0,0;0;1;0,0;0,0
