Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum
1;29/07/2023;13:00;WORLD;CLUB FRIENDLY;USVS Rudersdorf (Aut);Lafnitz 2 (Aut);1;1;3,0;3;3;2,0;1,0;1,0;2,0
2;29/07/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/128-FINALS;Banov;Besenov;3;3;1,6667;13;15;2,1333;1,0;0,8667;1,8667
3;29/07/2023;09:00;WORLD;CLUB FRIENDLY;Gedania Gdansk (Pol);Jaguar Gdansk (Pol);26;30;1,7667;5;5;3,2;0,8667;1,0;1,8667
4;29/07/2023;10:30;WALES;CYMRU SOUTH - ROUND 1;Pontardawe;Baglan Dragons;26;30;1,8667;2;2;1,0;0,8667;1,0;1,8667
5;29/07/2023;12:00;CZECH REPUBLIC;MOL CUP - 1/128-FINALS;Chrastava;Turnov;29;30;2,4333;27;30;2,2333;0,9667;0,9;1,8667
6;29/07/2023;09:30;GEORGIA;GEORGIAN CUP - 1/8-FINALS;Irao Tbilisi;Meshakhte Tkibuli;2;2;1,5;6;7;1,1429;1,0;0,8571;1,8571
7;29/07/2023;08:00;MACAO;ELITE LEAGUE - ROUND 18;Tak Chun Ka I;Cheng Fung;29;30;2,3333;26;30;1,9667;0,9667;0,8667;1,8334
8;29/07/2023;01:30;AUSTRALIA;NPL TASMANIA - ROUND 15;Devonport;Clarence Zebras;26;30;1,6333;29;30;2,0;0,8667;0,9667;1,8334
9;29/07/2023;11:00;WORLD;CLUB FRIENDLY;Evesham (Eng);Pershore Town (Eng);25;30;1,6333;1;1;2,0;0,8333;1,0;1,8333
10;29/07/2023;04:00;AUSTRALIA;NPL WESTERN AUSTRALIA - ROUND 19;Perth RedStar;Armadale;28;30;2,0333;27;30;2,4;0,9333;0,9;1,8333
11;29/07/2023;10:00;WORLD;CEE CUP;Palmeiras U19;West Ham U19;9;11;2,3636;1;1;3,0;0,8182;1,0;1,8182
12;29/07/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/128-FINALS;Velky Cetin;Sala;3;3;3,6667;24;30;1,6;1,0;0,8;1,8
13;29/07/2023;12:30;CZECH REPUBLIC;MOL CUP - 1/128-FINALS;Vsechovice;SK Hranice;28;30;2,2333;26;30;1,3;0,9333;0,8667;1,8
14;29/07/2023;10:30;WORLD;CLUB FRIENDLY;Hoffenheim (Ger);Rangers (Sco);27;30;1,6667;27;30;1,3333;0,9;0,9;1,8
15;29/07/2023;11:00;ICELAND;DIVISION 1 - ROUND 14;Fjolnir;Selfoss;27;30;1,9667;27;30;1,7;0,9;0,9;1,8
16;29/07/2023;10:30;WALES;CYMRU NORTH - ROUND 1;Bangor 1876;Llanidloes;4;4;3,75;24;30;1,6;1,0;0,8;1,8
17;29/07/2023;13:00;ESTONIA;ESTONIAN CUP - 1/32-FINALS;Nomme Utd;Tallinn Piraaja;24;30;1,8;10;10;3,4;0,8;1,0;1,8
18;29/07/2023;13:00;SLOVAKIA;SLOVAK CUP - 1/256-FINALS;Vinohrad Cebovce;Slovenske Darmoty;3;3;1,0;14;18;1,5556;1,0;0,7778;1,7778
19;29/07/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/128-FINALS;OSK Podolie;Horna Krupa;2;2;1,5;7;9;1,2222;1,0;0,7778;1,7778
20;29/07/2023;11:00;WORLD;CLUB FRIENDLY;Mossley (Eng);Coleshill (Eng);26;30;1,5333;18;20;2,5;0,8667;0,9;1,7667
21;29/07/2023;05:00;WORLD;CLUB FRIENDLY;KS Decor Belk (Pol);Pawlowice (Pol);1;1;1,0;23;30;1,5667;1,0;0,7667;1,7667
22;29/07/2023;12:00;SLOVAKIA;2. LIGA - ROUND 1;Spisska Nova Ves;Presov;27;30;1,6333;26;30;1,8333;0,9;0,8667;1,7667
23;29/07/2023;12:00;CZECH REPUBLIC;MOL CUP - 1/128-FINALS;Nove Sady;Blansko;26;30;1,8333;27;30;2,0;0,8667;0,9;1,7667
24;29/07/2023;09:00;WORLD;CLUB FRIENDLY;Mannheim (Ger);Eintracht Frankfurt II (Ger);29;30;1,8667;24;30;1,3;0,9667;0,8;1,7667
25;29/07/2023;10:00;WORLD;CLUB FRIENDLY;Ballymun Utd (Irl);Annagh (Nir);1;1;1,0;23;30;1,0667;1,0;0,7667;1,7667
26;29/07/2023;11:00;WORLD;CLUB FRIENDLY;Westfield (Eng);Cray Wanderers (Eng);15;18;1,5556;28;30;1,3333;0,8333;0,9333;1,7666
27;29/07/2023;07:00;SINGAPORE;PREMIER LEAGUE;Young Lions;Hougang;28;30;2,1;25;30;1,5333;0,9333;0,8333;1,7666
28;29/07/2023;11:00;WORLD;CLUB FRIENDLY;Walton & Hersham (Eng);Hashtag (Eng);15;17;1,9412;6;7;1,8571;0,8824;0,8571;1,7395
29;29/07/2023;05:15;CZECH REPUBLIC;MOL CUP - 1/128-FINALS;Spoje Prague;Benatky n. Jiz.;26;30;1,8667;26;30;1,4;0,8667;0,8667;1,7334
30;29/07/2023;11:00;WORLD;CLUB FRIENDLY;Newry City (Nir);Warrenpoint (Nir);26;30;1,4333;26;30;1,4667;0,8667;0,8667;1,7334
