Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
1;22/08/2023;15:45;SCOTLAND;LOWLAND LEAGUE;East Kilbride;Celtic B;18;20;19;20;0,9;0,95;1,85;1,85;1,5256;1,6;0,8;3,45
2;22/08/2023;14:00;GERMANY;3. LIGA - ROUND 3;SG Dynamo Dresden;Mannheim;17;20;19;20;0,85;0,95;1,8;1,55;0,9734;1,8;1,6;3,35
3;22/08/2023;15:00;SWITZERLAND;1.LIGA CLASSIC GROUP 3;Gossau;Hongg;19;20;17;20;0,95;0,85;1,8;1,9;1,044;1,7;1,1;3,6
4;22/08/2023;13:00;CZECH REPUBLIC;MOL CUP - 1/64-FINALS;SK Hranice;Unicov;18;20;17;20;0,9;0,85;1,75;1,4;0,8;1,75;1,0428;3,15
5;22/08/2023;15:45;ENGLAND;NPL PREMIER DIVISION - ROUND 4;FC United;Ilkeston;17;20;18;20;0,85;0,9;1,75;1,9;1,261;1,85;1,3143;3,75
6;22/08/2023;15:45;ENGLAND;NPL PREMIER DIVISION - ROUND 4;Lancaster;Macclesfield;17;20;17;20;0,85;0,85;1,7;1,5;1,0247;1,55;0,9734;3,05
7;22/08/2023;08:00;MONGOLIA;PREMIER LEAGUE - ROUND 4;Khoromkhon;Khaan Khuns-Erchim;17;20;17;20;0,85;0,85;1,7;2,1;1,4457;2,15;1,4586;4,25
8;22/08/2023;14:00;GERMANY;3. LIGA - ROUND 3;Hallescher;Duisburg;15;20;19;20;0,75;0,95;1,7;1,25;1,0897;1,8;1,1662;3,05
9;22/08/2023;15:45;ENGLAND;NPL PREMIER DIVISION - ROUND 4;Matlock;Atherton;17;20;17;20;0,85;0,85;1,7;2,0;1,3784;1,4;1,241;3,4
10;22/08/2023;08:00;WORLD;FRIENDLY INTERNATIONAL;Romania U17;Wales U17;17;20;17;20;0,85;0,85;1,7;1,5;1,0724;1,8;1,4697;3,3
11;22/08/2023;15:00;SWITZERLAND;1.LIGA CLASSIC GROUP 2;Thun II;Munsingen;14;20;20;20;0,7;1,0;1,7;1,3;1,1446;1,8;0,9274;3,1
12;22/08/2023;15:00;PERU;LIGA 2 - ROUND 21;U. San Martin;Ayacucho;17;20;16;20;0,85;0,8;1,65;1,3;0,9539;1,4;1,0198;2,7
13;22/08/2023;13:00;GERMANY;REGIONALLIGA BAYERN - ROUND 2;Schalding;Schweinfurt;17;20;16;20;0,85;0,8;1,65;1,55;0,9734;1,7;1,1874;3,25
14;22/08/2023;14:00;GERMANY;3. LIGA - ROUND 3;Preussen Munster;Ingolstadt;19;20;14;20;0,95;0,7;1,65;2,2;1,1662;1,3;1,1874;3,5
15;22/08/2023;15:45;SCOTLAND;LOWLAND LEAGUE;Caledonian Braves;Civil Service Strollers;18;20;15;20;0,9;0,75;1,65;1,75;1,299;1,5;1,118;3,25
16;22/08/2023;15:45;SCOTLAND;LOWLAND LEAGUE;Edinburgh University;Berwick;20;20;13;20;1,0;0,65;1,65;1,85;1,2359;1,15;1,0137;3,0
17;22/08/2023;13:00;CZECH REPUBLIC;DIVISION F - ROUND 1;Frenstat p. R.;Krnov;16;20;17;20;0,8;0,85;1,65;1,75;1,299;1,4;0,8602;3,15
18;22/08/2023;15:45;ENGLAND;NPL PREMIER DIVISION - ROUND 4;Warrington Rylands;Ashton Utd;15;20;18;20;0,75;0,9;1,65;1,4;1,0677;1,55;1,0235;2,95
19;22/08/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/64-FINALS;Boleraz;Puchov;15;20;17;20;0,75;0,85;1,6;1,5;1,3229;1,7;1,3454;3,2
20;22/08/2023;10:30;ASIA;AFC CUP - QUALIFICATION - PLAY OFFS - FINAL;Mohun Bagan (Ind);Abahani Limited (Ban);16;20;16;20;0,8;0,8;1,6;1,5;0,9747;1,3;0,9539;2,8
21;22/08/2023;15:45;ENGLAND;NPL PREMIER DIVISION - ROUND 4;Marske;Bamber Bridge;16;20;16;20;0,8;0,8;1,6;1,4;0,9695;1,3;1,382;2,7
22;22/08/2023;12:00;WORLD;FRIENDLY INTERNATIONAL;North Macedonia U17;Cyprus U17;15;20;17;20;0,75;0,85;1,6;1,3;0,9539;1,4;0,9165;2,7
23;22/08/2023;14:00;GERMANY;3. LIGA - ROUND 3;Munich 1860;Lubeck;17;20;15;20;0,85;0,75;1,6;1,3;0,8426;1,65;1,4586;2,95
24;22/08/2023;15:45;ENGLAND;NPL PREMIER DIVISION - ROUND 4;Whitby;Worksop;13;20;19;20;0,65;0,95;1,6;1,1;0,995;1,75;0,8292;2,85
25;22/08/2023;10:30;RUSSIA;RUSSIAN CUP - REGIONS PATH - 1/16-FINALS;Sakhalinets;Saturn Ramenskoye;16;20;16;20;0,8;0,8;1,6;1,2;0,7483;1,8;1,6;3,0
26;22/08/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 2;Huracan 2;Talleres Cordoba 2;16;20;16;20;0,8;0,8;1,6;1,25;0,9937;1,45;1,1608;2,7
27;22/08/2023;14:00;GERMANY;3. LIGA - ROUND 3;Ulm;Arminia Bielefeld;13;20;19;20;0,65;0,95;1,6;1,2;0,9798;1,75;0,9421;2,95
28;22/08/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 2;Barracas Central 2;River Plate 2;17;20;15;20;0,85;0,75;1,6;1,25;0,8292;1,05;0,7399;2,3
29;22/08/2023;09:30;ENGLAND;PROFESSIONAL DEVELOPMENT LEAGUE;Ipswich U21;Birmingham U21;18;20;14;20;0,9;0,7;1,6;2,3;1,382;1,3;1,2689;3,6
30;22/08/2023;16:00;EUROPE;CHAMPIONS LEAGUE - QUALIFICATION - FINAL;Rangers (Sco);PSV (Ned);16;20;16;20;0,8;0,8;1,6;1,25;0,8292;1,55;1,1608;2,8
31;22/08/2023;06:30;INDIA;CALCUTTA PREMIER DIVISION;Tollygunge Agragami;Kalighat;15;20;15;18;0,75;0,8333;1,5833;1,55;1,3592;1,2778;0,8032;2,8278
32;22/08/2023;06:30;INDIA;CALCUTTA PREMIER DIVISION;West Bengal;Aryan;15;20;16;20;0,75;0,8;1,55;1,5;1,0724;1,3;1,0536;2,8
33;22/08/2023;08:00;ENGLAND;PROFESSIONAL DEVELOPMENT LEAGUE;Cardiff U21;Sheffield Wed U21;16;20;15;20;0,8;0,75;1,55;1,65;1,1522;1,35;1,1079;3,0
34;22/08/2023;10:00;ASIA;AFF CHAMPIONSHIP U23 - ROUND 3;East Timor U23;Malaysia U23;17;20;14;20;0,85;0,7;1,55;1,8;1,1662;1,05;0,8646;2,85
35;22/08/2023;12:00;WORLD;FRIENDLY INTERNATIONAL;Poland U17;Georgia U17;14;20;17;20;0,7;0,85;1,55;2,0;1,6733;1,55;1,2031;3,55
