Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum;Times
1;27/05/2023;16:00;FRANCE;LIGUE 1 - ROUND 37;Angers;Troyes;37;43;1,4651;35;43;1,3488;0,8605;0,814;1,6745;0,7004
2;27/05/2023;16:00;FRANCE;LIGUE 1 - ROUND 37;Clermont;Lorient;29;43;1,0465;31;43;1,2791;0,6744;0,7209;1,3953;0,4862
3;27/05/2023;16:00;FRANCE;LIGUE 1 - ROUND 37;Lens;AC Ajaccio;27;42;1,2619;28;43;1,2558;0,6429;0,6512;1,2941;0,4187
4;27/05/2023;16:00;FRANCE;LIGUE 1 - ROUND 37;Lille;Nantes;35;43;1,2558;26;43;1,093;0,814;0,6047;1,4187;0,4922
5;27/05/2023;16:00;FRANCE;LIGUE 1 - ROUND 37;Lyon;Reims;32;43;1,4186;29;43;1,0698;0,7442;0,6744;1,4186;0,5019
6;27/05/2023;16:00;FRANCE;LIGUE 1 - ROUND 37;Marseille;Brest;34;43;1,2791;27;42;1,1905;0,7907;0,6429;1,4336;0,5083
7;27/05/2023;16:00;FRANCE;LIGUE 1 - ROUND 37;Montpellier;Nice;31;40;1,475;33;42;1,1429;0,775;0,7857;1,5607;0,6089
8;27/05/2023;16:00;FRANCE;LIGUE 1 - ROUND 37;Rennes;Monaco;33;42;1,5;32;42;1,5238;0,7857;0,7619;1,5476;0,5986
9;27/05/2023;16:00;FRANCE;LIGUE 1 - ROUND 37;Strasbourg;Paris SG;38;42;1,6667;36;43;1,6977;0,9048;0,8372;1,742;0,7575
10;27/05/2023;16:00;FRANCE;LIGUE 1 - ROUND 37;Toulouse;Auxerre;30;41;1,5122;33;43;1,4419;0,7317;0,7674;1,4991;0,5615
11;27/05/2023;10:30;GERMANY;BUNDESLIGA - ROUND 34;B. Monchengladbach;Augsburg;34;43;1,5581;28;43;1,6047;0,7907;0,6512;1,4419;0,5149
12;27/05/2023;10:30;GERMANY;BUNDESLIGA - ROUND 34;Bochum;Bayer Leverkusen;36;43;1,5581;31;43;1,2326;0,8372;0,7209;1,5581;0,6035
13;27/05/2023;10:30;GERMANY;BUNDESLIGA - ROUND 34;Dortmund;Mainz;36;42;1,9048;36;42;1,6429;0,8571;0,8571;1,7142;0,7346
14;27/05/2023;10:30;GERMANY;BUNDESLIGA - ROUND 34;Eintracht Frankfurt;Freiburg;36;43;1,6977;25;40;1,275;0,8372;0,625;1,4622;0,5232
15;27/05/2023;10:30;GERMANY;BUNDESLIGA - ROUND 34;FC Koln;Bayern Munich;33;42;1,5714;35;43;1,7442;0,7857;0,814;1,5997;0,6396
16;27/05/2023;10:30;GERMANY;BUNDESLIGA - ROUND 34;RB Leipzig;Schalke;35;43;1,4419;32;43;1,3721;0,814;0,7442;1,5582;0,6058
17;27/05/2023;10:30;GERMANY;BUNDESLIGA - ROUND 34;Stuttgart;Hoffenheim;33;43;1,3953;36;41;1,7073;0,7674;0,878;1,6454;0,6738
18;27/05/2023;10:30;GERMANY;BUNDESLIGA - ROUND 34;Union Berlin;Werder Bremen;27;43;1,2558;28;43;1,3488;0,6279;0,6512;1,2791;0,4089
19;27/05/2023;10:30;GERMANY;BUNDESLIGA - ROUND 34;Wolfsburg;Hertha Berlin;32;43;1,5814;34;43;1,6977;0,7442;0,7907;1,5349;0,5884
20;27/05/2023;10:00;ITALY;SERIE A - ROUND 37;Salernitana;Udinese;33;43;1,3488;32;43;1,3023;0,7674;0,7442;1,5116;0,5711
21;27/05/2023;10:00;ITALY;SERIE A - ROUND 37;Spezia;Torino;34;43;1,2791;30;43;0,9535;0,7907;0,6977;1,4884;0,5517
22;27/05/2023;13:00;ITALY;SERIE A - ROUND 37;Fiorentina;AS Roma;33;43;1,3023;27;43;0,8605;0,7674;0,6279;1,3953;0,4819
23;27/05/2023;15:45;ITALY;SERIE A - ROUND 37;Inter;Atalanta;24;43;1,0465;32;43;1,3488;0,5581;0,7442;1,3023;0,4153
24;27/05/2023;11:30;NETHERLANDS;EREDIVISIE - RELEGATION - PLAY OFFS - QUARTER-FINALS;Willem II;Venlo;33;43;1,3023;29;43;1,1163;0,7674;0,6744;1,4418;0,5175
25;27/05/2023;15:00;NETHERLANDS;EREDIVISIE - RELEGATION - PLAY OFFS - QUARTER-FINALS;Maastricht;Breda;35;43;1,5349;37;43;1,6512;0,814;0,8605;1,6745;0,7004
26;27/05/2023;14:00;SPAIN;LALIGA - ROUND 37;Sevilla;Real Madrid;26;43;1,0;29;43;1,3256;0,6047;0,6744;1,2791;0,4078
27;27/05/2023;15:00;WORLD;WORLD CUP U20 - ROUND 3;Brazil U20;Nigeria U20;27;43;1,1628;24;37;1,1622;0,6279;0,6486;1,2765;0,4073
28;27/05/2023;15:00;WORLD;WORLD CUP U20 - ROUND 3;Dominican Republic U20;Italy U20;20;23;2,2174;32;43;1,6047;0,8696;0,7442;1,6138;0,6472
29;27/05/2023;18:00;WORLD;WORLD CUP U20 - ROUND 3;Colombia U20;Senegal U20;31;43;1,2558;32;42;1,3571;0,7209;0,7619;1,4828;0,5493
30;27/05/2023;18:00;WORLD;WORLD CUP U20 - ROUND 3;Japan U20;Israel U20;28;38;1,1053;1;4;0,5;0,7368;0,25;0,9868;0,1842
31;27/05/2023;14:00;ALGERIA;ALGERIA CUP - SEMI-FINALS;Magra;CR Belouizdad;23;43;0,907;25;43;0,9767;0,5349;0,5814;1,1163;0,311
32;27/05/2023;15:30;ANDORRA;PRIMERA DIVISIÓ - RELEGATION - FINAL;Carroi;UE Engordany;38;42;1,4286;26;38;1,3947;0,9048;0,6842;1,589;0,6191
33;27/05/2023;11:00;ARGENTINA;LIGA PROFESIONAL - ROUND 18;Gimnasia L.P.;Sarmiento Junin;25;43;0,7442;25;43;0,907;0,5814;0,5814;1,1628;0,338
34;27/05/2023;18:00;ARGENTINA;LIGA PROFESIONAL - ROUND 18;Platense;Belgrano;27;42;1,0476;24;43;0,7907;0,6429;0,5581;1,201;0,3588
35;27/05/2023;20:30;ARGENTINA;LIGA PROFESIONAL - ROUND 18;Independiente;Lanus;28;43;1,0;32;43;1,2791;0,6512;0,7442;1,3954;0,4846
36;27/05/2023;15:00;ARGENTINA;PRIMERA NACIONAL - ROUND 16;Deportivo Madryn;Chaco For Ever;31;43;1,093;24;43;0,7442;0,7209;0,5581;1,279;0,4023
37;27/05/2023;15:00;ARGENTINA;PRIMERA NACIONAL - ROUND 16;Villa Dalmine;Ind. Rivadavia;26;43;1,1628;29;43;0,9767;0,6047;0,6744;1,2791;0,4078
38;27/05/2023;15:30;ARGENTINA;PRIMERA NACIONAL - ROUND 18;Club A. Guemes;San Telmo;22;43;0,6977;34;43;1,2093;0,5116;0,7907;1,3023;0,4045
39;27/05/2023;17:05;ARGENTINA;PRIMERA NACIONAL - ROUND 18;Almirante Brown;San Martin T.;28;43;1,1163;22;43;0,6047;0,6512;0,5116;1,1628;0,3332
40;27/05/2023;19:10;ARGENTINA;PRIMERA NACIONAL - ROUND 18;Deportivo Moron;Temperley;23;43;0,7209;30;43;1,0465;0,5349;0,6977;1,2326;0,3732
41;27/05/2023;21:15;ARGENTINA;PRIMERA NACIONAL - ROUND 16;Quilmes;Atletico Atlanta;32;43;1,1628;23;43;0,6977;0,7442;0,5349;1,2791;0,3981
42;27/05/2023;10:00;ARMENIA;PREMIER LEAGUE - ROUND 34;Alashkert;Urartu;26;43;1,093;27;43;1,0465;0,6047;0,6279;1,2326;0,3797
