Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum;Times
1;28/05/2023;12:30;ENGLAND;PREMIER LEAGUE - ROUND 38;Arsenal;Wolves;32;43;1,4186;31;43;1,093;0,7442;0,7209;1,4651;0,5365
2;28/05/2023;12:30;ENGLAND;PREMIER LEAGUE - ROUND 38;Aston Villa;Brighton;32;43;1,186;31;43;1,5349;0,7442;0,7209;1,4651;0,5365
3;28/05/2023;12:30;ENGLAND;PREMIER LEAGUE - ROUND 38;Brentford;Manchester City;34;43;1,3953;34;43;1,3953;0,7907;0,7907;1,5814;0,6252
4;28/05/2023;12:30;ENGLAND;PREMIER LEAGUE - ROUND 38;Chelsea;Newcastle;27;43;1,0233;28;43;1,1628;0,6279;0,6512;1,2791;0,4089
5;28/05/2023;12:30;ENGLAND;PREMIER LEAGUE - ROUND 38;Crystal Palace;Nottingham;26;43;1,0;33;43;1,2791;0,6047;0,7674;1,3721;0,464
6;28/05/2023;12:30;ENGLAND;PREMIER LEAGUE - ROUND 38;Everton;Bournemouth;30;43;1,093;35;43;1,4651;0,6977;0,814;1,5117;0,5679
7;28/05/2023;12:30;ENGLAND;PREMIER LEAGUE - ROUND 38;Leeds;Tottenham;33;43;1,4186;29;43;1,3488;0,7674;0,6744;1,4418;0,5175
8;28/05/2023;12:30;ENGLAND;PREMIER LEAGUE - ROUND 38;Leicester;West Ham;30;43;1,4884;36;43;1,4419;0,6977;0,8372;1,5349;0,5841
9;28/05/2023;12:30;ENGLAND;PREMIER LEAGUE - ROUND 38;Manchester Utd;Fulham;28;43;0,907;33;43;1,186;0,6512;0,7674;1,4186;0,4997
10;28/05/2023;12:30;ENGLAND;PREMIER LEAGUE - ROUND 38;Southampton;Liverpool;34;43;1,2558;32;43;1,4884;0,7907;0,7442;1,5349;0,5884
11;28/05/2023;07:30;ITALY;SERIE A - ROUND 37;Verona;Empoli;30;41;1,1951;29;43;0,907;0,7317;0,6744;1,4061;0,4935
12;28/05/2023;10:00;ITALY;SERIE A - ROUND 37;Bologna;Napoli;32;43;1,2326;30;43;1,2791;0,7442;0,6977;1,4419;0,5192
13;28/05/2023;10:00;ITALY;SERIE A - ROUND 37;Monza;Lecce;33;43;1,186;31;43;1,1628;0,7674;0,7209;1,4883;0,5532
14;28/05/2023;13:00;ITALY;SERIE A - ROUND 37;Lazio;Cremonese;32;43;1,093;28;43;1,3488;0,7442;0,6512;1,3954;0,4846
15;28/05/2023;15:45;ITALY;SERIE A - ROUND 37;Juventus;AC Milan;27;43;1,1628;33;43;1,3488;0,6279;0,7674;1,3953;0,4819
16;28/05/2023;09:30;NETHERLANDS;EREDIVISIE - ROUND 34;AZ Alkmaar;PSV;36;43;1,6977;34;43;1,4651;0,8372;0,7907;1,6279;0,662
