Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;AvgHome;golsAway;jogosAway;AvgAway;avgSum
1;08/08/2023;12:30;FINLAND;KANSALLINEN LIIGA WOMEN;HJK W;KuPS W;32;14;2,2857;49;14;3,5;5,7857
2;08/08/2023;05:30;AUSTRALIA;NPL ACT - ROUND 17;Canberra Croatia;Tigers FC;40;16;2,5;47;16;2,9375;5,4375
3;08/08/2023;16:15;ICELAND;BESTA DEILD KARLA - ROUND 18;Hafnarfjordur;Vikingur Reykjavik;31;16;1,9375;44;17;2,5882;4,5257
4;08/08/2023;07:00;AUSTRALIA;NPL NORTHERN NSW - ROUND 21;Charlestown Azzurri;Broadmeadow;33;20;1,65;54;20;2,7;4,35
5;08/08/2023;10:30;GEORGIA;CRYSTALBET EROVNULI LIGA 2 - ROUND 20;Bolnisi;FC Gareji Sagarejo;31;19;1,6316;48;19;2,5263;4,1579
6;08/08/2023;10:00;MALAYSIA;SUPER LEAGUE - ROUND 19;Selangor;Kuala Lumpur City;43;19;2,2632;32;18;1,7778;4,041
7;08/08/2023;12:30;FINLAND;KANSALLINEN LIIGA WOMEN;Aland Utd W;PK-35 Helsinki W;45;14;3,2143;11;14;0,7857;4,0
8;08/08/2023;12:00;LATVIA;OPTIBET VIRSLIGA - ROUND 25;BFC Daugavpils;RFS;31;24;1,2917;65;24;2,7083;4,0
9;08/08/2023;16:15;ICELAND;DIVISION 1 - ROUND 11;Grotta;Akranes;23;14;1,6429;33;14;2,3571;4,0
10;08/08/2023;10:00;MALAYSIA;SUPER LEAGUE - ROUND 19;Kedah;Sri Pahang;35;18;1,9444;30;18;1,6667;3,6111
11;08/08/2023;12:00;GEORGIA;CRYSTALBET EROVNULI LIGA 2 - ROUND 20;Dinamo Tbilisi 2;Loco. Tbilisi;42;19;2,2105;25;19;1,3158;3,5263
12;08/08/2023;08:35;CHINA;SUPER LEAGUE - ROUND 21;Shandong Taishan;Chengdu Rongcheng;37;20;1,85;33;20;1,65;3,5
13;08/08/2023;12:00;TAJIKISTAN;VYSSHAYA LIGA - ROUND 16;Istiqlol Dushanbe;Regar-TadAZ;33;14;2,3571;15;15;1,0;3,3571
14;08/08/2023;08:35;CHINA;SUPER LEAGUE - ROUND 21;Qingdao Hainiu;Shanghai Port;25;20;1,25;42;20;2,1;3,35
15;08/08/2023;15:00;ICELAND;DIVISION 1 - ROUND 11;Vestri;Selfoss;19;14;1,3571;26;14;1,8571;3,2142
16;08/08/2023;10:30;GEORGIA;CRYSTALBET EROVNULI LIGA 2 - ROUND 20;Khobi;Poti;29;19;1,5263;31;19;1,6316;3,1579
17;08/08/2023;13:00;GEORGIA;CRYSTALBET EROVNULI LIGA - ROUND 19;Saburtalo Tbilisi;Torpedo Kutaisi;41;19;2,1579;17;19;0,8947;3,0526
18;08/08/2023;16:15;ICELAND;BESTA DEILD KARLA - ROUND 18;Fram;Fylkir;25;17;1,4706;26;17;1,5294;3,0
