Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum
1;30/07/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/128-FINALS;Bidovce;Povazska Sokol;1;1;2,0;1;1;3,0;1,0;1,0;2,0
2;30/07/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/128-FINALS;Spissky Stiavnik;Vikartovce;1;1;4,0;6;6;2,1667;1,0;1,0;2,0
3;30/07/2023;20:00;WORLD;FRIENDLY INTERNATIONAL WOMEN;Anguilla W;Saint Kitts and Nevis W;4;4;2,75;13;14;3,0714;1,0;0,9286;1,9286
4;30/07/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/128-FINALS;Tvrdosovce;FKM Nove Zamky;1;1;7,0;27;30;1,9;1,0;0,9;1,9
5;30/07/2023;12:00;BELARUS;VYSSHAYA LIGA WOMEN - ROUND 20;Bobruichanka W;Minsk FK W;29;30;2,9333;27;30;2,8667;0,9667;0,9;1,8667
6;30/07/2023;12:30;EUROPE;EURO U19 WOMEN - PLAY OFFS - FINAL;Spain U19 W;Germany U19 W;28;30;2,3;27;30;1,9667;0,9333;0,9;1,8333
7;30/07/2023;07:00;MACAO;ELITE LEAGUE - ROUND 18;Toi Seng;Monte Carlo;14;15;2,3333;27;30;2,3333;0,9333;0,9;1,8333
8;30/07/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/128-FINALS;Pribis;Lipany;1;1;2,0;25;30;1,7;1,0;0,8333;1,8333
9;30/07/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/128-FINALS;TJ Salka;Zeliezovce;5;6;1,8333;1;1;2,0;0,8333;1,0;1,8333
10;30/07/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/128-FINALS;Jasenov;Snina;12;13;1,8462;27;30;1,6333;0,9231;0,9;1,8231
11;30/07/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/256-FINALS;L.Mikulas - Paludzka;Svosov;1;1;2,0;8;10;1,6;1,0;0,8;1,8
12;30/07/2023;09:00;GERMANY;OBERLIGA SCHLESWIG-HOLSTEIN - ROUND 1;Neumunster;VfR Neumunster;28;30;2,1667;26;30;1,8;0,9333;0,8667;1,8
13;30/07/2023;11:00;WORLD;CLUB FRIENDLY WOMEN;Gintra W (Ltu);Flora W (Est);24;30;1,4333;30;30;2,9667;0,8;1,0;1,8
14;30/07/2023;12:30;HUNGARY;NB III - SOUTHWEST - ROUND 1;MTK Budapest II;Nagykanizsa;27;30;1,7333;27;30;1,7667;0,9;0,9;1,8
15;30/07/2023;10:45;NORWAY;DIVISION 3 - GROUP 5 - ROUND 13;Steinkjer;Bodo/Glimt 2;28;30;2,1667;26;30;1,9;0,9333;0,8667;1,8
16;30/07/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/128-FINALS;SK Surany;Branc;24;30;1,4;2;2;1,0;0,8;1,0;1,8
17;30/07/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/128-FINALS;Rybky;Boleraz;4;4;3,0;23;30;1,5;1,0;0,7667;1,7667
18;30/07/2023;10:00;SWEDEN;DIVISION 2 - NORRLAND - ROUND 14;Team TG FF;Ytterhogdal;26;30;1,5667;27;30;1,6;0,8667;0,9;1,7667
19;30/07/2023;07:00;LATVIA;1. LIGA - ROUND 13;Grobina;Tukums 2000 2;27;30;1,9333;26;30;1,6;0,9;0,8667;1,7667
20;30/07/2023;09:00;BELARUS;VYSSHAYA LIGA WOMEN - ROUND 20;Dynamo Brest W;Vitebsk W;28;30;2,4;25;30;2,2333;0,9333;0,8333;1,7666
21;30/07/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/128-FINALS;SK Bab;Soporna;3;4;1,0;5;5;2,8;0,75;1,0;1,75
22;30/07/2023;08:00;ESTONIA;ESTONIAN CUP - 1/32-FINALS;Rumori Calcio;Zenit Tallinn;11;13;1,8462;8;9;2,8889;0,8462;0,8889;1,7351
23;30/07/2023;09:00;MACAO;ELITE LEAGUE - ROUND 18;Lun Lok;Hang Sai;26;30;2,1333;26;30;2,4333;0,8667;0,8667;1,7334
24;30/07/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/128-FINALS;OSK Fintice;Spisske Podhradie;6;6;2,6667;22;30;1,5;1,0;0,7333;1,7333
25;30/07/2023;01:00;AUSTRALIA;NPL TASMANIA - ROUND 15;South Hobart;Kingborough Lions;28;30;2,1333;24;30;1,7667;0,9333;0,8;1,7333
26;30/07/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/128-FINALS;Dubovce;AFC Nove Mesto;1;1;1,0;22;30;1,4333;1,0;0,7333;1,7333
27;30/07/2023;11:00;SWEDEN;DIVISION 1 - SÖDRA - ROUND 15;Falkenberg;Ariana;28;30;1,7667;24;30;1,4333;0,9333;0,8;1,7333
28;30/07/2023;09:00;GERMANY;OBERLIGA RHEINLAND-PFALZ/SAAR - ROUND 1;Cosmos Koblenz;Morlautern;2;2;2,5;22;30;1,4667;1,0;0,7333;1,7333
29;30/07/2023;08:00;NORWAY;DIVISION 3 - GROUP 5 - ROUND 13;Kristiansund 2;Rana FK;25;30;1,5333;27;30;2,3;0,8333;0,9;1,7333
30;30/07/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/128-FINALS;Sokol Brezovicka;Stropkov;1;1;5,0;22;30;1,6333;1,0;0,7333;1,7333
31;30/07/2023;06:00;BHUTAN;PREMIER LEAGUE;Paro;Tensung;5;7;2,2857;1;1;1,0;0,7143;1,0;1,7143
32;30/07/2023;09:00;NORWAY;DIVISION 3 - GROUP 6 - ROUND 13;Skanland;Skeid 2;21;27;1,5926;28;30;2,4;0,7778;0,9333;1,7111
33;30/07/2023;08:00;NORWAY;DIVISION 3 - GROUP 6 - ROUND 13;Lorenskog;HIF Stein;25;30;1,8;14;16;1,9375;0,8333;0,875;1,7083
34;30/07/2023;10:00;BELARUS;VYSSHAYA LIGA WOMEN - ROUND 20;Dnepr Mogilev W;Dyussh-Polesgu W;23;30;2,2;16;17;4,6471;0,7667;0,9412;1,7079
35;30/07/2023;10:30;GERMANY;OBERLIGA SCHLESWIG-HOLSTEIN - ROUND 1;Inter Turkspor Kiel;Todesfelde;26;30;1,9;25;30;2,1;0,8667;0,8333;1,7
36;30/07/2023;12:00;SWEDEN;DIVISION 1 - NORRA - ROUND 15;Sandviken;IFK Stocksund;26;30;1,4;25;30;1,5333;0,8667;0,8333;1,7
37;30/07/2023;12:00;CZECH REPUBLIC;MOL CUP - 1/128-FINALS;Pruhonice;Benesov;26;30;2,0;25;30;1,7;0,8667;0,8333;1,7
38;30/07/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/128-FINALS;Jamnik;1.FK Svidnik;1;1;2,0;21;30;1,3333;1,0;0,7;1,7
39;30/07/2023;12:30;HUNGARY;NB III - NORTHWEST - ROUND 1;Haladas Zanati;Csornai;1;1;4,0;21;30;1,2667;1,0;0,7;1,7
40;30/07/2023;12:00;FINLAND;YKKONEN;Mikkeli;Gnistan;28;30;1,6333;23;30;1,2;0,9333;0,7667;1,7
41;30/07/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/128-FINALS;Maraton Sena;Slavia TU Kosice;3;3;1,0;21;30;1,3333;1,0;0,7;1,7
42;30/07/2023;11:00;WORLD;CLUB FRIENDLY WOMEN;Eintracht Frankfurt W (Ger);Schott Mainz W (Ger);26;30;1,6333;5;6;2,5;0,8667;0,8333;1,7
43;30/07/2023;10:00;NORWAY;DIVISION 2 - GROUP 2 - ROUND 13;Junkeren;Kvik Halden;26;30;1,8667;25;30;1,6667;0,8667;0,8333;1,7
44;30/07/2023;20:00;USA;USL LEAGUE TWO - PLAY OFFS - SEMI-FINALS;Flint City;Ballard;22;30;1,3667;26;27;1,6296;0,7333;0,963;1,6963
45;30/07/2023;20:00;USA;MLS NEXT PRO;New York City II;Huntsville;24;30;1,8333;16;18;1,8889;0,8;0,8889;1,6889
46;30/07/2023;14:00;WORLD;CLUB FRIENDLY;Trabzonspor (Tur);AEK Athens FC (Gre);27;30;1,7;23;30;1,1667;0,9;0,7667;1,6667
47;30/07/2023;08:00;SWEDEN;DIVISION 2 - VÄSTRA GÖTALAND - ROUND 14;Frolunda;Savedalen;27;30;1,4667;23;30;1,3;0,9;0,7667;1,6667
48;30/07/2023;11:30;SWITZERLAND;SUPER LEAGUE - ROUND 2;Basel;Winterthur;24;30;1,4333;26;30;1,6667;0,8;0,8667;1,6667
49;30/07/2023;17:30;PERU;LIGA WOMEN - CHAMPIONSHIP GROUP - ROUND 4;Alianza Lima W;U. de Deportes W;24;30;1,7333;26;30;1,9;0,8;0,8667;1,6667
50;30/07/2023;17:00;COSTA RICA;LIGA DE ASCENSO - APERTURA - ROUND 1;Cariari Pococi;CS Uruguay;26;30;1,5;24;30;1,4333;0,8667;0,8;1,6667
51;30/07/2023;12:00;CZECH REPUBLIC;MOL CUP - 1/128-FINALS;Havirov;Bohumin;23;30;1,5333;27;30;1,7;0,7667;0,9;1,6667
52;30/07/2023;20:00;USA;USL LEAGUE TWO - PLAY OFFS - SEMI-FINALS;Lionsbridge;The Villages;27;30;2,0667;23;30;1,2333;0,9;0,7667;1,6667
53;30/07/2023;11:00;SLOVAKIA;SLOVAK CUP - 1/128-FINALS;Odorin;Vranov;2;2;3,5;20;30;1,3;1,0;0,6667;1,6667
54;30/07/2023;12:00;NORWAY;ELITESERIEN - ROUND 16;Brann;Viking;29;30;1,9667;21;30;1,3333;0,9667;0,7;1,6667
55;30/07/2023;07:40;POLAND;DIVISION 1 - ROUND 2;Polonia Warszawa;Wisla;26;30;1,5667;24;30;1,4333;0,8667;0,8;1,6667
56;30/07/2023;10:00;WORLD;CLUB FRIENDLY;Bovinghausen (Ger);Kleve (Ger);27;30;1,9;23;30;1,4667;0,9;0,7667;1,6667
57;30/07/2023;12:30;AUSTRIA;REGIONALLIGA WEST - TYROL - ROUND 1;Ebbs;SC Kundl;1;1;3,0;20;30;1,0333;1,0;0,6667;1,6667
58;30/07/2023;09:00;GERMANY;OBERLIGA SCHLESWIG-HOLSTEIN - ROUND 1;Lubeck II;SC Weiche-08 II;27;30;2,3667;23;30;1,6333;0,9;0,7667;1,6667
59;30/07/2023;10:00;NORWAY;DIVISION 2 - GROUP 2 - ROUND 13;Sotra;Stjordals Blink;27;30;1,5333;23;30;1,6333;0,9;0,7667;1,6667
60;30/07/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/128-FINALS;Lab;Rusovce;5;5;2,0;20;30;1,3;1,0;0,6667;1,6667
61;30/07/2023;12:00;FINLAND;KANSALLINEN LIIGA WOMEN;ONS Oulu W;HPS W;24;30;1,9333;26;30;1,5;0,8;0,8667;1,6667
62;30/07/2023;06:00;HUNGARY;NB III - SOUTHEAST - ROUND 1;Honved II;Kecskemeti TE II;24;30;1,1333;26;30;1,7;0,8;0,8667;1,6667
63;30/07/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/128-FINALS;Nacina Ves;Vojcice;4;4;1,75;2;3;1,3333;1,0;0,6667;1,6667
64;30/07/2023;08:00;SWEDEN;DIVISION 2 - NORRA GÖTALAND - ROUND 14;Torslanda;Lidkoping;25;30;1,7333;25;30;1,6333;0,8333;0,8333;1,6666
65;30/07/2023;10:00;WORLD;CEE CUP;Sparta Prague U19;Palmeiras U19;25;30;1,7333;10;12;2,4167;0,8333;0,8333;1,6666
66;30/07/2023;05:45;GERMANY;OBERLIGA HAMBURG - ROUND 1;HEBC Hamburg;Halstenbek-Rellingen;25;30;1,2667;25;30;1,7;0,8333;0,8333;1,6666
67;30/07/2023;08:00;MALDIVES;DHIVEHI PREMIER LEAGUE - ROUND 6;TC Sports Club;Super United Sports;25;30;1,4;25;30;1,9667;0,8333;0,8333;1,6666
68;30/07/2023;12:30;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 1;Wolfsberger AC (Am);WSC Wels;25;30;1,6;25;30;1,5333;0,8333;0,8333;1,6666
69;30/07/2023;12:00;CZECH REPUBLIC;MOL CUP - 1/128-FINALS;Tasovice;Start Brno;25;30;1,6667;25;30;1,7;0,8333;0,8333;1,6666
70;30/07/2023;12:30;PERU;LIGA WOMEN - CHAMPIONSHIP GROUP - ROUND 4;Dep. Municipal W;Sporting Cristal W;22;27;1,7778;25;30;1,4667;0,8148;0,8333;1,6481
71;30/07/2023;07:00;LATVIA;1. LIGA - ROUND 13;Beitar;Rezekne;13;16;2,3125;25;30;1,9667;0,8125;0,8333;1,6458
72;30/07/2023;10:00;GERMANY;OBERLIGA HESSEN - ROUND 1;RW Walldorf;Weidenhausen;23;30;1,5667;26;30;1,7333;0,7667;0,8667;1,6334
73;30/07/2023;09:00;ESTONIA;MEISTRILIIGA WOMEN - ROUND 11;Tammeka Tartu W;Tabasalu W;23;30;2,1333;26;30;2,4667;0,7667;0,8667;1,6334
74;30/07/2023;10:00;CZECH REPUBLIC;FORTUNA:LIGA - ROUND 2;Ceske Budejovice;Slavia Prague;26;30;1,8667;23;30;1,3667;0,8667;0,7667;1,6334
75;30/07/2023;19:00;USA;USL CHAMPIONSHIP;San Diego Loyal;Colorado Springs;29;30;1,7333;20;30;1,0667;0,9667;0,6667;1,6334
76;30/07/2023;10:30;WORLD;CLUB FRIENDLY;Ulm (Ger);TSV Berg (Ger);19;30;1,1333;2;2;3,5;0,6333;1,0;1,6333
77;30/07/2023;12:00;CZECH REPUBLIC;MOL CUP - 1/128-FINALS;Stara Rise;Znojmo;24;30;1,3667;25;30;1,4667;0,8;0,8333;1,6333
78;30/07/2023;17:30;PERU;LIGA 2 - ROUND 17;Los Chankas;Alfonso Ugarte;24;30;1,3667;25;30;1,1333;0,8;0,8333;1,6333
79;30/07/2023;12:00;FINLAND;KAKKONEN GROUP B;HJS;Honka Akatemia;24;30;1,3;25;30;1,8667;0,8;0,8333;1,6333
80;30/07/2023;19:30;PARAGUAY;PRIMERA DIVISION - CLAUSURA - ROUND 4;Resistencia;Cerro Porteno;21;30;1,0667;28;30;1,5333;0,7;0,9333;1,6333
81;30/07/2023;08:00;GERMANY;OBERLIGA NOFV-NORD - ROUND 1;Lichtenberg;TuS Makkabi Berlin;22;30;1,2667;27;30;1,6667;0,7333;0,9;1,6333
82;30/07/2023;09:00;WORLD;CLUB FRIENDLY WOMEN;Henstedt-Ulzburg W (Ger);Werder Bremen W (Ger);27;30;2,0667;22;30;1,2333;0,9;0,7333;1,6333
83;30/07/2023;10:00;GERMANY;REGIONALLIGA NORTH - ROUND 1;Spelle-Venhaus;Eimsbutteler;24;30;1,5333;25;30;1,5333;0,8;0,8333;1,6333
84;30/07/2023;04:00;WORLD;WORLD CUP WOMEN - ROUND 3;Norway W;Philippines W;24;30;1,6333;25;30;1,4333;0,8;0,8333;1,6333
85;30/07/2023;05:30;SLOVAKIA;2. LIGA - ROUND 1;Malzenice;L. Mikulas;24;30;1,3667;25;30;1,4667;0,8;0,8333;1,6333
86;30/07/2023;10:00;SWEDEN;DIVISION 2 - NORRLAND - ROUND 14;IFK Lulea;Gottne IF;22;30;1,3;27;30;1,7;0,7333;0,9;1,6333
87;30/07/2023;11:00;NORWAY;DIVISION 3 - GROUP 5 - ROUND 13;Mosjoen;Byasen;14;17;1,9412;24;30;1,7333;0,8235;0,8;1,6235
88;30/07/2023;10:00;WORLD;CLUB FRIENDLY;Hamborn (Ger);BW Mintard (Ger);22;30;1,6333;8;9;2,0;0,7333;0,8889;1,6222
89;30/07/2023;09:00;GERMANY;OBERLIGA HAMBURG - ROUND 1;Niendorfer TSV;TSV Buchholz 08;25;30;1,5333;23;30;1,4333;0,8333;0,7667;1,6
90;30/07/2023;10:00;POLAND;DIVISION 1 - ROUND 2;Odra Opole;R. Rzeszow;25;30;1,1333;23;30;1,6333;0,8333;0,7667;1,6
91;30/07/2023;11:00;WORLD;CLUB FRIENDLY;Mondorf (Lux);Jeunesse Canach (Lux);24;30;1,5333;24;30;1,4333;0,8;0,8;1,6
92;30/07/2023;05:15;CZECH REPUBLIC;DIVISION 2 - ROUND 2;Zizkov;Pribram;24;30;1,5333;24;30;1,5333;0,8;0,8;1,6
93;30/07/2023;11:00;WORLD;CLUB FRIENDLY WOMEN;Koln W (Ger);Vorwarts Koln W (Ger);18;30;1,5333;4;4;3,5;0,6;1,0;1,6
