Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum
1;27/07/2023;23:30;WORLD;CLUB FRIENDLY;San Diego Loyal (Usa);Dortmund (Ger);28;30;1,6667;26;30;1,8667;0,9333;0,8667;1,8
2;27/07/2023;15:30;EUROPE;EURO U19 WOMEN - PLAY OFFS - SEMI-FINALS;France U19 W;Germany U19 W;26;30;1,7333;27;30;1,9667;0,8667;0,9;1,7667
3;27/07/2023;04:30;WORLD;WORLD CUP WOMEN - ROUND 2;Portugal W;Vietnam W;23;30;1,6;29;30;2,0;0,7667;0,9667;1,7334
4;27/07/2023;13:00;ESTONIA;ESTONIAN CUP - 1/32-FINALS;Flora U21;Keila JK;25;30;1,8667;27;30;2,0667;0,8333;0,9;1,7333
5;27/07/2023;13:00;ESTONIA;ESTONIAN CUP - 1/32-FINALS;Legion II;Soccernet;4;5;1,6;9;10;4,3;0,8;0,9;1,7
6;27/07/2023;12:30;EUROPE;EURO U19 WOMEN - PLAY OFFS - SEMI-FINALS;Netherlands U19 W;Spain U19 W;24;30;1,3667;27;30;2,2667;0,8;0,9;1,7
7;27/07/2023;08:00;WORLD;CLUB FRIENDLY;Atl. Madrid (Esp);K-League Stars (Kor);21;30;1,2333;3;3;3,3333;0,7;1,0;1,7
8;27/07/2023;15:45;WORLD;CLUB FRIENDLY;Erith & Belvedere (Eng);Hastings (Eng);10;11;1,9091;23;30;1,4;0,9091;0,7667;1,6758
9;27/07/2023;14:00;RUSSIA;RUSSIAN CUP - GROUP STAGE - ROUND 1;Krasnodar;Spartak Moscow;26;30;1,4;23;30;1,4333;0,8667;0,7667;1,6334
10;27/07/2023;16:15;ICELAND;DIVISION 1 - ROUND 14;Aegir;Throttur;22;30;1,4333;27;30;2,0667;0,7333;0,9;1,6333
11;27/07/2023;15:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - QUARTER-FINALS;Gent (Bel);Zilina (Svk);23;30;1,6;25;30;1,4333;0,7667;0,8333;1,6
12;27/07/2023;14:30;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - QUARTER-FINALS;Maccabi Tel Aviv (Isr);Petrocub (Mda);25;30;1,4;23;30;1,4;0,8333;0,7667;1,6
13;27/07/2023;14:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - QUARTER-FINALS;Gzira (Mlt);Dudelange (Lux);23;30;1,2333;25;30;2,0333;0,7667;0,8333;1,6
14;27/07/2023;13:00;WORLD;CLUB FRIENDLY;Apollon (Cyp);Al-Gharafa (Qat);23;30;1,1;25;30;1,3;0,7667;0,8333;1,6
15;27/07/2023;09:00;UKRAINE;PERSHA LIGA - ROUND 1;FSC Mariupol;Viktoria;22;30;1,1333;24;28;1,2857;0,7333;0,8571;1,5904
16;27/07/2023;15:30;WALES;CYMRU SOUTH - ROUND 1;Goytre Utd;Cwmbran Celtic;26;30;2,1;21;30;1,2667;0,8667;0,7;1,5667
17;27/07/2023;16:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - QUARTER-FINALS;Shkupi (Mkd);Levski Sofia (Bul);26;30;1,7667;21;30;1,1333;0,8667;0,7;1,5667
18;27/07/2023;13:00;WORLD;CLUB FRIENDLY;Lubeck (Ger);VfB Oldenburg (Ger);23;30;1,4333;24;30;1,5333;0,7667;0,8;1,5667
19;27/07/2023;14:30;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - QUARTER-FINALS;PAOK (Gre);Beitar Jerusalem (Isr);25;30;1,3333;22;30;1,4667;0,8333;0,7333;1,5666
20;27/07/2023;12:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - QUARTER-FINALS;Inter Escaldes (And);Hibernian (Sco);22;30;1,4667;25;30;1,5;0,7333;0,8333;1,5666
21;27/07/2023;15:45;WORLD;CLUB FRIENDLY;Moyola (Nir);Ballymena (Nir);23;27;1,6667;21;30;1,0667;0,8519;0,7;1,5519
22;27/07/2023;23:00;NORTH & CENTRAL AMERICA;LEAGUES CUP;Club America;St. Louis City;26;30;1,8;20;30;1,3;0,8667;0,6667;1,5334
23;27/07/2023;12:30;WORLD;CLUB FRIENDLY;Rabotnicki (Mkd);Al-Ettifaq (Sau);24;30;1,4;22;30;1,0667;0,8;0,7333;1,5333
24;27/07/2023;13:00;WORLD;CLUB FRIENDLY;Bani Yas (Uae);Galanta (Svk);22;30;1,2333;24;30;1,6333;0,7333;0,8;1,5333
25;27/07/2023;14:00;WORLD;CLUB FRIENDLY;Feyenoord (Ned);Villarreal (Esp);24;30;1,5;22;30;1,3667;0,8;0,7333;1,5333
26;27/07/2023;13:00;FAROE ISLANDS;PREMIER LEAGUE - ROUND 16;AB Argir;Toftir;22;30;1,2;24;30;1,5333;0,7333;0,8;1,5333
27;27/07/2023;14:30;FAROE ISLANDS;PREMIER LEAGUE - ROUND 16;07 Vestur Sorvagur;Streymur;23;30;1,1333;22;30;1,3333;0,7667;0,7333;1,5
28;27/07/2023;13:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - QUARTER-FINALS;Bodo/Glimt (Nor);Bohemians (Cze);23;30;1,5667;22;30;1,1667;0,7667;0,7333;1,5
