Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum;Times
1;24/05/2023;07:00;AUSTRALIA;NPL NORTHERN NSW - ROUND 7;Valentine;Newcastle Olympic;31;43;1,4651;33;42;1,7143;0,7209;0,7857;1,5066;0,5664
2;24/05/2023;07:00;JAPAN;YBC LEVAIN CUP - ROUND 5;FC Tokyo;Cerezo Osaka;28;43;1,186;27;43;0,8837;0,6512;0,6279;1,2791;0,4089
3;24/05/2023;07:00;JAPAN;YBC LEVAIN CUP - ROUND 5;Hokkaido Consadole Sapporo;Yokohama F. Marinos;34;43;1,6279;34;43;1,3953;0,7907;0,7907;1,5814;0,6252
4;24/05/2023;07:00;JAPAN;YBC LEVAIN CUP - ROUND 5;Hokkaido Consadole Sapporo;Yokohama F. Marinos;34;43;1,6279;34;43;1,3953;0,7907;0,7907;1,5814;0,6252
5;24/05/2023;07:00;JAPAN;YBC LEVAIN CUP - ROUND 5;Kashima Antlers;Kashiwa Reysol;26;43;0,9767;33;43;1,2093;0,6047;0,7674;1,3721;0,464
6;24/05/2023;07:00;JAPAN;YBC LEVAIN CUP - ROUND 5;Sagan Tosu;Iwata;28;43;1,093;28;43;1,1163;0,6512;0,6512;1,3024;0,4241
