Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum
1;31/07/2023;14:00;WORLD;CLUB FRIENDLY;Kematen (Aut);Wacker Innsbruck (Aut);5;5;2,2;14;15;1,4667;1,0;0,9333;1,9333
2;31/07/2023;14:00;ESTONIA;ESTONIAN CUP - 1/32-FINALS;Kohvile;Viimsi JK;6;6;2,8333;13;15;1,6667;1,0;0,8667;1,8667
3;31/07/2023;06:00;BHUTAN;PREMIER LEAGUE;RTC;Transport United;1;1;1,0;4;5;1,8;1,0;0,8;1,8
4;31/07/2023;13:00;NORWAY;DIVISION 2 - GROUP 2 - ROUND 13;Alta;Stromsgodset 2;13;15;2,2667;14;15;1,9333;0,8667;0,9333;1,8
5;31/07/2023;14:00;NORWAY;DIVISION 3 - GROUP 4 - ROUND 13;Eik-Tonsberg;Sandefjord 2;12;15;1,6667;15;15;2,0667;0,8;1,0;1,8
6;31/07/2023;12:00;BELARUS;VYSSHAYA LIGA WOMEN - ROUND 20;Smorgon W;Zorka-BDU W;15;15;2,4667;12;15;2,4667;1,0;0,8;1,8
7;31/07/2023;10:00;BELARUS;VYSSHAYA LIGA WOMEN - ROUND 20;FC Gomel W;Belarus U19 W;14;15;2,9333;12;15;2,1333;0,9333;0,8;1,7333
8;31/07/2023;04:00;WORLD;WORLD CUP WOMEN - ROUND 3;Japan W;Spain W;11;15;1,1333;15;15;2,4;0,7333;1,0;1,7333
9;31/07/2023;14:00;WORLD;CLUB FRIENDLY;Komet Arsten (Ger);Werder Bremen III (Ger);12;15;1,9333;14;15;2,2667;0,8;0,9333;1,7333
10;31/07/2023;12:00;WORLD;CLUB FRIENDLY;Al Ahli Doha (Qat);Al Sharjah (Uae);14;15;1,7333;12;15;1,4;0,9333;0,8;1,7333
11;31/07/2023;10:00;WORLD;CLUB FRIENDLY;Ankaragucu (Tur);Karagumruk (Tur);11;15;1,1333;15;15;2,0;0,7333;1,0;1,7333
12;31/07/2023;08:45;SINGAPORE;PREMIER LEAGUE;Lion City;Balestier Khalsa;12;15;1,8667;14;15;2,3333;0,8;0,9333;1,7333
13;31/07/2023;14:00;NORWAY;DIVISION 2 - GROUP 2 - ROUND 13;Brann 2;Levanger;15;15;2,1333;10;15;1,4667;1,0;0,6667;1,6667
14;31/07/2023;13:00;NORWAY;DIVISION 3 - GROUP 4 - ROUND 13;Fredrikstad 2;Odd 2;13;15;2,0;12;15;1,7333;0,8667;0,8;1,6667
15;31/07/2023;12:30;FINLAND;YKKONEN;TPS;SJK Akatemia;13;15;1,4;12;15;1,9333;0,8667;0,8;1,6667
16;31/07/2023;14:00;SWEDEN;DIVISION 2 - NORRLAND - ROUND 14;Bergnasets AIK;Storfors AIK;12;15;1,4;13;15;1,7333;0,8;0,8667;1,6667
17;31/07/2023;13:00;NORWAY;DIVISION 3 - GROUP 5 - ROUND 13;Nardo;Rosenborg 2;11;15;1,7333;14;15;2,8;0,7333;0,9333;1,6666
18;31/07/2023;21:30;CHILE;PRIMERA B - ROUND 20;La Serena;Deportes Temuco;11;15;1,4;14;15;1,4;0,7333;0,9333;1,6666
19;31/07/2023;21:00;NORTH & CENTRAL AMERICA;LEAGUES CUP;Club America;Columbus Crew;12;15;1,3333;12;15;1,5333;0,8;0,8;1,6
20;31/07/2023;23:00;NORTH & CENTRAL AMERICA;LEAGUES CUP;Guadalajara Chivas;Sporting Kansas City;10;15;1,1333;14;15;1,7333;0,6667;0,9333;1,6
21;31/07/2023;16:15;ICELAND;BESTA DEILD KARLA - ROUND 17;Keflavik;Hafnarfjordur;10;15;1,0667;14;15;1,8667;0,6667;0,9333;1,6
22;31/07/2023;06:00;MYANMAR;NATIONAL LEAGUE - ROUND 14;Ispe FC;Chinland;10;15;0,9333;14;15;1,9333;0,6667;0,9333;1,6
23;31/07/2023;06:30;MYANMAR;NATIONAL LEAGUE - ROUND 14;Rakhine United;Yangon Utd;12;15;1,5333;12;15;1,5333;0,8;0,8;1,6
24;31/07/2023;12:30;WORLD;CLUB FRIENDLY;Gaziantep (Tur);Bursaspor (Tur);10;15;0,8;14;15;1,8667;0,6667;0,9333;1,6
25;31/07/2023;13:00;WORLD;CLUB FRIENDLY;Al Rayyan (Qat);Korneuburg (Aut);9;15;1,1333;6;6;2,6667;0,6;1,0;1,6
26;31/07/2023;16:00;WORLD;CLUB FRIENDLY;Avro (Eng);Guiseley (Eng);5;6;1,1667;11;15;1,0;0,8333;0,7333;1,5666
27;31/07/2023;20:00;USA;MLS NEXT PRO;New York Red Bulls 2;Orlando City B;10;15;1,5333;13;15;2,0;0,6667;0,8667;1,5334
28;31/07/2023;12:00;WORLD;ARAB CLUB CHAMPIONS CUP - ROUND 2;Al-Shabab;Zamalek;9;15;1,0667;14;15;1,8;0,6;0,9333;1,5333
29;31/07/2023;14:00;SWEDEN;ALLSVENSKAN - ROUND 17;Sirius;AIK;14;15;1,8;9;15;1,2;0,9333;0,6;1,5333
30;31/07/2023;13:00;POLAND;DIVISION 2 - ROUND 2;GKS Jastrzebie;Stomil Olsztyn;11;15;1,2;12;15;1,4;0,7333;0,8;1,5333
31;31/07/2023;22:06;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 3;Club Leon W;Queretaro W;14;15;1,6;9;15;0,6667;0,9333;0,6;1,5333
32;31/07/2023;12:00;LITHUANIA;I LYGA - ROUND 16;FK Panevezys 2;BFA Vilnius;12;15;1,4;11;15;0,9333;0,8;0,7333;1,5333
