Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum;Times
1;23/05/2023;13:45;NETHERLANDS;EREDIVISIE - RELEGATION - PLAY OFFS - QUARTER-FINALS;Venlo;Willem II;29;43;1,093;33;43;1,2326;0,6744;0,7674;1,4418;0,5175
2;23/05/2023;16:00;NETHERLANDS;EREDIVISIE - RELEGATION - PLAY OFFS - QUARTER-FINALS;Breda;Maastricht;36;43;1,6279;35;43;1,5349;0,8372;0,814;1,6512;0,6815
3;23/05/2023;14:30;SPAIN;LALIGA - ROUND 36;Celta Vigo;Girona;34;43;1,2791;29;42;1,381;0,7907;0,6905;1,4812;0,546
4;23/05/2023;14:30;SPAIN;LALIGA - ROUND 36;Real Sociedad;Almeria;30;43;1,1395;32;43;1,3023;0,6977;0,7442;1,4419;0,5192
5;23/05/2023;17:00;SPAIN;LALIGA - ROUND 36;Valladolid;Barcelona;28;43;1,1628;33;43;1,1163;0,6512;0,7674;1,4186;0,4997
6;23/05/2023;15:00;WORLD;WORLD CUP U20 - ROUND 2;USA U20;Fiji U20;35;43;1,907;10;12;1,8333;0,814;0,8333;1,6473;0,6783
7;23/05/2023;15:00;WORLD;WORLD CUP U20 - ROUND 2;Uzbekistan U20;New Zealand U20;28;41;1,3171;23;33;1,0909;0,6829;0,697;1,3799;0,476
8;23/05/2023;18:00;WORLD;WORLD CUP U20 - ROUND 2;Argentina U20;Guatemala U20;28;43;1,1395;24;30;1,3;0,6512;0,8;1,4512;0,521
9;23/05/2023;18:00;WORLD;WORLD CUP U20 - ROUND 2;Ecuador U20;Slovakia U20;32;42;1,4762;9;11;1,4545;0,7619;0,8182;1,5801;0,6234
10;23/05/2023;11:00;ALBANIA;SUPERLIGA - RELEGATION - QUARTER-FINALS;Flamurtari;Apolonia Fier;24;43;0,907;24;43;0,9535;0,5581;0,5581;1,1162;0,3115
11;23/05/2023;11:00;ALBANIA;SUPERLIGA - RELEGATION - QUARTER-FINALS;Tomori Berat;Korabi Peshkopi;26;43;0,8372;26;42;0,9524;0,6047;0,619;1,2237;0,3743
12;23/05/2023;21:00;ARUBA;DIVISION DI HONOR - RELEGATION - ROUND 10;Santa Fe;Unistars;14;16;2,25;8;9;1,7778;0,875;0,8889;1,7639;0,7778
13;23/05/2023;06:30;AUSTRALIA;NPL NSW - ROUND 14;Manly Utd;Central Coast U21;32;43;1,2558;30;38;1,3947;0,7442;0,7895;1,5337;0,5875
