Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum;Times
153;19/05/2023;12:30;NIGER;LIGUE 1 - ROUND 18;ASGNN;Douanes Niamey;0;0;0;0;0;0.0;0;0;0;0
154;19/05/2023;12:30;NIGER;LIGUE 1 - ROUND 18;Espoir;Tahoua;0;0;0;0;0;0.0;0;0;0;0
155;19/05/2023;12:30;NIGER;LIGUE 1 - ROUND 18;Jangorzo;Olympic Niamey;0;0;0;0;0;0.0;0;0;0;0
156;19/05/2023;12:30;OMAN;PROFESSIONAL LEAGUE - ROUND 25;Al Nahda;Al-Msnaa;0;0;0;0;0;0.0;0;0;0;0
157;19/05/2023;12:30;OMAN;PROFESSIONAL LEAGUE - ROUND 25;Al Orouba;Dhofar;0;0;0;0;0;0.0;0;0;0;0
158;19/05/2023;12:30;OMAN;PROFESSIONAL LEAGUE - ROUND 25;Al Seeb;Al Nasr;0;0;0;0;0;0.0;0;0;0;0
159;19/05/2023;12:30;OMAN;PROFESSIONAL LEAGUE - ROUND 25;Al-Bashaeer;Al-Rustaq;0;0;0;0;0;0.0;0;0;0;0
160;19/05/2023;12:30;OMAN;PROFESSIONAL LEAGUE - ROUND 25;Al-Ittihad;Sur Club;0;0;0;0;0;0.0;0;0;0;0
161;19/05/2023;12:30;OMAN;PROFESSIONAL LEAGUE - ROUND 25;Bahla;Al Suwaiq;0;0;0;24;43;0.0;0;0,5581;0,5581;0,0
162;19/05/2023;12:30;OMAN;PROFESSIONAL LEAGUE - ROUND 25;Sohar;Oman Club;0;0;0;0;0;0.0;0;0;0;0
163;19/05/2023;22:00;PANAMA;LPF - APERTURA - PLAY OFFS - SEMI-FINALS;Miguelito;Tauro;0;0;0;26;43;0.023255813953488372;0;0,6047;0,6047;0,0
164;19/05/2023;20:30;PERU;LIGA 1 - APERTURA - ROUND 16;FBC Melgar;Alianza Lima;0;0;0;0;0;0.0;0;0;0;0
165;19/05/2023;22:30;PERU;LIGA 1 - APERTURA - ROUND 16;U. de Deportes;Cesar Vallejo;0;0;0;30;43;0.0;0;0,6977;0,6977;0,0
166;19/05/2023;13:00;POLAND;EKSTRAKLASA - ROUND 33;Zaglebie;Stal Mielec;0;0;0;0;0;0.0;0;0;0;0
167;19/05/2023;15:30;POLAND;EKSTRAKLASA - ROUND 33;Korona Kielce;Lech Poznan;0;0;0;29;43;0.023255813953488372;0;0,6744;0,6744;0,0
168;19/05/2023;13:00;POLAND;DIVISION 1 - ROUND 32;Chojniczanka;Arka Gdynia;0;0;0;0;0;0.0;0;0;0;0
169;19/05/2023;15:30;POLAND;DIVISION 1 - ROUND 32;Ruch Chorzow;Odra Opole;0;0;0;32;43;0.0;0;0,7442;0,7442;0,0
170;19/05/2023;16:15;PORTUGAL;LIGA PORTUGAL - ROUND 33;Maritimo;Vizela;0;0;0;0;0;0.0;0;0;0;0
171;19/05/2023;14:00;PORTUGAL;LIGA PORTUGAL 2 - ROUND 33;Benfica B;SC Farense;0;0;0;0;0;0.0;0;0;0;0
172;19/05/2023;14:00;PORTUGAL;LIGA PORTUGAL 2 - ROUND 33;Leixoes;Vilafranquense;0;0;0;23;43;0.023255813953488372;0;0,5349;0,5349;0,0
173;19/05/2023;11:30;ROMANIA;LIGA 1 - RELEGATION GROUP - ROUND 9;FC Hermannstadt;U. Cluj;0;0;0;32;43;0.0;0;0,7442;0,7442;0,0
174;19/05/2023;14:00;ROMANIA;LIGA 1 - RELEGATION GROUP - ROUND 9;Chindia Targoviste;FC Voluntari;0;0;0;29;43;0.0;0;0,6744;0,6744;0,0
175;19/05/2023;14:00;ROMANIA;LIGA 1 - RELEGATION GROUP - ROUND 9;FC Arges;Petrolul;0;0;0;29;43;0.023255813953488372;0;0,6744;0,6744;0,0
176;19/05/2023;14:00;ROMANIA;LIGA 1 - RELEGATION GROUP - ROUND 9;UTA Arad;U Craiova 1948;0;0;0;28;43;0.023255813953488372;0;0,6512;0,6512;0,0
177;19/05/2023;12:00;RUSSIA;FNL - ROUND 32;Akron Togliatti;Alania Vladikavkaz;0;0;0;0;0;0.0;0;0;0;0
178;19/05/2023;15:45;SAN MARINO;CAMPIONATO SAMMARINESE - PLAY OFFS - 3RD PLACE;Virtus;Libertas;0;0;0;0;0;0.0;0;0;0;0
179;19/05/2023;15:00;SAUDI ARABIA;SAUDI PROFESSIONAL LEAGUE - ROUND 26;Damac;Al-Hilal;0;0;0;32;43;0.0;0;0,7442;0,7442;0,0
180;19/05/2023;15:45;SCOTLAND;PREMIERSHIP - RELEGATION - SEMI-FINALS;Partick Thistle;Ayr;0;0;0;31;43;0.0;0;0,7209;0,7209;0,0
181;19/05/2023;15:35;SCOTLAND;LEAGUE ONE - RELEGATION - FINAL;Clyde;Annan;0;0;0;34;43;0.0;0;0,7907;0,7907;0,0
182;19/05/2023;12:00;SLOVAKIA;2. LIGA - ROUND 30;Dubnica;Zilina B;0;0;0;0;0;0.0;0;0;0;0
183;19/05/2023;12:00;SLOVAKIA;2. LIGA - ROUND 30;Myjava;FK Humenne;0;0;0;0;0;0.0;0;0;0;0
184;19/05/2023;12:00;SLOVAKIA;2. LIGA - ROUND 30;Povazska Bystrica;Komarno;0;0;0;0;0;0.0;0;0;0;0
185;19/05/2023;12:00;SLOVAKIA;2. LIGA - ROUND 30;Presov;Pohronie;0;0;0;0;0;0.0;0;0;0;0
186;19/05/2023;12:00;SLOVAKIA;2. LIGA - ROUND 30;Puchov;Petrzalka;0;0;0;0;0;0.0;0;0;0;0
187;19/05/2023;12:00;SLOVAKIA;2. LIGA - ROUND 30;Raca;Kosice;0;0;0;0;0;0.0;0;0;0;0
188;19/05/2023;12:00;SLOVAKIA;2. LIGA - ROUND 30;Slovan Bratislava B;Samorin;0;0;0;0;0;0.0;0;0;0;0
