Nº;Date;Time;Country;League;Home;Away;jogosHome;totalHome;jogosAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
1;11/08/2023;19:00;BRAZIL;SERIE B - ROUND 23;Novorizontino;Mirassol;21;30;23;30;0,7;0,7667;1,4667;1,8333;1,0355;1,9;1,193;3,7333
2;11/08/2023;14:30;WORLD;CLUB FRIENDLY;Arenteiro (Esp);Lugo (Esp);22;30;21;30;0,7333;0,7;1,4333;1,9333;1,4817;1,8667;1,2579;3,8
3;11/08/2023;10:30;SERBIA;SRPSKA LIGA - BELGRADE - ROUND 1;Usce;Jedinstvo Surcin;19;30;23;30;0,6333;0,7667;1,4;2,1;1,4686;1,7;1,6763;3,8
4;11/08/2023;13:00;WORLD;CLUB FRIENDLY;Turris (Ita);Gelbison (Ita);18;30;23;30;0,6;0,7667;1,3667;2,2333;1,5424;1,6667;1,3744;3,9
5;11/08/2023;19:30;BRAZIL;COPA PAULISTA - ROUND 7;Noroeste;Mirassol;17;30;23;30;0,5667;0,7667;1,3334;2,3;1,2689;1,9;1,193;4,2
6;11/08/2023;09:30;MOZAMBIQUE;MOCAMBOLA - ROUND 14;Ferroviario Quelimane;UD Songo;20;30;20;30;0,6667;0,6667;1,3334;1,8667;1,2037;1,8667;1,4996;3,7334
7;11/08/2023;13:00;BELARUS;VYSSHAYA LIGA - ROUND 17;FC Minsk;Slutsk;22;30;18;30;0,7333;0,6;1,3333;2,0667;1,5691;2,4;1,1719;4,4667
8;11/08/2023;09:00;THAILAND;THAI LEAGUE 1 - ROUND 1;Nakhon Pathom;Port MTI FC;25;30;14;30;0,8333;0,4667;1,3;1,8;1,249;2,7667;1,3585;4,5667
9;11/08/2023;20:00;VENEZUELA;LIGA FUTVE - ROUND 23;La Guaira;Puerto Cabello;21;30;18;30;0,7;0,6;1,3;2,1667;1,6142;2,3333;1,1926;4,5
10;11/08/2023;15:00;WORLD;CLUB FRIENDLY;Alcoyano (Esp);La Nucia (Esp);20;30;18;30;0,6667;0,6;1,2667;2,3;1,5948;2,4;1,4283;4,7
11;11/08/2023;21:00;CANADA;CANADIAN PREMIER LEAGUE;Valour;Cavalry;23;30;15;30;0,7667;0,5;1,2667;1,9667;1,1968;2,5;1,2583;4,4667
12;11/08/2023;17:00;VENEZUELA;LIGA FUTVE - ROUND 23;Angostura;Universidad Central;17;30;21;30;0,5667;0,7;1,2667;2,6;1,4514;2,2667;1,3646;4,8667
13;11/08/2023;17:15;PERU;LIGA 1 - CLAUSURA - ROUND 8;Cajamarca;Carlos Mannucci;22;30;16;30;0,7333;0,5333;1,2666;2,1333;1,4314;2,2667;1,1528;4,4
14;11/08/2023;12:30;SERBIA;PRVA LIGA - ROUND 2;Graficar Beograd;Jedinstvo U.;17;30;20;30;0,5667;0,6667;1,2334;2,6333;1,5162;2,4;1,7049;5,0333
15;11/08/2023;21:00;CHILE;SEGUNDA DIVISION - ROUND 19;Limache;Iberia;18;30;19;30;0,6;0,6333;1,2333;2,2;1,2754;2,2667;1,5041;4,4667
16;11/08/2023;13:00;LITHUANIA;A LYGA - ROUND 26;Suduva;Banga;19;30;18;30;0,6333;0,6;1,2333;2,4667;1,5217;2,3333;1,4453;4,8
17;11/08/2023;10:30;UKRAINE;PERSHA LIGA - ROUND 3;Epitsentr;Ahrobiznes Volochysk;18;30;19;30;0,6;0,6333;1,2333;2,0667;1,3888;2,1;1,3748;4,1667
