Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
1;31/08/2023;11:00;FINLAND;SUOMEN CUP WOMEN - SEMI-FINALS;Ilves W;KuPS W;17;20;20;20;0,85;1,0;1,85;1,65;1,0618;2,6;1,5297;4,25
2;31/08/2023;14:00;NORWAY;DIVISION 3 - GROUP 3 - ROUND 18;Madla IL;Staal Jorpeland;17;20;19;20;0,85;0,95;1,8;1,55;1,0235;2,45;1,5322;4,0
3;31/08/2023;16:15;FAROE ISLANDS;1. DEILD - ROUND 21;Klaksvik 2;Sandur;18;20;18;20;0,9;0,9;1,8;1,45;0,9734;1,85;1,1079;3,3
4;31/08/2023;14:30;ICELAND;DIVISION 1 - ROUND 20;Throttur;Grindavik;19;20;16;20;0,95;0,8;1,75;2,15;1,0618;1,2;0,8124;3,35
5;31/08/2023;15:00;EUROPE;EUROPA LEAGUE - QUALIFICATION - FINAL;Ajax;Ludogorets;18;20;17;20;0,9;0,85;1,75;1,65;0,9097;1,55;0,8646;3,2
6;31/08/2023;14:00;FAROE ISLANDS;1. DEILD - ROUND 21;Vikingur 2;NSI Runavik;15;20;19;20;0,75;0,95;1,7;1,6;1,5937;2,05;1,1169;3,65
7;31/08/2023;08:00;KAZAKHSTAN;FIRST DIVISION - ROUND 22;Jas Qyran;Akademiya Ontustik;16;20;18;20;0,8;0,9;1,7;1,55;1,5961;2,55;1,7168;4,1
8;31/08/2023;09:30;INDIA;DURAND CUP - PLAY OFFS - SEMI-FINALS;Goa;Mohun Bagan;17;20;17;20;0,85;0,85;1,7;2,05;1,244;1,7;0,9539;3,75
9;31/08/2023;12:30;ESTONIA;MEISTRILIIGA WOMEN - ROUND 16;Flora W;Tammeka Tartu W;20;20;14;20;1,0;0,7;1,7;3,0;2,0494;1,95;1,6576;4,95
10;31/08/2023;14:30;FAROE ISLANDS;PREMIER LEAGUE - ROUND 21;07 Vestur Sorvagur;Streymur;15;20;18;20;0,75;0,9;1,65;1,2;0,8718;1,85;1,0618;3,05
11;31/08/2023;11:00;UZBEKISTAN;UZBEKISTAN CUP - QUARTER-FINALS;Din. Samarkand;Olympic;18;20;15;20;0,9;0,75;1,65;1,7;0,9539;1,4;1,6248;3,1
12;31/08/2023;15:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Besiktas;Dyn. Kyiv;17;20;16;20;0,85;0,8;1,65;1,65;1,1079;1,65;1,2359;3,3
13;31/08/2023;12:30;WORLD;FRIENDLY INTERNATIONAL;Sweden U17;Estonia U17;14;20;19;20;0,7;0,95;1,65;1,7;1,5199;2,4;1,2806;4,1
14;31/08/2023;14:30;ICELAND;DIVISION 1 - ROUND 20;Fjolnir;Afturelding;16;20;17;20;0,8;0,85;1,65;1,6;1,241;1,9;1,6401;3,5
15;31/08/2023;15:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Adana Demirspor;Genk;17;20;16;20;0,85;0,8;1,65;1,9;1,578;1,25;0,8292;3,15
16;31/08/2023;15:30;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Eintracht Frankfurt;Levski Sofia;18;20;15;20;0,9;0,75;1,65;1,7;1,3077;1,35;0,9631;3,05
17;31/08/2023;15:00;PERU;LIGA 2 - ROUND 22;Alfonso Ugarte;U. San Martin;16;20;17;20;0,8;0,85;1,65;1,35;1,1079;1,3;0,9539;2,65
18;31/08/2023;13:45;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Breidablik;Struga;17;20;16;20;0,85;0,8;1,65;2,2;1,5362;1,35;1,1522;3,55
19;31/08/2023;14:00;GERMANY;REGIONALLIGA NORDOST - ROUND 6;Altglienicke;Erfurt;18;20;15;20;0,9;0,75;1,65;2,05;1,4992;1,25;1,2196;3,3
20;31/08/2023;20:00;BRAZIL;COPA DO BRASIL U20 - 1/8-FINALS;Sao Raimundo RR U20;Remo U20;16;20;13;16;0,8;0,8125;1,6125;1,7;1,2689;1,5;1,1726;3,2
21;31/08/2023;08:30;NORWAY;NASJONAL U19 CL - LOSERS PLAY OFFS - QUARTER-FINALS;Haugesund U19;Tromso U19;15;20;17;20;0,75;0,85;1,6;1,75;1,299;1,9;1,3379;3,65
22;31/08/2023;15:30;EUROPE;EUROPA LEAGUE - QUALIFICATION - FINAL;Lugano;Royale Union SG;14;20;18;20;0,7;0,9;1,6;1,4;1,2;1,35;0,7921;2,75
23;31/08/2023;18:00;NICARAGUA;LIGA PRIMERA - APERTURA - ROUND 6;Matagalpa;Ocotal;15;20;17;20;0,75;0,85;1,6;1,2;0,9274;1,45;0,9206;2,65
24;31/08/2023;16:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Aston Villa;Hibernian;18;20;14;20;0,9;0,7;1,6;1,75;1,26;1,3;1,0536;3,05
25;31/08/2023;14:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Brann;AZ Alkmaar;19;20;13;20;0,95;0,65;1,6;1,8;1,249;1,2;1,2083;3,0
26;31/08/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 3;Arsenal Sarandi 2;Barracas Central 2;13;20;18;20;0,65;0,9;1,55;0,95;0,9734;1,35;0,7921;2,3
27;31/08/2023;15:00;ICELAND;BESTA DEILD WOMEN - CHAMPIONSHIP GROUP - ROUND 1;Stjarnan W;Hafnarfjordur W;16;20;15;20;0,8;0,75;1,55;1,45;1,2031;1,3;0,9;2,75
28;31/08/2023;16:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Legia;Midtjylland;15;20;16;20;0,75;0,8;1,55;1,45;1,244;1,75;1,26;3,2
29;31/08/2023;12:30;CZECH REPUBLIC;PLZENSKY KP - ROUND 5;Vejprnice;Myto;15;20;16;20;0,75;0,8;1,55;1,35;1,0618;1,55;1,4309;2,9
30;31/08/2023;09:00;KAZAKHSTAN;FIRST DIVISION - ROUND 22;FK Akzhayik;Kairat Almaty 2;15;20;16;20;0,75;0,8;1,55;1,4;1,2;1,95;1,5644;3,35
31;31/08/2023;21:06;NORTH & CENTRAL AMERICA;CONCACAF CARIBBEAN CUP - ROUND 2;Robinhood;Cibao;12;15;15;20;0,8;0,75;1,55;1,6;1,0198;1,15;1,0137;2,75
32;31/08/2023;14:30;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;PAOK;Hearts;18;20;13;20;0,9;0,65;1,55;1,35;0,9097;1,3;1,1446;2,65
33;31/08/2023;08:00;POLAND;EKSTRALIGA WOMEN - ROUND 3;GKS Katowice W;Leczna W;14;20;17;20;0,7;0,85;1,55;1,4;1,2;3,15;2,3511;4,55
34;31/08/2023;11:00;ROMANIA;ROMANIAN CUP - QUALIFICATION - FINAL;Ceahlaul;U. Cluj;17;20;14;20;0,85;0,7;1,55;1,35;0,8529;1,25;1,0897;2,6
35;31/08/2023;16:00;EUROPE;EUROPA LEAGUE - QUALIFICATION - FINAL;Zrinjski;LASK;14;20;17;20;0,7;0,85;1,55;1,6;1,562;1,4;1,0677;3,0
36;31/08/2023;15:45;EUROPE;EUROPA LEAGUE - QUALIFICATION - FINAL;Aberdeen;Hacken;15;20;16;20;0,75;0,8;1,55;1,35;1,0618;1,35;1,0137;2,7
37;31/08/2023;13:30;ISRAEL;LEUMIT LEAGUE - ROUND 2;Hapoel Afula;Ihud Bnei Shfaram;18;20;12;20;0,9;0,6;1,5;1,65;1,1948;0,9;0,9434;2,55
38;31/08/2023;10:00;KAZAKHSTAN;FIRST DIVISION - ROUND 22;Taraz;FK Kyran;15;20;15;20;0,75;0,75;1,5;1,3;1,005;1,95;1,6875;3,25
39;31/08/2023;08:35;CHINA;FA CUP - QUARTER-FINALS;Beijing Guoan;Shandong Taishan;16;20;14;20;0,8;0,7;1,5;1,7;1,3077;1,5;1,4318;3,2
40;31/08/2023;14:00;EUROPE;EUROPA LEAGUE - QUALIFICATION - FINAL;Aris;Slovan Bratislava;16;20;14;20;0,8;0,7;1,5;1,55;1,4654;1,25;0,9937;2,8
41;31/08/2023;13:30;UNITED ARAB EMIRATES;LEAGUE CUP;Bani Yas;Al Jazira;15;20;15;20;0,75;0,75;1,5;1,4;1,2806;1,2;0,9798;2,6
42;31/08/2023;13:00;WORLD;CLUB FRIENDLY WOMEN;Atl. Madrid W;Liverpool W;16;20;14;20;0,8;0,7;1,5;1,1;0,7681;1,35;1,1522;2,45
43;31/08/2023;19:06;NORTH & CENTRAL AMERICA;CONCACAF CARIBBEAN CUP - ROUND 2;Cavalier;Port Of Spain;14;20;16;20;0,7;0,8;1,5;1,2;1,1225;1,7;1,1874;2,9
44;31/08/2023;13:00;EUROPE;EUROPA LEAGUE - QUALIFICATION - FINAL;Qarabag;O. Ljubljana;13;20;17;20;0,65;0,85;1,5;1,1;1,0909;1,5;0,922;2,6
45;31/08/2023;15:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Fiorentina;Rapid Vienna;15;20;15;20;0,75;0,75;1,5;1,55;1,4654;1,45;1,1608;3,0
46;31/08/2023;15:15;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Rijeka;Lille;16;20;14;20;0,8;0,7;1,5;1,4;1,1136;1,3;1,5524;2,7
47;31/08/2023;19:00;BRAZIL;COPA DO BRASIL U20 - 1/8-FINALS;Cruzeiro U20;America MG U20;18;20;12;20;0,9;0,6;1,5;1,7;1,382;1,35;1,3143;3,05
48;31/08/2023;15:00;EUROPE;EUROPA LEAGUE - QUALIFICATION - FINAL;Cukaricki;Olympiacos Piraeus;13;20;17;20;0,65;0,85;1,5;1,1;1,044;1,2;0,8124;2,3
49;31/08/2023;14:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;APOEL;Gent;13;20;17;20;0,65;0,85;1,5;1,3;1,4177;1,9;1,3379;3,2
50;31/08/2023;12:00;LITHUANIA;I LYGA - ROUND 21;Riteriai 2;FK Minija;16;20;13;20;0,8;0,65;1,45;1,4;1,0677;1,1;0,995;2,5
51;31/08/2023;14:00;ROMANIA;ROMANIAN CUP - QUALIFICATION - FINAL;CSC Dumbravita;UTA Arad;14;20;15;20;0,7;0,75;1,45;1,15;0,8529;1,25;0,9937;2,4
52;31/08/2023;13:30;ISRAEL;LEUMIT LEAGUE - ROUND 2;Ramat Hasharon;Kiryat Shmona;17;20;12;20;0,85;0,6;1,45;1,9;1,261;1,05;1,1608;2,95
53;31/08/2023;13:30;ISRAEL;LEUMIT LEAGUE - ROUND 2;Nof Hagalil;Maccabi Jaffa;14;20;15;20;0,7;0,75;1,45;1,1;0,9434;1,05;0,7399;2,15
54;31/08/2023;15:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Celje;Maccabi Tel Aviv;16;20;13;20;0,8;0,65;1,45;1,35;0,9631;1,1;0,9434;2,45
55;31/08/2023;15:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;BATE;FC Ballkani;16;20;13;20;0,8;0,65;1,45;1,65;1,3143;1,15;1,1079;2,8
56;31/08/2023;16:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Partizan;Nordsjaelland;14;20;15;20;0,7;0,75;1,45;1,15;1,0137;1,3;1,0536;2,45
