Nº;Date;Time;Country;League;Home;Away;o15Home;totalHome;AvgHome;o15Away;totalAway;AvgAway;pHome;pAway;pSum;avgSum
60;08/06/2023;23:00;SOUTH AMERICA;COPA SUDAMERICANA - GROUP STAGE - ROUND 5;Santa Fe (Col);U. de Deportes (Per);11;15;2,6;10;15;2,4;0,7333;0,6667;1,4;5,0
61;08/06/2023;12:30;TUNISIA;LIGUE PROFESSIONNELLE 1 - CHAMPIONSHIP GROUP - ROUND 10;CS Sfaxien;Ben Guerdane;9;15;1,7333;12;15;2,3333;0,6;0,8;1,4;4,0666
62;08/06/2023;16:30;BRAZIL;SERIE C - FIRST STAGE - ROUND 7;Remo;America RN;12;15;2,8;9;15;2,0;0,8;0,6;1,4;4,8
63;08/06/2023;19:00;SOUTH AMERICA;COPA SUDAMERICANA - GROUP STAGE - ROUND 5;Danubio (Uru);Huracan (Arg);13;15;2,5333;8;15;1,8667;0,8667;0,5333;1,4;4,4
64;08/06/2023;21:30;BRAZIL;SERIE C - FIRST STAGE - ROUND 7;Figueirense;Ypiranga FC;8;15;2,0667;13;15;2,7333;0,5333;0,8667;1,4;4,8
65;08/06/2023;15:00;ARGENTINA;PRIMERA A WOMEN - APERTURA - ROUND 16;Banfield W;San Lorenzo W;8;15;1,9333;13;15;2,6;0,5333;0,8667;1,4;4,5333
66;08/06/2023;08:35;CHINA;SUPER LEAGUE - ROUND 12;Qingdao Hainiu;Shanghai Shenhua;11;15;2,8667;10;15;2,1333;0,7333;0,6667;1,4;5,0
67;08/06/2023;17:00;ECUADOR;SERIE B - ROUND 13;Ind. Juniors;Chacaritas;10;15;2,6667;11;15;3,0;0,6667;0,7333;1,4;5,6667
68;08/06/2023;11:00;ARGENTINA;PRIMERA A WOMEN - APERTURA - ROUND 16;Belgrano W;CA Estudiantes W;8;15;2,1333;13;15;2,8667;0,5333;0,8667;1,4;5,0
69;08/06/2023;14:30;WORLD;WORLD CUP U20 - PLAY OFFS - SEMI-FINALS;Uruguay U20;Israel U20;10;15;2,5333;5;7;2,5714;0,6667;0,7143;1,381;5,1047
70;08/06/2023;09:00;WORLD;MAURICE REVELLO TOURNAMENT;Saudi Arabia U23;Venezuela U23;11;15;2,4;9;14;2,5714;0,7333;0,6429;1,3762;4,9714
71;08/06/2023;12:30;WORLD;MAURICE REVELLO TOURNAMENT;France U18;Costa Rica U23;13;15;3,3333;3;6;2,3333;0,8667;0,5;1,3667;5,6666
72;08/06/2023;12:00;JORDAN;SHIELD CUP - ROUND 5;Moghayer Al Sarhan;Shabab Al Ordon;10;15;1,8;10;15;2,6;0,6667;0,6667;1,3334;4,4
73;08/06/2023;11:00;ARGENTINA;RESERVE LEAGUE - FIRST STAGE - ROUND 20;Belgrano 2;Defensa y Justicia 2;7;15;1,8667;13;15;3,4;0,4667;0,8667;1,3334;5,2667
74;08/06/2023;15:00;ARGENTINA;PRIMERA A WOMEN - APERTURA - ROUND 16;Huracan W;El Porvenir W;10;15;1,6667;10;15;3,0667;0,6667;0,6667;1,3334;4,7334
75;08/06/2023;11:00;EGYPT;DIVISION 2 - GROUP A - ROUND 29;Kima Aswan;Assiut Cement;10;15;1,9333;10;15;2,2;0,6667;0,6667;1,3334;4,1333
76;08/06/2023;11:30;LIBYA;PREMIER LEAGUE - ROUND 18;Al Akhdar;Al Ahly Benghazi;13;15;3,0;7;15;2,4;0,8667;0,4667;1,3334;5,4
77;08/06/2023;18:30;BRAZIL;SERIE C - FIRST STAGE - ROUND 7;Floresta EC;Sao Bernardo;13;15;2,2;7;15;2,1333;0,8667;0,4667;1,3334;4,3333
78;08/06/2023;15:30;JORDAN;SHIELD CUP - ROUND 5;Al Ramtha;Maan;11;15;2,5333;9;15;2,8;0,7333;0,6;1,3333;5,3333
79;08/06/2023;11:00;EGYPT;DIVISION 2 - GROUP A - ROUND 29;Dayrout;El Minya;12;15;2,6;8;15;1,8;0,8;0,5333;1,3333;4,4
80;08/06/2023;21:00;SOUTH AMERICA;COPA LIBERTADORES - GROUP STAGE - ROUND 5;Olimpia Asuncion (Par);Atl. Nacional (Col);9;15;2,1333;11;15;2,4667;0,6;0,7333;1,3333;4,6
81;08/06/2023;15:30;EGYPT;PREMIER LEAGUE - ROUND 31;Aswan SC;Arab Contractors;12;15;2,4667;8;15;1,8;0,8;0,5333;1,3333;4,2667
82;08/06/2023;19:00;SOUTH AMERICA;COPA SUDAMERICANA - GROUP STAGE - ROUND 5;Oriente Petrolero (Bol);Tacuary (Par);11;15;2,8;9;15;2,6;0,7333;0,6;1,3333;5,4
83;08/06/2023;11:00;EGYPT;DIVISION 2 - GROUP A - ROUND 29;Tamya;Shoban Moslemen Qena;9;15;2,2;11;15;2,5333;0,6;0,7333;1,3333;4,7333
84;08/06/2023;20:10;ARGENTINA;PRIMERA NACIONAL - ROUND 20;San Martin T.;Estudiantes Rio Cuarto;8;15;1,9333;12;15;2,1333;0,5333;0,8;1,3333;4,0666
85;08/06/2023;13:00;SWEDEN;SVENSKA CUPEN - QUALIFICATION - SEMI-FINALS;Trollhattan;Ahlafors IF;12;15;3,1333;8;15;2,0667;0,8;0,5333;1,3333;5,2
86;08/06/2023;15:00;NETHERLANDS;DERDE DIVISIE - RELEGATION - FINAL;Watergraafsmeer;Kampong;12;15;3,6;1;2;2,5;0,8;0,5;1,3;6,1
87;08/06/2023;11:00;EGYPT;DIVISION 2 - GROUP A - ROUND 29;La Viena;Telephonaat Beni Suef;8;15;1,8667;11;15;2,8;0,5333;0,7333;1,2666;4,6667
88;08/06/2023;11:00;EGYPT;DIVISION 2 - GROUP A - ROUND 29;Mallawi;Fayoum;11;15;2,8;8;15;2,0;0,7333;0,5333;1,2666;4,8
89;08/06/2023;11:00;ARGENTINA;RESERVE LEAGUE - FIRST STAGE - ROUND 20;Union de Santa Fe 2;Newells Old Boys 2;14;15;3,2;5;15;1,4667;0,9333;0,3333;1,2666;4,6667
90;08/06/2023;11:00;ARGENTINA;RESERVE LEAGUE - FIRST STAGE - ROUND 20;Lanus 2;Boca Juniors 2;11;15;2,2667;8;15;1,5333;0,7333;0,5333;1,2666;3,8
91;08/06/2023;16:30;BOLIVIA;NACIONAL B - FIRST STAGE;Ciclon;Municipal de Tarija;11;15;3,3333;1;2;2,5;0,7333;0,5;1,2333;5,8333
92;08/06/2023;15:00;ARGENTINA;PRIMERA A WOMEN - APERTURA - ROUND 16;Gimnasia L.P. W;Excursionistas W;8;15;1,9333;10;15;2,4;0,5333;0,6667;1,2;4,3333
93;08/06/2023;15:30;ITALY;SERIE C - PROMOTION - PLAY OFFS - SEMI-FINALS;Cesena;Lecco;9;15;2,4;9;15;1,8667;0,6;0,6;1,2;4,2667
94;08/06/2023;15:30;ITALY;SERIE B - PLAY OFFS - FINAL;Cagliari;Bari;10;15;2,4;7;15;1,9333;0,6667;0,4667;1,1334;4,3333
95;08/06/2023;13:15;MALI;PREMIERE DIVISION - ROUND 23;USFAS Bamako;USC Kita;8;15;1,6;9;15;1,6;0,5333;0,6;1,1333;3,2
96;08/06/2023;13:15;MALI;PREMIERE DIVISION - ROUND 23;Real Bamako;CO Bamako;9;15;1,8667;8;15;2,0;0,6;0,5333;1,1333;3,8667
97;08/06/2023;16:00;BRAZIL;SERIE B - ROUND 11;Criciuma;Juventude;8;15;1,8;9;15;2,4;0,5333;0,6;1,1333;4,2
98;08/06/2023;19:00;BRAZIL;SERIE C - FIRST STAGE - ROUND 7;Aparecidense;Brusque;10;15;2,1333;6;15;1,8;0,6667;0,4;1,0667;3,9333
99;08/06/2023;11:00;EGYPT;DIVISION 2 - GROUP A - ROUND 29;Asyut Petroleum;Nasr Taadeen;8;15;1,8667;8;15;2,0667;0,5333;0,5333;1,0666;3,9334
100;08/06/2023;08:00;VIETNAM;V.LEAGUE 2 - ROUND 8;Ba Ria Vung Tau;Hoa Binh;9;15;2,4667;4;9;1,6667;0,6;0,4444;1,0444;4,1334
101;08/06/2023;21:00;ECUADOR;SERIE B - ROUND 13;Cuniburo;Buhos ULVR;6;12;1,8333;8;15;1,8;0,5;0,5333;1,0333;3,6333
102;08/06/2023;16:00;SPAIN;LALIGA2 - PROMOTION - PLAY OFFS - SEMI-FINALS;Alaves;Eibar;6;15;1,2;9;15;2,0;0,4;0,6;1,0;3,2
103;08/06/2023;21:00;SOUTH AMERICA;COPA SUDAMERICANA - GROUP STAGE - ROUND 5;San Lorenzo (Arg);Palestino (Chi);5;15;1,3333;10;15;3,0;0,3333;0,6667;1,0;4,3333
104;08/06/2023;13:15;MALI;PREMIERE DIVISION - ROUND 23;Foot Elite;Black Stars;6;15;1,5333;9;15;1,9333;0,4;0,6;1,0;3,4666
105;08/06/2023;20:00;BRAZIL;SERIE C - FIRST STAGE - ROUND 7;CSA;Manaus;8;15;1,7333;7;15;1,6667;0,5333;0,4667;1,0;3,4
106;08/06/2023;11:00;GERMANY;OBERLIGA HESSEN - RELEGATION;Bornheim GW;Viktoria Bronnzell;0;0;0;0;0;0;0;0;0;0
