Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum
1;26/07/2023;13:00;ESTONIA;MEISTRILIIGA WOMEN - ROUND 14;Flora W;Parnu JK Vaprus W;30;30;2,9333;30;30;3,5667;1,0;1,0;2,0
2;26/07/2023;13:00;ESTONIA;ESTONIAN CUP - 1/32-FINALS;Tartu Welco 2;Tartu Kalev;1;1;5,0;11;12;3,0833;1,0;0,9167;1,9167
3;26/07/2023;13:00;ESTONIA;ESTONIAN CUP - 1/32-FINALS;Valga Warrior;JK Poseidon;29;30;2,2333;15;17;2,4706;0,9667;0,8824;1,8491
4;26/07/2023;06:30;INDIA;CALCUTTA PREMIER DIVISION;Wari;Bhawanipore;3;3;1,3333;24;30;1,4;1,0;0,8;1,8
5;26/07/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/128-FINALS;Ferenc Borsa;Mladost Kalsa;3;3;3,0;24;30;1,9667;1,0;0,8;1,8
6;26/07/2023;13:00;BELARUS;VYSSHAYA LIGA WOMEN - ROUND 19;Belarus U19 W;Smorgon W;25;30;2,2667;29;30;2,6;0,8333;0,9667;1,8
7;26/07/2023;09:00;WORLD;CLUB FRIENDLY;Koronco (Hun);Papai Perutz (Hun);3;3;2,0;23;30;1,2667;1,0;0,7667;1,7667
8;26/07/2023;13:00;NORWAY;DIVISION 3 - GROUP 4 - ROUND 12;Start 2;Fredrikstad 2;26;30;2,1667;26;30;1,9333;0,8667;0,8667;1,7334
9;26/07/2023;11:00;BELARUS;VYSSHAYA LIGA WOMEN - ROUND 19;Vitebsk W;FC Gomel W;25;30;2,1667;27;30;3,2333;0,8333;0,9;1,7333
10;26/07/2023;13:00;ESTONIA;MEISTRILIIGA WOMEN - ROUND 14;Viimsi JK W;Saku Sporting W;8;10;1,4;27;30;2,2333;0,8;0,9;1,7
11;26/07/2023;12:00;WORLD;CLUB FRIENDLY;Pardubice B (Cze);Zaglebie Sosnowiec 2 (Pol);21;30;1,2;2;2;1,5;0,7;1,0;1,7
12;26/07/2023;12:30;WORLD;CLUB FRIENDLY;Blansko (Cze);Velke Mezirici (Cze);26;30;1,9;25;30;1,5667;0,8667;0,8333;1,7
