Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum
1;08/06/2023;20:00;BRAZIL;CAMPEONATO AMAPAENSE - ROUND 5;Oratorio;Sao Paulo AP;12;12;1,5833;14;15;1,8667;1,0;0,9333;1,9333
2;08/06/2023;16:30;BOLIVIA;NACIONAL B - FIRST STAGE;Ciclon;Municipal de Tarija;13;15;1,6667;2;2;2,0;0,8667;1,0;1,8667
3;08/06/2023;13:00;WORLD;FRIENDLY INTERNATIONAL;Qatar;Croatia B;12;15;1,3333;1;1;2,0;0,8;1,0;1,8
4;08/06/2023;21:00;USA;USL LEAGUE TWO;LA Parish;Louisiana;14;15;3,0;13;15;1,8667;0,9333;0,8667;1,8
5;08/06/2023;20:00;USA;MLS NEXT PRO;Inter Miami II;Cincinnati 2;13;15;1,4667;14;15;1,8667;0,8667;0,9333;1,8
6;08/06/2023;21:00;USA;USL LEAGUE TWO;Davis Legacy;Project 51O;13;14;2,0;13;15;1,4667;0,9286;0,8667;1,7953
7;08/06/2023;15:30;ITALY;SERIE C - PROMOTION - PLAY OFFS - SEMI-FINALS;Pescara;Foggia;13;15;1,4667;12;15;1,4;0,8667;0,8;1,6667
8;08/06/2023;08:35;CHINA;SUPER LEAGUE - ROUND 12;Changchun Yatai;Shenzhen;13;15;1,6;12;15;1,2667;0,8667;0,8;1,6667
9;08/06/2023;17:00;ECUADOR;SERIE B - ROUND 13;Ind. Juniors;Chacaritas;12;15;1,2667;13;15;1,4;0,8;0,8667;1,6667
10;08/06/2023;16:15;ICELAND;DIVISION 1 - ROUND 6;Njardvik;Selfoss;12;15;1,7333;13;15;1,6667;0,8;0,8667;1,6667
11;08/06/2023;15:00;PERU;LIGA 2 - ROUND 9;U. San Martin;Alfonso Ugarte;13;15;1,2;12;15;0,8667;0,8667;0,8;1,6667
12;08/06/2023;21:00;SOUTH AMERICA;COPA LIBERTADORES - GROUP STAGE - ROUND 5;Flamengo RJ (Bra);Racing Club (Arg);12;15;1,7333;13;15;1,2;0,8;0,8667;1,6667
13;08/06/2023;16:15;ICELAND;DIVISION 1 - ROUND 6;Fjolnir;Grotta;14;15;2,1333;11;15;1,6;0,9333;0,7333;1,6666
14;08/06/2023;12:30;WORLD;MAURICE REVELLO TOURNAMENT;France U18;Costa Rica U23;12;15;1,7333;5;6;1,0;0,8;0,8333;1,6333
15;08/06/2023;15:15;MALI;PREMIERE DIVISION - ROUND 23;US Bougouni;Yeelen;11;15;1,4;13;15;1,2667;0,7333;0,8667;1,6
16;08/06/2023;21:00;SOUTH AMERICA;COPA LIBERTADORES - GROUP STAGE - ROUND 5;Olimpia Asuncion (Par);Atl. Nacional (Col);12;15;1,2;12;15;1,4667;0,8;0,8;1,6
17;08/06/2023;11:00;GERMANY;OBERLIGA HESSEN - RELEGATION;Ederbergland;TUS Dietkirchen;14;15;2,0667;10;15;1,1333;0,9333;0,6667;1,6
18;08/06/2023;12:30;FINLAND;YKKONEN;TPS;KaPa;11;15;1,2;13;15;1,8;0,7333;0,8667;1,6
