Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;sdHome;avgAway;sdAway;avgSum;0x0;1x0;2x0;1x1;0x1;0x2;U25
1;25/08/2023;19:00;BRAZIL;SERIE B - ROUND 25;Ponte Preta;Londrina;19;20;14;22;0,95;0,8646;0,6364;0,8282;1,5864;20,46;13,02;4,15;12,37;19,44;9,23;78,67
2;25/08/2023;20:00;VENEZUELA;LIGA FUTVE 2 - CLAUSURA - ROUND 8;Fundacion AIFI;Atletico La Cruz;18;21;16;20;0,8571;1,1249;0,8;0,8124;1,6571;19,07;15,26;6,1;13,08;16,34;7,0;76,85
3;25/08/2023;12:00;ARMENIA;PREMIER LEAGUE - ROUND 5;Ararat Yerevan;BKMA;17;22;18;20;0,7727;0,7343;0,9;0,8888;1,6727;18,78;16,9;7,61;13,06;14,51;5,61;76,47
4;25/08/2023;15:00;GREECE;SUPER LEAGUE - ROUND 2;Panetolikos;Giannina;18;22;20;23;0,8182;0,8861;0,8696;0,8995;1,6878;18,49;16,08;6,99;13,16;15,13;6,19;76,04
5;25/08/2023;12:00;CROATIA;PRVA NL - ROUND 3;Dugopolje;Croatia Zmijavci;23;23;14;20;1,0;0,8847;0,7;0,7141;1,7;18,27;12,79;4,48;12,79;18,27;9,13;75,73
6;25/08/2023;13:00;BULGARIA;PARVA LIGA - ROUND 7;Pirin Blagoevgrad;Botev Vratsa;33;26;10;21;1,2692;1,1621;0,4762;0,5871;1,7454;17,45;8,31;1,98;10,55;22,15;14,06;74,5
7;25/08/2023;21:30;ARGENTINA;COPA DE LA LIGA PROFESIONAL - ROUND 2;Colon Santa Fe;Gimnasia L.P.;22;22;16;21;1,0;0,7977;0,7619;1,0191;1,7619;17,17;13,08;4,99;13,08;17,17;8,58;74,07
8;25/08/2023;15:30;URUGUAY;PRIMERA DIVISION - CLAUSURA - ROUND 2;Montevideo City;Fenix;15;20;25;24;0,75;0,9421;1,0417;0,9345;1,7917;16,67;17,37;9,04;13,02;12,5;4,69;73,29
9;25/08/2023;12:00;CROATIA;DRUGA NL - ROUND 2;Dragovoljac;Kustosija;20;22;19;21;0,9091;0,9959;0,9048;1,1086;1,8139;16,3;14,75;6,67;13,41;14,82;6,74;72,69
10;25/08/2023;23:00;GUATEMALA;LIGA NACIONAL - APERTURA - ROUND 5;Xelaju;Coatepeque;30;22;11;22;1,3636;1,333;0,5;0,6571;1,8636;15,51;7,76;1,94;10,58;21,15;14,42;71,36
11;25/08/2023;19:00;ARGENTINA;COPA DE LA LIGA PROFESIONAL - ROUND 2;Arsenal Sarandi;Argentinos Jrs;23;22;18;22;1,0455;0,9282;0,8182;1,0718;1,8637;15,51;12,69;5,19;13,27;16,21;8,48;71,35
12;25/08/2023;17:30;MOROCCO;BOTOLA PRO - ROUND 1;Maghreb Fez;Moghreb Tetouan;20;23;22;22;0,8696;0,9915;1,0;0,9535;1,8696;15,42;15,42;7,71;13,41;13,41;5,83;71,2
13;25/08/2023;08:00;ENGLAND;PROFESSIONAL DEVELOPMENT LEAGUE;Sheffield Wed U21;Watford U21;11;15;23;20;0,7333;0,9286;1,15;1,3519;1,8833;15,21;17,49;10,06;12,82;11,15;4,09;70,82
