Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;sdHome;avgAway;sdAway;avgSum;0x0;1x0;2x0;1x1;0x1;0x2;U25
14;25/08/2023;15:15;BULGARIA;PARVA LIGA - ROUND 7;Hebar;Lok. Plovdiv;20;19;15;18;1,0526;1,099;0,8333;0,9574;1,8859;15,17;12,64;5,27;13,31;15,97;8,41;70,77
15;25/08/2023;15:00;BRAZIL;COPA PAULISTA - ROUND 9;Sao Caetano;Santo Andre;23;22;18;21;1,0455;0,9282;0,8571;0,833;1,9026;14,92;12,78;5,48;13,37;15,6;8,15;70,3
16;25/08/2023;10:00;ARMENIA;PREMIER LEAGUE - ROUND 5;Alashkert;Noah;26;20;13;21;1,3;1,382;0,619;0,7854;1,919;14,67;9,08;2,81;11,81;19,08;12,4;69,85
17;25/08/2023;15:00;WORLD;CLUB FRIENDLY;Deportiva Santillana;Torrelavega;18;19;23;23;0,9474;0,9444;1,0;1,2854;1,9474;14,27;14,27;7,13;13,52;13,52;6,4;69,11
18;25/08/2023;10:00;SOUTH AFRICA;MOTSEPE FOUNDATION CHAMPIONSHIP - ROUND 1;Pretoria Callies;Black Leopards;18;21;22;20;0,8571;0,6389;1,1;1,4107;1,9571;14,13;15,54;8,55;13,32;12,11;5,19;68,84
19;25/08/2023;13:00;JORDAN;PREMIER LEAGUE - ROUND 4;Aqaba;Moghayer Al Sarhan;22;24;23;22;0,9167;0,9091;1,0455;0,8245;1,9622;14,05;14,69;7,68;13,47;12,88;5,91;68,68
20;25/08/2023;15:00;NETHERLANDS;EERSTE DIVISIE - ROUND 3;Venlo;Jong Utrecht;28;23;16;21;1,2174;1,1016;0,7619;0,9712;1,9793;13,82;10,53;4,01;12,81;16,82;10,24;68,23
21;25/08/2023;09:00;INDONESIA;LIGA 1 - ROUND 10;Dewa United;Persija Jakarta;24;21;18;21;1,1429;0,833;0,8571;0,9404;2,0;13,53;11,6;4,97;13,26;15,47;8,84;67,67
22;25/08/2023;15:45;IRELAND;DIVISION 1 - ROUND 28;Treaty United;Kerry;23;19;12;15;1,2105;1,2806;0,8;0,9092;2,0105;13,39;10,71;4,29;12,97;16,21;9,81;67,38
23;25/08/2023;14:00;AUSTRIA;KARNTEN - ROUND 6;Lendorf;SV Spittal;27;23;18;21;1,1739;1,2033;0,8571;0,7095;2,031;13,12;11,25;4,82;13,2;15,4;9,04;66,83
24;25/08/2023;08:00;THAILAND;THAI LEAGUE 2 - ROUND 3;Chiangmai Utd;Suphanburi;27;22;17;21;1,2273;1,0415;0,8095;0,8518;2,0368;13,05;10,56;4,27;12,96;16,01;9,82;66,67
25;25/08/2023;16:00;COLOMBIA;PRIMERA B - CLAUSURA - ROUND 6;Bogota;Llaneros;25;21;18;21;1,1905;1,2581;0,8571;0,7737;2,0476;12,91;11,06;4,74;13,17;15,36;9,15;66,39
26;25/08/2023;20:00;ARGENTINA;PRIMERA NACIONAL - ROUND 31;Temperley;San Martin S.J.;29;21;14;21;1,381;0,8985;0,6667;0,7127;2,0477;12,9;8,6;2,87;11,88;17,82;12,31;66,38
27;25/08/2023;14:00;GERMANY;OBERLIGA BAYERN SÜD - ROUND 8;Garching;Ismaning;17;20;24;20;0,85;1,1079;1,2;1,0296;2,05;12,87;15,45;9,27;13,13;10,94;4,65;66,31
28;25/08/2023;13:00;RWANDA;PREMIER LEAGUE - ROUND 2;Gasogi United;Rwamagana City;28;22;17;21;1,2727;0,8624;0,8095;0,7315;2,0822;12,47;10,09;4,08;12,84;15,86;10,09;65,43
29;25/08/2023;18:00;ARGENTINA;PRIMERA NACIONAL - ROUND 27;Aldosivi;Atl. Rafaela;27;22;18;21;1,2273;1,0415;0,8571;0,7737;2,0844;12,44;10,66;4,57;13,08;15,27;9,37;65,39
30;25/08/2023;14:30;FRANCE;NATIONAL - ROUND 3;Dijon;Avranches;22;21;24;23;1,0476;1,3965;1,0435;1,197;2,0911;12,36;12,89;6,73;13,51;12,94;6,78;65,21
31;25/08/2023;15:45;IRELAND;PREMIER DIVISION - ROUND 28;Drogheda;Cork City;22;21;22;21;1,0476;0,95;1,0476;1,0455;2,0952;12,31;12,89;6,75;13,51;12,89;6,75;65,1
32;25/08/2023;14:00;WORLD;FRIENDLY INTERNATIONAL;SD Tenisca;Atl. Paso;28;20;14;20;1,4;1,0198;0,7;0,781;2,1;12,25;8,57;3,0;12,0;17,14;12,0;64,96
33;25/08/2023;15:30;ENGLAND;CHAMPIONSHIP - ROUND 4;Hull;Bristol City;22;19;17;18;1,1579;0,9326;0,9444;0,9112;2,1023;12,22;11,54;5,45;13,36;14,14;8,19;64,9
34;25/08/2023;21:00;BOLIVIA;DIVISION PROFESIONAL - ROUND 25;Oriente Petrolero;Guabira;24;19;18;21;1,2632;0,9086;0,8571;1,0367;2,1203;12,0;10,29;4,41;12,99;15,16;9,57;64,42
35;25/08/2023;13:30;SERBIA;SUPER LIGA - ROUND 5;Radnicki Nis;Radnicki 1923;28;24;21;22;1,1667;1,2134;0,9545;0,8245;2,1212;11,99;11,44;5,46;13,35;13,99;8,16;64,39
36;25/08/2023;15:00;TURKEY;SUPER LIG - ROUND 3;Konyaspor;Gaziantep;32;22;12;18;1,4545;1,3392;0,6667;0,8819;2,1212;11,99;7,99;2,66;11,62;17,44;12,68;64,38
37;25/08/2023;22:00;HONDURAS;LIGA NACIONAL - APERTURA - ROUND 5;Vida;UPNFM;24;21;21;21;1,1429;1,0367;1,0;0,8165;2,1429;11,73;11,73;5,86;13,41;13,41;7,66;63,8
38;25/08/2023;15:00;SAUDI ARABIA;SAUDI PROFESSIONAL LEAGUE - ROUND 3;Al Taawon;Abha;28;20;15;20;1,4;1,0198;0,75;0,9421;2,15;11,65;8,74;3,28;12,23;16,31;11,42;63,63
39;25/08/2023;14:30;FRANCE;NATIONAL - ROUND 3;Marignane;Chateauroux;19;22;27;21;0,8636;0,8684;1,2857;1,2009;2,1493;11,66;14,98;9,63;12,94;10,07;4,35;63,63
40;25/08/2023;16:00;WORLD;CLUB FRIENDLY;Conil;Cadiz CF B;29;22;19;22;1,3182;1,2572;0,8636;0,6938;2,1818;11,28;9,74;4,21;12,85;14,87;9,8;62,75
41;25/08/2023;14:30;AUSTRIA;NIEDEROSTERREICH - ROUND 4;Rohrbach;Warth;21;21;25;21;1,0;1,0235;1,1905;1,2196;2,1905;11,19;13,32;7,93;13,32;11,19;5,59;62,54
42;25/08/2023;20:00;ARGENTINA;PRIMERA C - ROUND 32;San Martin Burzaco;Leandro N. Alem;30;21;16;21;1,4286;1,0942;0,7619;0,9712;2,1905;11,19;8,52;3,25;12,18;15,98;11,41;62,53
43;25/08/2023;05:00;INDONESIA;LIGA 1 - ROUND 10;Madura United;FC Bhayangkara;23;20;22;21;1,15;1,0618;1,0476;0,8985;2,1976;11,11;11,64;6,09;13,38;12,77;7,35;62,34
44;25/08/2023;12:00;ROMANIA;LIGA 3 - SERIA 8 - ROUND 1;Ineu;Teuz Cermei;26;19;17;20;1,3684;1,0863;0,85;1,2359;2,2184;10,88;9,25;3,93;12,65;14,89;10,18;61,78
45;25/08/2023;11:00;UZBEKISTAN;SUPER LEAGUE - ROUND 18;Olympic;Turon;27;20;20;23;1,35;2,1278;0,8696;0,8498;2,2196;10,86;9,45;4,11;12,76;14,67;9,9;61,75
46;25/08/2023;15:45;ENGLAND;NATIONAL LEAGUE - ROUND 5;Solihull Moors;FC Halifax;26;22;27;26;1,1818;1,0718;1,0385;1,0913;2,2203;10,86;11,27;5,85;13,33;12,83;7,58;61,72
47;25/08/2023;15:00;WORLD;CLUB FRIENDLY;Acero;Saguntino;28;21;18;20;1,3333;1,0838;0,9;0,9434;2,2333;10,72;9,65;4,34;12,86;14,29;9,53;61,39
48;25/08/2023;19:40;VENEZUELA;LIGA FUTVE - ROUND 25;Puerto Cabello;Carabobo;30;21;17;21;1,4286;1,2563;0,8095;1,0057;2,2381;10,67;8,64;3,49;12,34;15,24;10,88;61,26
49;25/08/2023;16:30;SPAIN;LALIGA2 - ROUND 3;FC Cartagena SAD;Levante;20;20;25;20;1,0;0,9487;1,25;1,2196;2,25;10,54;13,17;8,23;13,17;10,54;5,27;60,92
50;25/08/2023;14:00;WORLD;CLUB FRIENDLY;Durango;Gernika;30;22;17;19;1,3636;1,2629;0,8947;0,8519;2,2583;10,45;9,35;4,18;12,75;14,25;9,72;60,7
51;25/08/2023;13:00;LITHUANIA;A LYGA - ROUND 28;Riteriai;Siauliai FA;22;22;29;23;1,0;1,0;1,2609;1,1119;2,2609;10,43;13,15;8,29;13,15;10,43;5,21;60,66
52;25/08/2023;14:30;AUSTRIA;TIROL - ROUND 6;SV Worgl;SC Kundl;29;22;22;23;1,3182;0,9717;0,9565;0,7506;2,2747;10,28;9,83;4,7;12,97;13,55;8,93;60,26
53;25/08/2023;13:00;POLAND;EKSTRAKLASA - ROUND 6;Stal Mielec;Radomiak Radom;31;26;24;22;1,1923;1,1442;1,0909;1,0833;2,2832;10,19;11,12;6,07;13,26;12,16;7,25;60,05
54;25/08/2023;15:00;ARGENTINA;PRIMERA A WOMEN - CLAUSURA - ROUND 2;Huracan W;Lanus W;27;21;20;20;1,2857;0,9828;1,0;1,0488;2,2857;10,17;10,17;5,08;13,08;13,08;8,41;59,99
55;25/08/2023;11:00;PALESTINE;WEST BANK LEAGUE - ROUND 2;Thaqafi Tulkarem;Albirah;24;21;24;21;1,1429;1,1249;1,1429;1,2066;2,2858;10,17;11,62;6,64;13,29;11,62;6,64;59,98
56;25/08/2023;14:30;SPAIN;LALIGA - ROUND 3;Las Palmas;Real Sociedad;24;22;28;23;1,0909;0,9;1,2174;1,3499;2,3083;9,94;12,1;7,37;13,2;10,85;5,92;59,38
57;25/08/2023;14:00;GERMANY;OBERLIGA NOFV-NORD - ROUND 4;Rathenow;Wismar;39;24;12;17;1,625;1,5224;0,7059;1,1765;2,3309;9,72;6,86;2,42;11,15;15,8;12,84;58,79
58;25/08/2023;10:00;BURUNDI;PRIMUS LEAGUE - ROUND 2;Magara Young Boys;Tigre Noir;22;15;13;15;1,4667;1,147;0,8667;0,8844;2,3334;9,7;8,4;3,64;12,33;14,23;10,43;58,73
59;25/08/2023;20:15;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 7;Once Caldas;Bucaramanga;25;21;24;21;1,1905;0,906;1,1429;1,0367;2,3334;9,7;11,08;6,33;13,19;11,54;6,87;58,71
60;25/08/2023;07:00;JAPAN;J1 LEAGUE - ROUND 25;Shonan Bellmare;Urawa Reds;32;20;14;19;1,6;1,5297;0,7368;0,8487;2,3368;9,66;7,12;2,62;11,39;15,46;12,37;58,62
61;25/08/2023;12:30;ROMANIA;LIGA 1 - ROUND 7;Otelul;FC Voluntari;24;22;30;24;1,0909;0,9;1,25;0,9682;2,3409;9,62;12,03;7,52;13,12;10,5;5,73;58,52
62;25/08/2023;10:30;LEBANON;PREMIER LEAGUE - ROUND 4;Al Sahel;Safa;27;20;23;23;1,35;1,2359;1,0;0,9325;2,35;9,54;9,54;4,77;12,88;12,88;8,69;58,3
63;25/08/2023;20:00;PARAGUAY;PRIMERA DIVISION - CLAUSURA - ROUND 8;Ameliano;Guairena FC;25;19;23;22;1,3158;1,1264;1,0455;1,1069;2,3613;9,43;9,86;5,15;12,97;12,41;8,16;57,98
64;25/08/2023;12:00;SAUDI ARABIA;SAUDI PROFESSIONAL LEAGUE - ROUND 3;Al Feiha;Al Hazem;23;22;29;22;1,0455;1,065;1,3182;0,9717;2,3637;9,41;12,4;8,17;12,97;9,83;5,14;57,92
65;25/08/2023;13:00;DENMARK;3RD DIVISION;Avarta;Holbaek;22;18;24;21;1,2222;0,975;1,1429;1,0817;2,3651;9,39;10,74;6,14;13,12;11,48;7,02;57,89
66;25/08/2023;14:30;FRANCE;NATIONAL - ROUND 3;Red Star;Sochaux;25;20;27;24;1,25;1,0897;1,125;1,0129;2,375;9,3;10,46;5,88;13,08;11,63;7,27;57,62
67;25/08/2023;21:00;GUATEMALA;LIGA NACIONAL - APERTURA - ROUND 5;Xinabajul;Coban Imperial;30;21;19;20;1,4286;1,2563;0,95;1,2031;2,3786;9,27;8,81;4,18;12,58;13,24;9,45;57,53
68;25/08/2023;11:00;OMAN;PROFESSIONAL LEAGUE - ROUND 2;Dhofar;Sur Club;35;21;15;21;1,6667;1,5533;0,7143;0,9828;2,381;9,25;6,61;2,36;11,01;15,41;12,84;57,48
69;25/08/2023;22:30;FIJI;PREMIER LEAGUE - ROUND 16;Labasa;Navua;29;24;26;22;1,2083;1,0793;1,1818;1,1535;2,3901;9,16;10,83;6,4;13,08;11,07;6,69;57,23
70;25/08/2023;12:45;GERMANY;OBERLIGA BAYERN SÜD - ROUND 8;Rain/Lech;Dachau;20;19;27;20;1,0526;1,1459;1,35;1,6515;2,4026;9,05;12,22;8,24;12,86;9,52;5,01;56,9
71;25/08/2023;12:00;ROMANIA;LIGA 3 - SERIA 10 - ROUND 1;Satu Mare;Sanatatea Cluj;20;21;32;22;0,9524;1,6176;1,4545;1,3727;2,4069;9,01;13,1;9,53;12,48;8,58;4,09;56,79
72;25/08/2023;16:45;PORTUGAL;LIGA 3 - ROUND 4;Varzim;Lusitania FC;28;23;25;21;1,2174;0,8318;1,1905;1,4013;2,4079;9,0;10,72;6,38;13,04;10,96;6,67;56,77
73;25/08/2023;14:00;MONTENEGRO;PRVA CRNOGORSKA LIGA - ROUND 6;Mladost DG;Jezero;34;22;19;22;1,5455;1,3392;0,8636;0,7565;2,4091;8,99;7,76;3,35;12,0;13,89;10,73;56,72
74;25/08/2023;07:00;SOUTH KOREA;WK LEAGUE WOMEN - ROUND 20;Seoul W;Sejong Sportstoto W;24;19;23;20;1,2632;0,9086;1,15;0,9097;2,4132;8,95;10,3;5,92;13,01;11,31;7,14;56,63
75;25/08/2023;14:00;POLAND;DIVISION 2 - ROUND 6;Skra;Kotwica Kolobrzeg;17;19;32;21;0,8947;1,0206;1,5238;1,3669;2,4185;8,91;13,57;10,34;12,14;7,97;3,56;56,49
76;25/08/2023;05:00;SOUTH KOREA;WK LEAGUE WOMEN - ROUND 20;Boeun Sangmu W;Hwacheon W;14;18;33;20;0,7778;0,7857;1,65;1,0618;2,4278;8,82;14,56;12,01;11,32;6,86;2,67;56,24
77;25/08/2023;18:00;COLOMBIA;PRIMERA B - CLAUSURA - ROUND 6;Cucuta;Fortaleza;32;21;19;21;1,5238;1,0519;0,9048;1,1086;2,4286;8,82;7,98;3,61;12,15;13,43;10,24;56,23
78;25/08/2023;12:00;SERBIA;SRPSKA LIGA - BELGRADE - ROUND 3;BASK;Jedinstvo Surcin;39;22;14;21;1,7727;1,2035;0,6667;0,7766;2,4394;8,72;5,82;1,94;10,31;15,46;13,7;55,95
79;25/08/2023;16:00;ENGLAND;PREMIER LEAGUE - ROUND 3;Chelsea;Luton;27;23;33;26;1,1739;1,3072;1,2692;0,8113;2,4431;8,69;11,03;7,0;12,94;10,2;5,99;55,85
80;25/08/2023;15:30;SLOVAKIA;NIKE LIGA - ROUND 5;Michalovce;Kosice;19;21;37;24;0,9048;1,0191;1,5417;0,9119;2,4465;8,66;13,35;10,29;12,08;7,83;3,54;55,75
81;25/08/2023;15:00;BELGIUM;CHALLENGER PRO LEAGUE - ROUND 3;Seraing;Waregem;18;19;36;24;0,9474;1,099;1,5;1,291;2,4474;8,65;12,98;9,73;12,3;8,2;3,88;55,74
82;25/08/2023;13:30;WORLD;CLUB FRIENDLY;Naxxar Lions;Sirens;29;20;19;19;1,45;1,2835;1,0;1,2566;2,45;8,63;8,63;4,31;12,51;12,51;9,07;55,66
83;25/08/2023;05:00;INDONESIA;LIGA 1 - ROUND 10;Persik Kediri;PSIS Semarang;32;22;21;21;1,4545;1,3727;1,0;1,1127;2,4545;8,59;8,59;4,29;12,49;12,49;9,09;55,54
84;25/08/2023;16:30;CHILE;PRIMERA DIVISION - ROUND 22;A. Italiano;Coquimbo;28;22;25;21;1,2727;1,0947;1,1905;1,2196;2,4632;8,52;10,14;6,04;12,9;10,84;6,9;55,34
85;25/08/2023;13:00;GEORGIA;CRYSTALBET EROVNULI LIGA - ROUND 23;Telavi;Dinamo Tbilisi;11;20;44;23;0,55;0,669;1,913;1,3804;2,463;8,52;16,29;15,58;8,96;4,68;1,29;55,32
86;25/08/2023;07:00;SOUTH KOREA;WK LEAGUE WOMEN - ROUND 20;Changnyeong W;Suwon FC W;18;22;38;23;0,8182;0,8861;1,6522;1,4021;2,4704;8,45;13,97;11,54;11,43;6,92;2,83;55,14
87;25/08/2023;07:00;SOUTH KOREA;K LEAGUE 1 - ROUND 28;Suwon FC;Incheon;29;21;21;19;1,381;1,2901;1,1053;1,0206;2,4863;8,32;9,2;5,08;12,7;11,49;7,94;54,73
88;25/08/2023;09:30;INDIA;DURAND CUP - PLAY OFFS - QUARTER-FINALS;East Bengal;Gokulam;28;26;31;22;1,0769;1,1067;1,4091;1,3024;2,486;8,32;11,73;8,26;12,63;8,96;4,83;54,73
89;25/08/2023;14:30;AUSTRIA;NIEDEROSTERREICH - ROUND 4;Kottingbrunn;Zwettl;24;17;27;25;1,4118;1,2861;1,08;0,796;2,4918;8,28;8,94;4,83;12,62;11,69;8,25;54,61
90;25/08/2023;15:00;ENGLAND;PREMIER LEAGUE 2 - ROUND 3;Derby U21;Tottenham U21;26;22;38;29;1,1818;0,936;1,3103;1,3922;2,4921;8,27;10,84;7,1;12,81;9,78;5,78;54,58
91;25/08/2023;08:35;CHINA;SUPER LEAGUE - ROUND 24;Shenzhen;Shandong Taishan;16;22;39;22;0,7273;0,9136;1,7727;1,6769;2,5;8,21;14,55;12,9;10,58;5,97;2,17;54,38
92;25/08/2023;14:30;FRANCE;NATIONAL - ROUND 3;Orleans;Martigues;24;22;34;24;1,0909;0,8479;1,4167;1,0375;2,5076;8,15;11,54;8,18;12,59;8,89;4,85;54,2
93;25/08/2023;15:45;IRELAND;PREMIER DIVISION - ROUND 28;UC Dublin;St. Patricks;21;22;36;23;0,9545;0,976;1,5652;1,0965;2,5197;8,05;12,6;9,86;12,02;7,68;3,67;53,88
94;25/08/2023;15:45;ENGLAND;ISTHMIAN LEAGUE PREMIER DIVISION - ROUND 4;Margate;Cheshunt;31;21;23;22;1,4762;1,18;1,0455;1,2605;2,5217;8,03;8,4;4,39;12,4;11,86;8,75;53,83
95;25/08/2023;12:00;SERBIA;SRPSKA LIGA - BELGRADE - ROUND 3;Studentski Grad;Torlak;28;22;20;16;1,2727;1,0947;1,25;1,1456;2,5227;8,02;10,03;6,27;12,76;10,21;6,5;53,79
96;25/08/2023;17:00;VENEZUELA;LIGA FUTVE - ROUND 25;Angostura;Hermanos Colmenarez;33;21;21;22;1,5714;1,0942;0,9545;0,8779;2,5259;8,0;7,63;3,64;12,0;12,57;9,88;53,72
97;25/08/2023;15:00;BOSNIA AND HERZEGOVINA;PREMIJER LIGA BIH - ROUND 5;Borac Banja Luka;Sloga Doboj;29;18;23;25;1,6111;1,1125;0,92;0,8447;2,5311;7,96;7,32;3,37;11,79;12,82;10,33;53,59
98;25/08/2023;14:30;QATAR;QSL - ROUND 2;Al Rayyan;Qatar SC;34;21;23;25;1,619;1,3265;0,92;0,8908;2,539;7,89;7,26;3,34;11,76;12,78;10,35;53,38
99;25/08/2023;15:00;CROATIA;HNL - ROUND 6;Gorica;Slaven Belupo;27;20;32;26;1,35;1,4925;1,2308;1,5015;2,5808;7,57;9,32;5,73;12,58;10,22;6,9;52,32
100;25/08/2023;15:00;BELGIUM;CHALLENGER PRO LEAGUE - ROUND 3;Genk U23;Club Brugge KV U23;20;17;31;22;1,1765;1,1497;1,4091;1,1544;2,5856;7,54;10,62;7,48;12,49;8,87;5,22;52,22
101;25/08/2023;14:00;SWEDEN;DIVISION 1 - SÖDRA - ROUND 19;Ljungskile;Norrby;32;23;24;20;1,3913;1,4368;1,2;1,0296;2,5913;7,49;8,99;5,4;12,51;10,42;7,25;52,06
102;25/08/2023;14:30;FRANCE;NATIONAL - ROUND 3;Epinal;GOAL FC;35;22;24;24;1,5909;1,4352;1,0;1,0;2,5909;7,49;7,49;3,75;11,92;11,92;9,48;52,05
103;25/08/2023;14:30;FRANCE;NATIONAL - ROUND 3;Nimes;Le Mans;32;20;22;22;1,6;1,2806;1,0;1,0445;2,6;7,43;7,43;3,71;11,88;11,88;9,51;51,84
104;25/08/2023;15:00;ENGLAND;PREMIER LEAGUE 2 - ROUND 3;Reading U21;Newcastle Utd U21;30;19;29;28;1,5789;1,2276;1,0357;1,085;2,6146;7,32;7,58;3,93;11,97;11,56;9,12;51,48
105;25/08/2023;11:00;POLAND;DIVISION 2 - ROUND 6;Stezyca;Lech Poznan 2;27;21;28;21;1,2857;1,6078;1,3333;0,9428;2,619;7,29;9,72;6,48;12,49;9,37;6,02;51,37
106;25/08/2023;16:00;FRANCE;LIGUE 1 - ROUND 3;Nantes;Monaco;17;20;46;26;0,85;0,7921;1,7692;1,12;2,6192;7,29;12,89;11,4;10,96;6,19;2,63;51,36
107;25/08/2023;12:00;ROMANIA;LIGA 3 - SERIA 5 - ROUND 1;Campulung;Olimpic Zarnesti;20;16;22;16;1,25;1,199;1,375;1,6154;2,625;7,24;9,96;6,85;12,45;9,05;5,66;51,21
108;25/08/2023;22:00;MEXICO;LIGA MX - APERTURA - ROUND 6;Puebla;Juarez;34;22;25;23;1,5455;1,0757;1,087;1,1388;2,6325;7,19;7,82;4,25;12,08;11,11;8,59;51,04
109;25/08/2023;12:30;AFRICA;CAF CHAMPIONS LEAGUE - QUALIFICATION - SEMI-FINALS;ASGNN;AS Douanes;30;22;28;22;1,3636;1,2629;1,2727;1,2498;2,6363;7,16;9,11;5,8;12,43;9,77;6,66;50,93
110;25/08/2023;21:30;BRAZIL;SERIE B - ROUND 25;Sport Recife;Ituano;45;23;15;22;1,9565;1,2676;0,6818;0,8732;2,6383;7,15;4,87;1,66;9,54;13,99;13,68;50,89
111;25/08/2023;14:00;GERMANY;OBERLIGA BAYERN SÜD - ROUND 8;Erlbach;Gundelfingen;28;20;25;20;1,4;1,2806;1,25;1,1779;2,65;7,07;8,83;5,52;12,36;9,89;6,92;50,59
112;25/08/2023;14:30;FRANCE;NATIONAL 2 - GROUP B - ROUND 1;Bergerac;Blois;30;21;27;22;1,4286;1,3299;1,2273;1,2407;2,6559;7,03;8,62;5,29;12,32;10,04;7,17;50,47
113;25/08/2023;15:00;SAUDI ARABIA;SAUDI PROFESSIONAL LEAGUE - ROUND 3;Al Shabab;Damac;35;21;21;21;1,6667;1,2084;1,0;0,8165;2,6667;6,95;6,95;3,47;11,58;11,58;9,65;50,18
114;25/08/2023;13:00;CZECH REPUBLIC;CFL - GROUP A - ROUND 4;Pisek;Karlovy Vary;39;24;24;23;1,625;1,6024;1,0435;1,197;2,6685;6,93;7,24;3,78;11,76;11,27;9,16;50,14
115;25/08/2023;20:00;USA;NWSL WOMEN;Orlando Pride W;San Diego Wave W;32;22;27;22;1,4545;1,1171;1,2273;0,9969;2,6818;6,84;8,4;5,15;12,22;9,95;7,24;49,8
116;25/08/2023;15:00;TURKEY;1. LIG - ROUND 3;Erzurumspor;Manisa FK;26;24;37;23;1,0833;0,9538;1,6087;1,2065;2,692;6,77;10,9;8,77;11,81;7,34;3,97;49,56
117;25/08/2023;16:15;PORTUGAL;LIGA PORTUGAL - ROUND 3;Estrela;Estoril;32;20;23;21;1,6;0,9695;1,0952;1,0648;2,6952;6,75;7,4;4,05;11,83;10,8;8,64;49,47
118;25/08/2023;14:30;SWITZERLAND;CHALLENGE LEAGUE - ROUND 5;Schaffhausen;Aarau;22;16;33;25;1,375;1,111;1,32;1,1565;2,695;6,75;8,91;5,88;12,26;9,29;6,38;49,47
119;25/08/2023;15:45;NORTHERN IRELAND;PREMIERSHIP WOMEN - ROUND 13;Linfield W;Derry City W;50;21;7;22;2,381;2,2986;0,3182;0,5548;2,6992;6,73;2,14;0,34;5,1;16,01;19,07;49,39
120;25/08/2023;14:30;FRANCE;NATIONAL - ROUND 3;Cholet;Nancy;32;21;25;21;1,5238;1,2196;1,1905;1,1389;2,7143;6,63;7,89;4,7;12,02;10,1;7,69;49,03
121;25/08/2023;09:00;WORLD;CLUB FRIENDLY;Izarra;Subiza;28;23;30;20;1,2174;1,1404;1,5;1,5652;2,7174;6,6;9,91;7,43;12,06;8,04;4,89;48,93
