Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
1;08/08/2023;14:00;DENMARK;LANDSPOKAL CUP - 1/64-FINALS;Ringkobing;Kjellerup;26;30;29;30;0,8667;0,9667;1,8334;1,8333;16,0073;2,2;19,2067;4,0333
2;08/08/2023;05:30;AUSTRALIA;NPL ACT - ROUND 17;Canberra Croatia;Tigers FC;27;30;26;30;0,9;0,8667;1,7667;1,6667;13,6405;1,8333;15,976;3,5
3;08/08/2023;12:30;FINLAND;KANSALLINEN LIIGA WOMEN;HJK W;KuPS W;25;30;28;30;0,8333;0,9333;1,7666;1,4333;12,6851;2,2;18,8996;3,6333
4;08/08/2023;13:00;CZECH REPUBLIC;MOL CUP - 1/64-FINALS;Lanzhot;Start Brno;26;30;26;30;0,8667;0,8667;1,7334;1,7333;12,9215;1,8667;15,5171;3,6
5;08/08/2023;13:00;DENMARK;LANDSPOKAL CUP - 1/64-FINALS;Tarnby FF;Koge;15;17;25;30;0,8824;0,8333;1,7157;1,8235;9,1387;1,5667;14,0065;3,3902
6;08/08/2023;16:15;ICELAND;BESTA DEILD KARLA - ROUND 18;Hafnarfjordur;Vikingur Reykjavik;27;30;24;30;0,9;0,8;1,7;2,0667;17,3373;1,5667;13,202;3,6334
7;08/08/2023;12:30;POLAND;III LIGA - GROUP III - ROUND 1;Unia Turza Slaska;Gornik Zabrze 2;27;30;24;30;0,9;0,8;1,7;1,7;14,2642;1,6;14,5505;3,3
8;08/08/2023;16:15;ICELAND;BESTA DEILD KARLA - ROUND 18;Fram;Fylkir;26;30;25;30;0,8667;0,8333;1,7;1,7333;15,7679;1,6667;15,5808;3,4
9;08/08/2023;14:00;GERMANY;REGIONALLIGA SUDWEST - ROUND 1;FSV Frankfurt;Schott Mainz;25;30;26;30;0,8333;0,8667;1,7;1,4;11,307;2,1333;17,0242;3,5333
10;08/08/2023;10:30;TURKMENISTAN;YOKARY LIGA - ROUND 11;Sagadam;Nebitci;24;29;23;27;0,8276;0,8519;1,6795;1,5172;13,5776;1,7037;15,939;3,2209
11;08/08/2023;15:45;ENGLAND;EFL CUP - 1/64-FINALS;MK Dons;Wycombe;24;30;26;30;0,8;0,8667;1,6667;1,2333;10,0497;1,1333;9,9883;2,3666
