Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;AvgHome;golsAway;jogosAway;AvgAway;avgSum
1;07/08/2023;13:00;NORWAY;DIVISION 3 - GROUP 4 - ROUND 14;Odd 2;Pors;26;13;2,0;39;13;3,0;5,0
2;07/08/2023;13:00;NORWAY;DIVISION 3 - GROUP 4 - ROUND 14;Sandefjord 2;Fredrikstad 2;32;13;2,4615;27;13;2,0769;4,5384
3;07/08/2023;13:00;ESTONIA;ESILIIGA - ROUND 22;Viimsi JK;Tabasalu;40;20;2,0;53;21;2,5238;4,5238
4;07/08/2023;11:00;NORWAY;DIVISION 3 - GROUP 5 - ROUND 14;Rosenborg 2;Kristiansund 2;35;13;2,6923;22;13;1,6923;4,3846
5;07/08/2023;13:00;NORWAY;DIVISION 3 - GROUP 2 - ROUND 14;Molde 2;Hodd 2;31;13;2,3846;26;13;2,0;4,3846
6;07/08/2023;14:00;IRELAND;DIVISION 1 - ROUND 26;Wexford;Waterford;31;25;1,24;66;24;2,75;3,99
7;07/08/2023;06:00;MYANMAR;NATIONAL LEAGUE - ROUND 15;Yangon Utd;Kachin United;43;14;3,0714;11;14;0,7857;3,8571
8;07/08/2023;13:00;IRELAND;DIVISION 1 - ROUND 26;Galway;Treaty United;65;25;2,6;30;24;1,25;3,85
9;07/08/2023;14:00;NORWAY;DIVISION 3 - GROUP 6 - ROUND 14;Asker;KFUM-Kameratene Oslo 2;33;13;2,5385;17;13;1,3077;3,8462
10;07/08/2023;14:30;FAROE ISLANDS;PREMIER LEAGUE - ROUND 17;07 Vestur Sorvagur;B36 Torshavn;27;16;1,6875;34;16;2,125;3,8125
11;07/08/2023;13:00;ICELAND;BESTA DEILD WOMEN - ROUND 13;Breidablik W;Thor/KA W;34;14;2,4286;19;14;1,3571;3,7857
12;07/08/2023;13:00;ICELAND;BESTA DEILD KARLA - ROUND 18;Valur;KA Akureyri;42;17;2,4706;21;16;1,3125;3,7831
13;07/08/2023;13:00;LITHUANIA;A LYGA - ROUND 25;FK Panevezys;Hegelmann;44;23;1,913;43;23;1,8696;3,7826
14;07/08/2023;11:00;NORWAY;DIVISION 2 - GROUP 2 - ROUND 14;SK Gjovik-Lyn;Brann 2;16;13;1,2308;32;13;2,4615;3,6923
15;07/08/2023;09:00;BELARUS;VYSSHAYA LIGA RESERVE - ROUND 16;Zhodino 2;Brest 2;25;14;1,7857;23;14;1,6429;3,4286
16;07/08/2023;14:00;SWEDEN;ALLSVENSKAN - ROUND 18;Malmo FF;Halmstad;38;17;2,2353;17;17;1,0;3,2353
17;07/08/2023;14:00;SWEDEN;DIVISION 1 - SÖDRA - ROUND 16;Trollhattan;Ahlafors IF;37;15;2,4667;11;15;0,7333;3,2
18;07/08/2023;12:30;NORWAY;DIVISION 3 - GROUP 6 - ROUND 14;Oppsal;Tromso 2;22;13;1,6923;17;13;1,3077;3,0
19;07/08/2023;21:00;CHILE;PRIMERA B - ROUND 21;San Luis;San Marcos de Arica;28;20;1,4;31;20;1,55;2,95
20;07/08/2023;15:00;CANADA;CANADIAN PREMIER LEAGUE;HFX Wanderers;Pacific FC;21;17;1,2353;28;17;1,6471;2,8824
21;07/08/2023;20:00;BRAZIL;SERIE C - FIRST STAGE - ROUND 16;Botafogo PB;EC Sao Jose;20;15;1,3333;23;15;1,5333;2,8666
22;07/08/2023;13:00;BELARUS;VYSSHAYA LIGA - ROUND 16;BATE;FC Gomel;20;14;1,4286;20;14;1,4286;2,8572
23;07/08/2023;20:00;PARAGUAY;DIVISION INTERMEDIA - ROUND 20;Deportivo Santani;3 de Febrero;30;19;1,5789;24;19;1,2632;2,8421
